EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493040600,134.03,134.03,134.02,134.02,142485
1,134.04,134.05,133.8042,134.03,2297277
2,134.05,134.08,133.92,134.03,1030521
3,134.09,134.12,133.98,134.06,629586
4,134.01,134.15,133.97,134.1,911947
5,134.11,134.16,133.9531,134.01,412868
6,134.12,134.21,134.04,134.13,461692
7,134,134.14,133.99,134.121,418414
8,134.05,134.07,133.98,134,315463
9,134.06,134.0875,134.011,134.04,261399
10,134.05,134.085,134,134.06,160850
11,133.91,134.06,133.85,134.05,599580
12,133.9299,133.93,133.86,133.91,424161
13,133.97,133.97,133.87,133.925,280009
14,133.915,133.97,133.875,133.97,179039
15,133.88,133.94,133.84,133.92,268468
16,133.95,133.99,133.88,133.88,328279
17,133.99,134.04,133.95,133.95,296759
18,133.975,134.005,133.96,134,163498
19,133.98,134.01,133.95,133.97,286157
20,133.95,134,133.93,133.98,158219
21,133.97,133.985,133.91,133.959,226548
22,134,134.04,133.96,133.97,311913
23,134.07,134.075,133.99,134,521434
24,134.06,134.0765,134.02,134.07,247124
25,134.04,134.0668,134,134.06,230908
26,134.04,134.05,133.99,134.035,78468
27,134.075,134.08,134,134.0318,119829
28,134.06,134.09,134.02,134.075,134866
29,134.12,134.15,133.995,134.07,499097
30,134.12,134.15,134.085,134.13,455333
31,134.115,134.16,134.105,134.11,420994
32,134.125,134.15,134.105,134.115,271199
33,134.1401,134.17,134.105,134.12,315536
34,134.27,134.285,134.135,134.15,722519
35,134.2,134.28,134.2,134.2673,553439
36,134.215,134.26,134.19,134.21,898566
37,134.235,134.265,134.19,134.21,834677
38,134.21,134.25,134.18,134.235,616040
39,134.16,134.22,134.1,134.22,2473440
144,134.59,134.6,134.58,134.58,211012
145,134.63,134.64,134.48,134.59,1149976
146,134.66,134.69,134.59,134.63,1237466
147,134.6101,134.69,134.58,134.6683,726501
148,134.85,134.86,134.61,134.62,961775
149,134.849,134.91,134.79,134.85,1360094
150,134.85,134.86,134.79,134.84,292295
151,134.859,134.88,134.81,134.855,257331
152,134.77,134.86,134.74,134.8501,321491
153,134.79,134.82,134.74,134.77,242127
154,134.84,134.87,134.75,134.785,302080
155,134.96,134.97,134.83,134.83,243007
156,134.92,134.98,134.89,134.96,202700
157,134.97,134.98,134.89,134.93,157408
158,134.9899,135.02,134.93,134.96,173293
159,135.03,135.04,134.9761,134.985,123455
160,135.04,135.069,135.02,135.025,213067
161,135.11,135.11,135.01,135.05,173192
162,135.08,135.13,135.08,135.1,365603
163,135.0266,135.09,134.96,135.08,297053
164,135.05,135.05,134.98,135.03,171717
165,135,135.06,134.99,135.04,138972
166,135.11,135.1111,134.99,135.0056,207376
167,135.17,135.18,135.1,135.11,190996
168,135.13,135.2,135.12,135.17,238636
169,135.13,135.16,135.11,135.12,93992
170,135.1353,135.16,135.091,135.13,180640
171,135.12,135.16,135.1,135.13,118886
172,135.17,135.18,135.09,135.11,171569
173,135.21,135.22,135.1601,135.169,152420
174,135.135,135.21,135.13,135.21,243730
175,135.18,135.19,135.1,135.1365,209458
176,135.169,135.18,135.14,135.18,96215
177,135.14,135.18,135.11,135.18,133014
178,135.32,135.34,135.1341,135.1341,429290
179,135.327,135.33,135.27,135.32,344203
180,135.285,135.3664,135.28,135.32,291319
181,135.22,135.29,135.2,135.285,486174
182,135.1969,135.265,135.18,135.22,608034
183,135.13,135.2,135.11,135.2,2067933
288,135.18,135.18,135.17,135.17,67170
289,135.315,135.51,135.14,135.185,1943702
290,135.26,135.32,135.07,135.31,1493802
291,135.15,135.27,135.095,135.2554,616896
292,135.2088,135.23,135.09,135.14,340890
293,135.14,135.22,135.09,135.2,292700
294,135.145,135.15,135.05,135.14,359801
295,135.09,135.16,135.02,135.145,542054
296,135.105,135.11,135.02,135.09,323910
297,135.17,135.18,135.09,135.1,324547
298,135.12,135.2199,135.07,135.17,379978
299,135.11,135.1576,135.09,135.1147,320533
300,135.29,135.35,135.11,135.12,699183
301,135.31,135.325,135.2699,135.29,1574141
302,134.9244,135.34,134.92,135.32,1112369
303,135,135.05,134.92,134.93,841313
304,135.09,135.13,134.96,134.99,272232
305,135.2,135.24,135.09,135.09,344389
306,135.0999,135.22,135.09,135.21,227648
307,135.1,135.13,135.07,135.1,150355
308,135.03,135.175,135.02,135.11,276443
309,135.2,135.225,135.03,135.03,202861
310,135.25,135.25,135.15,135.2,144160
311,135.24,135.27,135.1958,135.2498,163471
312,135.17,135.27,135.17,135.24,252962
313,135.25,135.25,135.09,135.18,179438
314,135.09,135.34,134.99,135.24,590822
315,135.06,135.2299,135.06,135.1,366336
316,135.06,135.09,134.98,135.06,563815
317,135.06,135.2,135.06,135.07,134240
318,135.1146,135.19,135.06,135.07,330799
319,135.165,135.24,135.11,135.11,437376
320,135.1864,135.2,135.12,135.17,431231
321,135.11,135.2,135.11,135.18,258459
322,135.2399,135.24,135.07,135.115,425333
323,135.21,135.28,135.2,135.23,337587
324,135.155,135.23,135.11,135.2,244800
325,134.96,135.18,134.95,135.16,579000
326,135,135.03,134.93,134.96,656957
327,134.94,135.0156,134.86,135,2037742
432,135.28,135.29,135.27,135.28,102710
433,135.255,135.31,135.19,135.27,859754
434,135.37,135.42,135.21,135.25,750123
435,135.42,135.451,135.32,135.37,413575
436,135.46,135.51,135.41,135.42,386003
437,135.5034,135.61,135.46,135.46,482768
438,135.47,135.545,135.45,135.51,432388
439,135.585,135.6,135.47,135.47,187438
440,135.395,135.58,135.3801,135.58,191945
441,135.39,135.44,135.325,135.41,456460
442,135.45,135.49,135.37,135.38,361147
443,135.48,135.54,135.43,135.445,196735
444,135.44,135.51,135.4,135.4768,151571
445,135.4158,135.53,135.41,135.44,158984
446,135.402,135.45,135.35,135.41,225867
447,135.47,135.4801,135.37,135.4,244556
448,135.47,135.51,135.43,135.48,128364
449,135.44,135.5,135.4111,135.47,124414
450,135.4239,135.45,135.41,135.43,248593
451,135.45,135.465,135.41,135.4225,137702
452,135.49,135.54,135.45,135.45,92661
453,135.67,135.68,135.49,135.5,405784
454,135.66,135.68,135.62,135.6607,296494
455,135.63,135.68,135.61,135.65,83127
456,135.65,135.67,135.62,135.63,151485
457,135.6,135.66,135.59,135.65,153440
458,135.56,135.625,135.56,135.6,137601
459,135.57,135.6,135.56,135.57,179253
460,135.59,135.5954,135.54,135.575,227516
461,135.5962,135.615,135.5727,135.59,129320
462,135.53,135.599,135.48,135.59,74875
463,135.6,135.6182,135.52,135.52,141208
464,135.63,135.65,135.5646,135.6,166461
465,135.62,135.64,135.59,135.6373,179983
466,135.5101,135.62,135.451,135.62,389628
467,135.55,135.6,135.51,135.515,267761
468,135.61,135.61,135.52,135.54,158845
469,135.61,135.67,135.575,135.607,765976
470,135.64,135.67,135.6,135.6099,342408
471,135.75,135.75,135.565,135.64,1644762
576,136.3,136.3,136.28,136.28,120899
577,136.18,136.34,136.05,136.295,1518577
578,136.16,136.26,136.065,136.2,1250157
579,135.91,136.17,135.91,136.15,601063
580,135.861,136.03,135.86,135.92,472402
581,135.98,135.995,135.86,135.865,386369
582,135.97,136.01,135.89,135.96,546873
583,135.98,136.02,135.86,135.9796,276603
584,135.9464,136.04,135.93,135.97,499512
585,136.07,136.07,135.91,135.95,232797
586,136,136.0736,135.99,136.0736,268251
587,135.97,136.0462,135.91,136,293404
588,135.95,135.99,135.92,135.97,189091
589,135.8562,135.965,135.84,135.9508,369616
590,135.88,135.8907,135.8,135.85,232567
591,135.86,135.9,135.85,135.89,107765
592,136,136.02,135.86,135.8662,186422
593,135.99,136.03,135.97,136.0001,129670
594,136,136.03,135.9567,135.99,99204
595,136.01,136.03,135.97,136.0007,132982
596,136.1,136.11,135.99,136.0093,194902
597,136.0293,136.095,136.01,136.09,117201
598,136.04,136.08,136.02,136.03,105489
599,135.96,136.05,135.94,136.05,229150
600,135.98,135.99,135.93,135.95,151441
601,135.96,136,135.95,135.97,125643
602,135.95,135.97,135.92,135.97,161495
603,135.92,135.98,135.92,135.95,123558
604,135.88,135.958,135.86,135.92,212648
