EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493040600,45.5,45.5,45.5,45.5,135808
1,46.32,46.35,45.47,45.5,539833
2,46.12,46.35,46.04,46.315,385793
3,46.23,46.245,46.06,46.13,140103
4,46.16,46.32,46.13,46.25,175120
5,46.23,46.23,46.13,46.16,84147
6,46.16,46.26,46.13,46.24,146225
7,46.08,46.19,46.07,46.16,95302
8,46.16,46.1699,46.06,46.07,167820
9,46.175,46.2,46.11,46.165,123504
10,46.08,46.225,46.08,46.18,127943
11,46,46.11,45.985,46.085,133462
12,46.02,46.025,45.94,46.01,130490
13,46.11,46.13,46.01,46.02,128474
14,46.19,46.195,46.09,46.11,67862
15,46.125,46.22,46.105,46.19,109030
16,46.2,46.2361,46.13,46.13,83604
17,46.25,46.26,46.2,46.2,129855
18,46.255,46.27,46.21,46.255,60878
19,46.251,46.28,46.24,46.255,105067
20,46.139,46.3,46.13,46.2555,85288
21,46.16,46.21,46.13,46.1495,52682
22,46.14,46.21,46.115,46.16,133679
23,46.19,46.205,46.12,46.14,69575
24,46.21,46.23,46.16,46.19,67778
25,46.225,46.24,46.175,46.22,65386
26,46.24,46.24,46.17,46.23,71777
27,46.25,46.28,46.21,46.23,89622
28,46.265,46.27,46.24,46.2549,54820
29,46.33,46.34,46.24,46.26,97795
30,46.34,46.34,46.28,46.33,53497
31,46.4,46.405,46.33,46.345,256360
32,46.34,46.405,46.34,46.39,66888
33,46.27,46.395,46.25,46.335,77710
34,46.35,46.35,46.23,46.28,99631
35,46.3,46.36,46.29,46.355,69088
36,46.33,46.34,46.27,46.3,75636
37,46.345,46.345,46.295,46.33,115946
38,46.365,46.375,46.34,46.345,182304
39,46.44,46.44,46.34,46.365,913380
144,46.78,46.84,46.78,46.8,58517
145,47.28,47.3,46.77,46.78,392677
146,47.17,47.39,47.12,47.2946,261573
147,46.91,47.2,46.89,47.17,377019
148,46.94,47,46.82,46.91,240715
149,46.95,47.07,46.93,46.94,121873
150,46.85,47.035,46.82,46.945,224984
151,46.65,46.875,46.65,46.86,136025
152,46.73,46.79,46.62,46.66,139721
153,46.61,46.775,46.61,46.74,102013
154,46.66,46.67,46.55,46.6105,93792
155,46.64,46.7,46.56,46.66,155099
156,46.51,46.67,46.51,46.65,135136
157,46.5561,46.615,46.5,46.515,185829
158,46.475,46.55,46.38,46.55,124381
159,46.56,46.56,46.47,46.47,83023
160,46.585,46.62,46.55,46.56,79076
161,46.5275,46.6,46.51,46.58,82302
162,46.54,46.58,46.48,46.53,88194
163,46.55,46.56,46.4837,46.54,70791
164,46.64,46.65,46.54,46.55,71936
165,46.6,46.66,46.54,46.64,90773
166,46.61,46.63,46.59,46.6,116575
167,46.59,46.63,46.575,46.61,64732
168,46.55,46.62,46.52,46.6,67212
169,46.53,46.56,46.51,46.56,66759
170,46.52,46.555,46.51,46.53,62659
171,46.52,46.535,46.48,46.5149,88400
172,46.48,46.53,46.47,46.52,84181
173,46.485,46.53,46.47,46.4831,69765
174,46.51,46.52,46.45,46.495,103220
175,46.51,46.52,46.48,46.505,47534
176,46.56,46.565,46.51,46.515,78902
177,46.64,46.65,46.57,46.57,116281
178,46.71,46.74,46.62,46.645,123008
179,46.762,46.775,46.7,46.705,89396
180,46.73,46.79,46.72,46.77,144574
181,46.685,46.735,46.68,46.73,108568
182,46.68,46.72,46.67,46.6801,196736
183,46.61,46.7,46.57,46.685,614320
288,46.61,46.61,46.51,46.51,26837
289,46.438,46.72,46.43,46.5506,104898
290,46.3,46.49,46.26,46.44,103146
291,46.51,46.5799,46.24,46.28,126314
292,46.68,46.69,46.42,46.5014,170710
293,46.56,46.69,46.51,46.68,72137
294,46.51,46.55,46.43,46.55,64120
295,46.56,46.62,46.51,46.52,92029
296,46.635,46.66,46.54,46.56,91564
297,46.63,46.68,46.5799,46.63,86215
298,46.61,46.68,46.595,46.64,82488
299,46.57,46.64,46.53,46.61,72048
300,46.73,46.74,46.49,46.56,102802
301,46.78,46.78,46.7,46.735,120808
302,46.66,46.9,46.66,46.78,135929
303,46.62,46.75,46.61,46.65,76232
304,46.68,46.72,46.58,46.62,76976
305,46.78,46.83,46.685,46.685,113263
306,46.73,46.8,46.68,46.785,116768
307,46.855,46.86,46.73,46.74,108982
308,46.705,46.89,46.695,46.855,90407
309,46.7324,46.77,46.685,46.71,58595
310,46.75,46.76,46.62,46.7376,149491
311,46.62,46.75,46.585,46.74,62667
312,46.575,46.678,46.565,46.62,78111
313,46.72,46.72,46.52,46.57,136648
314,46.61,46.76,46.55,46.72,90452
315,46.62,46.71,46.6,46.61,62548
316,46.6,46.62,46.53,46.62,73227
317,46.625,46.7,46.58,46.6,48842
318,46.57,46.67,46.57,46.63,64917
319,46.67,46.7,46.565,46.57,105349
320,46.81,46.835,46.67,46.67,131878
321,46.845,46.88,46.8,46.81,88679
322,46.75,46.85,46.74,46.845,180111
323,46.86,46.88,46.75,46.75,137525
324,46.78,46.89,46.76,46.85,141277
325,46.615,46.79,46.615,46.77,215412
326,46.54,46.69,46.49,46.62,303744
327,46.4,46.57,46.36,46.54,1233721
432,43.83,43.91,43.8,43.91,169636
433,42.87,43.9,42.81,43.8,2029236
434,42.7,43.09,42.41,42.88,1897073
435,43.07,43.12,42.7,42.7,921713
436,43.135,43.38,42.99,43.07,913279
437,43.05,43.19,42.89,43.133,578682
438,42.77,43.05,42.76,43.05,436211
439,43.05,43.3,42.72,42.76,575578
440,42.995,43.05,42.9,43.045,471460
441,43.015,43.14,42.95,42.995,390278
442,43.125,43.2,42.99,43.0147,308450
443,43.265,43.32,43.1324,43.1367,261354
444,43.245,43.309,43.14,43.27,389402
445,43.145,43.25,43.14,43.24,261303
446,43.11,43.16,43.05,43.1425,278328
447,43.14,43.25,43.09,43.1,206195
448,43.16,43.23,43.12,43.15,155108
449,43.21,43.2159,43.135,43.155,174600
450,43.17,43.215,43.055,43.21,217361
451,43.5,43.545,43.17,43.1708,320623
452,43.6775,43.69,43.49,43.5,225614
453,44.0292,44.0599,43.6746,43.68,677378
454,44.02,44.04,43.88,44.025,312087
455,44.122,44.15,43.975,44.02,265152
456,44.0599,44.21,43.98,44.1271,386622
457,44.05,44.13,43.99,44.0503,202903
458,44.01,44.17,43.98,44.05,260321
459,44.03,44.07,43.98,44.0098,221610
460,43.835,44.04,43.81,44.035,316855
461,43.84,43.95,43.81,43.84,259283
462,43.6401,43.87,43.59,43.84,382668
463,43.74,43.74,43.64,43.64,242606
464,43.83,43.8798,43.735,43.74,199897
465,43.7622,43.845,43.71,43.83,203140
466,43.825,43.8567,43.74,43.765,193680
467,43.8744,43.92,43.825,43.825,222754
468,43.95,43.96,43.81,43.87,287277
469,43.97,44.065,43.92,43.945,327799
470,44,44.08,43.9405,43.96,250820
471,43.98,44.12,43.92,44,1059170
576,44.02,44.02,44.02,44.02,70542
577,43.24,44.06,42.9001,44.01,806007
578,43.5203,43.75,43.21,43.23,496354
579,43.44,43.71,43.41,43.5,324488
580,43.175,43.59,43.1401,43.4008,281628
581,43.125,43.33,43.05,43.18,282987
582,43.0665,43.2,43.03,43.1299,377487
583,42.965,43.1,42.94,43.065,392961
584,42.99,43.08,42.94,42.97,274557
585,43,43.08,42.95,42.99,193217
586,43.02,43.15,42.997,42.997,174820
587,43.0456,43.11,42.95,43.02,215971
588,42.9598,43.13,42.95,43.035,187779
589,42.91,43.05,42.91,42.955,360782
590,42.7239,42.915,42.63,42.904,744470
591,42.57,42.75,42.56,42.73,403125
592,42.66,42.78,42.56,42.57,228160
593,42.6849,42.76,42.64,42.66,165036
594,42.82,42.83,42.685,42.69,205677
595,42.69,42.82,42.65,42.82,117452
596,42.88,42.9,42.69,42.69,229587
597,42.76,42.89,42.74,42.89,126491
598,42.65,42.8,42.64,42.77,302463
599,42.65,42.715,42.65,42.66,176641
600,42.85,42.895,42.65,42.66,254906
601,42.77,42.91,42.77,42.8446,347835
602,42.75,43.15,42.7,42.78,450215
603,42.755,42.785,42.65,42.75,161672
604,42.77,42.8,42.72,42.75,280455
