EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493041800,2.2501,2.3,2.25,2.25,1400
1,2.24,2.264,2.24,2.26,2300
2,2.13,2.24,2.05,2.24,22773
3,2.1646,2.1646,2.13,2.13,360
4,2.12,2.12,2.12,2.12,100
5,2.01,2.07,2.009,2.06,4900
6,1.9,2.02,1.9,2.0144,2579
7,1.99,1.99,1.97,1.97,1776
8,1.96,1.96,1.9599,1.9599,1200
9,2.07,2.0804,1.98,1.9814,5581
11,2.03,2.0533,2.03,2.0501,1100
12,2,2,2,2,100
13,1.94,1.979,1.94,1.9755,2100
14,1.9,1.9316,1.88,1.9149,10740
15,1.88,1.88,1.88,1.88,1262
17,1.88,1.9145,1.88,1.9145,2500
18,1.9,1.9,1.8899,1.89,9300
19,1.858,1.858,1.81,1.82,1901
21,1.89,1.91,1.86,1.87,2163
22,1.75,1.8821,1.75,1.8301,12036
23,1.829,1.829,1.75,1.7733,8000
24,1.67,1.8144,1.67,1.76,10830
25,1.8176,1.8176,1.67,1.7383,16191
26,1.7,1.77,1.7,1.77,7378
27,1.77,1.7964,1.77,1.7964,1370
29,1.7672,1.775,1.72,1.7201,1210
31,1.7459,1.7459,1.7459,1.7459,272
32,1.7879,1.7899,1.78,1.7899,950
33,1.76,1.76,1.76,1.76,100
34,1.77,1.778,1.76,1.76,12650
35,1.75,1.7501,1.7054,1.72,11400
36,1.78,1.78,1.7262,1.75,12844
37,1.77,1.84,1.7603,1.7782,14620
142,1.77,1.77,1.77,1.77,203
144,1.75,1.7601,1.75,1.7601,1935
148,1.7501,1.7501,1.7501,1.7501,194
149,1.75,1.7501,1.75,1.7501,700
150,1.6622,1.73,1.6622,1.73,22723
151,1.685,1.685,1.685,1.685,200
152,1.76,1.76,1.76,1.76,283
153,1.76,1.76,1.6628,1.7081,7770
154,1.6707,1.712,1.6707,1.712,1820
155,1.623,1.736,1.6,1.7101,15485
156,1.77,1.79,1.6135,1.6135,16086
158,1.73,1.73,1.73,1.73,100
159,1.71,1.72,1.71,1.72,600
160,1.6501,1.7,1.6501,1.7,3600
161,1.71,1.71,1.71,1.71,900
163,1.7099,1.7099,1.7099,1.7099,120
169,1.71,1.71,1.68,1.71,800
171,1.71,1.71,1.6617,1.6617,2249
177,1.74,1.74,1.74,1.74,100
178,1.78,1.78,1.735,1.735,1613
179,1.9,1.9,1.77,1.77,22798
180,1.899,1.899,1.899,1.899,1000
181,1.8799,1.8899,1.85,1.8899,1200
286,1.85,1.85,1.85,1.85,1490
291,1.7,1.73,1.7,1.7142,22943
292,1.7,1.73,1.7,1.73,4526
294,1.7,1.7,1.7,1.7,2500
295,1.7001,1.7001,1.7001,1.7001,1200
297,1.78,1.78,1.78,1.78,180
299,1.62,1.79,1.62,1.7387,10000
300,1.83,1.84,1.73,1.73,6500
302,1.7105,1.8199,1.71,1.8199,11180
303,1.79,1.79,1.7,1.71,7348
309,1.7164,1.7164,1.7164,1.7164,100
311,1.72,1.72,1.72,1.72,200
315,1.7183,1.7183,1.7183,1.7183,600
316,1.74,1.74,1.72,1.72,700
317,1.71,1.7207,1.71,1.7201,5062
318,1.7062,1.7101,1.7062,1.7101,800
321,1.7012,1.7012,1.7012,1.7012,300
322,1.7,1.7085,1.7,1.7012,3962
323,1.75,1.75,1.75,1.75,100
324,1.74,1.74,1.739,1.74,530
325,1.69,1.7085,1.69,1.7,2238
430,1.77,1.77,1.77,1.77,114
431,1.79,1.79,1.65,1.72,7974
433,1.752,1.752,1.752,1.752,946
434,1.717,1.73,1.717,1.73,5239
435,1.72,1.72,1.72,1.72,300
441,1.7074,1.7074,1.7074,1.7074,582
443,1.78,1.78,1.78,1.78,100
448,1.76,1.76,1.76,1.76,100
449,1.7,1.7,1.7,1.7,828
450,1.7,1.7,1.7,1.7,1812
453,1.77,1.77,1.68,1.681,479
455,1.73,1.73,1.6997,1.6997,600
457,1.75,1.75,1.75,1.75,100
458,1.76,1.76,1.75,1.75,500
461,1.76,1.76,1.76,1.76,100
464,1.7499,1.7499,1.7499,1.7499,100
466,1.76,1.76,1.759,1.759,2150
467,1.71,1.71,1.71,1.71,100
468,1.77,1.77,1.76,1.76,5300
469,1.71,1.71,1.71,1.71,100
577,1.76,1.76,1.76,1.76,200
579,1.7699,1.7699,1.7699,1.7699,100
580,1.72,1.72,1.72,1.72,100
581,1.759,1.759,1.759,1.759,1695
585,1.7558,1.7558,1.7558,1.7558,288
586,1.77,1.77,1.77,1.77,216
605,1.74,1.757,1.74,1.75,6490
610,1.7239,1.7239,1.65,1.7,510
613,1.665,1.665,1.66,1.66,300
a1493646600,1.7,1.7,1.7,1.7,2000
1,1.69,1.69,1.69,1.69,400
2,1.72,1.72,1.72,1.72,500
4,1.73,1.73,1.71,1.71,200
6,1.71,1.71,1.71,1.71,359
7,1.73,1.73,1.71,1.71,600
8,1.71,1.71,1.71,1.71,100
10,1.7182,1.7182,1.7182,1.7182,582
11,1.7,1.7181,1.7,1.7181,1400
12,1.69,1.701,1.69,1.701,5316
14,1.69,1.69,1.685,1.685,3100
17,1.67,1.67,1.67,1.67,300
18,1.72,1.72,1.6504,1.69,6688
20,1.69,1.69,1.69,1.69,100
26,1.6801,1.71,1.6801,1.71,300
29,1.6901,1.75,1.6901,1.75,610
30,1.75,1.75,1.75,1.75,285
33,1.69,1.691,1.69,1.691,200
36,1.71,1.71,1.7,1.7,200
37,1.71,1.71,1.7,1.701,1300
142,1.73,1.73,1.73,1.73,220
143,1.7646,1.7699,1.7573,1.7672,2112
145,1.73,1.7402,1.72,1.7387,15005
146,1.7201,1.7201,1.7201,1.7201,100
147,1.7017,1.7218,1.7,1.72,4086
148,1.71,1.71,1.71,1.71,100
151,1.8166,1.8166,1.72,1.7275,6965
152,1.94,1.97,1.7653,1.7653,46356
153,1.864,1.97,1.8,1.9399,20944
154,1.88,1.88,1.8039,1.8039,6116
156,1.83,1.86,1.81,1.8401,5050
157,1.8201,1.86,1.8101,1.8101,2370
159,1.8468,1.8468,1.83,1.83,1600
160,1.8499,1.8499,1.8499,1.8499,100
162,1.85,1.85,1.85,1.85,1500
163,1.8218,1.84,1.8218,1.84,2450
165,1.818,1.82,1.81,1.82,575
166,1.8037,1.8037,1.8037,1.8037,150
167,1.721,1.82,1.71,1.82,9487
168,1.7369,1.7369,1.7369,1.7369,400
169,1.72,1.72,1.72,1.72,260
170,1.74,1.8114,1.74,1.7476,633
173,1.76,1.76,1.7572,1.7572,800
175,1.74,1.7487,1.74,1.7446,2700
178,1.76,1.76,1.76,1.76,100
179,1.7427,1.7427,1.7418,1.7418,1349
181,1.76,1.79,1.75,1.759,2348
286,1.71,1.71,1.71,1.71,2000
287,1.72,1.721,1.7101,1.7101,2200
288,1.7401,1.81,1.73,1.7301,1249
290,1.7757,1.7757,1.7501,1.7501,400
292,1.7501,1.7501,1.7501,1.7501,664
293,1.75,1.75,1.75,1.75,400
294,1.7501,1.7501,1.7501,1.7501,260
295,1.75,1.76,1.75,1.76,2804
297,1.74,1.74,1.74,1.74,400
298,1.74,1.74,1.74,1.74,100
300,1.72,1.72,1.7106,1.7106,375
304,1.72,1.72,1.72,1.72,400
305,1.71,1.71,1.71,1.71,200
306,1.71,1.71,1.71,1.71,200
308,1.73,1.73,1.73,1.73,400
310,1.71,1.71,1.71,1.71,200
311,1.71,1.7119,1.71,1.7119,1000
312,1.71,1.71,1.71,1.71,297
313,1.73,1.73,1.7299,1.7299,400
315,1.71,1.71,1.71,1.71,300
318,1.71,1.71,1.71,1.71,100
319,1.73,1.73,1.71,1.73,1900
320,1.71,1.71,1.71,1.71,100
321,1.73,1.73,1.73,1.73,300
322,1.72,1.72,1.71,1.72,2000
323,1.72,1.72,1.72,1.72,400
325,1.71,1.73,1.71,1.73,400
431,1.71,1.7126,1.71,1.7126,1809
432,1.7112,1.72,1.71,1.72,300
435,1.7135,1.7135,1.7135,1.7135,850
436,1.7101,1.7101,1.71,1.71,400
438,1.7699,1.7699,1.7699,1.7699,253
441,1.73,1.73,1.7,1.72,2985
