EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493040600,32.66,32.66,32.66,32.66,7668
1,32.7499,32.81,32.505,32.505,31560
2,32.6,32.6599,32.41,32.64,85497
3,32.68,32.73,32.57,32.61,46330
4,32.5501,32.67,32.44,32.669,15585
5,32.5489,32.63,32.5,32.6,20742
6,32.61,32.7,32.56,32.57,37690
7,32.69,32.77,32.6,32.61,28583
8,32.71,32.71,32.6,32.675,29784
9,32.78,32.8,32.69,32.71,27487
10,32.93,32.93,32.79,32.81,33549
11,32.9,32.93,32.82,32.92,19049
12,32.875,32.92,32.845,32.885,20210
13,32.9,32.9,32.78,32.86,32607
14,32.92,32.99,32.8814,32.91,19990
15,33.13,33.13,32.9,32.92,37093
16,33.14,33.17,33.05,33.1328,54740
17,33.28,33.33,33.14,33.14,118702
18,33.29,33.31,33.18,33.285,25533
19,33.26,33.31,33.25,33.31,8110
20,33.215,33.29,33.2,33.25,12500
21,33.25,33.25,33.16,33.2,13098
22,33.34,33.37,33.22,33.24,26267
23,33.5395,33.54,33.3251,33.33,27111
24,33.37,33.54,33.33,33.52,31867
25,33.44,33.46,33.35,33.36,13100
26,33.52,33.535,33.4398,33.4398,15466
27,33.5,33.59,33.47,33.53,19348
28,33.55,33.56,33.49,33.51,10525
29,33.48,33.59,33.48,33.56,25372
30,33.315,33.5,33.3,33.49,18997
31,33.2981,33.35,33.28,33.31,7526
32,33.28,33.35,33.25,33.28,7690
33,33.273,33.32,33.26,33.26,9250
34,33.32,33.36,33.27,33.27,15406
35,33.42,33.48,33.32,33.34,25823
36,33.34,33.415,33.34,33.39,6704
37,33.47,33.53,33.34,33.35,36394
38,33.55,33.55,33.43,33.4952,27756
39,33.72,33.83,33.51,33.56,275826
144,33.98,33.98,33.98,33.98,5322
145,34.7,34.7,33.93,34,68653
146,34.9025,35.19,34.671,34.71,134592
147,34.79,34.9,34.53,34.9,47502
148,35.45,35.5,34.72,34.79,183711
149,35.915,36.2,35.49,35.5,242354
150,35.87,35.99,35.67,35.9,146073
151,35.467,35.93,35.27,35.9,139353
152,35.37,35.599,35.15,35.45,61392
153,35.38,35.4,35.2,35.38,87470
154,35.25,35.5,35.22,35.386,54131
155,35.4625,35.52,35.25,35.25,40918
156,35.57,35.645,35.45,35.47,55046
157,35.55,35.68,35.53,35.56,46227
158,35.5,35.6,35.43,35.5584,45942
159,35.4777,35.55,35.45,35.46,39380
160,35.3,35.47,35.296,35.47,24664
161,35.36,35.37,35.1708,35.29,28364
162,35.427,35.43,35.27,35.412,21782
163,35.44,35.51,35.39,35.426,17726
164,35.45,35.5,35.32,35.44,20356
165,35.45,35.5,35.4005,35.5,22573
166,35.38,35.47,35.35,35.47,22383
167,35.39,35.465,35.37,35.38,21629
168,35.35,35.42,35.31,35.38,18807
169,35.1,35.36,35.1,35.36,26935
170,34.98,35.1,34.98,35.1,28357
171,34.8448,34.9903,34.84,34.97,27738
172,34.84,34.92,34.82,34.8566,19340
173,34.87,34.94,34.83,34.83,35442
174,34.69,34.89,34.69,34.87,47753
175,34.75,34.75,34.64,34.7,37577
176,34.63,34.7463,34.6,34.7463,19118
177,34.64,34.7,34.57,34.61,21089
178,34.78,34.82,34.64,34.64,22050
179,34.81,34.829,34.74,34.8,20770
180,34.82,34.88,34.77,34.81,43419
181,34.711,34.86,34.71,34.8,40049
182,34.74,34.76,34.67,34.725,41148
183,34.71,34.8,34.66,34.76,153393
288,34.77,34.77,34.77,34.77,4935
289,34.809,35.22,34.73,35,41862
290,34.8,34.8,34.54,34.78,36218
291,34.72,34.95,34.7,34.79,31388
292,34.57,34.73,34.45,34.73,19632
293,34.5,34.67,34.47,34.54,13427
294,34.51,34.56,34.46,34.5,21884
295,34.47,34.56,34.44,34.54,13276
296,34.5,34.52,34.43,34.44,8918
297,34.46,34.53,34.42,34.5,38414
298,34.36,34.48,34.34,34.465,22784
299,34.35,34.3852,34.335,34.34,14184
300,34.39,34.41,34.34,34.34,13057
301,34.29,34.37,34.29,34.36,9406
302,34.16,34.3,34.12,34.29,36481
303,34.1,34.215,34.09,34.16,48926
304,34.41,34.41,34.02,34.08,25138
305,34.37,34.44,34.31,34.42,20629
306,34.25,34.385,34.25,34.38,18412
307,34.2,34.25,34.14,34.25,14142
308,34.04,34.21,34.04,34.2,27523
309,34.0995,34.1055,34.03,34.04,50631
310,34.13,34.17,34.09,34.1086,14562
311,34.07,34.15,34.06,34.14,15427
312,33.9789,34.08,33.95,34.08,28188
313,33.92,33.99,33.9,33.98,18380
314,33.9,33.9505,33.9,33.92,27658
315,33.93,33.97,33.88,33.88,14927
316,33.83,33.97,33.7956,33.92,36861
317,33.7966,33.85,33.77,33.82,20515
318,33.83,33.86,33.7868,33.789,19443
319,33.75,33.838,33.73,33.83,28342
320,33.8,33.81,33.71,33.74,16356
321,33.65,33.8121,33.65,33.795,43216
322,33.77,33.79,33.621,33.64,15596
323,33.83,33.85,33.77,33.77,27633
324,33.93,33.94,33.79,33.83,27162
325,33.83,33.96,33.83,33.9352,28580
326,33.7,33.84,33.685,33.83,75171
327,33.66,33.83,33.61,33.76,218952
432,33.68,33.68,33.68,33.68,7399
433,33.26,33.7468,33.24,33.7468,44371
434,33.26,33.47,33.1,33.3,96781
435,33.48,33.565,33.27,33.27,60882
436,33.34,33.51,33.33,33.48,20190
437,33.31,33.33,33.2304,33.33,15720
438,33.32,33.35,33.08,33.29,42922
439,33.41,33.46,33.27,33.33,23612
440,33.37,33.45,33.36,33.43,25813
441,33.41,33.43,33.345,33.35,9381
442,33.4716,33.5,33.32,33.39,47375
443,33.45,33.505,33.45,33.45,44667
444,33.41,33.47,33.4,33.46,18500
445,33.43,33.47,33.37,33.4,9763
446,33.44,33.47,33.42,33.42,8581
447,33.42,33.471,33.37,33.47,12119
448,33.375,33.45,33.375,33.43,8646
449,33.415,33.43,33.35,33.36,4150
450,33.34,33.42,33.34,33.415,9250
451,33.435,33.435,33.35,33.35,9000
452,33.6099,33.625,33.42,33.44,44818
453,33.7,33.7,33.56,33.598,39189
454,33.64,33.68,33.57,33.67,17299
455,33.64,33.65,33.6,33.6389,12672
456,33.58,33.65,33.57,33.63,12275
457,33.605,33.605,33.54,33.58,4000
458,33.5801,33.6094,33.55,33.605,4060
459,33.48,33.59,33.46,33.59,8750
460,33.45,33.5352,33.44,33.4792,10450
461,33.54,33.54,33.433,33.433,6952
462,33.57,33.57,33.49,33.57,22580
463,33.77,33.8,33.6,33.6,44480
464,33.84,33.85,33.762,33.77,11398
465,33.89,33.89,33.82,33.82,13059
466,33.83,33.92,33.81,33.88,19451
467,33.79,33.84,33.79,33.825,17003
468,33.81,33.84,33.78,33.79,11803
469,33.73,33.83,33.72,33.81,24774
470,33.78,33.78,33.72,33.74,7728
471,33.83,33.84,33.77,33.8,95089
576,34.17,34.17,33.87,33.87,3696
577,33.92,33.92,33.6301,33.6311,14938
578,33.75,33.89,33.5,33.89,37058
579,33.6499,33.77,33.6,33.7201,37548
580,33.65,33.77,33.5705,33.64,32989
581,33.6,33.735,33.5976,33.65,17416
582,33.68,33.7,33.62,33.63,14074
583,33.8899,33.89,33.67,33.67,10300
584,33.93,33.9799,33.88,33.89,19051
585,34.11,34.11,33.86,33.9261,52829
586,34.09,34.15,34.04,34.14,18858
587,34.07,34.15,34,34.082,22818
588,34.12,34.14,34.01,34.08,15125
589,33.94,34.1099,33.94,34.1099,15883
590,33.89,33.98,33.82,33.945,16906
591,33.92,33.95,33.89,33.93,12513
592,34.03,34.03,33.92,33.94,10466
593,33.9792,34.07,33.97,34.03,10971
594,34.05,34.12,33.98,33.98,16991
595,34.055,34.09,34.04,34.07,9317
596,34.06,34.06,34.03,34.05,10736
597,34.11,34.12,34.06,34.06,15017
598,34.15,34.15,34.07,34.12,21601
599,34.14,34.155,34.1299,34.13,42100
600,34.09,34.15,33.98,34.14,15068
601,34.15,34.15,34.07,34.07,8871
602,34.11,34.15,34.1,34.15,24963
603,34.12,34.2,34.1,34.12,23565
604,34.19,34.25,34.1,34.12,19408
