EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493040600,3.74,3.74,3.7,3.7,41635
1,3.5399,3.74,3.53,3.74,247292
2,3.57,3.57,3.5,3.54,137643
3,3.57,3.5937,3.55,3.57,68225
4,3.555,3.57,3.55,3.57,35277
5,3.545,3.56,3.53,3.5557,40889
6,3.506,3.5455,3.5,3.54,150900
7,3.48,3.53,3.48,3.505,120838
8,3.48,3.5,3.47,3.49,143864
9,3.51,3.52,3.47,3.485,177841
10,3.54,3.54,3.515,3.52,14661
11,3.53,3.55,3.52,3.54,49168
12,3.55,3.55,3.53,3.53,15274
13,3.54,3.56,3.53,3.55,39978
14,3.536,3.55,3.53,3.55,22227
15,3.54,3.55,3.535,3.54,36189
16,3.53,3.55,3.53,3.55,45637
17,3.535,3.54,3.53,3.54,25325
18,3.54,3.54,3.535,3.54,5952
19,3.535,3.54,3.53,3.535,2000
20,3.53,3.55,3.53,3.53,32045
21,3.525,3.535,3.5,3.535,71094
22,3.5,3.53,3.5,3.53,67680
23,3.455,3.51,3.455,3.505,119150
24,3.445,3.47,3.425,3.45,130639
25,3.445,3.4699,3.44,3.445,64220
26,3.405,3.445,3.4,3.4401,137280
27,3.4049,3.435,3.4,3.4001,126936
28,3.42,3.42,3.4,3.41,31375
29,3.41,3.42,3.41,3.42,24324
30,3.34,3.4185,3.31,3.415,139187
31,3.2958,3.35,3.27,3.3416,305532
32,3.27,3.31,3.27,3.29,165187
33,3.27,3.29,3.26,3.275,109433
34,3.245,3.27,3.22,3.27,127291
35,3.19,3.25,3.19,3.245,184573
36,3.22,3.24,3.17,3.1901,258537
37,3.2042,3.25,3.2,3.22,188560
38,3.17,3.21,3.15,3.2054,388072
39,3.21,3.21,3.17,3.17,397803
144,3.25,3.25,3.25,3.25,15892
145,3.3,3.3,3.24,3.255,102087
146,3.355,3.38,3.3,3.3,132632
147,3.38,3.42,3.35,3.35,118557
148,3.42,3.42,3.38,3.38,80924
149,3.405,3.43,3.405,3.42,52157
150,3.42,3.42,3.4,3.41,72627
151,3.4,3.4152,3.4,3.4152,40103
152,3.41,3.42,3.4,3.4,81301
153,3.44,3.44,3.41,3.4121,62670
154,3.42,3.44,3.42,3.44,12602
155,3.42,3.43,3.4,3.43,43969
156,3.42,3.42,3.41,3.42,10062
157,3.4201,3.43,3.4101,3.42,21954
158,3.405,3.42,3.4,3.42,36347
159,3.41,3.41,3.4,3.4001,14600
160,3.415,3.42,3.4,3.405,27790
161,3.42,3.42,3.41,3.4101,13138
162,3.415,3.42,3.41,3.42,9520
163,3.4001,3.42,3.4001,3.415,13119
164,3.4,3.41,3.4,3.41,25487
165,3.415,3.42,3.4,3.405,53737
166,3.45,3.45,3.415,3.42,85486
167,3.445,3.45,3.44,3.45,15485
168,3.43,3.45,3.4201,3.45,54323
169,3.42,3.43,3.42,3.43,19300
170,3.438,3.44,3.42,3.42,25672
171,3.4501,3.46,3.435,3.435,81880
172,3.4501,3.46,3.45,3.45,8184
173,3.46,3.46,3.45,3.45,19492
174,3.5,3.5,3.45,3.455,124906
175,3.505,3.52,3.49,3.499,100825
176,3.5,3.51,3.49,3.5001,24495
177,3.48,3.5,3.48,3.49,11426
178,3.481,3.49,3.48,3.4801,12203
179,3.485,3.49,3.48,3.4801,12889
180,3.46,3.48,3.46,3.48,41676
181,3.465,3.47,3.46,3.4601,23881
182,3.465,3.47,3.46,3.47,29114
183,3.48,3.48,3.47,3.47,212046
288,3.47,3.47,3.47,3.47,12182
289,3.44,3.52,3.42,3.4701,38467
290,3.475,3.475,3.4358,3.4358,22760
291,3.49,3.5,3.47,3.48,36072
292,3.5,3.5,3.4747,3.49,15567
293,3.515,3.53,3.49,3.4945,16656
294,3.555,3.555,3.505,3.515,67560
295,3.54,3.55,3.52,3.547,22113
296,3.52,3.54,3.52,3.54,17073
297,3.54,3.55,3.53,3.53,28753
298,3.5475,3.55,3.54,3.5499,12450
299,3.535,3.55,3.51,3.545,63638
300,3.56,3.56,3.5301,3.54,30039
301,3.535,3.56,3.535,3.56,26634
302,3.515,3.54,3.51,3.54,8300
303,3.54,3.54,3.515,3.52,8300
304,3.53,3.54,3.51,3.54,34838
305,3.525,3.535,3.52,3.525,13006
306,3.51,3.53,3.51,3.525,11109
307,3.51,3.52,3.51,3.51,13727
308,3.51,3.53,3.51,3.51,13851
309,3.52,3.52,3.5001,3.51,7332
310,3.5137,3.52,3.5137,3.52,1400
311,3.51,3.52,3.51,3.515,4800
312,3.505,3.5053,3.505,3.505,601
313,3.51,3.51,3.505,3.505,5217
314,3.51,3.52,3.5,3.5,9004
315,3.52,3.52,3.51,3.51,3803
316,3.495,3.5154,3.485,3.5154,24235
317,3.505,3.51,3.495,3.495,8097
318,3.51,3.51,3.5,3.505,14273
319,3.505,3.52,3.5,3.51,18178
320,3.515,3.52,3.5,3.51,13345
321,3.515,3.52,3.5148,3.52,6100
322,3.52,3.52,3.51,3.515,13900
323,3.525,3.53,3.51,3.52,21289
324,3.525,3.53,3.52,3.525,6950
325,3.525,3.53,3.52,3.525,19359
326,3.515,3.53,3.51,3.525,22708
327,3.5,3.52,3.49,3.515,159814
432,3.53,3.53,3.53,3.53,9441
433,3.51,3.5485,3.5,3.53,10930
434,3.5101,3.52,3.5,3.51,20484
435,3.52,3.53,3.51,3.51,9880
436,3.52,3.52,3.51,3.52,4313
437,3.49,3.52,3.48,3.52,32469
438,3.48,3.49,3.48,3.485,8500
439,3.485,3.49,3.48,3.49,10287
440,3.485,3.49,3.48,3.485,6195
441,3.465,3.49,3.46,3.485,29608
442,3.48,3.48,3.46,3.465,21142
443,3.49,3.5,3.47,3.475,39977
444,3.51,3.52,3.49,3.49,37403
445,3.5,3.51,3.49,3.505,6646
446,3.48,3.5,3.475,3.495,11860
447,3.48,3.48,3.47,3.47,1600
448,3.48,3.48,3.47,3.475,10774
449,3.485,3.49,3.475,3.48,5750
450,3.49,3.49,3.48,3.49,4412
451,3.48,3.48,3.47,3.48,13648
452,3.49,3.49,3.47,3.475,8219
453,3.49,3.49,3.4846,3.4856,4750
454,3.4845,3.49,3.4845,3.49,7999
455,3.49,3.49,3.48,3.49,9248
456,3.49,3.49,3.48,3.4845,3699
457,3.49,3.49,3.48,3.49,7254
458,3.485,3.49,3.48,3.485,7383
459,3.465,3.49,3.46,3.485,33564
460,3.45,3.4684,3.44,3.4684,21310
461,3.45,3.45,3.44,3.45,19931
462,3.435,3.45,3.43,3.45,22177
463,3.44,3.44,3.43,3.44,7741
464,3.439,3.44,3.43,3.43,9308
465,3.44,3.44,3.43,3.4382,6535
466,3.44,3.44,3.43,3.44,4940
467,3.435,3.44,3.43,3.44,7974
468,3.44,3.44,3.43,3.435,17888
469,3.435,3.44,3.43,3.435,17748
470,3.435,3.44,3.43,3.435,9345
471,3.42,3.44,3.42,3.435,184246
576,3.44,3.44,3.44,3.44,5062
577,3.42,3.43,3.4,3.4,11402
578,3.41,3.42,3.39,3.42,19631
579,3.375,3.41,3.375,3.405,4695
580,3.36,3.39,3.36,3.375,13898
581,3.3601,3.37,3.36,3.365,7847
582,3.37,3.37,3.36,3.3649,8788
583,3.375,3.38,3.36,3.365,9621
584,3.38,3.38,3.37,3.37,1100
585,3.39,3.39,3.375,3.375,18034
586,3.38,3.39,3.375,3.3819,36630
587,3.38,3.39,3.38,3.39,2200
588,3.39,3.39,3.38,3.38,2810
589,3.37,3.38,3.37,3.38,13279
590,3.38,3.38,3.37,3.37,21436
591,3.39,3.39,3.37,3.38,18500
592,3.39,3.39,3.3844,3.39,3186
593,3.4,3.4,3.39,3.39,13356
594,3.39,3.395,3.385,3.395,6400
595,3.385,3.39,3.38,3.39,6248
596,3.4,3.4,3.38,3.39,11500
597,3.4,3.4,3.3943,3.4,3200
598,3.395,3.4,3.395,3.4,2400
599,3.395,3.4,3.39,3.4,5950
600,3.39,3.39,3.38,3.39,11460
601,3.385,3.39,3.38,3.38,7605
602,3.39,3.39,3.38,3.385,9266
603,3.36,3.39,3.36,3.39,18739
