EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493040600,16.1,16.1,16.1,16.1,10028
1,16.1,16.1,16,16.05,8612
2,16.15,16.15,16,16.05,15750
3,16,16.15,16,16.15,22269
4,16,16.05,15.95,16.025,52970
5,16.05,16.1,16,16.05,4921
6,15.95,16.05,15.95,16,9359
7,15.8375,16,15.825,16,10500
8,15.9,15.95,15.85,15.875,9730
9,15.925,15.95,15.875,15.925,12288
10,15.95,15.95,15.9,15.925,4858
11,16.025,16.025,15.95,15.95,21143
12,16.075,16.1,16.025,16.05,12947
13,16.125,16.15,16.05,16.075,26073
14,16.1,16.15,16.05,16.15,3800
15,16.05,16.1,16.05,16.1,8000
16,16.1,16.125,16.05,16.1,10321
17,16.15,16.15,16.05,16.05,1988
18,16.15,16.2,16.125,16.15,6881
19,16.15,16.15,16.1,16.15,14518
20,16.175,16.25,16.125,16.125,62657
21,16.2,16.25,16.15,16.175,4392
22,16.2162,16.25,16.15,16.25,19166
23,16.2195,16.25,16.2,16.25,3600
24,16.25,16.25,16.2,16.2,7300
25,16.225,16.25,16.2,16.25,11808
26,16.2,16.25,16.175,16.2,12461
27,16.2,16.225,16.2,16.2,3718
28,16.2,16.225,16.15,16.2,6196
29,16.15,16.2,16.15,16.175,4444
30,16.1,16.2,16.1,16.2,11614
31,16.1504,16.2,16.1,16.1,24685
32,16.125,16.175,16.1,16.175,7100
33,16.125,16.125,16.1,16.125,1860
34,16.125,16.15,16.075,16.125,13663
35,16.125,16.15,16.075,16.1,19711
36,16.075,16.1,16.025,16.1,5817
37,16.15,16.15,16.05,16.1,11044
38,16.025,16.15,16,16.125,34005
39,16,16.1,16,16.025,491527
144,16.1,16.15,16.1,16.15,7375
145,16.35,16.35,16,16.25,10021
146,16.313,16.425,16.2,16.3,16345
147,16.4,16.4,16.3,16.4,9272
148,16.4,16.45,16.35,16.4,33147
149,16.35,16.4,16.3,16.4,7200
150,16.375,16.4,16.3041,16.325,5093
151,16.3,16.4,16.275,16.375,10600
152,16.35,16.35,16.25,16.3255,6310
153,16.325,16.35,16.3,16.35,4000
154,16.325,16.35,16.25,16.325,11161
155,16.45,16.45,16.3,16.3,26947
156,16.4,16.45,16.375,16.425,21800
157,16.45,16.45,16.35,16.4001,17132
158,16.425,16.45,16.35,16.4,30587
159,16.4,16.425,16.35,16.425,11593
160,16.45,16.45,16.4,16.425,2800
161,16.4,16.4,16.35,16.4,22414
162,16.35,16.4,16.35,16.35,900
163,16.35,16.4,16.35,16.375,1420
164,16.475,16.5,16.35,16.35,26411
165,16.5,16.5,16.45,16.45,760
166,16.45,16.55,16.45,16.45,16816
167,16.475,16.5,16.45,16.45,2300
168,16.475,16.5,16.45,16.475,4518
169,16.5,16.5,16.45,16.4919,2800
170,16.45,16.5,16.45,16.45,6906
171,16.5,16.5,16.45,16.45,8028
172,16.5,16.55,16.45,16.5,10191
173,16.45,16.525,16.45,16.5,23000
174,16.475,16.5,16.45,16.45,4813
175,16.45,16.5,16.45,16.5,10493
176,16.45,16.5,16.45,16.5,7680
177,16.55,16.575,16.45,16.45,30889
178,16.525,16.6,16.5,16.6,14769
179,16.5,16.55,16.5,16.5,29301
180,16.55,16.55,16.5,16.55,9992
181,16.525,16.55,16.5,16.55,8093
182,16.525,16.55,16.5,16.55,17005
183,16.5,16.55,16.5,16.5,208257
288,16.45,16.45,16.45,16.45,4769
289,16.5,16.55,16.45,16.46,3345
290,16.5,16.5448,16.45,16.5,8250
291,16.475,16.6,16.45,16.55,13555
292,16.425,16.5,16.4,16.4835,8720
293,16.35,16.429,16.35,16.4001,10892
294,16.375,16.3817,16.275,16.35,14976
295,16.3125,16.375,16.3,16.375,13826
296,16.25,16.35,16.25,16.325,17400
297,16.25,16.3,16.2,16.25,13519
298,16.25,16.2931,16.225,16.25,10022
299,16.2,16.25,16.2,16.25,12547
300,16.25,16.275,16.2,16.2,12064
301,16.2,16.3,16.2,16.25,6441
302,16.15,16.225,16.05,16.2,17459
303,16.175,16.2,16.1,16.15,11500
304,16.1999,16.1999,16.1,16.175,9644
305,16.225,16.25,16.15,16.175,10400
306,16.25,16.25,16.175,16.2,12488
307,16.275,16.275,16.2,16.2,11002
308,16.25,16.3,16.25,16.3,8910
309,16.33,16.35,16.25,16.275,25991
310,16.325,16.325,16.3,16.3,8850
311,16.325,16.325,16.3,16.325,6095
312,16.3,16.375,16.3,16.3,17308
313,16.25,16.325,16.25,16.3,22463
314,16.25,16.3,16.2,16.25,20220
315,16.275,16.3,16.2,16.2499,25073
316,16.2,16.25,16.2,16.25,16657
317,16.3,16.325,16.2,16.2,35851
318,16.3,16.35,16.25,16.25,17415
319,16.25,16.35,16.25,16.35,21911
320,16.2999,16.3,16.25,16.3,26161
321,16.3,16.35,16.25,16.25,18305
322,16.4,16.4499,16.3,16.35,17199
323,16.45,16.45,16.35,16.4,23446
324,16.55,16.55,16.4,16.45,27063
325,16.475,16.55,16.475,16.55,43068
326,16.45,16.55,16.4,16.45,76450
327,16.5,16.55,16.4,16.45,182848
432,16.5,16.5,16.5,16.5,5049
433,15.8,16.408,15.5,16.408,89184
434,15.959,16.3,15.875,15.875,38923
435,16.1,16.2,15.95,15.95,72939
436,15.9,16.2,15.875,16.075,23446
437,15.9,16,15.9,15.95,14191
438,15.9,16,15.875,15.9,10311
439,15.8,15.9,15.725,15.9,10442
440,15.6,15.8,15.6,15.8,63926
441,15.625,15.6522,15.5,15.625,47074
442,15.75,15.85,15.6,15.6,31249
443,15.9,15.9,15.7,15.8,32486
444,15.825,15.925,15.75,15.9,21559
445,15.875,15.9,15.8,15.812,7155
446,15.875,15.9,15.8683,15.9,8450
447,15.95,16,15.85,15.9,20432
448,15.95,16,15.925,15.95,4200
449,15.9,16,15.875,15.95,21325
450,15.75,15.95,15.7,15.9167,14458
451,15.65,15.8,15.65,15.75,17714
452,15.75,15.775,15.65,15.7,8696
453,15.7499,15.75,15.725,15.725,950
454,15.701,15.85,15.7,15.75,7097
455,15.825,15.85,15.7,15.725,27299
456,15.75,15.85,15.75,15.8,17180
457,15.65,15.775,15.65,15.775,15158
458,15.65,15.7,15.55,15.675,32397
459,15.625,15.65,15.55,15.65,9086
460,15.6,15.65,15.6,15.625,10484
461,15.6,15.625,15.6,15.6,9858
462,15.625,15.625,15.6,15.6,8864
463,15.575,15.625,15.55,15.6,9409
464,15.575,15.65,15.55,15.575,14207
465,15.575,15.5895,15.55,15.5895,5955
466,15.6,15.6,15.55,15.55,6500
467,15.4,15.6,15.4,15.575,50656
468,15.425,15.45,15.3,15.4,58492
469,15.475,15.575,15.425,15.45,66333
470,15.65,15.7,15.45,15.475,54868
471,15.55,15.7,15.55,15.65,184643
576,15.3,15.3,15.3,15.3,20539
577,15.75,15.7625,15.5,15.5,13522
578,16.3,16.35,15.7,15.75,131450
579,16.25,16.3,16.2,16.3,42288
580,16.2,16.3,16.15,16.25,55883
581,16.25,16.325,16.17,16.2,54640
582,16.25,16.3,16.2,16.25,12984
583,16.375,16.45,16.225,16.225,39200
584,16.525,16.65,16.375,16.375,114114
585,16.425,16.525,16.35,16.5,34809
586,16.4,16.5,16.35,16.425,33830
587,16.4,16.4,16.15,16.4,17800
588,16.375,16.45,16.35,16.4,9975
589,16.3,16.4,16.3,16.4,12329
590,16.35,16.35,16.3,16.35,1400
591,16.35,16.4,16.275,16.3225,32229
592,16.425,16.45,16.35,16.4,8820
593,16.35,16.45,16.35,16.45,6270
594,16.35,16.4,16.35,16.35,6800
595,16.35,16.4,16.35,16.375,4260
596,16.425,16.45,16.35,16.4,10979
597,16.425,16.45,16.4,16.425,4700
598,16.5,16.55,16.4,16.425,65996
599,16.4328,16.5,16.425,16.5,32816
600,16.425,16.45,16.425,16.45,5000
601,16.45,16.45,16.425,16.45,3064
602,16.45,16.45,16.4,16.425,9308
603,16.3,16.45,16.3,16.45,16977
604,16.325,16.35,16.3,16.3248,3000
605,16.35,16.4,16.275,16.325,22135
606,16.25,16.35,16.25,16.35,25500
607,16.275,16.3,16.2,16.25,14397
