EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493040600,5.3,5.3,5.3,5.3,1951
1,5.25,5.3,5.25,5.2687,1800
2,5.3,5.3,5.25,5.25,5536
3,5.35,5.35,5.3,5.35,1600
4,5.3,5.35,5.3,5.3,9400
5,5.3,5.3,5.275,5.3,3700
6,5.275,5.3,5.275,5.3,400
7,5.3,5.3,5.275,5.275,700
8,5.25,5.3,5.2,5.275,8498
9,5.25,5.3,5.25,5.25,1316
10,5.25,5.3,5.225,5.25,5918
11,5.275,5.275,5.225,5.25,1900
12,5.25,5.275,5.225,5.25,4600
13,5.225,5.25,5.2,5.2,939
14,5.25,5.25,5.225,5.25,6100
15,5.25,5.25,5.225,5.25,600
16,5.225,5.25,5.225,5.25,1200
17,5.25,5.25,5.225,5.25,400
18,5.225,5.25,5.15,5.25,15532
19,5.25,5.25,5.2,5.2,900
20,5.2,5.25,5.15,5.225,19251
21,5.2,5.2,5.175,5.2,3900
22,5.2,5.2,5.175,5.175,1000
23,5.2,5.2,5.175,5.175,900
24,5.1,5.2,5.1,5.195,23691
25,5.15,5.15,5.1,5.125,1000
26,5.125,5.15,5.1,5.125,1400
27,5.125,5.15,5.1,5.15,800
28,5.125,5.15,5.1,5.1,800
29,5.125,5.15,5.1,5.1,1600
30,5.15,5.15,5.125,5.125,5100
31,5.15,5.15,5.125,5.15,11961
32,5.15,5.15,5.125,5.15,3200
33,5.15,5.15,5.125,5.15,1629
34,5.2,5.2,5.125,5.15,10361
35,5.225,5.25,5.175,5.175,10400
36,5.25,5.25,5.2,5.225,2265
37,5.15,5.25,5.15,5.25,9170
38,5.2,5.2,5.15,5.175,6957
39,5.15,5.2,5.15,5.175,33925
144,5.2,5.2,5.2,5.2,1310
145,5.2,5.2,5.175,5.175,5900
146,5.2,5.25,5.2,5.2,11892
147,5.2,5.2,5.2,5.2,400
149,5.15,5.2,5.15,5.2,5433
150,5.125,5.15,5.125,5.15,3364
151,5.125,5.15,5.125,5.15,200
152,5.15,5.15,5.1,5.1,300
153,5.225,5.25,5.1153,5.1153,8375
154,5.25,5.25,5.175,5.225,8549
155,5.25,5.25,5.205,5.205,1871
156,5.225,5.25,5.225,5.225,400
157,5.275,5.275,5.25,5.25,3648
158,5.275,5.3,5.275,5.3,500
159,5.3,5.3,5.25,5.3,1700
160,5.275,5.3,5.275,5.275,664
161,5.25,5.25,5.25,5.25,100
162,5.25,5.3,5.25,5.3,1815
163,5.2,5.275,5.2,5.275,5907
164,5.225,5.25,5.2,5.2,1900
165,5.25,5.25,5.225,5.25,400
166,5.25,5.25,5.2,5.25,1100
167,5.25,5.25,5.225,5.25,500
168,5.25,5.25,5.225,5.225,300
169,5.25,5.25,5.225,5.225,800
170,5.25,5.25,5.225,5.25,1600
171,5.25,5.25,5.2,5.25,700
172,5.25,5.25,5.225,5.25,1200
173,5.2,5.3,5.2,5.25,15872
174,5.25,5.25,5.2,5.25,1200
175,5.225,5.25,5.2,5.2,900
176,5.2,5.25,5.2,5.25,800
177,5.25,5.25,5.2,5.225,900
178,5.225,5.25,5.2,5.25,3300
179,5.25,5.25,5.2,5.25,1700
180,5.25,5.25,5.225,5.25,900
181,5.225,5.25,5.205,5.225,3900
182,5.2,5.25,5.2,5.225,9837
183,5.2,5.25,5.2,5.2,33941
288,5.15,5.15,5.15,5.15,753
289,5.25,5.25,5.25,5.25,800
290,5.2,5.25,5.2,5.25,2400
291,5.2,5.25,5.2,5.225,400
292,5.2,5.2,5.2,5.2,300
293,5.15,5.2,5.15,5.2,9539
294,5.175,5.2,5.15,5.15,3494
295,5.175,5.2,5.15,5.15,967
296,5.15,5.2,5.15,5.15,800
297,5.225,5.25,5.15,5.1655,12202
298,5.2,5.25,5.15,5.2,2900
299,5.2,5.2,5.15,5.175,400
300,5.2,5.25,5.15,5.15,3800
301,5.2,5.25,5.2,5.25,1000
302,5.175,5.225,5.15,5.2,5600
303,5.2,5.2,5.15,5.15,4608
304,5.175,5.2,5.155,5.175,3800
305,5.25,5.25,5.195,5.2,6000
306,5.25,5.25,5.2,5.25,505
307,5.2,5.25,5.2,5.2,400
308,5.25,5.25,5.2,5.2,700
309,5.225,5.25,5.2,5.2,400
310,5.225,5.25,5.2,5.2,600
311,5.25,5.25,5.2,5.2,800
312,5.2,5.25,5.2,5.225,600
313,5.225,5.25,5.2,5.25,1400
314,5.225,5.25,5.2,5.2,1646
315,5.2,5.25,5.2,5.225,400
316,5.25,5.25,5.2,5.2,9051
317,5.225,5.25,5.225,5.25,4300
318,5.25,5.25,5.225,5.25,3800
319,5.35,5.35,5.25,5.25,26544
320,5.4,5.4,5.375,5.375,3000
321,5.4131,5.45,5.375,5.375,4799
322,5.35,5.45,5.25,5.45,36699
323,5.325,5.35,5.3,5.325,1600
324,5.325,5.35,5.325,5.35,3500
325,5.3,5.35,5.3,5.35,3500
326,5.275,5.35,5.25,5.35,8805
327,5.25,5.3,5.25,5.275,40265
432,5.25,5.25,5.25,5.25,765
434,5.3,5.314,5.275,5.314,7700
435,5.275,5.3,5.25,5.3,2600
437,5.275,5.275,5.275,5.275,100
438,5.175,5.25,5.15,5.25,10696
439,5.2,5.2,5.2,5.2,400
440,5.2,5.2,5.15,5.15,8500
441,5.2,5.2,5.175,5.175,370
442,5.175,5.2,5.175,5.2,1087
443,5.175,5.2,5.15,5.175,1100
444,5.2,5.2,5.15,5.15,300
445,5.2,5.245,5.15,5.15,11974
446,5.2,5.2,5.2,5.2,200
447,5.2,5.2,5.15,5.2,2478
448,5.175,5.2,5.15,5.15,700
449,5.175,5.2,5.15,5.15,400
450,5.1705,5.175,5.15,5.175,3088
451,5.175,5.2,5.175,5.2,300
452,5.175,5.2,5.15,5.2,800
453,5.175,5.2,5.175,5.175,600
454,5.175,5.2,5.175,5.2,600
455,5.175,5.2,5.175,5.2,2400
456,5.2,5.2,5.175,5.2,600
457,5.2,5.2,5.2,5.2,3800
458,5.225,5.25,5.2,5.2,2607
459,5.2,5.225,5.2,5.2,7430
460,5.2,5.2,5.2,5.2,800
461,5.25,5.25,5.225,5.225,200
462,5.2,5.2,5.2,5.2,100
463,5.25,5.25,5.2,5.25,2600
464,5.225,5.25,5.2,5.25,1006
465,5.25,5.25,5.2,5.25,1200
466,5.25,5.25,5.2,5.25,2400
467,5.25,5.25,5.2,5.225,1900
468,5.25,5.25,5.2,5.225,2000
469,5.25,5.25,5.2,5.25,2700
470,5.25,5.25,5.225,5.25,2900
471,5.3,5.3,5.22,5.25,53534
576,5.3,5.3,5.3,5.3,1929
577,5.3,5.35,5.3,5.3,7233
578,5.25,5.275,5.25,5.25,800
579,5.3,5.3,5.25,5.25,600
580,5.3,5.3,5.3,5.3,200
581,5.275,5.3,5.275,5.3,300
582,5.25,5.3,5.225,5.3,6297
583,5.225,5.25,5.2,5.25,729
584,5.25,5.25,5.2,5.225,1160
585,5.225,5.25,5.225,5.25,700
586,5.25,5.25,5.2,5.25,1439
587,5.25,5.25,5.2,5.2,1100
588,5.25,5.25,5.25,5.25,100
589,5.175,5.25,5.175,5.25,5050
590,5.175,5.2,5.15,5.15,449
591,5.2,5.2,5.175,5.2,1100
592,5.2,5.2,5.175,5.175,300
593,5.1681,5.2,5.15,5.2,1973
594,5.2,5.2,5.175,5.2,800
595,5.2,5.2,5.175,5.175,200
596,5.225,5.25,5.175,5.2,5200
598,5.225,5.25,5.225,5.25,900
599,5.25,5.25,5.2,5.25,400
600,5.225,5.25,5.225,5.25,800
601,5.25,5.25,5.225,5.25,2200
602,5.25,5.25,5.225,5.25,700
603,5.25,5.25,5.2,5.225,1400
604,5.3,5.3,5.225,5.25,12414
605,5.3,5.3,5.275,5.3,2400
606,5.3,5.3,5.275,5.3,500
607,5.3,5.3,5.275,5.3,800
608,5.275,5.3,5.25,5.3,1900
609,5.3,5.3,5.3,5.3,700
610,5.35,5.35,5.275,5.3,4764
611,5.4,5.4,5.325,5.35,6224
612,5.4,5.405,5.35,5.4,10110
613,5.4,5.4,5.375,5.4,2100
