EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493040600,104,104,104,104,27703
1,103.74,104.11,103.62,104,28428
2,103.71,103.83,103.61,103.755,50801
3,103.73,103.8,103.64,103.7,33550
4,103.83,103.89,103.74,103.76,22037
5,103.84,103.84,103.7,103.8,23054
6,103.78,103.91,103.69,103.84,17573
7,103.5,103.79,103.49,103.76,25056
8,103.6,103.6,103.48,103.49,14829
9,103.63,103.6739,103.58,103.581,12873
10,103.55,103.63,103.55,103.63,11689
11,103.32,103.5545,103.32,103.54,33703
12,103.43,103.43,103.28,103.34,41278
13,103.46,103.53,103.39,103.41,16283
14,103.4,103.4601,103.4,103.4601,14792
15,103.48,103.48,103.37,103.4001,93419
16,103.36,103.51,103.34,103.47,84662
17,103.3186,103.42,103.3,103.37,12650
18,103.33,103.34,103.29,103.33,12386
19,103.32,103.34,103.31,103.3266,10719
20,103.17,103.4,103.17,103.31,71434
21,103.17,103.24,103.1,103.18,18104
22,103.285,103.32,103.17,103.17,11853
23,103.33,103.34,103.28,103.29,22336
24,103.38,103.38,103.3,103.311,10829
25,103.42,103.43,103.35,103.38,36519
26,103.39,103.44,103.36,103.43,8948
27,103.37,103.415,103.34,103.4,45848
28,103.38,103.39,103.31,103.38,36700
29,103.48,103.49,103.33,103.39,28830
30,103.53,103.54,103.48,103.49,17674
31,103.55,103.6,103.54,103.54,19572
32,103.57,103.6,103.53,103.53,15839
33,103.69,103.69,103.58,103.58,28016
34,103.87,103.88,103.67,103.68,30008
35,103.87,103.92,103.85,103.88,17990
36,103.94,103.94,103.86,103.88,16655
37,103.92,103.95,103.86,103.93,28963
38,104.03,104.06,103.88,103.92,58767
39,104.14,104.19,104.01,104.03,431266
144,104.14,104.14,104.14,104.14,24395
145,104.5401,104.56,104.0901,104.19,17329
146,104.47,104.52,104.38,104.505,21019
147,104.58,104.58,104.46,104.46,20755
148,104.86,104.885,104.58,104.6,31771
149,104.75,104.86,104.72,104.86,16006
150,104.72,104.8,104.7,104.735,21608
151,104.82,104.85,104.69,104.72,11800
152,104.73,104.83,104.73,104.8159,13247
153,104.77,104.78,104.7,104.73,15283
154,104.87,104.885,104.7486,104.76,16980
155,104.99,104.995,104.87,104.87,23973
156,105.035,105.085,104.97,104.99,34872
157,105.09,105.1,105.01,105.03,34067
158,105.18,105.19,105.055,105.08,29654
159,105.1385,105.18,105.105,105.18,19845
160,104.98,105.14,104.98,105.14,23986
161,104.92,104.98,104.89,104.98,15230
162,104.92,104.96,104.92,104.92,16499
163,104.855,104.94,104.84,104.935,14901
164,104.96,104.96,104.84,104.8584,13965
165,104.95,104.965,104.93,104.96,28947
166,105.055,105.07,104.935,104.94,18966
167,105.09,105.12,105.04,105.05,11423
168,105.09,105.13,105.085,105.1,11557
169,104.97,105.09,104.97,105.09,21052
170,104.99,105.02,104.96,104.97,16929
171,105.03,105.04,104.98,104.985,12801
172,105.11,105.12,104.99,105.03,18445
173,105.14,105.14,105.09,105.105,25850
174,105.15,105.17,105.125,105.14,19741
175,105.17,105.17,105.1219,105.15,24604
176,105.11,105.17,105.1,105.1669,16415
177,105.055,105.12,105.04,105.113,14039
178,105.17,105.17,105.03,105.05,23821
179,105.17,105.18,105.12,105.17,21007
180,105.15,105.19,105.145,105.18,17906
181,105.17,105.21,105.13,105.15,52338
182,105.01,105.22,105.01,105.17,57264
183,105.01,105.06,104.98,105.02,193936
288,105,105,104.31,104.51,17213
289,104.64,104.99,104.59,104.875,23766
290,104.64,104.69,104.44,104.62,47046
291,104.64,104.69,104.55,104.66,31589
292,104.8,104.84,104.59,104.635,27791
293,104.81,104.88,104.79,104.81,24036
294,104.81,104.83,104.69,104.815,29251
295,104.55,104.83,104.55,104.82,26500
296,104.57,104.59,104.45,104.54,20921
297,104.68,104.68,104.55,104.565,13664
298,104.5901,104.75,104.57,104.69,29386
299,104.62,104.67,104.6,104.62,15159
300,104.795,104.83,104.5801,104.6101,30979
301,104.73,104.82,104.73,104.7901,17752
302,104.56,104.74,104.56,104.72,30051
303,104.655,104.68,104.57,104.58,16932
304,104.74,104.75,104.65,104.66,9307
305,104.87,104.88,104.75,104.75,8787
306,104.85,104.88,104.815,104.88,8252
307,104.91,104.92,104.84,104.85,15565
308,104.88,104.955,104.87,104.915,14152
309,105.02,105.03,104.8764,104.8764,16161
310,105.08,105.08,105.01,105.02,49587
311,105.08,105.14,105.03,105.085,22459
312,105.06,105.1253,105.05,105.09,20283
313,105.05,105.07,105.01,105.059,19256
314,104.91,105.11,104.86,105.04,22478
315,104.86,104.976,104.85,104.92,12530
316,104.9,104.91,104.79,104.85,13859
317,104.89,105.0047,104.89,104.909,14707
318,105,105.02,104.8868,104.8868,14302
319,105.03,105.13,104.98,104.99,19671
320,105.087,105.11,105.01,105.03,17437
321,105.05,105.1053,105.045,105.0898,12637
322,105.14,105.14,105.015,105.06,30349
323,105.13,105.15,105.09,105.14,17887
324,105.11,105.15,105.08,105.13,18303
325,105.02,105.1199,105.01,105.119,28354
326,104.965,105.07,104.94,105.01,68275
327,104.86,105,104.86,104.97,268510
432,105.26,105.26,105.26,105.26,22549
433,105.4,105.464,105,105.26,35054
434,105.51,105.52,105.305,105.36,26535
435,105.42,105.5,105.39,105.5,20813
436,105.5199,105.59,105.44,105.44,24982
437,105.61,105.67,105.5153,105.52,27536
438,105.61,105.64,105.58,105.61,20040
439,105.65,105.675,105.59,105.62,22261
440,105.42,105.67,105.42,105.64,19707
441,105.39,105.44,105.3,105.42,19088
442,105.24,105.4,105.21,105.39,18889
443,105.08,105.24,105.08,105.24,14219
444,104.79,105.1,104.79,105.09,27809
445,104.74,104.84,104.74,104.8,30930
446,104.73,104.76,104.65,104.72,49164
447,104.87,104.88,104.71,104.74,10202
448,104.97,104.97,104.86,104.86,6579
449,105.015,105.0499,104.98,104.99,9282
450,105.06,105.06,104.98,105.01,8296
451,105.09,105.09,105.03,105.03,7800
452,105.0842,105.14,105.07,105.11,13454
453,105.21,105.21,105.06,105.09,12739
454,105.1409,105.21,105.13,105.2,18888
455,105.1,105.17,105.1,105.15,16238
456,105.13,105.155,105.11,105.115,11508
457,105.11,105.13,105.09,105.115,13885
458,105.085,105.11,105.04,105.1,9971
459,105.135,105.14,105.08,105.09,13351
460,105.14,105.15,105.12,105.13,11823
461,105.25,105.26,105.13,105.14,15791
462,105.185,105.24,105.13,105.23,27568
463,105.265,105.27,105.17,105.18,27303
464,105.21,105.27,105.21,105.27,23898
465,105.15,105.215,105.14,105.215,14514
466,105.04,105.16,105.01,105.1501,27279
467,105.13,105.16,105.04,105.05,23006
468,105.13,105.14,105.09,105.125,18418
469,105.13,105.2,105.11,105.14,25317
470,105.08,105.15,105.08,105.14,15505
471,105.16,105.19,105.0273,105.08,315286
576,105.18,105.28,105.03,105.03,23292
577,104.78,105.28,104.53,105.1,29006
578,104.61,104.83,104.56,104.82,19175
579,104.54,104.68,104.54,104.64,14483
580,104.4,104.56,104.35,104.56,29146
581,104.55,104.58,104.41,104.41,16907
582,104.42,104.55,104.4,104.55,9940
583,104.47,104.48,104.365,104.4,10164
584,104.4001,104.5,104.39,104.46,11813
585,104.49,104.51,104.39,104.39,10896
586,104.4184,104.5,104.39,104.49,10556
587,104.45,104.47,104.4,104.42,15892
588,104.41,104.45,104.29,104.45,36873
589,104.4,104.42,104.4,104.41,11112
590,104.61,104.61,104.38,104.395,13290
591,104.585,104.63,104.56,104.61,11289
592,104.63,104.68,104.59,104.59,10089
593,104.53,104.64,104.53,104.63,13362
594,104.565,104.58,104.5,104.5301,11013
595,104.545,104.59,104.5,104.57,30798
596,104.575,104.59,104.53,104.54,17655
597,104.5852,104.5852,104.55,104.575,14320
598,104.59,104.61,104.56,104.585,15155
599,104.51,104.5984,104.5,104.5984,13874
600,104.565,104.58,104.51,104.52,8132
601,104.6,104.62,104.555,104.57,14851
602,104.54,104.62,104.52,104.605,15875
603,104.56,104.565,104.53,104.53,14102
604,104.5405,104.56,104.5,104.56,20516
605,104.55,104.56,104.5,104.55,24345
