EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493135400,29.8439,29.8439,29.8439,29.8439,100
6,29.815,29.815,29.815,29.815,100
25,29.85,29.85,29.85,29.85,100
434,29.713,29.713,29.713,29.713,1000
437,29.69,29.69,29.69,29.69,700
449,29.7632,29.7632,29.7632,29.7632,196
878,29.9084,29.9084,29.9084,29.9084,1442
884,29.91,29.91,29.91,29.91,400
a1493739600,30,30,30,30,200
5,30,30,30,30,250
141,29.8123,29.8123,29.8123,29.8123,1500
144,29.8539,29.8539,29.8539,29.8539,300
424,29.8163,29.8163,29.8163,29.8163,1800
a1494354000,30.175,30.175,30.175,30.175,200
429,30.22,30.23,30.22,30.23,1054
a1495049400,30.0398,30.0398,30.0398,30.0398,100
108,29.805,29.805,29.805,29.805,100
135,29.9192,29.9192,29.9192,29.9192,634
138,30.0163,30.0163,30.0163,30.0163,500
273,30.43,30.43,30.43,30.43,100
684,30.45,30.45,30.45,30.45,115
688,30.47,30.47,30.47,30.47,115
a1495651200,30.36,30.3601,30.36,30.3601,647
140,30.48,30.48,30.48,30.48,200
257,30.61,30.61,30.61,30.61,704
839,30.5799,30.5799,30.5799,30.5799,180
852,30.5551,30.5551,30.5551,30.5551,127
993,30.41,30.41,30.41,30.41,648
a1496257200,30.4109,30.4109,30.4109,30.4109,107
132,30.56,30.602,30.56,30.57,8683
150,30.555,30.555,30.555,30.555,100
274,30.835,30.835,30.835,30.835,100
294,30.835,30.835,30.835,30.835,100
688,30.8999,30.8999,30.8999,30.8999,120
702,30.73,30.73,30.73,30.73,126
835,30.794,30.8,30.79,30.79,500
994,30.89,30.9,30.89,30.9,275
a1496928600,31.4,31.4,31.4,31.4,200
6,31.17,31.25,31.17,31.25,200
39,31.41,31.41,31.41,31.41,100
159,31.346,31.3948,31.346,31.3948,1500
577,31.05,31.1,31.05,31.1,600
578,31.08,31.08,31.05,31.07,681
582,31.029,31.029,31.029,31.029,117
720,31.13,31.13,31.13,31.13,200
723,31.0866,31.0866,31.0866,31.0866,210
864,31.18,31.18,31.18,31.18,600
874,31.01,31.01,31.01,31.01,200
875,31.03,31.04,31.03,31.04,1400
876,31.02,31.02,31.02,31.02,16409
877,31.0001,31.0001,31.0001,31.0001,200
881,30.98,30.99,30.98,30.99,405
885,30.98,30.98,30.98,30.98,100
897,30.895,30.9,30.895,30.9,200
903,30.91,30.91,30.91,30.91,100
a1497535800,30.5358,30.5358,30.49,30.49,200
20,30.5528,30.5528,30.5528,30.5528,1178
34,30.61,30.61,30.61,30.61,200
35,30.64,30.64,30.64,30.64,100
744,30.6496,30.6496,30.63,30.63,200
753,30.63,30.63,30.63,30.63,100
a1498149600,30.841,30.841,30.841,30.841,200
157,30.8601,30.87,30.8601,30.87,1500
572,30.95,30.95,30.95,30.95,600
992,30.89,30.89,30.89,30.89,400
a1498765200,30.83,30.83,30.83,30.83,100
110,30.7976,30.7976,30.7976,30.7976,125
539,30.86,30.86,30.86,30.86,120
542,31.015,31.015,31.015,31.015,100
860,31.07,31.07,31.07,31.07,250
