EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493040600,9.15,9.15,9.15,9.15,3668
1,9,9.25,9,9.05,5300
2,9.15,9.15,9.05,9.1,5340
3,9.1363,9.2,9.1363,9.2,600
4,9.1,9.15,9.1,9.116,4253
5,9.125,9.125,9.1,9.1164,5064
6,9.075,9.125,9.05,9.125,1400
7,9.05,9.075,9,9.05,9445
8,9.025,9.05,9,9.005,675
9,9.025,9.025,9,9.025,400
10,9.05,9.05,9,9,2500
11,9.05,9.075,9,9.05,3600
12,9.1,9.1,9.05,9.075,326
13,9.1183,9.15,9.05,9.1,4650
14,9.15,9.15,9.15,9.15,300
15,9.1,9.15,9.1,9.15,2300
16,9.175,9.2,9.1,9.1,2900
17,9.175,9.2,9.15,9.2,3025
18,9.175,9.2,9.15,9.2,800
19,9.2,9.2,9.1701,9.1701,2051
20,9.25,9.25,9.15,9.25,900
21,9.25,9.25,9.2,9.25,1950
22,9.25,9.25,9.2,9.25,4976
23,9.25,9.3,9.25,9.3,1800
24,9.3,9.3,9.25,9.25,800
25,9.3,9.325,9.25,9.25,5070
26,9.275,9.3,9.25,9.3,1100
27,9.275,9.3,9.2696,9.3,1550
28,9.275,9.3,9.275,9.275,500
29,9.35,9.35,9.25,9.25,2800
30,9.225,9.35,9.2,9.35,13945
31,9.2,9.25,9.2,9.2,800
32,9.3,9.3,9.2,9.225,2500
33,9.2,9.275,9.2,9.275,1711
34,9.3,9.3,9.2,9.225,5608
35,9.3,9.3,9.2362,9.25,11180
36,9.25,9.3,9.25,9.275,1700
37,9.35,9.35,9.275,9.3,7593
38,9.35,9.35,9.275,9.325,16003
39,9.3,9.35,9.3,9.325,32578
144,9.4,9.4,9.4,9.4,2710
145,9.5,9.5,9.3,9.3,9793
146,9.6,9.624,9.5,9.5,5981
147,9.65,9.7,9.575,9.597,2700
148,9.65,9.7,9.65,9.65,1000
149,9.65,9.6517,9.6,9.6337,1600
150,9.55,9.683,9.55,9.683,7164
151,9.6,9.6,9.55,9.55,2900
152,9.55,9.6,9.525,9.6,4822
153,9.6,9.625,9.5747,9.5747,1400
154,9.55,9.6,9.525,9.6,1300
155,9.625,9.65,9.575,9.6,2844
156,9.6,9.625,9.55,9.625,1100
157,9.675,9.7,9.65,9.65,1300
158,9.675,9.7,9.65,9.7,800
159,9.65,9.675,9.625,9.675,4200
160,9.625,9.65,9.625,9.65,2650
161,9.6,9.6,9.6,9.6,200
162,9.6,9.625,9.55,9.6,5825
163,9.525,9.55,9.525,9.55,8860
164,9.45,9.5,9.4,9.5,8248
165,9.4,9.45,9.4,9.45,4500
166,9.45,9.45,9.4,9.4,4700
167,9.425,9.45,9.425,9.45,2900
168,9.405,9.405,9.35,9.4,7188
169,9.4,9.475,9.3,9.425,14410
170,9.4,9.4,9.35,9.4,9300
171,9.4,9.4,9.35,9.4,1400
172,9.45,9.45,9.425,9.425,900
173,9.5,9.525,9.45,9.5,4300
174,9.45,9.5,9.45,9.5,500
175,9.5,9.55,9.45,9.45,5910
176,9.525,9.55,9.525,9.525,1200
177,9.5,9.5,9.5,9.5,200
178,9.625,9.65,9.5,9.5,8925
179,9.55,9.65,9.55,9.625,11020
180,9.5,9.55,9.5,9.55,2737
181,9.525,9.525,9.5,9.5,2050
182,9.55,9.6,9.5,9.525,8105
183,9.6,9.65,9.55,9.56,64412
288,9.6,9.6,9.6,9.6,2147
289,9.45,9.55,9.4,9.5,7446
290,9.525,9.55,9.4,9.45,4255
291,9.5,9.55,9.5,9.5,3094
292,9.525,9.525,9.5,9.5,5000
293,9.5,9.55,9.45,9.505,13250
294,9.55,9.55,9.475,9.5,10495
295,9.6,9.6,9.525,9.525,5349
296,9.525,9.575,9.5,9.575,5381
297,9.55,9.6,9.5,9.55,6750
298,9.55,9.6,9.5,9.5,5515
299,9.55,9.625,9.5,9.55,10997
300,9.7,9.7,9.55,9.6,9490
301,9.625,9.675,9.6,9.675,5824
302,9.575,9.625,9.55,9.6,3663
303,9.55,9.6,9.55,9.575,4107
304,9.65,9.65,9.575,9.575,3400
305,9.55,9.675,9.55,9.6,10100
306,9.6106,9.65,9.575,9.6,7049
307,9.625,9.65,9.625,9.625,900
308,9.55,9.65,9.5,9.65,23564
309,9.525,9.55,9.5,9.55,5000
310,9.525,9.55,9.5,9.525,18851
311,9.525,9.55,9.5,9.525,5502
312,9.425,9.525,9.4,9.5,6951
313,9.4,9.425,9.35,9.4,10019
314,9.475,9.5,9.4,9.4,4300
315,9.4,9.475,9.4,9.45,3900
316,9.45,9.45,9.4,9.425,4999
317,9.475,9.5,9.4,9.45,20395
318,9.6,9.6,9.475,9.5,23653
319,9.6,9.6,9.55,9.55,7100
320,9.6,9.6,9.55,9.6,3600
321,9.6,9.6,9.55,9.575,2100
322,9.575,9.65,9.55,9.6,13032
323,9.575,9.625,9.56,9.56,16524
324,9.6,9.65,9.55,9.6,17908
325,9.675,9.75,9.65,9.65,49726
326,9.6,9.7,9.55,9.7,40470
327,9.65,9.65,9.6,9.6,26523
432,9.7,9.7,9.7,9.7,825
433,9.55,9.7,9.55,9.7,1210
434,9.7,9.7,9.55,9.6,2100
435,9.675,9.7,9.65,9.7,1100
436,9.7,9.725,9.65,9.65,4018
437,9.65,9.7,9.6,9.675,7964
438,9.65,9.7,9.575,9.7,2678
439,9.675,9.675,9.65,9.65,800
440,9.7,9.7,9.65,9.7,975
441,9.7,9.7,9.625,9.65,7000
442,9.7,9.7,9.675,9.675,13340
443,9.7396,9.75,9.675,9.7,4617
444,9.725,9.75,9.7,9.75,3450
445,9.675,9.725,9.65,9.7,2250
446,9.65,9.7,9.65,9.675,700
447,9.7,9.7,9.7,9.7,300
448,9.7,9.725,9.675,9.675,4897
449,9.7,9.725,9.7,9.725,200
450,9.725,9.75,9.725,9.75,300
451,9.725,9.725,9.7,9.7,800
452,9.7248,9.725,9.7,9.7,5150
453,9.725,9.725,9.725,9.725,200
454,9.75,9.75,9.7,9.75,5427
455,9.725,9.75,9.725,9.7347,1550
456,9.7,9.75,9.7,9.7,1417
457,9.725,9.75,9.7,9.75,1150
458,9.725,9.725,9.65,9.7,7800
459,9.725,9.75,9.725,9.75,300
460,9.65,9.75,9.65,9.75,9168
461,9.65,9.7,9.65,9.65,3900
462,9.675,9.7,9.65,9.7,1000
463,9.575,9.675,9.55,9.675,11131
464,9.575,9.6,9.55,9.575,1100
465,9.5,9.575,9.5,9.575,2900
466,9.525,9.545,9.475,9.525,6919
467,9.525,9.55,9.5,9.5,1363
468,9.55,9.6,9.525,9.525,8172
469,9.65,9.65,9.575,9.575,11496
470,9.7,9.725,9.625,9.625,26715
471,9.7,9.75,9.65,9.725,46482
576,9.65,9.65,9.65,9.65,2211
577,9.7,9.75,9.66,9.7,2450
578,9.7,9.75,9.7,9.75,1400
579,9.6,9.6997,9.575,9.6997,2900
580,9.6,9.625,9.59,9.59,8072
581,9.575,9.6,9.55,9.575,7450
582,9.5,9.55,9.5,9.55,2400
583,9.55,9.575,9.525,9.525,2700
584,9.55,9.625,9.55,9.575,2400
585,9.55,9.6,9.55,9.55,1591
586,9.576,9.595,9.55,9.575,2430
587,9.5,9.576,9.45,9.55,10715
588,9.525,9.55,9.5,9.55,500
589,9.525,9.55,9.5,9.5,2300
590,9.5266,9.55,9.525,9.55,8049
591,9.5,9.525,9.5,9.5,700
592,9.525,9.55,9.5,9.5,4114
593,9.475,9.5,9.45,9.475,1250
594,9.5,9.5,9.45,9.475,500
595,9.475,9.5,9.45,9.475,2600
596,9.45,9.475,9.45,9.45,300
597,9.45,9.5,9.45,9.45,720
598,9.5,9.55,9.45,9.5,2700
599,9.5,9.55,9.5,9.55,200
600,9.45,9.5,9.45,9.5,1224
601,9.5,9.5,9.45,9.45,4209
602,9.475,9.4892,9.45,9.475,2522
603,9.475,9.525,9.475,9.475,3107
604,9.45,9.45,9.45,9.45,100
605,9.575,9.6,9.45,9.475,6245
606,9.525,9.55,9.5,9.55,9359
607,9.525,9.525,9.525,9.525,200
608,9.525,9.575,9.525,9.55,6800
