EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493040600,4.41,4.41,4.41,4.41,981
1,4.435,4.5,4.41,4.41,8380
2,4.39,4.42,4.39,4.42,200
3,4.4,4.47,4.38,4.38,2764
4,4.47,4.5,4.4,4.46,1164
5,4.53,4.56,4.485,4.485,6213
6,4.515,4.515,4.4821,4.4821,400
7,4.48,4.51,4.48,4.51,800
8,4.4625,4.4625,4.43,4.43,200
9,4.45,4.45,4.45,4.45,200
10,4.435,4.445,4.43,4.43,400
11,4.44,4.44,4.41,4.41,3100
12,4.43,4.48,4.43,4.43,7100
13,4.465,4.465,4.44,4.44,1800
14,4.46,4.48,4.46,4.48,1000
15,4.485,4.49,4.46,4.46,700
16,4.485,4.485,4.47,4.485,1700
17,4.48,4.5,4.47,4.5,1700
18,4.47,4.5,4.47,4.47,1100
19,4.47,4.48,4.47,4.48,800
20,4.485,4.49,4.46,4.46,1800
21,4.485,4.5,4.485,4.4932,3800
22,4.47,4.47,4.47,4.47,1300
23,4.46,4.46,4.46,4.46,100
24,4.46,4.48,4.46,4.46,1100
25,4.45,4.465,4.445,4.46,1400
26,4.45,4.48,4.45,4.48,800
27,4.46,4.46,4.43,4.43,300
28,4.445,4.445,4.43,4.43,200
29,4.44,4.445,4.43,4.43,2880
30,4.45,4.45,4.4348,4.45,708
31,4.44,4.45,4.42,4.435,3100
32,4.42,4.445,4.42,4.43,5500
33,4.435,4.435,4.42,4.42,900
34,4.4457,4.45,4.43,4.435,1200
35,4.455,4.47,4.4355,4.455,3400
36,4.46,4.46,4.44,4.455,3180
37,4.45,4.46,4.45,4.455,2500
38,4.5,4.5,4.45,4.46,39594
39,4.53,4.55,4.5,4.5,9633
144,4.54,4.54,4.54,4.54,1432
145,4.5316,4.61,4.53,4.53,6300
146,4.5,4.5,4.48,4.48,1100
147,4.53,4.53,4.5056,4.5056,3100
148,4.515,4.53,4.51,4.53,3000
149,4.51,4.52,4.5,4.5,3300
150,4.46,4.46,4.46,4.46,100
151,4.46,4.46,4.46,4.46,200
152,4.48,4.48,4.46,4.46,500
153,4.47,4.52,4.47,4.52,600
155,4.53,4.53,4.46,4.47,3100
156,4.55,4.65,4.51,4.51,8942
157,4.5129,4.59,4.5129,4.59,1125
158,4.51,4.54,4.51,4.51,300
159,4.51,4.56,4.51,4.55,1100
160,4.52,4.56,4.52,4.56,300
161,4.58,4.58,4.52,4.52,1600
162,4.6,4.62,4.53,4.54,12000
163,4.55,4.61,4.55,4.55,600
164,4.57,4.62,4.55,4.55,1000
165,4.57,4.61,4.57,4.6,300
166,4.54,4.59,4.54,4.59,900
167,4.54,4.54,4.54,4.54,100
168,4.52,4.57,4.52,4.56,1630
169,4.55,4.6,4.55,4.6,800
170,4.59,4.59,4.55,4.55,800
171,4.53,4.57,4.53,4.55,700
172,4.5,4.57,4.5,4.54,6600
173,4.5,4.55,4.5,4.55,1000
174,4.55,4.57,4.51,4.56,2990
175,4.575,4.59,4.52,4.55,2100
176,4.56,4.59,4.56,4.58,2402
177,4.59,4.59,4.58,4.59,600
178,4.57,4.62,4.57,4.62,800
179,4.65,4.65,4.57,4.61,4500
180,4.64,4.66,4.62,4.63,2600
181,4.61,4.65,4.61,4.61,1700
182,4.62,4.66,4.61,4.63,9920
183,4.59,4.62,4.55,4.62,12590
288,4.58,4.58,4.58,4.58,105
289,4.54,4.54,4.53,4.53,200
290,4.58,4.58,4.54,4.55,1600
291,4.57,4.58,4.5301,4.5301,300
292,4.58,4.58,4.56,4.56,200
293,4.54,4.58,4.51,4.555,3210
294,4.58,4.58,4.52,4.52,1400
295,4.57,4.57,4.5619,4.57,2200
296,4.55,4.57,4.52,4.57,7100
297,4.54,4.57,4.54,4.56,1400
298,4.55,4.565,4.55,4.55,600
299,4.57,4.58,4.55,4.58,600
300,4.69,4.69,4.57,4.57,8995
301,4.6876,4.6876,4.6301,4.65,2150
302,4.705,4.72,4.66,4.69,7480
303,4.7,4.7,4.68,4.68,5600
304,4.77,4.8,4.7,4.7,20398
305,4.79,4.79,4.75,4.75,300
306,4.6701,4.77,4.6701,4.77,1556
307,4.68,4.76,4.68,4.76,300
308,4.7,4.7199,4.6257,4.71,1800
309,4.72,4.75,4.72,4.75,2200
310,4.74,4.75,4.71,4.71,800
311,4.72,4.76,4.72,4.76,1900
312,4.75,4.75,4.7301,4.7341,1100
313,4.74,4.76,4.74,4.76,500
314,4.74,4.77,4.74,4.77,1500
315,4.73,4.75,4.73,4.73,6600
316,4.68,4.7274,4.62,4.635,2600
317,4.67,4.73,4.65,4.71,2100
318,4.69,4.7,4.68,4.69,600
319,4.65,4.69,4.65,4.69,1500
320,4.68,4.69,4.66,4.66,1000
321,4.69,4.69,4.68,4.69,1900
322,4.69,4.7,4.65,4.65,700
323,4.69,4.7,4.68,4.68,3100
324,4.67,4.68,4.58,4.58,2500
325,4.63,4.68,4.63,4.67,3800
326,4.62,4.64,4.6,4.63,4600
327,4.65,4.69,4.61,4.61,10800
432,4.61,4.61,4.61,4.61,1306
433,4.53,4.6,4.46,4.59,1600
434,4.51,4.6,4.51,4.6,2860
435,4.57,4.57,4.57,4.57,100
436,4.6,4.6,4.6,4.6,1300
437,4.67,4.67,4.64,4.64,400
438,4.64,4.66,4.64,4.66,500
439,4.63,4.63,4.63,4.63,400
441,4.61,4.61,4.61,4.61,100
442,4.65,4.66,4.63,4.63,1100
443,4.65,4.65,4.65,4.65,800
444,4.65,4.67,4.65,4.67,400
445,4.655,4.67,4.65,4.65,700
446,4.68,4.68,4.64,4.65,1475
447,4.6407,4.68,4.64,4.65,1690
448,4.68,4.68,4.67,4.67,600
449,4.67,4.68,4.67,4.68,400
450,4.68,4.68,4.67,4.67,7800
451,4.71,4.71,4.69,4.69,2900
452,4.78,4.78,4.73,4.73,2238
453,4.7884,4.79,4.7771,4.79,21400
454,4.81,4.82,4.79,4.79,5222
455,4.82,4.82,4.81,4.81,700
456,4.8621,4.89,4.82,4.82,600
457,4.8601,4.875,4.86,4.875,510
458,4.88,4.88,4.86,4.86,550
460,4.875,4.875,4.875,4.875,200
461,4.88,4.88,4.87,4.872,400
462,4.88,4.88,4.88,4.88,100
463,4.93,4.93,4.88,4.88,5544
464,4.9889,4.99,4.94,4.94,9900
465,4.93,4.95,4.92,4.95,2426
466,4.96,4.96,4.925,4.925,1100
467,4.925,4.95,4.925,4.95,1200
468,4.94,4.94,4.9152,4.925,2544
469,4.9,4.92,4.9,4.92,2100
470,4.9,4.91,4.86,4.88,3932
471,4.85,4.91,4.83,4.8884,6444
576,4.85,4.85,4.85,4.85,478
577,4.9,4.9,4.85,4.85,1021
578,4.72,4.88,4.72,4.88,1540
579,4.8288,4.8288,4.68,4.68,2801
580,4.75,4.85,4.75,4.85,300
581,4.75,4.79,4.75,4.79,300
582,4.81,4.81,4.81,4.81,100
584,4.745,4.81,4.7281,4.81,2400
586,4.76,4.78,4.76,4.78,300
589,4.75,4.76,4.73,4.73,500
590,4.74,4.747,4.74,4.741,1200
591,4.77,4.8,4.76,4.76,900
592,4.78,4.78,4.74,4.74,200
593,4.78,4.78,4.78,4.78,100
595,4.79,4.8,4.75,4.8,300
597,4.8,4.8,4.8,4.8,100
598,4.729,4.79,4.729,4.74,300
600,4.79,4.79,4.79,4.79,200
601,4.73,4.8,4.73,4.75,500
602,4.78,4.78,4.78,4.78,100
603,4.78,4.78,4.7001,4.7001,1300
604,4.71,4.71,4.71,4.71,100
605,4.71,4.71,4.7,4.7,1300
607,4.72,4.7499,4.72,4.72,600
608,4.72,4.72,4.72,4.72,200
609,4.676,4.7497,4.676,4.72,4050
611,4.67,4.71,4.65,4.71,800
612,4.656,4.66,4.656,4.66,600
613,4.69,4.7,4.66,4.66,600
614,4.55,4.66,4.5,4.66,22785
615,4.57,4.62,4.53,4.53,51670
a1493645400,4.56,4.56,4.56,4.56,756
2,4.5,4.5,4.5,4.5,100
3,4.51,4.55,4.51,4.55,2816
4,4.56,4.56,4.505,4.505,600
6,4.52,4.52,4.52,4.52,100
