EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493040600,47.99,47.99,47.69,47.69,3672
1,47.895,48.5,47.36,47.36,19025
2,48.41,48.41,47.77,48.03,11371
3,48.11,48.43,48.06,48.413,8800
4,47.92,48.2,47.755,48.13,24000
5,47.5,47.975,47.35,47.95,17170
6,47.23,47.6,47.23,47.59,35509
7,47.4,47.42,47.08,47.215,12380
8,47.34,47.68,47.34,47.36,17514
9,47.51,47.51,47.28,47.345,5738
10,47.7,47.75,47.44,47.58,13120
11,47.66,47.715,47.48,47.7,10448
12,47.53,47.74,47.53,47.74,4950
13,47.46,47.5675,47.4,47.55,5800
14,47.43,47.52,47.4,47.47,5291
15,47.595,47.595,47.34,47.4,6000
16,47.51,47.69,47.46,47.65,9587
17,47.54,47.54,47.4,47.51,6168
18,47.5,47.57,47.42,47.56,8204
19,47.43,47.55,47.43,47.48,5100
20,47.46,47.6,47.45,47.45,8100
21,47.46,47.51,47.41,47.46,12795
22,47.45,47.5,47.34,47.47,14400
23,47.54,47.54,47.39,47.41,20811
24,47.6833,47.6833,47.53,47.5552,3700
25,47.735,47.83,47.66,47.665,5200
26,47.7,47.78,47.66,47.73,6698
27,47.61,47.73,47.6,47.695,4300
28,47.535,47.67,47.5,47.625,7900
29,47.64,47.725,47.48,47.54,6300
30,47.4,47.65,47.32,47.65,10400
31,47.4,47.48,47.3,47.3,5580
32,47.43,47.44,47.38,47.395,9100
33,47.45,47.545,47.41,47.44,13320
34,47.54,47.6,47.45,47.465,7600
35,47.53,47.65,47.53,47.535,9564
36,47.53,47.55,47.49,47.535,9800
37,47.58,47.64,47.5,47.545,13952
38,47.35,47.58,47.33,47.58,19934
39,47.37,47.485,47.33,47.41,58724
144,48.15,48.15,48.15,48.15,3810
145,48.24,48.355,48.062,48.305,19820
146,48.26,48.35,48.17,48.24,33541
147,48.65,48.83,48.13,48.28,28246
148,48.99,49.15,48.59,48.59,33491
149,48.84,49.15,48.84,49.055,10410
150,48.83,48.95,48.76,48.885,11546
151,49,49.07,48.68,48.87,14895
152,48.9,49.09,48.86,49.04,8197
153,48.89,49,48.8,48.87,10956
154,48.86,48.95,48.79,48.86,9078
155,48.94,48.98,48.76,48.83,5820
156,48.93,48.98,48.91,48.95,5400
157,49.24,49.44,48.88,48.88,29280
158,49.29,49.36,49.14,49.19,4700
159,49.33,49.46,49.265,49.265,6720
160,49.31,49.4,49.295,49.35,5450
161,49.33,49.35,49.22,49.28,24644
162,49.25,49.35,49.11,49.35,8400
163,49.31,49.33,49.23,49.33,5550
164,49.2901,49.41,49.1153,49.3,13801
165,49.34,49.34,49.17,49.2801,6265
166,49.21,49.38,49.205,49.2892,6700
167,49.2,49.33,49.2,49.235,8065
168,49.16,49.21,49.0501,49.21,6764
169,49.24,49.29,49.16,49.16,4100
170,49.34,49.43,49.15,49.22,10044
171,49.38,49.42,49.31,49.34,10885
172,49.72,49.83,49.38,49.38,18324
173,50.04,50.04,49.68,49.71,9706
174,50,50.22,49.99,50.04,12338
175,49.87,50.01,49.83,49.97,8434
176,49.55,49.9,49.4,49.89,16266
177,49.6,49.66,49.5,49.62,5440
178,49.96,50.01,49.63,49.66,14310
179,49.86,50.01,49.86,49.95,21230
180,50.37,50.39,49.92,49.92,37761
181,50.3,50.36,50.21,50.36,40199
182,50.28,50.41,50.19,50.3,52356
183,50.2,50.42,50.09,50.29,195774
288,50.49,50.49,50.19,50.19,4114
289,50.91,50.99,50.33,50.33,19564
290,51.5347,51.59,50.8,50.95,23451
291,50.945,51.6,50.945,51.58,13039
292,50.96,51.01,50.62,50.94,11378
293,51.08,51.09,50.95,50.95,9320
294,51.24,51.24,51.05,51.09,15842
295,51.21,51.27,50.8,51.27,14744
296,51.08,51.204,51.07,51.2,10413
297,51.09,51.26,51.02,51.15,12330
298,50.72,51.055,50.6758,51.05,14825
299,50.8,50.87,50.745,50.76,15266
300,51.1299,51.1299,50.78,50.8,14334
301,51.12,51.13,51.049,51.11,2616
302,50.585,51.09,50.46,51.07,15513
303,50.735,50.76,50.58,50.58,3400
304,50.8,50.825,50.73,50.75,13200
305,50.92,51.0051,50.8,50.815,4100
306,50.85,50.95,50.81,50.91,10770
307,50.75,50.86,50.69,50.84,11387
308,50.705,50.8,50.62,50.72,22000
309,50.77,50.77,50.6,50.68,14169
310,50.77,50.81,50.64,50.75,11220
311,50.82,50.84,50.685,50.77,10200
312,50.75,50.85,50.75,50.82,13339
313,50.7847,50.86,50.76,50.78,11993
314,50.8482,50.95,50.73,50.8,6980
315,50.75,50.9947,50.75,50.88,6600
316,50.58,50.7,50.56,50.7,3300
317,50.56,50.58,50.49,50.55,7700
318,50.68,50.68,50.5125,50.56,6153
319,50.72,50.74,50.65,50.68,13484
320,50.75,50.78,50.7,50.72,12882
321,50.76,50.82,50.73,50.74,5832
322,50.83,50.87,50.71,50.76,10932
323,50.81,51.02,50.81,50.87,19456
324,50.71,50.82,50.59,50.79,19714
325,50.8,50.87,50.64,50.73,23307
326,50.72,50.82,50.5,50.79,20688
327,50.51,50.78,50.47,50.7,90998
432,50.47,50.47,50.47,50.47,3056
433,50.17,50.73,50.01,50.47,21169
434,50.24,50.46,50.12,50.3,28434
435,50.38,50.5,50.17,50.17,13880
436,50.79,50.89,50.42,50.42,6800
437,51.18,51.18,50.73,50.85,8354
438,50.68,51.13,50.51,51.12,15904
439,50.84,50.86,50.66,50.66,4000
440,50.9,50.94,50.78,50.91,14381
441,50.91,50.94,50.78,50.82,6300
442,51.33,51.35,50.85,50.89,11413
443,51.4622,51.5,51.29,51.29,17982
444,51.38,51.49,51.35,51.44,5400
445,51.45,51.45,51.33,51.37,1100
446,51.51,51.58,51.4,51.4001,12334
447,51.75,51.77,51.5,51.5,25223
448,51.45,51.75,51.45,51.6974,18069
449,51.57,51.63,51.445,51.445,3975
450,51.6,51.68,51.54,51.54,2800
451,51.7,51.7,51.55,51.5761,3394
452,51.93,51.93,51.62,51.65,4438
453,51.82,51.92,51.81,51.92,7654
454,51.997,52.02,51.81,51.88,9244
455,52.05,52.07,51.94,51.94,8047
456,52.09,52.09,51.96,51.981,4675
457,51.98,52.08,51.92,52.08,3800
458,51.88,51.995,51.86,51.995,11400
459,51.61,51.875,51.61,51.875,6500
460,51.44,51.665,51.44,51.665,2500
461,51.54,51.54,51.41,51.44,11900
462,51.64,51.655,51.53,51.53,6724
463,51.585,51.63,51.55,51.585,4300
464,51.47,51.63,51.46,51.63,4699
465,51.44,51.52,51.29,51.47,13710
466,51.285,51.43,51.285,51.395,7689
467,51.03,51.33,51.03,51.32,9781
468,51.115,51.14,50.975,51.01,12850
469,50.895,51.12,50.81,51.12,17356
470,51.0201,51.05,50.895,50.895,18438
471,50.91,51.06,50.81,51.03,71335
576,50.85,50.85,50.85,50.85,1131
577,51.03,51.2,50.61,50.91,14230
578,51.31,51.33,51.11,51.158,1500
579,50.8101,51.28,50.8101,51.1999,6250
580,50.6,51.03,50.6,50.92,7100
581,50.38,50.69,50.23,50.69,2700
582,50.1,50.47,50.1,50.41,5629
583,50.25,50.28,50.08,50.12,6107
584,50.2,50.36,50.176,50.29,3900
585,50.58,50.58,50.16,50.16,4800
586,50.45,50.69,50.45,50.66,3058
587,50.4,50.43,50.27,50.43,4883
588,50.42,50.42,50.37,50.38,1600
589,50.21,50.41,50.15,50.41,5800
590,50.12,50.205,50.04,50.205,7379
591,50.21,50.21,50.11,50.11,1900
592,50.425,50.45,50.18,50.19,4300
593,50.25,50.36,50.25,50.3526,700
594,50.24,50.31,50.2,50.26,7628
595,50.21,50.28,50.19,50.26,2500
596,50.31,50.31,50.18,50.18,3800
597,50.3408,50.41,50.3408,50.35,800
598,50.38,50.47,50.38,50.41,2400
599,50.22,50.39,50.21,50.39,5200
600,50.005,50.21,49.95,50.21,14204
601,50.16,50.16,49.917,49.95,4302
602,50.02,50.1,50.01,50.09,2300
603,49.95,50.08,49.95,50.02,4970
604,49.86,49.9845,49.82,49.92,6300
605,49.83,49.88,49.669,49.87,7700
