EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493040600,7.03,7.03,7.03,7.03,100
1,7.15,7.15,7.14,7.14,5100
2,7.1,7.3496,7.05,7.2,2822
3,7.05,7.05,7.05,7.05,200
5,7,7,7,7,500
6,7.0798,7.0798,7.0798,7.0798,925
8,6.918,7.0949,6.918,7.0949,600
11,6.97,6.97,6.97,6.97,200
13,6.99,6.99,6.99,6.99,100
14,6.96,6.99,6.96,6.99,200
20,7.0541,7.09,7.0541,7.06,1196
25,7.02,7.0407,7.02,7.0407,220
26,7.0096,7.03,7.0096,7.02,800
36,7.0154,7.0154,7.0154,7.0154,700
37,6.9973,6.9973,6.9973,6.9973,600
38,6.99,6.99,6.99,6.99,5323
39,6.9999,7,6.9999,7,600
145,7.21,7.21,7.21,7.21,100
147,7.06,7.06,6.99,7.05,3100
148,7,7,7,7,600
149,7.03,7.03,7.03,7.03,500
151,7.09,7.09,7.07,7.08,800
152,7.05,7.075,7.05,7.075,600
153,7.06,7.06,7.06,7.06,100
161,7.11,7.11,7.11,7.11,100
162,7.065,7.065,7.065,7.065,900
164,7.04,7.05,7.0268,7.0268,738
167,6.96,7.02,6.96,7.01,6400
168,6.9,6.96,6.9,6.96,1850
170,6.915,6.915,6.915,6.915,100
173,6.92,6.925,6.92,6.925,900
174,6.94,6.96,6.94,6.96,500
177,6.9,6.95,6.9,6.95,3200
179,6.875,6.875,6.875,6.875,700
180,6.88,6.88,6.88,6.88,100
182,6.9,6.9,6.9,6.9,100
183,6.9,6.9,6.9,6.9,1000
295,6.9949,6.9949,6.9949,6.9949,500
296,6.985,7.02,6.985,7.02,1000
298,6.88,6.98,6.88,6.98,1200
301,6.95,6.95,6.95,6.95,600
303,6.95,6.95,6.9397,6.9397,535
305,6.95,6.95,6.94,6.94,1300
306,6.955,6.955,6.955,6.955,500
309,6.965,6.965,6.965,6.965,100
311,6.94,6.94,6.94,6.94,200
313,6.965,6.965,6.965,6.965,400
314,6.9901,6.9901,6.9901,6.9901,100
315,6.9,6.9501,6.89,6.95,2000
316,6.87,6.89,6.82,6.89,6000
322,6.8581,6.8581,6.8581,6.8581,150
323,6.88,6.88,6.87,6.87,200
326,6.95,6.95,6.92,6.92,623
327,6.95,6.95,6.92,6.93,400
432,6.96,6.96,6.96,6.96,100
433,6.96,6.96,6.96,6.96,900
434,7,7,6.94,6.94,300
437,6.8917,6.9504,6.85,6.9504,1814
438,6.9035,6.9299,6.9035,6.9299,1600
439,6.8746,6.8746,6.8746,6.8746,350
440,6.85,6.85,6.85,6.85,300
441,6.88,6.88,6.86,6.86,300
442,6.91,6.91,6.91,6.91,100
445,6.88,6.88,6.88,6.88,100
446,6.9221,6.9221,6.9221,6.9221,445
449,6.92,6.93,6.89,6.89,300
451,6.9197,6.9197,6.9197,6.9197,2240
452,6.89,6.89,6.89,6.89,100
453,6.898,6.898,6.89,6.89,1000
454,6.93,6.93,6.93,6.93,100
457,6.9,6.9,6.9,6.9,100
460,6.9799,6.9799,6.9799,6.9799,114
461,6.95,6.968,6.95,6.968,804
462,6.96,6.96,6.96,6.96,600
463,6.98,6.98,6.94,6.95,1600
466,6.99,6.99,6.98,6.98,200
467,7,7,7,7,100
469,6.998,6.998,6.998,6.998,250
470,6.98,6.98,6.98,6.98,200
471,6.96,7.01,6.91,6.96,1156
579,7.09,7.09,7.01,7.051,1296
580,7.08,7.109,7.08,7.109,800
581,7.09,7.09,7.09,7.09,100
584,7.0001,7.0001,7.0001,7.0001,350
588,7.025,7.025,7.025,7.025,100
594,7,7,7,7,200
595,7.04,7.04,7.04,7.04,500
602,7.1078,7.13,7.1078,7.12,2113
603,7.11,7.11,7.01,7.0101,1100
604,7.01,7.011,7.01,7.011,1000
607,7.12,7.12,7.12,7.12,100
613,7.11,7.11,7.11,7.11,100
615,7.15,7.15,7.09,7.09,3400
a1493646600,7.2294,7.2294,7.1139,7.1139,2547
1,7.21,7.25,7.02,7.05,3281
3,7.2817,7.2817,7.271,7.271,1299
4,7.25,7.27,7.24,7.27,300
5,7.21,7.22,7.21,7.22,2260
6,6.97,7.16,6.97,7.158,2600
7,7.06,7.06,7.05,7.06,400
8,6.92,7.0882,6.92,7.06,1800
10,7.05,7.05,7.05,7.05,200
11,7.04,7.04,7.04,7.04,100
12,7.07,7.07,7.07,7.07,100
13,7.04,7.04,7.04,7.04,600
14,6.98,7,6.98,7,200
16,6.97,6.97,6.97,6.97,100
17,6.85,6.92,6.85,6.9,1000
19,6.85,6.88,6.85,6.86,2200
20,6.8638,6.8638,6.8638,6.8638,100
21,6.89,6.89,6.85,6.88,300
23,6.71,6.875,6.71,6.86,5483
24,7.01,7.05,6.7676,6.78,4450
25,7.15,7.15,7.12,7.12,300
26,7.19,7.19,7.19,7.19,100
27,7.1795,7.1795,6.9413,6.9413,1305
29,7.0921,7.0921,6.95,7.01,653
30,7.0928,7.0928,6.9,7,1100
31,6.89,6.9,6.88,6.9,300
32,6.91,6.92,6.9,6.92,300
33,7.0021,7.0021,7.0021,7.0021,200
34,6.85,6.85,6.85,6.85,100
37,6.86,6.86,6.85,6.85,200
142,6.76,6.76,6.76,6.76,1034
143,6.7712,6.7712,6.7712,6.7712,1100
144,6.88,6.88,6.7712,6.7712,2100
145,6.87,6.8752,6.87,6.8752,385
146,6.7813,6.8718,6.7813,6.8718,1647
148,6.9,6.9,6.8229,6.8229,390
150,6.9201,6.9244,6.9201,6.9244,1490
152,6.92,6.92,6.92,6.92,200
158,6.78,6.8,6.78,6.8,2100
159,6.69,6.7,6.64,6.7,900
160,6.5523,6.5523,6.51,6.5208,3922
162,6.79,6.79,6.79,6.79,100
170,6.89,6.89,6.75,6.75,1000
175,6.705,6.745,6.705,6.745,9700
177,6.57,6.65,6.57,6.65,2812
178,6.5812,6.5812,6.5812,6.5812,1000
179,6.57,6.74,6.57,6.74,398
180,6.5501,6.56,6.5501,6.56,895
181,6.68,6.78,6.6,6.601,1558
286,6.66,6.66,6.66,6.66,104
291,6.58,6.625,6.53,6.54,5500
292,6.68,6.68,6.6,6.6,3400
293,6.73,6.78,6.63,6.63,2500
295,6.89,7,6.75,6.75,1800
296,6.73,6.9,6.69,6.9,3100
298,6.75,6.75,6.7,6.7,700
300,6.71,6.725,6.7076,6.7076,1500
303,6.74,6.74,6.74,6.74,100
314,6.74,6.74,6.74,6.74,300
317,6.53,6.71,6.53,6.71,7200
318,6.53,6.53,6.53,6.53,100
319,6.53,6.53,6.53,6.53,100
320,6.55,6.61,6.55,6.61,400
321,6.55,6.55,6.55,6.55,100
322,6.55,6.55,6.55,6.55,300
324,6.57,6.57,6.55,6.55,400
325,6.63,6.66,6.63,6.66,800
430,6.66,6.66,6.66,6.66,101
433,6.65,6.65,6.65,6.65,100
437,6.5764,6.5764,6.57,6.57,1100
438,6.57,6.57,6.57,6.57,570
443,6.6,6.6,6.6,6.6,100
447,6.62,6.62,6.62,6.62,100
448,6.6001,6.6001,6.6,6.6,1200
452,6.6,6.605,6.56,6.6,1783
453,6.57,6.6,6.57,6.5973,1370
454,6.55,6.57,6.55,6.57,236
455,6.55,6.55,6.55,6.55,200
457,6.56,6.56,6.56,6.56,100
464,6.57,6.57,6.55,6.55,300
465,6.5686,6.5686,6.5686,6.5686,100
466,6.59,6.59,6.56,6.57,800
467,6.6065,6.6065,6.6058,6.6058,200
468,6.6153,6.66,6.5922,6.6244,1200
469,6.59,6.6923,6.58,6.5998,2300
574,6.62,6.62,6.62,6.62,600
578,6.71,6.71,6.71,6.71,100
582,6.6703,6.6703,6.6703,6.6703,170
583,6.62,6.73,6.6,6.6,2900
584,6.52,6.68,6.52,6.67,4350
585,6.59,6.59,6.56,6.56,500
595,6.57,6.57,6.57,6.57,100
597,6.59,6.59,6.59,6.59,500
598,6.5507,6.59,6.5507,6.59,600
601,6.59,6.59,6.59,6.59,100
608,6.55,6.55,6.55,6.55,100
609,6.56,6.56,6.56,6.56,100
611,6.54,6.54,6.54,6.54,100
612,6.53,6.53,6.53,6.53,100
