EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493040600,6.7,6.7,6.65,6.65,23710
1,6.71,6.71,6.68,6.7,4032
2,6.695,6.72,6.69,6.71,24409
3,6.705,6.71,6.69,6.7,6923
4,6.71,6.71,6.7,6.705,7950
5,6.695,6.705,6.685,6.7,22057
6,6.695,6.7,6.685,6.695,11790
7,6.68,6.7,6.675,6.695,23481
8,6.675,6.68,6.67,6.68,8561
9,6.69,6.695,6.68,6.68,19491
10,6.68,6.7,6.68,6.695,17040
11,6.685,6.7,6.68,6.685,29033
12,6.6857,6.69,6.6801,6.685,4768
13,6.69,6.69,6.68,6.68,11466
14,6.695,6.7,6.68,6.6862,17162
15,6.692,6.7,6.69,6.695,2581
16,6.695,6.7,6.69,6.6939,5200
17,6.69,6.7,6.69,6.6901,9480
18,6.69,6.7,6.69,6.6952,1900
19,6.7,6.7,6.69,6.695,4880
20,6.69,6.7,6.69,6.6999,3571
21,6.6942,6.7,6.69,6.695,9200
22,6.69,6.695,6.69,6.695,1100
23,6.695,6.695,6.69,6.6945,1300
24,6.7,6.7,6.69,6.695,8190
25,6.695,6.7,6.69,6.695,2345
26,6.69,6.7,6.69,6.695,3900
27,6.695,6.695,6.69,6.69,3878
28,6.695,6.7,6.69,6.69,10022
29,6.7,6.71,6.695,6.7,7186
30,6.7,6.71,6.695,6.71,20766
31,6.705,6.7099,6.7031,6.705,2559
32,6.69,6.705,6.69,6.705,13317
33,6.6936,6.6936,6.69,6.69,3000
34,6.68,6.691,6.68,6.69,16756
35,6.685,6.69,6.68,6.681,3840
36,6.7,6.7,6.68,6.6899,56952
37,6.699,6.7,6.69,6.695,6706
38,6.69,6.7,6.69,6.695,11529
39,6.68,6.7,6.68,6.695,84611
144,6.72,6.72,6.72,6.72,44599
145,6.725,6.73,6.72,6.72,6513
146,6.72,6.74,6.72,6.73,13284
147,6.715,6.72,6.711,6.711,2600
148,6.7256,6.73,6.7135,6.72,4072
149,6.71,6.7299,6.71,6.725,18247
150,6.71,6.71,6.7001,6.71,4820
151,6.71,6.71,6.7,6.705,9427
152,6.71,6.71,6.7001,6.71,2850
153,6.71,6.72,6.705,6.71,17533
154,6.715,6.7199,6.71,6.71,12231
155,6.72,6.72,6.7101,6.7101,4649
156,6.715,6.72,6.71,6.72,16011
157,6.715,6.72,6.71,6.715,18117
158,6.72,6.72,6.715,6.715,3103
159,6.715,6.72,6.7101,6.72,10146
160,6.72,6.72,6.7138,6.715,8020
161,6.72,6.72,6.7101,6.72,9000
162,6.715,6.72,6.71,6.72,6163
163,6.715,6.72,6.71,6.715,6023
164,6.715,6.715,6.71,6.715,7764
165,6.72,6.72,6.715,6.715,2800
166,6.72,6.72,6.715,6.72,4235
167,6.715,6.72,6.7101,6.72,8725
168,6.72,6.72,6.7116,6.7119,4175
169,6.715,6.72,6.7122,6.72,13180
170,6.71,6.72,6.71,6.715,3187
171,6.715,6.72,6.715,6.715,3425
172,6.715,6.72,6.7101,6.715,11254
173,6.72,6.72,6.715,6.72,3800
174,6.72,6.72,6.71,6.72,7631
175,6.72,6.72,6.71,6.715,4108
176,6.715,6.72,6.71,6.71,3857
177,6.72,6.72,6.71,6.715,8596
178,6.715,6.72,6.7101,6.715,12230
179,6.705,6.715,6.7,6.715,53373
180,6.695,6.705,6.685,6.705,31550
181,6.695,6.7,6.685,6.695,12928
182,6.695,6.7,6.69,6.695,17413
183,6.7,6.7,6.69,6.695,74130
288,6.72,6.72,6.72,6.72,23170
289,6.72,6.735,6.68,6.72,48445
290,6.74,6.74,6.71,6.715,15731
291,6.73,6.74,6.73,6.7301,4350
292,6.735,6.74,6.7349,6.735,9000
293,6.76,6.76,6.73,6.74,50223
294,6.76,6.76,6.75,6.76,8901
295,6.75,6.76,6.75,6.755,8698
296,6.745,6.76,6.74,6.755,7685
297,6.745,6.75,6.74,6.7426,28309
298,6.76,6.76,6.74,6.75,22267
299,6.755,6.76,6.75,6.755,6500
300,6.77,6.77,6.75,6.7563,225477
301,6.8,6.8,6.76,6.765,41778
302,6.77,6.8,6.77,6.8,36058
303,6.775,6.78,6.7701,6.775,14474
304,6.775,6.78,6.77,6.7701,3600
305,6.78,6.78,6.77,6.775,2329
306,6.745,6.78,6.7401,6.78,13104
307,6.745,6.75,6.74,6.745,10274
308,6.75,6.75,6.7401,6.7458,8535
309,6.745,6.75,6.745,6.75,3300
310,6.76,6.76,6.74,6.75,43420
311,6.76,6.765,6.755,6.76,12454
312,6.75,6.755,6.75,6.7501,20253
313,6.75,6.7535,6.74,6.7514,15732
314,6.7447,6.76,6.74,6.75,12232
315,6.76,6.76,6.74,6.7425,20227
316,6.7535,6.76,6.7501,6.755,7300
317,6.76,6.76,6.75,6.755,3597
318,6.76,6.76,6.75,6.755,5731
319,6.76,6.76,6.7535,6.755,4114
320,6.76,6.76,6.7501,6.76,4820
321,6.73,6.76,6.73,6.755,37112
322,6.74,6.75,6.73,6.73,10375
323,6.745,6.75,6.74,6.745,6300
324,6.73,6.75,6.72,6.749,34920
325,6.72,6.735,6.72,6.73,14821
326,6.72,6.73,6.72,6.72,9990
327,6.7,6.73,6.7,6.725,156423
432,6.74,6.74,6.74,6.74,21493
433,6.71,6.73,6.685,6.71,49506
434,6.73,6.73,6.69,6.7,29448
435,6.735,6.745,6.73,6.73,12169
436,6.73,6.74,6.73,6.74,5300
437,6.74,6.74,6.73,6.73,7750
438,6.74,6.74,6.7301,6.74,5404
439,6.76,6.76,6.731,6.731,73287
440,6.765,6.77,6.755,6.76,15587
441,6.7601,6.7655,6.755,6.765,51018
442,6.761,6.769,6.76,6.769,7483
443,6.76,6.769,6.76,6.7664,10817
444,6.765,6.77,6.76,6.765,5266
445,6.7667,6.7667,6.76,6.765,4100
446,6.76,6.768,6.75,6.768,33916
447,6.7555,6.759,6.75,6.7584,5425
448,6.762,6.77,6.755,6.755,7213
449,6.76,6.77,6.76,6.76,2600
450,6.76,6.765,6.76,6.765,3940
451,6.7654,6.7654,6.76,6.765,3210
452,6.765,6.765,6.761,6.765,2000
453,6.765,6.77,6.765,6.765,1740
454,6.765,6.77,6.76,6.77,10549
455,6.765,6.7699,6.7601,6.7601,4500
456,6.77,6.77,6.76,6.765,4050
457,6.765,6.769,6.76,6.765,27861
458,6.7625,6.77,6.76,6.765,53091
459,6.75,6.765,6.75,6.76,14728
460,6.75,6.76,6.75,6.75,25300
461,6.75,6.76,6.75,6.755,9172
462,6.7536,6.76,6.75,6.75,5968
463,6.765,6.765,6.7515,6.7547,25452
464,6.76,6.77,6.76,6.77,1900
465,6.765,6.77,6.76,6.77,6076
466,6.77,6.77,6.765,6.77,9175
467,6.765,6.765,6.76,6.765,2975
468,6.76,6.7699,6.76,6.765,18810
469,6.765,6.7699,6.76,6.765,13390
470,6.755,6.765,6.75,6.76,19712
471,6.76,6.76,6.75,6.755,73466
576,6.76,6.76,6.76,6.76,15839
577,6.76,6.78,6.75,6.76,25535
578,6.77,6.77,6.75,6.76,19591
579,6.795,6.8,6.775,6.7799,4950
580,6.77,6.795,6.765,6.795,37918
581,6.77,6.77,6.76,6.7699,10701
582,6.7599,6.77,6.7599,6.77,10781
583,6.7599,6.76,6.75,6.75,5595
584,6.75,6.76,6.74,6.76,24868
585,6.75,6.755,6.745,6.745,21506
586,6.75,6.75,6.7401,6.75,3364
587,6.75,6.75,6.74,6.75,8756
588,6.7402,6.75,6.731,6.75,27875
589,6.73,6.75,6.72,6.75,20024
590,6.735,6.74,6.73,6.73,5695
591,6.735,6.745,6.73,6.74,14759
592,6.735,6.74,6.7331,6.735,2500
593,6.7499,6.75,6.74,6.74,5955
594,6.7435,6.76,6.7411,6.7499,19452
595,6.75,6.75,6.74,6.7493,10293
596,6.755,6.76,6.75,6.75,10550
597,6.7552,6.76,6.75,6.76,11029
598,6.745,6.76,6.74,6.7507,23517
599,6.7468,6.75,6.74,6.745,11173
600,6.7575,6.7675,6.745,6.75,13230
601,6.755,6.755,6.75,6.75,2113
602,6.75,6.7599,6.75,6.755,7150
