EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493040600,29.95,29.95,29.95,29.95,100
1,29.7,29.7,29.7,29.7,100
5,29.9,29.9,29.9,29.9,100
6,30.19,30.19,30.19,30.19,200
10,30.345,30.345,30.345,30.345,100
14,30,30,30,30,100
17,30.2,30.2,30.2,30.2,100
18,30.26,30.26,30.26,30.26,400
22,30.25,30.25,30.25,30.25,203
28,30.35,30.35,30.35,30.35,100
30,30.16,30.16,30.16,30.16,1000
36,30.275,30.275,30.275,30.275,400
37,30.2,30.3,30.2,30.3,596
39,30.25,30.3,30.2,30.3,632
144,30.3,30.3,30.3,30.3,101
145,30.4,30.4,30.4,30.4,200
146,30.35,30.4,30.35,30.4,200
147,30.2,30.2232,30.2,30.2,600
152,30.2329,30.2329,30.2,30.2,200
162,30.1,30.2015,30.1,30.2015,200
167,30.2,30.2,30.2,30.2,100
171,30.2,30.2,30.084,30.084,1600
176,30.0375,30.0776,30,30.05,1731
177,30.15,30.15,30.15,30.15,400
181,30.1,30.1,30.1,30.1,300
182,30.05,30.05,30.05,30.05,100
183,29.95,29.955,29.95,29.955,752
288,30.05,30.05,30.05,30.05,113
290,29.9,29.9,29.9,29.9,400
299,30.05,30.05,30.05,30.05,100
300,30.05,30.05,30.05,30.05,100
303,30.1,30.1,30.05,30.05,700
304,30.1,30.15,30.05,30.1,2000
305,30.1,30.1,30.05,30.1,500
306,30.1,30.1,30.1,30.1,100
307,30.15,30.15,30.15,30.15,200
312,30.125,30.125,30.125,30.125,200
313,30.125,30.125,30.125,30.125,500
316,30.15,30.15,30.15,30.15,200
318,30.15,30.15,30.15,30.15,100
319,30.15,30.15,30.15,30.15,200
320,30.15,30.15,30.15,30.15,100
326,30.125,30.125,30.125,30.125,500
327,30.1,30.15,30.1,30.15,1275
432,30.2,30.2,30.2,30.2,528
433,30.2,30.2,30.2,30.2,142
434,30.2,30.2,30.2,30.2,200
449,30,30.05,30,30,1059
452,30,30.1,30,30,400
453,30.1,30.1,30.1,30.1,100
464,30.075,30.075,30.075,30.075,100
471,30.1,30.1,30.05,30.05,787
576,30.05,30.05,30.05,30.05,100
579,29.925,29.925,29.925,29.925,200
598,29.875,29.875,29.875,29.875,160
607,29.915,29.915,29.915,29.915,145
612,29.8839,29.9,29.8839,29.9,200
615,29.95,29.95,29.9,29.9,793
a1493645400,29.9,29.9,29.9,29.9,214
2,29.7,29.8,29.7,29.8,683
3,29.55,29.55,29.55,29.55,100
4,29.45,29.45,29.45,29.45,100
6,29.35,29.35,29.35,29.35,100
7,29.45,29.45,29.35,29.35,1752
8,29.5,29.55,29.475,29.475,402
9,29.35,29.5,29.35,29.45,1100
10,29.4,29.4,29.25,29.35,1000
12,29.35,29.4739,29.35,29.4,2234
15,29.325,29.325,29.325,29.325,800
16,29.325,29.325,29.325,29.325,300
17,29.325,29.325,29.325,29.325,638
18,29.4,29.4,29.325,29.325,500
20,29.35,29.35,29.35,29.35,800
22,29.35,29.35,29.35,29.35,911
24,29.35,29.35,29.35,29.35,300
25,29.35,29.35,29.35,29.35,300
26,29.4,29.4,29.35,29.35,800
27,29.35,29.35,29.35,29.35,100
28,29.35,29.35,29.35,29.35,400
29,29.5,29.5,29.4,29.4,637
30,29.45,29.45,29.45,29.45,100
32,29.45,29.45,29.45,29.45,100
37,29.5,29.5,29.5,29.5,100
38,29.65,29.65,29.65,29.65,100
39,29.7,29.7,29.7,29.7,302
146,29.6,29.6,29.55,29.55,442
154,29.75,29.75,29.75,29.75,300
158,29.85,29.85,29.85,29.85,100
180,29.9,29.9,29.85,29.9,400
181,29.7,29.7,29.7,29.7,100
183,29.9,29.9,29.9,29.9,609
298,29.7,29.7,29.7,29.7,100
305,29.9,29.9,29.85,29.85,476
311,29.7157,29.9,29.7157,29.9,240
319,29.7,29.7,29.7,29.7,100
322,29.95,29.95,29.75,29.75,1053
324,29.95,29.95,29.95,29.95,357
327,29.75,30,29.75,30,740
440,29.85,29.85,29.85,29.85,100
441,29.85,29.95,29.85,29.95,200
447,29.95,29.95,29.9,29.9,200
449,29.85,29.85,29.767,29.767,600
462,29.75,29.75,29.75,29.75,140
464,29.75,29.75,29.75,29.75,500
467,29.8,29.8,29.8,29.8,100
468,29.8,29.825,29.8,29.8,379
608,29.85,30,29.85,29.9,1475
611,30,30,30,30,100
612,30,30,30,30,100
614,30.15,30.15,30,30,3086
615,30.25,30.25,30.25,30.25,529
a1494250200,30.15,30.15,30.15,30.15,300
1,30.2,30.2,30.2,30.2,200
25,30.375,30.375,30.375,30.375,1000
34,30.3,30.4,30.25,30.4,1000
38,30.25,30.25,30.25,30.25,100
39,30.3,30.3,30.15,30.15,260
144,30.3,30.3,30.3,30.3,205
145,29.77,29.77,29.77,29.77,100
150,29.95,29.95,29.95,29.95,100
154,30.2275,30.25,30.15,30.245,903
166,30.3,30.3,30.3,30.3,1608
167,30.5,30.5,30.4,30.4,3100
171,30.4,30.4,30.4,30.4,100
172,30.4,30.4,30.4,30.4,200
175,30.4,30.4,30.4,30.4,200
176,30.5,30.5,30.5,30.5,266
177,30.41,30.5,30.4,30.45,1500
178,30.5,30.5,30.5,30.5,407
179,30.4,30.4,30.4,30.4,100
180,30.5,30.5,30.5,30.5,2094
183,30.45,30.45,30.45,30.45,229
297,30.9463,30.9463,30.9463,30.9463,600
299,30.8975,30.8975,30.8975,30.8975,400
310,31,31,30.95,30.95,798
315,31.25,31.3,31.25,31.3,453
317,31.2,31.25,31.2,31.25,399
324,31.3,31.3,31.3,31.3,290
326,31.13,31.2,31.1,31.1,693
327,31.15,31.15,31.15,31.15,598
432,30.85,30.85,30.85,30.85,743
442,31.48,31.48,31.48,31.48,100
456,31,31,31,31,100
458,31.0217,31.0217,31.0217,31.0217,156
460,31.35,31.35,31.25,31.25,4009
461,31.5,31.5,31.5,31.5,100
465,31.4,31.4,31.35,31.35,700
466,31.355,31.355,31.35,31.35,4500
467,31.35,31.35,31.35,31.35,300
468,31.4,31.4,31.35,31.35,400
469,31.4,31.4,31.4,31.4,200
470,31.4,31.4,31.375,31.4,960
471,31.5,31.5,31.45,31.5,922
582,31.875,31.875,31.875,31.875,1200
583,32.5,32.5,32.4,32.4,240
585,32.55,32.65,32.55,32.65,500
586,32.5,32.6,32.5,32.55,700
587,32.55,32.55,32.55,32.55,200
588,32.6,32.6,32.3782,32.3782,600
589,32.6,32.6,32.6,32.6,200
590,32.6,32.6,32.6,32.6,200
591,32.65,32.65,32.6,32.6,1308
593,33,33.2,32.9,32.9,900
595,32.9,33.145,32.9,33.145,329
600,32.9,32.9,32.875,32.875,300
603,32.75,32.75,32.75,32.75,200
604,32.5,32.85,32.5,32.85,4153
606,32.6,32.6,32.6,32.6,200
612,32.75,32.75,32.75,32.75,100
613,32.6892,32.75,32.6892,32.75,500
614,32.5,32.51,32.4,32.4,430
615,32.4,32.4912,32.4,32.4912,1596
a1494869400,32.4,32.4,32.4,32.4,100
6,32.95,32.95,32.65,32.9,800
10,32.85,32.85,32.625,32.8049,1135
11,32.7949,32.7949,32.7949,32.7949,200
14,32.55,32.65,32.55,32.65,200
15,32.65,32.7,32.55,32.55,926
127,32.65,32.85,32.65,32.85,491
134,32.5,32.5,32.5,32.5,409
140,32.245,32.245,32.2,32.2,400
142,32,32,32,32,100
144,31.9,31.9,31.9,31.9,500
146,31.91,31.91,31.91,31.91,108
153,31.56,31.56,31.56,31.56,110
157,31.15,31.35,31.15,31.35,400
158,31.3,31.3,31.27,31.27,200
159,31.2,31.4,31.055,31.4,675
271,31.6,31.9,30.7,31.9,1300
273,31.15,31.15,31.15,31.15,100
274,31.2,31.2,31.2,31.2,100
276,31.05,31.05,31.05,31.05,100
280,31.1,31.55,31.1,31.4,900
282,31.25,31.25,31.25,31.25,100
284,30.95,30.95,30.95,30.95,100
285,30.95,31.13,30.95,31.13,325
287,30.9,31,30.9,31,300
289,30.55,30.55,30.55,30.55,100
293,30.3,30.3,30.3,30.3,400
294,30,30.1918,30,30.1918,200
300,30.1,30.1,30.1,30.1,200
