EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493040600,6,6,6,6,1835
1,5.96,5.99,5.93,5.93,7893
2,6,6.04,5.97,5.97,22903
3,5.99,6,5.97,5.99,1297
4,6,6,5.99,5.9999,5100
5,5.9884,6,5.98,5.995,3807
6,6,6,5.99,5.99,6269
7,5.9897,6,5.9897,6,1200
8,5.98,6,5.97,5.98,5721
9,6,6,5.98,5.99,1068
10,5.98,6,5.97,5.99,6612
11,5.9766,5.98,5.97,5.97,1986
12,6,6,5.98,5.98,800
13,6.025,6.025,6,6,7586
14,6.03,6.03,6,6.03,7241
15,6.02,6.03,6.02,6.03,3720
16,6.09,6.09,6.025,6.03,18234
17,6.09,6.09,6.08,6.09,7438
18,6.13,6.13,6.08,6.09,15239
19,6.165,6.17,6.125,6.125,10116
20,6.19,6.2,6.16,6.17,30392
21,6.0989,6.19,6.09,6.19,18661
22,6.1,6.1,6.071,6.0999,5800
23,6.08,6.1,6.0799,6.1,11383
24,6.08,6.0999,6.0753,6.0999,7000
25,6.0693,6.08,6.051,6.08,3100
26,6.04,6.06,6.04,6.06,2899
27,6.03,6.05,6.03,6.04,9297
28,6.02,6.035,6.02,6.035,995
29,6.01,6.0299,6.005,6.0299,6076
30,6.02,6.035,6.01,6.02,3000
31,6.025,6.03,6.02,6.0299,2900
32,6.01,6.035,6.01,6.03,9296
33,6.01,6.02,6,6.0193,6850
34,5.995,6.015,5.99,6.01,6600
35,5.98,5.99,5.98,5.99,1200
36,6,6,5.98,5.99,7300
37,6.025,6.03,5.9901,6.0084,18820
38,6.07,6.07,6.025,6.025,15775
39,6.06,6.08,6.05,6.07,42046
144,6.1,6.1,6.1,6.1,2811
145,6.0971,6.13,6.06,6.1196,5691
146,6.1325,6.1428,6.09,6.09,9183
147,6.11,6.13,6.08,6.13,12081
148,6.07,6.11,6.06,6.11,4500
149,6.06,6.07,6.01,6.07,39213
150,6.02,6.04,6.01,6.04,2754
151,6.03,6.04,6.01,6.02,6912
152,6,6.03,6,6.02,8365
153,6,6.01,6,6,4300
154,5.97,6,5.93,6,17854
155,5.99,6,5.9711,5.9711,10939
156,6.0311,6.0311,5.985,5.99,10122
157,6.0328,6.04,6.03,6.04,2000
158,6.07,6.07,6.04,6.04,3982
159,6.04,6.07,6.04,6.07,4831
160,6.0049,6.045,5.98,6.04,7204
161,6,6.02,6,6.01,7329
162,6.01,6.01,6,6.01,900
163,6.0101,6.0101,6,6,4071
164,6.02,6.02,6.01,6.015,1200
165,6.06,6.06,6.02,6.02,2800
166,6.11,6.11,6.05,6.055,8488
167,6.08,6.11,6.08,6.11,1701
168,6.07,6.0901,6.07,6.08,3556
169,6.05,6.07,6.05,6.07,3100
170,6.05,6.06,6.05,6.05,1802
171,6.05,6.06,6.05,6.06,600
172,6.06,6.06,6.05,6.05,1900
173,6.06,6.06,6.03,6.05,6888
174,6.04,6.05,6.04,6.05,1400
175,6.04,6.04,6.02,6.03,2800
176,6.04,6.0403,6.03,6.03,2072
177,6.03,6.0338,6.03,6.0338,1300
178,6.04,6.04,6.03,6.03,1468
179,6.025,6.04,6.02,6.03,3902
180,5.98,6.03,5.95,6.02,21518
181,6.035,6.04,5.97,5.97,12846
182,6.05,6.06,6.02,6.0399,18172
183,6.04,6.0699,6.03,6.06,57236
288,6.02,6.02,6.02,6.02,3083
289,6.02,6.0622,6.02,6.031,3499
290,6.01,6.0764,6.01,6.04,5148
291,6,6.04,6,6.0304,2727
292,6.01,6.0382,6.01,6.022,2050
293,6.0409,6.06,6.01,6.04,800
294,6.06,6.08,6.04,6.055,3423
295,6.05,6.061,6.04,6.055,26100
296,6.07,6.1,6.04,6.04,16394
297,6.1,6.1,6.07,6.08,4965
298,6.08,6.1,6.07,6.1,5545
299,6.1,6.1,6.08,6.08,3448
300,6.15,6.18,6.1,6.1,15718
301,6.12,6.14,6.08,6.14,8299
302,6.09,6.115,6.08,6.1,5800
303,6.09,6.11,6.07,6.105,3646
304,6.0985,6.1,6.0985,6.1,1400
305,6.09,6.11,6.08,6.11,6345
306,6.11,6.11,6.11,6.11,400
307,6.11,6.11,6.1,6.1,3100
308,6.09,6.125,6.09,6.1,4000
309,6.09,6.1,6.085,6.09,1700
310,6.1,6.1,6.08,6.09,400
311,6.08,6.11,6.08,6.1,5600
312,6.09,6.09,6.08,6.08,700
313,6.08,6.09,6.075,6.09,2500
314,6.07,6.09,6.07,6.08,5225
315,6.07,6.085,6.0601,6.08,6785
316,6.08,6.08,6.04,6.06,2285
317,6.13,6.13,6.09,6.09,11115
318,6.14,6.16,6.11,6.12,18940
319,6.18,6.18,6.15,6.16,6736
320,6.15,6.18,6.14,6.18,14747
321,6.13,6.17,6.12,6.14,7909
322,6.15,6.16,6.14,6.14,2100
323,6.15,6.16,6.1416,6.15,5104
324,6.15,6.15,6.13,6.14,8087
325,6.09,6.155,6.09,6.15,15621
326,6.085,6.11,6.08,6.0999,12632
327,6.08,6.1,6.08,6.085,37246
432,6.1,6.1,6.1,6.1,1808
433,6.03,6.16,6.03,6.16,3700
434,6.08,6.08,6.03,6.03,1590
435,6.08,6.1,6.08,6.08,400
436,6.035,6.09,6.02,6.09,13665
437,6.07,6.07,6.04,6.04,5200
438,6.03,6.06,6.03,6.06,3000
439,6.0369,6.0369,6.02,6.03,2850
440,5.98,6.03,5.97,6.03,8650
441,5.96,5.9899,5.96,5.972,3700
442,5.975,5.9899,5.96,5.96,6377
443,5.97,5.985,5.96,5.975,2800
444,5.97,5.985,5.965,5.97,6610
445,5.96,5.9663,5.96,5.962,1800
446,5.94,5.96,5.94,5.96,7076
447,5.96,5.96,5.945,5.945,2260
448,5.965,5.97,5.96,5.96,1500
449,5.96,5.97,5.96,5.96,2132
450,5.94,5.961,5.94,5.961,4507
451,5.93,5.95,5.9,5.95,13316
452,5.95,5.96,5.94,5.94,2976
453,5.975,5.98,5.95,5.95,6300
454,5.97,5.975,5.97,5.971,836
455,5.98,5.9875,5.97,5.97,1600
456,6.02,6.025,5.985,5.985,8662
457,6.005,6.025,5.99,6.0225,37238
458,6.025,6.025,6.005,6.005,1700
459,6.015,6.025,6.015,6.025,4139
460,6.025,6.025,6.0113,6.015,1609
461,6.03,6.03,6.025,6.025,2721
462,6.02,6.0399,6.02,6.0367,3297
463,6.04,6.04,6.015,6.03,7300
464,6.02,6.0466,6,6.0466,6800
465,5.99,6.025,5.99,6.025,4100
466,5.98,5.995,5.98,5.99,2900
467,5.97,5.98,5.97,5.975,1660
468,5.98,5.99,5.97,5.97,5316
469,5.94,5.98,5.92,5.98,14781
470,5.96,5.965,5.94,5.94,15850
471,5.95,5.955,5.93,5.95,36399
576,5.99,5.99,5.99,5.99,2891
577,5.96,5.97,5.86,5.86,1900
578,5.95,5.96,5.93,5.93,1877
579,5.96,5.96,5.94,5.96,5100
580,5.96,5.96,5.95,5.95,2152
581,5.91,5.95,5.91,5.95,3145
582,5.91,5.91,5.89,5.91,500
583,5.935,5.95,5.89,5.91,7774
584,5.93,5.96,5.93,5.935,13900
585,5.92,5.96,5.92,5.94,9675
586,5.875,5.93,5.875,5.93,3493
587,5.875,5.88,5.875,5.875,2000
588,5.89,5.89,5.875,5.88,1600
589,5.865,5.885,5.865,5.885,2984
590,5.84,5.865,5.83,5.865,17294
591,5.855,5.86,5.85,5.85,1100
592,5.88,5.88,5.86,5.86,1487
593,5.87,5.905,5.87,5.88,4600
594,5.855,5.865,5.85,5.865,5311
595,5.87,5.87,5.85,5.86,2600
596,5.8828,5.89,5.87,5.87,1641
597,5.91,5.92,5.885,5.885,3212
598,5.925,5.93,5.905,5.91,4000
599,5.91,5.93,5.91,5.93,3663
600,5.88,5.91,5.88,5.91,5748
601,5.88,5.88,5.87,5.88,600
602,5.875,5.88,5.87,5.88,800
603,5.85,5.875,5.85,5.875,3600
604,5.86,5.86,5.85,5.86,1670
605,5.855,5.86,5.85,5.85,7828
606,5.87,5.87,5.855,5.855,2600
607,5.85,5.875,5.85,5.865,5400
608,5.88,5.89,5.8531,5.8531,5241
