EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493040600,44.38,44.38,44.38,44.38,556
2,44.284,44.47,44,44.34,2493
3,44.24,44.3,44.18,44.27,1953
4,44.225,44.28,44.13,44.2,2670
5,44.2,44.3,44.2,44.22,1600
6,44.21,44.24,44.21,44.24,200
7,44.21,44.24,44.17,44.21,1100
8,44.18,44.18,44.18,44.18,400
9,44.02,44.11,44.02,44.11,900
10,44.01,44.03,43.98,44,600
11,43.91,43.99,43.84,43.99,2100
12,44.01,44.02,43.98,43.98,700
13,44.07,44.07,43.9468,43.9468,922
14,43.91,44.02,43.91,43.97,800
15,43.9293,43.9293,43.9,43.9,350
16,43.92,43.96,43.9,43.9,400
17,43.98,43.99,43.95,43.95,1000
18,43.95,43.95,43.91,43.91,300
19,43.97,43.97,43.92,43.92,1900
20,44.0567,44.0567,43.97,43.97,421
21,44.025,44.05,44.025,44.05,600
22,44.04,44.07,44.025,44.025,600
23,44.09,44.09,44.08,44.08,300
24,44.17,44.17,44.07,44.08,1300
25,44.251,44.251,44.14,44.14,1326
26,44.28,44.28,44.28,44.28,100
27,44.47,44.47,44.13,44.18,5814
28,44.53,44.59,44.49,44.49,1225
29,44.515,44.55,44.45,44.49,2638
30,44.55,44.55,44.54,44.54,1788
31,44.55,44.55,44.54,44.54,300
32,44.65,44.65,44.56,44.56,1922
33,44.61,44.7,44.61,44.62,6889
34,44.59,44.59,44.5,44.5,1400
35,44.6,44.64,44.56,44.6,4858
36,44.57,44.6,44.54,44.6,1400
37,44.53,44.58,44.53,44.54,1500
38,44.4,44.49,44.38,44.49,9327
39,44.47,44.5,44.38,44.395,19358
144,44.78,44.78,44.78,44.78,784
145,44.9,45.24,44.79,44.79,6561
146,44.86,45.1,44.71,45.02,2900
147,44.87,44.87,44.7,44.86,2494
148,44.88,44.89,44.65,44.84,7300
149,44.9,44.9,44.7,44.85,3000
150,44.75,44.79,44.7,44.79,1300
152,44.695,44.695,44.695,44.695,100
153,44.7,44.7,44.67,44.7,900
154,44.7,44.81,44.6743,44.7,5345
155,44.77,44.77,44.67,44.67,1100
156,44.83,44.83,44.74,44.78,1000
157,44.8,44.88,44.7,44.7815,7124
158,44.74,44.82,44.73,44.73,300
159,44.75,44.7859,44.74,44.74,5200
160,44.73,44.81,44.73,44.775,800
161,44.68,44.68,44.62,44.67,600
162,44.72,44.72,44.71,44.71,200
163,44.57,44.69,44.57,44.65,700
164,44.51,44.64,44.48,44.64,2160
165,44.49,44.57,44.49,44.57,200
166,44.5895,44.61,44.57,44.61,600
167,44.625,44.66,44.59,44.62,700
168,44.65,44.65,44.63,44.63,700
169,44.57,44.64,44.57,44.64,877
170,44.44,44.57,44.395,44.555,3600
171,44.43,44.47,44.3972,44.44,1300
172,44.46,44.48,44.41,44.48,563
173,44.411,44.5013,44.411,44.5013,577
174,44.49,44.49,44.4521,44.465,570
175,44.44,44.48,44.43,44.44,500
176,44.36,44.43,44.33,44.43,1300
177,44.34,44.34,44.2689,44.33,1509
178,44.38,44.38,44.34,44.35,775
179,44.2974,44.3859,44.28,44.3859,1300
180,44.23,44.3,44.14,44.3,1100
181,44.13,44.24,44.13,44.17,1300
182,44.1,44.15,44.06,44.15,1700
183,44.02,44.12,43.99,44.11,10703
288,44.07,44.07,44.07,44.07,462
289,44.18,44.18,44.18,44.18,100
290,44.27,44.61,44.23,44.28,3134
291,44.12,44.32,44.12,44.31,400
292,44.2,44.26,44.16,44.17,3069
293,44.29,44.415,44.21,44.21,900
294,44.53,44.53,44.36,44.36,400
295,44.41,44.41,44.35,44.4,500
296,44.37,44.45,44.37,44.45,400
297,44.68,44.68,44.4,44.4,4700
298,44.66,44.66,44.62,44.65,700
299,44.61,44.67,44.58,44.6,1294
300,44.64,44.67,44.52,44.61,1300
301,44.69,44.7,44.62,44.66,700
302,44.52,44.665,44.5,44.65,2000
303,44.54,44.54,44.54,44.54,100
304,44.54,44.54,44.49,44.54,2696
305,44.585,44.585,44.585,44.585,100
306,44.64,44.64,44.61,44.63,600
307,44.66,44.66,44.66,44.66,200
308,44.75,44.77,44.7,44.76,600
309,44.86,44.86,44.77,44.77,500
310,44.74,44.83,44.71,44.771,1175
311,44.66,44.74,44.66,44.74,300
312,44.72,44.72,44.675,44.675,2304
313,44.78,44.78,44.7,44.7,1100
314,44.82,44.92,44.73,44.76,4652
315,44.81,44.95,44.77,44.9,2927
316,44.72,44.74,44.67,44.74,1103
317,44.71,44.74,44.7055,44.7055,1335
318,44.755,44.76,44.69,44.7205,1781
319,44.72,44.74,44.72,44.74,300
320,44.78,44.81,44.711,44.74,3761
321,44.95,44.95,44.73,44.7601,17156
322,44.92,44.95,44.91,44.91,1900
323,44.9,44.95,44.82,44.93,3800
324,44.88,44.88,44.79,44.84,1607
325,44.86,44.9,44.7501,44.87,4261
326,44.76,44.83,44.75,44.7701,7334
327,44.86,44.95,44.775,44.78,29222
432,44.87,44.87,44.87,44.87,520
433,44.79,44.96,44.76,44.92,2200
434,45.24,45.28,44.795,44.835,8400
435,45.24,45.31,45.22,45.28,600
436,44.95,45.25,44.95,45.25,2900
437,45.0125,45.1,44.85,44.87,4705
439,44.95,44.99,44.95,44.99,339
440,44.9,45.05,44.9,44.99,2300
441,44.89,44.97,44.89,44.97,370
442,45,45,44.88,44.9073,1400
443,45.01,45.01,45.01,45.01,200
444,45.01,45.01,45.01,45.01,100
445,45.01,45.01,44.93,44.93,2600
446,45.02,45.03,44.93,44.93,1700
447,44.95,45.02,44.95,45.01,909
448,44.98,45.01,44.98,45.01,500
449,44.9449,44.9449,44.9,44.9,3305
450,44.9,44.99,44.9,44.955,855
451,44.81,44.9305,44.81,44.9234,13877
452,45.035,45.04,44.81,44.81,11500
453,45.045,45.05,45,45.04,2100
454,45.0333,45.045,45.01,45.045,300
455,45.04,45.04,45.04,45.04,100
456,45.03,45.0475,44.97,45.04,1000
457,44.95,44.95,44.85,44.95,500
458,45.01,45.01,44.9,44.95,2000
459,45.1,45.17,45.05,45.05,500
460,45.06,45.18,45.06,45.15,400
461,45.1868,45.1868,45.1868,45.1868,250
462,45.19,45.19,45.1301,45.1792,1280
463,45.4,45.4,45.2,45.2,4074
464,45.33,45.36,45.33,45.36,200
465,45.22,45.24,45.22,45.22,400
466,45.22,45.31,45.21,45.21,1100
467,45.3,45.35,45.25,45.28,800
468,45.41,45.42,45.365,45.37,3170
469,45.2984,45.42,45.27,45.42,5134
470,45.4399,45.508,45.35,45.35,1907
471,45.78,45.81,45.4,45.44,40704
576,45.9,45.9,45.9,45.9,508
577,46.215,46.215,45.8975,45.9075,4513
578,46.13,46.27,46,46.27,1800
579,46.04,46.12,46,46.11,1889
580,46.125,46.195,45.99,46.02,5000
581,46.09,46.09,46.05,46.07,400
582,46.05,46.12,46,46.06,3939
583,46.09,46.2,46,46.03,5844
584,46.25,46.26,46.14,46.15,2800
585,46.24,46.24,46.22,46.24,400
586,46.06,46.215,45.98,46.215,4757
587,46.01,46.075,45.98,46.06,16238
588,45.99,46.04,45.99,46.03,1000
589,46.09,46.105,45.98,45.98,3853
590,46.02,46.09,46.02,46.09,700
591,46.055,46.065,46.04,46.04,900
592,46.095,46.11,46.05,46.09,600
593,46.08,46.095,45.98,46.095,728
595,46.02,46.02,45.96,46.015,3306
596,46.03,46.03,46.015,46.015,300
597,46.01,46.01,45.98,46,997
598,46.02,46.03,46.02,46.02,500
599,45.97,45.99,45.965,45.98,1800
600,45.97,46,45.97,45.98,700
601,45.98,45.99,45.95,45.95,2200
602,45.975,45.99,45.975,45.98,900
603,46.02,46.02,45.95,45.95,2781
604,45.97,45.99,45.9601,45.99,907
605,45.95,45.98,45.9,45.965,1500
606,46.08,46.16,45.95,45.95,2674
607,46.16,46.16,46.11,46.11,1631
608,46.1,46.17,46.1,46.16,800
609,46.17,46.19,46.15,46.16,2600
610,46.22,46.23,46.16,46.16,2450
611,46.27,46.27,46.21,46.21,1506
612,46.16,46.24,46.16,46.24,800
613,46.16,46.17,46.14,46.16,1620
