EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493040600,21.22,21.22,21.22,21.22,19262
1,21.29,21.38,21.15,21.15,25555
2,21.14,21.31,21.14,21.305,24063
3,21.04,21.14,21.02,21.1301,25032
4,20.865,21.04,20.8,21.04,54005
5,20.895,20.91,20.85,20.8728,25484
6,20.89,20.96,20.88,20.9,14832
7,20.77,20.89,20.77,20.89,21364
8,20.765,20.81,20.75,20.775,20720
9,20.81,20.815,20.75,20.77,16242
10,20.86,20.89,20.81,20.815,18435
11,20.802,20.84,20.72,20.84,33991
12,20.79,20.82,20.765,20.81,17667
13,20.83,20.85,20.78,20.785,14600
14,20.8238,20.84,20.8,20.835,9838
15,20.84,20.85,20.805,20.8345,14003
16,20.83,20.87,20.82,20.83,12793
17,20.82,20.88,20.81,20.84,10635
18,20.8802,20.97,20.81,20.828,47502
19,20.87,20.89,20.85,20.89,19925
20,20.89,20.89,20.86,20.87,5100
21,20.93,20.93,20.89,20.89,13685
22,20.905,20.9298,20.88,20.9298,11592
23,20.94,20.94,20.9,20.9,5210
24,20.93,20.953,20.92,20.94,12288
25,20.92,20.95,20.92,20.93,12728
26,20.9299,20.9299,20.915,20.92,3745
27,20.91,20.93,20.89,20.92,13253
28,20.895,20.925,20.89,20.91,14192
29,20.94,20.95,20.89,20.9,8439
30,20.95,20.96,20.93,20.93,5550
31,20.95,20.96,20.94,20.9542,7878
32,20.98,20.99,20.94,20.955,10974
33,20.98,20.99,20.97,20.97,9503
34,21,21.01,20.97,20.975,24561
35,21.02,21.02,20.99,21.01,29784
36,21.08,21.08,21.025,21.025,15278
37,21.06,21.09,21.04,21.075,28566
38,21.055,21.07,21.04,21.07,24560
39,21.07,21.07,21.04,21.06,190005
144,21.06,21.06,21.06,21.06,8842
145,21.19,21.21,21.06,21.07,17847
146,21.23,21.24,21.182,21.2,13396
147,21.2,21.28,21.2,21.24,32685
148,21.2,21.25,21.18,21.21,13686
149,21.0402,21.21,21.0402,21.19,21816
150,21.1,21.13,20.98,21.05,31096
151,21.13,21.15,21.0797,21.08,14266
152,21.061,21.13,21.061,21.13,8868
153,21.04,21.07,21.0232,21.06,10476
154,21.085,21.09,21.03,21.05,17525
155,21.09,21.12,21.075,21.09,9380
156,21.1,21.11,21.07,21.09,10690
157,21.1525,21.16,21.095,21.1,8847
158,21.17,21.18,21.1264,21.15,11125
159,21.22,21.23,21.16,21.16,21093
160,21.235,21.26,21.2,21.22,18531
161,21.21,21.23,21.17,21.21,7940
162,21.19,21.22,21.18,21.22,6940
163,21.17,21.21,21.17,21.18,7300
164,21.18,21.21,21.17,21.17,5400
165,21.18,21.21,21.17,21.18,8199
166,21.21,21.2193,21.175,21.2,12500
167,21.2,21.22,21.2,21.205,6258
168,21.215,21.225,21.175,21.21,10829
169,21.19,21.22,21.19,21.22,6670
170,21.2,21.2,21.19,21.19,4840
171,21.19,21.2,21.18,21.195,6861
172,21.19,21.2,21.16,21.19,8655
173,21.2,21.2,21.18,21.19,12122
174,21.23,21.25,21.2,21.2,23593
175,21.23,21.24,21.23,21.235,5300
176,21.225,21.23,21.22,21.23,5250
177,21.22,21.24,21.22,21.225,10800
178,21.25,21.26,21.22,21.23,29067
179,21.22,21.255,21.22,21.255,14764
180,21.25,21.2701,21.225,21.23,31374
181,21.23,21.27,21.23,21.26,37919
182,21.255,21.26,21.235,21.235,49553
183,21.26,21.28,21.24,21.255,125044
288,21.21,21.21,21.21,21.21,11797
289,21.19,21.26,21,21,18168
290,21.265,21.28,21.19,21.22,26490
291,21.2145,21.275,21.17,21.265,33362
292,21.41,21.44,21.205,21.21,69491
293,21.36,21.41,21.33,21.41,14714
294,21.45,21.45,21.36,21.3601,17542
295,21.46,21.49,21.45,21.45,18580
296,21.47,21.49,21.46,21.46,4268
297,21.45,21.48,21.45,21.46,8335
298,21.34,21.46,21.3344,21.45,25344
299,21.41,21.41,21.34,21.34,6504
300,21.39,21.44,21.39,21.41,13356
301,21.365,21.4,21.3501,21.395,14355
302,21.36,21.38,21.345,21.37,9878
303,21.39,21.39,21.3384,21.38,11590
304,21.32,21.395,21.3,21.395,15313
305,21.375,21.39,21.3301,21.3301,2954
306,21.35,21.385,21.35,21.38,7778
307,21.3697,21.3842,21.345,21.35,11356
308,21.43,21.43,21.3572,21.3572,9615
309,21.475,21.4774,21.42,21.42,20770
310,21.515,21.53,21.475,21.475,26979
311,21.52,21.53,21.495,21.5101,9229
312,21.47,21.51,21.44,21.51,12293
313,21.4742,21.4925,21.4646,21.47,29344
314,21.435,21.48,21.42,21.47,25786
315,21.49,21.495,21.43,21.43,10989
316,21.51,21.51,21.47,21.49,10798
317,21.51,21.52,21.51,21.51,8727
318,21.52,21.58,21.51,21.51,52625
319,21.52,21.54,21.52,21.52,18804
320,21.54,21.56,21.52,21.52,11879
321,21.535,21.54,21.53,21.53,5654
322,21.56,21.56,21.53,21.53,13712
323,21.66,21.69,21.55,21.56,71331
324,21.64,21.67,21.63,21.66,26315
325,21.62,21.68,21.62,21.65,27476
326,21.59,21.64,21.58,21.62,65094
327,21.61,21.62,21.58,21.585,163646
432,21.65,21.65,21.65,21.65,9720
433,21.7299,21.8299,21.6101,21.65,34848
434,21.75,21.75,21.66,21.7,15289
435,21.7106,21.79,21.701,21.7584,7828
436,21.7172,21.76,21.6901,21.7,17880
437,21.66,21.7158,21.65,21.71,29901
438,21.615,21.645,21.5848,21.64,10445
439,21.68,21.69,21.6,21.61,18854
440,21.7,21.72,21.68,21.685,14518
441,21.72,21.74,21.69,21.6962,15856
442,21.7,21.725,21.6901,21.7104,7435
443,21.71,21.73,21.69,21.69,6167
444,21.72,21.72,21.6901,21.7,9259
445,21.78,21.79,21.7,21.72,21073
446,21.75,21.8,21.75,21.785,7690
447,21.7442,21.77,21.74,21.76,13628
448,21.76,21.77,21.74,21.75,12050
449,21.785,21.795,21.7668,21.7668,5200
450,21.795,21.8,21.765,21.78,15272
451,21.8,21.8099,21.79,21.795,35051
452,21.83,21.835,21.8,21.8,11033
453,21.84,21.85,21.825,21.83,14195
454,21.86,21.87,21.845,21.85,26943
455,21.87,21.87,21.85,21.86,19451
456,21.86,21.88,21.86,21.87,7157
457,21.855,21.86,21.85,21.855,4569
458,21.814,21.86,21.78,21.86,16909
459,21.79,21.835,21.79,21.82,7367
460,21.81,21.81,21.79,21.795,10852
461,21.8,21.82,21.79,21.8,18650
462,21.83,21.835,21.8,21.8025,7676
463,21.85,21.85,21.82,21.82,11961
464,21.8634,21.875,21.8501,21.86,13768
465,21.865,21.87,21.86,21.8601,3448
466,21.855,21.87,21.8402,21.8601,17984
467,21.87,21.875,21.85,21.85,12673
468,21.845,21.87,21.84,21.87,12031
469,21.855,21.87,21.85,21.85,41140
470,21.879,21.88,21.85,21.8538,28162
471,21.89,21.9,21.87,21.875,120594
576,21.9,21.9,21.85,21.85,8682
577,22.04,22.09,21.85,21.8851,75706
578,21.99,22.1,21.99,22.07,29780
579,22.053,22.09,22,22,13126
580,22.095,22.11,22.05,22.05,27769
581,22.131,22.15,22.085,22.095,22551
582,22.16,22.17,22.0901,22.1346,53364
583,22.185,22.19,22.15,22.155,24773
584,22.15,22.2,22.145,22.19,31481
585,22.24,22.26,22.15,22.16,49915
586,22.15,22.25,22.15,22.25,30276
587,22.175,22.175,22.13,22.14,29205
588,22.15,22.175,22.14,22.17,21222
589,22.15,22.16,22.14,22.15,34608
590,22.105,22.16,22.1,22.15,37564
591,22.105,22.12,22.095,22.1,21102
592,22.14,22.14,22.105,22.11,15042
593,22.12,22.14,22.11,22.13,21384
594,22.13,22.1453,22.12,22.12,11259
595,22.13,22.15,22.11,22.14,5689
596,22.13,22.14,22.12,22.125,12592
597,22.06,22.13,22.05,22.13,75454
598,21.98,22.05,21.94,22.04,47278
599,21.87,21.98,21.87,21.98,21101
600,21.905,21.925,21.86,21.86,24647
601,21.93,22,21.9,21.9,44391
602,21.98,21.9825,21.9,21.94,38263
603,22.06,22.06,21.98,21.98,44150
604,22.06,22.11,22.05,22.055,19886
