EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493040600,16.58,16.58,16.58,16.58,1009
1,16.66,16.74,16.3,16.38,28788
2,16.6054,16.875,16.53,16.72,10533
3,16.72,16.72,16.525,16.525,1900
4,16.75,16.815,16.7,16.75,1757
5,16.83,16.87,16.8,16.84,1200
6,16.79,16.9,16.79,16.85,1100
7,16.74,16.86,16.66,16.81,5390
8,16.76,16.76,16.73,16.73,600
9,16.8,16.8,16.77,16.775,400
10,16.71,16.75,16.69,16.75,800
11,16.735,16.78,16.73,16.75,800
12,16.76,16.77,16.72,16.77,3325
13,16.8,16.85,16.75,16.78,2300
14,16.81,16.83,16.81,16.81,625
15,16.82,16.84,16.81,16.82,1700
16,16.82,16.83,16.8,16.8,1500
17,16.83,16.875,16.82,16.82,4500
18,16.84,16.85,16.83,16.85,500
19,16.84,16.85,16.83,16.84,700
20,16.82,16.85,16.82,16.83,800
21,16.84,16.84,16.83,16.83,300
22,16.82,16.87,16.82,16.86,1600
23,16.83,16.84,16.83,16.84,300
24,16.78,16.82,16.78,16.82,800
25,16.77,16.7801,16.77,16.78,1300
26,16.71,16.76,16.71,16.76,600
27,16.72,16.72,16.71,16.71,400
28,16.6601,16.7001,16.6601,16.7001,1300
29,16.76,16.78,16.68,16.68,1200
30,16.76,16.8,16.7201,16.76,1600
31,16.78,16.8,16.73,16.73,1400
32,16.8392,16.8392,16.79,16.81,500
33,16.88,16.9489,16.84,16.84,3712
34,16.91,16.91,16.865,16.865,600
35,16.81,16.92,16.81,16.92,3723
36,16.89,16.89,16.835,16.835,1300
37,16.895,16.895,16.86,16.89,2228
38,16.88,16.92,16.86,16.91,2415
39,16.9,16.94,16.87,16.9,18109
144,17.1,17.1,17.1,17.1,823
145,17.13,17.27,17,17.27,1800
146,17.11,17.22,17.05,17.1084,5100
147,17.0409,17.155,17.0409,17.13,1700
148,17.19,17.25,16.97,17.09,17375
149,17.34,17.45,17.22,17.22,10250
150,17.5004,17.51,17.34,17.34,5816
151,17.49,17.57,17.39,17.47,4359
152,17.41,17.63,17.41,17.52,17500
153,17.39,17.4206,17.39,17.39,900
154,17.34,17.39,17.34,17.39,1200
155,17.31,17.37,17.31,17.35,1300
156,17.23,17.29,17.18,17.29,1200
157,17.29,17.29,17.16,17.19,11773
158,17.28,17.36,17.21,17.29,3748
159,17.19,17.31,17.19,17.31,500
160,17.21,17.27,17.18,17.21,4400
161,17.06,17.21,17.06,17.15,4300
162,16.84,17.05,16.84,17.05,3300
163,17.03,17.06,16.84,16.88,1800
164,17.02,17.05,17.0141,17.03,900
165,17.04,17.08,16.9901,17.08,800
166,17.04,17.07,17.01,17.01,400
167,17.03,17.03,17.03,17.03,100
168,17.09,17.16,16.9601,17.02,5940
169,17.01,17.08,17.01,17.08,300
170,16.98,16.98,16.91,16.979,2100
171,16.91,17,16.91,16.97,800
172,16.95,16.97,16.91,16.93,1900
173,16.93,16.99,16.93,16.94,600
174,16.9,16.97,16.88,16.95,3345
175,16.8501,16.9,16.8501,16.88,800
176,16.9,16.9,16.9,16.9,100
177,16.86,16.9001,16.86,16.9001,500
178,16.85,16.88,16.8,16.85,10600
179,16.77,16.8,16.75,16.7801,1300
180,16.8,16.8,16.74,16.74,1300
181,16.82,16.83,16.73,16.76,2800
182,16.78,16.81,16.6901,16.7601,2520
183,16.72,16.79,16.72,16.72,7851
288,16.7,16.7,16.7,16.7,400
289,16.58,16.94,16.57,16.93,2511
290,16.5682,16.58,16.5682,16.58,200
291,16.56,16.56,16.56,16.56,100
292,16.53,16.61,16.53,16.61,300
293,16.45,16.51,16.45,16.5,1300
294,16.46,16.46,16.4,16.41,1422
295,16.44,16.51,16.44,16.48,2900
296,16.46,16.5,16.43,16.43,1800
297,16.49,16.54,16.43,16.43,7098
298,16.47,16.505,16.46,16.49,1703
299,16.55,16.55,16.49,16.49,400
300,16.65,16.65,16.54,16.56,1900
301,16.69,16.7,16.63,16.65,1400
302,16.74,16.74,16.73,16.73,300
303,16.65,16.7353,16.64,16.7353,1100
304,16.7,16.7,16.69,16.69,200
305,16.72,16.72,16.67,16.67,800
306,16.73,16.73,16.71,16.71,300
307,16.735,16.75,16.73,16.74,1000
308,16.725,16.75,16.725,16.75,1000
309,16.7335,16.745,16.7335,16.745,206
310,16.75,16.78,16.71,16.78,900
311,16.76,16.76,16.73,16.73,200
312,16.72,16.76,16.72,16.76,600
313,16.68,16.68,16.68,16.68,100
314,16.67,16.7,16.67,16.7,200
315,16.67,16.67,16.67,16.67,100
316,16.67,16.67,16.64,16.65,800
317,16.71,16.71,16.695,16.695,700
318,16.76,16.77,16.76,16.77,500
319,16.76,16.775,16.76,16.77,700
320,16.72,16.76,16.72,16.74,400
321,16.725,16.76,16.72,16.76,400
322,16.85,16.85,16.64,16.71,25724
323,16.89,16.89,16.85,16.85,400
324,16.89,16.89,16.84,16.84,700
325,16.84,16.88,16.83,16.86,2248
326,16.79,16.825,16.79,16.82,4600
327,16.76,16.79,16.75,16.75,10131
432,16.83,16.83,16.83,16.83,897
433,16.83,16.93,16.735,16.88,32702
434,17,17,16.885,16.94,5357
435,17.06,17.15,16.99,17.115,3700
436,17.04,17.08,16.97,17.065,3400
437,17.06,17.07,17.02,17.055,9327
438,16.96,17,16.96,17,400
439,16.99,16.99,16.92,16.92,900
440,17.03,17.05,17.02,17.02,800
441,16.995,16.995,16.995,16.995,100
442,16.99,16.99,16.99,16.99,200
443,16.94,16.94,16.94,16.94,200
444,16.9,16.92,16.9,16.92,400
445,16.855,16.855,16.855,16.855,100
446,16.87,16.87,16.87,16.87,100
447,16.805,16.84,16.8,16.84,2008
448,16.83,16.84,16.82,16.82,1300
449,16.825,16.83,16.825,16.83,400
450,16.79,16.79,16.79,16.79,100
451,16.805,16.805,16.805,16.805,100
454,16.75,16.8,16.75,16.8,700
455,16.77,16.78,16.77,16.78,200
457,16.75,16.75,16.75,16.75,100
458,16.76,16.76,16.76,16.76,200
460,16.76,16.77,16.76,16.77,300
461,16.75,16.75,16.75,16.75,100
462,16.73,16.7527,16.73,16.7527,700
463,16.71,16.71,16.69,16.69,800
464,16.685,16.695,16.685,16.695,300
465,16.705,16.705,16.7,16.7,200
466,16.73,16.75,16.705,16.705,700
467,16.73,16.73,16.685,16.73,2520
468,16.74,16.74,16.74,16.74,300
469,16.78,16.78,16.74,16.76,1900
470,16.805,16.805,16.78,16.78,2300
471,16.83,16.86,16.81,16.82,20297
576,16.81,16.81,16.81,16.81,1100
577,16.65,16.65,16.58,16.6,800
578,16.64,16.67,16.64,16.64,500
579,16.645,16.645,16.59,16.59,300
580,16.61,16.675,16.6,16.675,500
581,16.59,16.6,16.55,16.57,500
582,16.57,16.57,16.57,16.57,200
583,16.59,16.59,16.54,16.55,600
584,16.55,16.59,16.55,16.59,300
585,16.5,16.54,16.45,16.54,2600
586,16.44,16.55,16.44,16.53,700
587,16.48,16.48,16.47,16.47,400
588,16.52,16.52,16.46,16.48,3100
589,16.52,16.52,16.52,16.52,100
590,16.54,16.6,16.53,16.57,400
591,16.57,16.57,16.57,16.57,100
592,16.62,16.62,16.57,16.57,400
593,16.6,16.64,16.59,16.64,964
594,16.64,16.64,16.59,16.61,700
595,16.58,16.62,16.58,16.62,600
596,16.65,16.65,16.55,16.55,1000
597,16.62,16.62,16.5791,16.5791,600
598,16.595,16.62,16.58,16.6,500
599,16.57,16.605,16.57,16.605,300
600,16.56,16.56,16.56,16.56,200
601,16.62,16.62,16.5564,16.5564,1140
602,16.6,16.6,16.6,16.6,100
603,16.56,16.57,16.56,16.57,500
604,16.6,16.6,16.56,16.56,300
605,16.5653,16.59,16.54,16.59,409
606,16.53,16.56,16.53,16.56,200
607,16.59,16.59,16.5,16.54,900
608,16.57,16.61,16.57,16.57,1400
609,16.6299,16.65,16.51,16.5938,20033
610,16.64,16.64,16.59,16.635,1900
611,16.64,16.64,16.6,16.635,1800
612,16.57,16.62,16.57,16.6,600
613,16.57,16.6,16.56,16.6,1482
614,16.56,16.6,16.56,16.57,2000
