EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493040600,42.66,42.66,42.66,42.66,2259
2,42.815,43.03,42.5548,42.68,917
3,42.91,43,42.7272,42.7272,1962
4,42.9371,43.02,42.89,42.91,1218
5,42.72,42.96,42.72,42.96,600
6,42.64,42.79,42.48,42.6,7681
7,42.5,42.74,42.49,42.74,2600
8,42.41,42.41,42.41,42.41,297
9,42.48,42.52,42.31,42.31,2400
10,42.36,42.65,42.23,42.6,3468
11,42.35,42.35,42.22,42.338,968
12,42.69,42.69,42.3899,42.3899,1800
13,42.6,42.65,42.6,42.65,252
14,42.65,42.76,42.59,42.76,300
15,42.66,42.725,42.58,42.58,400
16,42.77,42.77,42.7,42.7,400
17,42.82,42.98,42.77,42.77,3000
18,42.61,42.685,42.61,42.685,200
19,42.64,42.75,42.64,42.75,1150
20,42.79,42.79,42.74,42.74,300
21,42.84,42.84,42.84,42.84,200
22,42.976,42.976,42.89,42.89,300
23,42.95,42.95,42.94,42.94,700
24,42.8894,42.9,42.8894,42.9,413
25,42.873,42.873,42.873,42.873,150
26,42.99,42.99,42.99,42.99,100
27,42.8841,42.8841,42.8841,42.8841,131
28,42.88,42.9,42.87,42.87,1200
29,42.76,42.92,42.73,42.87,2803
30,42.67,42.81,42.67,42.785,1350
31,42.81,42.81,42.69,42.786,650
32,42.69,42.745,42.69,42.745,200
33,42.8,42.8,42.69,42.73,2034
34,42.82,42.82,42.71,42.71,1000
35,42.755,42.865,42.73,42.8276,3081
36,42.81,42.81,42.735,42.75,2300
37,42.81,42.88,42.79,42.88,2589
38,42.7,42.88,42.69,42.8,2482
39,42.6,42.72,42.5,42.68,10915
144,42.95,42.95,42.95,42.95,1786
145,43.45,43.45,42.8664,42.8664,3328
146,43.32,43.53,43.215,43.49,2000
147,43.2,43.34,43.2,43.34,800
148,43.7,43.7,43.35,43.35,3580
149,43.5,43.77,43.5,43.76,4050
150,43.5453,43.6,43.44,43.44,4828
151,43.71,43.71,43.54,43.54,650
152,43.62,43.6485,43.5768,43.6485,3107
153,43.665,43.665,43.665,43.665,200
154,43.56,43.656,43.53,43.55,1400
155,43.52,43.67,43.43,43.66,5848
156,43.36,43.49,43.3531,43.49,1852
157,43.31,43.31,43.1685,43.3,440
158,43.2001,43.22,43.11,43.22,1500
159,43.28,43.28,43.19,43.22,842
160,43.17,43.51,43.17,43.29,9405
161,43.34,43.34,43.2199,43.2199,1100
162,43.4,43.4,43.4,43.4,100
163,43.22,43.4,43.22,43.4,900
165,43.29,43.32,43.22,43.32,400
166,43.43,43.43,43.22,43.22,500
167,43.36,43.36,43.36,43.36,300
168,43.38,43.38,43.27,43.27,200
169,43.07,43.32,43.07,43.32,500
170,43.11,43.23,43.11,43.115,800
171,43.1,43.12,43.1,43.1,700
172,43.23,43.23,43.119,43.13,600
173,43.31,43.31,43.24,43.24,300
174,43.3,43.31,43.3,43.31,200
175,43.31,43.31,43.31,43.31,100
176,43.01,43.21,43.01,43.21,1795
177,43.15,43.15,43.08,43.08,400
178,43.23,43.28,43.16,43.16,1000
179,43.15,43.225,43.15,43.1823,500
180,43.03,43.205,43.01,43.205,1300
181,42.93,42.995,42.93,42.995,600
182,42.95,42.98,42.88,42.98,3204
183,42.8,42.9,42.78,42.85,6537
288,42.83,42.83,42.83,42.83,861
289,42.21,43.05,42.21,42.79,500
290,43.15,43.15,43.06,43.06,300
291,43.15,43.15,43.07,43.07,200
292,43.32,43.32,43.15,43.15,1300
293,43.2615,43.34,43.2615,43.34,300
294,43.35,43.35,43.28,43.28,763
295,43.36,43.43,43.32,43.43,600
296,43.29,43.29,43.29,43.29,200
297,43.48,43.49,43.37,43.4,3500
298,43.45,43.66,43.44,43.5663,2203
299,43.45,43.5253,43.45,43.5253,300
300,43.9,43.9,43.5284,43.5284,2573
301,43.9,43.9,43.8235,43.84,352
302,43.62,43.8,43.45,43.8,2950
303,43.56,43.59,43.55,43.59,600
305,43.56,43.56,43.56,43.56,100
306,43.56,43.65,43.56,43.65,400
307,43.58,43.58,43.55,43.57,800
308,43.58,43.61,43.49,43.565,4570
309,43.63,43.68,43.5,43.5,2191
310,43.47,43.58,43.47,43.58,942
311,43.46,43.55,43.46,43.55,300
312,43.52,43.56,43.46,43.46,1166
313,43.53,43.53,43.3401,43.45,1100
314,43.31,43.42,43.3,43.35,704
315,43.44,43.44,43.43,43.43,300
316,43.355,43.435,43.35,43.435,600
318,43.39,43.41,43.27,43.27,1200
319,43.35,43.35,43.35,43.35,100
320,43.42,43.42,43.39,43.39,300
321,43.38,43.47,43.38,43.45,600
322,43.6354,43.71,43.37,43.37,3100
323,43.6,43.64,43.5772,43.61,1800
324,43.62,43.6354,43.57,43.6,1200
325,43.5,43.61,43.5,43.61,3104
326,43.61,43.61,43.45,43.5,4589
327,43.43,43.54,43.4,43.54,12494
432,43.5,43.5,43.5,43.5,1375
433,43.64,43.69,43.47,43.47,1634
434,43.43,43.57,43.43,43.57,900
435,43.25,43.35,43.25,43.35,600
436,43.545,43.545,43.48,43.48,300
437,43.51,43.52,43.47,43.52,300
438,43.49,43.49,43.49,43.49,1500
439,43.32,43.44,43.25,43.44,3300
440,42.95,43.3,42.95,43.3,4100
441,43.16,43.37,42.87,42.89,12020
442,43.18,43.3004,42.84,43.08,11233
443,43.3482,43.3482,43.25,43.25,1902
444,43.43,43.43,43.43,43.43,100
445,43.21,43.4,43.21,43.4,300
446,43.22,43.22,43.22,43.22,100
447,43.14,43.21,43.05,43.21,1212
448,43.25,43.25,43.1258,43.1258,425
449,43.38,43.38,43.38,43.38,100
450,43.26,43.27,43.26,43.27,500
451,43.27,43.27,43.27,43.27,100
452,43.43,43.43,43.32,43.32,400
453,43.46,43.46,43.45,43.45,200
455,43.32,43.41,43.32,43.41,300
456,43.28,43.28,43.28,43.28,100
458,43.39,43.39,43.27,43.27,601
459,43.3,43.3956,43.3,43.39,650
460,43.34,43.34,43.34,43.34,100
461,43.33,43.33,43.33,43.33,103
462,43.26,43.26,43.26,43.26,100
463,43.35,43.35,43.35,43.35,100
464,43.3797,43.41,43.28,43.35,1400
465,43.16,43.1601,43.16,43.1601,300
466,43.22,43.22,43.2,43.2,300
467,43.212,43.212,43.212,43.212,500
468,43.115,43.18,43.11,43.18,800
469,43.0401,43.13,43.0401,43.08,1411
470,43.13,43.18,43.04,43.04,600
471,43.14,43.18,42.97,43.12,6964
576,43.38,43.38,43.38,43.38,1199
577,43.453,43.453,43.1,43.35,1600
578,43.453,43.453,43.453,43.453,100
579,43.331,43.34,43.22,43.3052,1723
580,43.15,43.15,43.125,43.125,300
581,43.02,43.087,42.85,43.05,1400
582,42.87,43.005,42.87,43.005,300
583,42.94,42.97,42.83,42.83,1200
584,43,43,42.94,42.94,600
585,42.9,42.9,42.79,42.79,600
586,42.8,42.8,42.8,42.8,100
587,42.95,42.98,42.84,42.84,600
588,42.92,42.92,42.92,42.92,126
589,42.81,42.81,42.81,42.81,100
590,42.77,42.77,42.77,42.77,100
591,42.74,42.74,42.69,42.69,200
592,42.77,42.77,42.746,42.77,600
595,42.68,42.73,42.68,42.73,200
596,42.72,42.76,42.72,42.76,300
597,42.7315,42.7315,42.7315,42.7315,200
598,42.7,42.7,42.7,42.7,200
600,42.59,42.69,42.59,42.69,400
602,42.55,42.6,42.55,42.6,535
603,42.5,42.55,42.5,42.55,500
604,42.48,42.537,42.42,42.445,1050
605,42.4441,42.4441,42.4441,42.4441,800
606,42.53,42.53,42.35,42.35,800
607,42.31,42.395,42.301,42.3802,2189
608,42.23,42.29,42.13,42.28,2400
609,42,42.1216,41.981,42.1,2039
610,42.18,42.225,42,42.01,6225
611,42.19,42.36,42.19,42.195,4400
612,42.11,42.3,42.11,42.21,2000
613,41.99,42.19,41.98,42.115,4000
614,42.091,42.29,41.97,42.04,3100
615,41.95,42.15,41.91,42.15,12065
a1493645400,42.43,42.43,42.43,42.43,1546
2,42.14,42.26,42,42.26,1091
4,41.76,41.96,41.63,41.94,2700
5,41.66,41.9,41.64,41.78,5749
