EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493040600,8.33,8.33,8.33,8.33,17819
1,8.33,8.47,8.3,8.3315,91858
2,8.37,8.41,8.31,8.35,107297
3,8.31,8.375,8.295,8.37,45105
4,8.285,8.31,8.25,8.3,34652
5,8.21,8.285,8.2,8.28,50711
6,8.18,8.205,8.155,8.2,35208
7,8.18,8.21,8.18,8.19,36024
8,8.22,8.22,8.17,8.175,26476
9,8.25,8.25,8.22,8.23,52460
10,8.27,8.28,8.25,8.26,21041
11,8.3,8.3,8.26,8.28,40914
12,8.3,8.31,8.29,8.3,20679
13,8.3,8.32,8.29,8.3043,19931
14,8.31,8.32,8.28,8.31,40273
15,8.315,8.325,8.305,8.31,13528
16,8.32,8.33,8.3,8.32,21881
17,8.33,8.33,8.31,8.33,17097
18,8.33,8.35,8.325,8.34,20828
19,8.33,8.34,8.32,8.33,10222
20,8.32,8.345,8.315,8.33,27961
21,8.355,8.355,8.31,8.32,39894
22,8.34,8.36,8.325,8.355,23669
23,8.32,8.33,8.31,8.33,16609
24,8.335,8.335,8.31,8.32,9970
25,8.34,8.345,8.32,8.33,11679
26,8.34,8.34,8.32,8.33,8326
27,8.31,8.34,8.3,8.34,64746
28,8.3199,8.3299,8.31,8.31,9022
29,8.32,8.336,8.31,8.32,22532
30,8.33,8.34,8.32,8.32,41420
31,8.33,8.34,8.32,8.33,31094
32,8.335,8.34,8.33,8.33,10429
33,8.34,8.35,8.325,8.33,32644
34,8.3499,8.36,8.34,8.34,23101
35,8.35,8.37,8.345,8.35,26719
36,8.355,8.36,8.35,8.355,15125
37,8.34,8.37,8.34,8.355,39947
38,8.355,8.36,8.33,8.35,43018
39,8.35,8.36,8.33,8.355,393198
144,8.43,8.43,8.43,8.43,18037
145,8.56,8.57,8.4,8.43,70311
146,8.6747,8.69,8.57,8.57,107026
147,8.71,8.72,8.66,8.67,129937
148,8.79,8.8,8.7,8.72,171504
149,8.77,8.825,8.76,8.79,151366
150,8.805,8.81,8.77,8.78,52260
151,8.83,8.83,8.77,8.805,75970
152,8.84,8.84,8.79,8.825,68637
153,8.94,8.943,8.835,8.835,214414
154,8.905,8.975,8.9,8.94,101002
155,8.88,8.93,8.86,8.9,70329
156,8.825,8.88,8.82,8.88,28517
157,8.835,8.87,8.8,8.825,39890
158,8.78,8.85,8.78,8.83,50735
159,8.78,8.8,8.77,8.785,42954
160,8.7984,8.8199,8.77,8.78,46321
161,8.83,8.83,8.76,8.79,93168
162,8.81,8.83,8.8099,8.825,24495
163,8.84,8.86,8.81,8.81,66426
164,8.8561,8.86,8.82,8.84,28402
165,8.84,8.86,8.83,8.855,20695
166,8.83,8.855,8.83,8.84,44185
167,8.83,8.84,8.82,8.83,25987
168,8.8,8.86,8.8,8.835,29997
169,8.81,8.83,8.805,8.805,20312
170,8.79,8.81,8.79,8.805,12632
171,8.79,8.805,8.78,8.79,16106
172,8.805,8.805,8.785,8.785,21000
173,8.795,8.81,8.79,8.805,18078
174,8.79,8.81,8.79,8.8,9495
175,8.79,8.8,8.78,8.79,22878
176,8.78,8.79,8.76,8.78,33510
177,8.795,8.8,8.78,8.79,18307
178,8.825,8.83,8.79,8.79,31666
179,8.821,8.83,8.81,8.825,23364
180,8.83,8.83,8.81,8.82,16710
181,8.815,8.83,8.81,8.83,45778
182,8.84,8.84,8.82,8.82,63285
183,8.81,8.84,8.79,8.84,379789
288,8.81,8.81,8.81,8.81,17658
289,8.79,8.84,8.735,8.81,111241
290,8.81,8.82,8.77,8.8,72418
291,8.79,8.83,8.77,8.82,41598
292,8.72,8.78,8.705,8.78,66108
293,8.64,8.73,8.62,8.73,57382
294,8.65,8.67,8.63,8.635,36461
295,8.63,8.67,8.63,8.65,35439
296,8.64,8.65,8.615,8.63,32204
297,8.69,8.72,8.64,8.64,37807
298,8.63,8.7,8.625,8.69,70437
299,8.635,8.65,8.6,8.62,62409
300,8.615,8.63,8.6,8.63,67522
301,8.63,8.64,8.615,8.615,37901
302,8.61,8.6375,8.59,8.635,42677
303,8.63,8.64,8.605,8.61,23551
304,8.645,8.66,8.62,8.63,18219
305,8.665,8.68,8.645,8.65,14828
306,8.675,8.675,8.65,8.66,15227
307,8.66,8.675,8.645,8.675,14321
308,8.665,8.68,8.65,8.661,22805
309,8.69,8.695,8.65,8.66,34370
310,8.68,8.69,8.68,8.68,6700
311,8.68,8.7,8.67,8.69,41585
312,8.68,8.69,8.675,8.68,18167
313,8.7,8.705,8.67,8.68,23018
314,8.71,8.72,8.69,8.705,28689
315,8.7,8.725,8.7,8.71,9700
316,8.6761,8.7,8.66,8.7,34699
317,8.68,8.7,8.67,8.68,16087
318,8.7,8.71,8.67,8.68,25237
319,8.71,8.72,8.695,8.71,27228
320,8.74,8.74,8.71,8.71,32184
321,8.73,8.75,8.72,8.735,24443
322,8.745,8.75,8.72,8.73,25908
323,8.7775,8.78,8.74,8.74,35311
324,8.78,8.79,8.77,8.77,38460
325,8.72,8.78,8.72,8.78,85357
326,8.705,8.73,8.69,8.725,91831
327,8.67,8.7188,8.67,8.705,341232
432,8.68,8.68,8.68,8.68,11274
433,8.64,8.73,8.63,8.68,28208
434,8.705,8.75,8.63,8.63,46796
435,8.64,8.72,8.61,8.71,41455
436,8.64,8.685,8.64,8.65,11200
437,8.61,8.6501,8.59,8.65,23497
438,8.64,8.64,8.62,8.62,11147
439,8.64,8.655,8.62,8.64,19679
440,8.635,8.645,8.615,8.645,16114
441,8.625,8.645,8.61,8.635,12400
442,8.68,8.69,8.61,8.6201,28399
443,8.69,8.7,8.67,8.685,21973
444,8.71,8.71,8.685,8.685,34240
445,8.68,8.7,8.68,8.7,21300
446,8.67,8.69,8.67,8.68,11824
447,8.68,8.69,8.655,8.68,18544
448,8.67,8.69,8.66,8.67,14262
449,8.66,8.67,8.66,8.6667,4550
450,8.67,8.67,8.66,8.663,5239
451,8.67,8.675,8.66,8.67,7712
452,8.68,8.69,8.67,8.68,14569
453,8.675,8.69,8.67,8.68,16138
454,8.69,8.7,8.67,8.68,25074
455,8.7,8.71,8.69,8.69,12089
456,8.705,8.71,8.7,8.71,3406
457,8.71,8.71,8.7,8.7,5798
458,8.69,8.71,8.69,8.705,11555
459,8.655,8.7,8.65,8.69,25760
460,8.61,8.66,8.61,8.655,42994
461,8.655,8.67,8.61,8.615,89717
462,8.675,8.68,8.655,8.655,23987
463,8.695,8.7,8.675,8.68,20398
464,8.71,8.71,8.69,8.69,14753
465,8.7,8.71,8.69,8.705,26700
466,8.675,8.7,8.67,8.7,14834
467,8.675,8.685,8.66,8.68,22032
468,8.72,8.72,8.67,8.68,63051
469,8.68,8.72,8.68,8.715,27942
470,8.69,8.69,8.68,8.685,25413
471,8.7,8.7,8.68,8.69,177228
576,8.8,8.8,8.68,8.68,13159
577,8.65,8.7009,8.63,8.68,37850
578,8.655,8.655,8.63,8.65,22203
579,8.6,8.655,8.59,8.65,48251
580,8.59,8.62,8.59,8.605,54617
581,8.53,8.6,8.53,8.59,74549
582,8.515,8.537,8.51,8.53,42749
583,8.54,8.56,8.51,8.51,30201
584,8.525,8.54,8.52,8.54,22490
585,8.525,8.53,8.51,8.52,29486
586,8.52,8.53,8.51,8.52,12400
587,8.545,8.549,8.5,8.52,48591
588,8.52,8.545,8.52,8.54,12534
589,8.5225,8.54,8.52,8.53,18618
590,8.545,8.55,8.52,8.53,37868
591,8.555,8.56,8.54,8.55,9000
592,8.57,8.6,8.55,8.555,28902
593,8.57,8.58,8.57,8.58,15934
594,8.57,8.5899,8.565,8.575,17724
595,8.56,8.58,8.56,8.58,11526
596,8.55,8.56,8.53,8.56,40308
597,8.541,8.56,8.53,8.555,15677
598,8.55,8.555,8.54,8.545,16427
599,8.559,8.56,8.54,8.555,21653
600,8.535,8.55,8.52,8.55,19970
601,8.55,8.56,8.53,8.535,15182
602,8.531,8.56,8.53,8.56,15258
603,8.52,8.545,8.51,8.531,25171
604,8.52,8.53,8.51,8.515,15054
605,8.52,8.54,8.51,8.521,34970
