EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493040600,38.7,38.7,38.7,38.7,410
2,38.75,38.75,38.7,38.7,300
4,38.39,38.45,38.39,38.45,333
5,38.4,38.4,38.1765,38.1765,600
11,38.268,38.45,38.2,38.2,425
12,38.55,38.55,38.48,38.48,300
13,38.6,38.6,38.6,38.6,100
14,38.41,38.63,38.41,38.63,300
15,38.36,38.54,38.36,38.49,500
18,38.4,38.4,38.32,38.35,500
19,38.38,38.38,38.38,38.38,100
20,38.35,38.35,38.35,38.35,100
21,38.39,38.39,38.39,38.39,100
22,38.37,38.37,38.22,38.22,500
27,38.35,38.35,38.35,38.35,100
28,38.37,38.37,38.34,38.36,300
30,38.38,38.38,38.38,38.38,100
33,38.4,38.4,38.39,38.39,640
34,38.4,38.4,38.4,38.4,100
35,38.3,38.3079,38.3,38.3079,600
36,38.31,38.31,38.3,38.3,200
37,38.3056,38.38,38.3056,38.3615,452
38,38.29,38.2955,38.22,38.26,2380
39,38.26,38.29,38.16,38.29,3068
144,38.58,38.58,38.58,38.58,635
145,38.45,38.52,38.2038,38.5,1400
147,38.47,38.71,38.3293,38.71,1898
148,38.48,38.61,38.48,38.6,1000
149,38.43,38.5177,38.43,38.48,1300
151,38.65,38.65,38.65,38.65,200
153,38.65,38.75,38.65,38.6564,1058
154,39.05,39.13,38.75,38.75,5743
155,38.97,38.97,38.97,38.97,100
156,38.775,38.89,38.68,38.85,600
158,38.86,38.975,38.86,38.975,577
159,38.52,38.52,38.46,38.4969,700
160,38.65,38.65,38.65,38.65,200
162,38.61,38.61,38.61,38.61,100
163,38.65,38.65,38.65,38.65,100
165,38.65,38.65,38.58,38.61,2064
166,38.6903,38.72,38.65,38.65,650
167,38.6001,38.748,38.47,38.72,3126
168,38.65,38.65,38.65,38.65,100
169,38.55,38.63,38.53,38.6228,1898
170,38.57,38.58,38.57,38.58,400
171,38.55,38.5823,38.55,38.5823,741
172,38.1983,38.59,38.14,38.5501,3500
173,38.265,38.3671,38.265,38.3671,200
175,38.475,38.475,38.475,38.475,100
177,38.55,38.55,38.55,38.55,400
178,38.53,38.55,38.44,38.55,2200
180,38.5899,38.5899,38.54,38.54,300
181,38.55,38.5625,38.54,38.5625,500
182,38.58,38.58,38.4801,38.543,3469
183,38.48,38.65,38.48,38.52,3384
288,38.41,38.41,38.41,38.41,217
289,38.48,38.48,38.48,38.48,300
290,38.43,38.43,38.43,38.43,100
291,37.5845,37.5845,37.5845,37.5845,314
292,37.7,37.7,37.7,37.7,100
295,38.3399,38.3399,38.3399,38.3399,100
296,38.375,38.375,38.1447,38.1447,750
297,38.72,38.72,38.49,38.49,1883
298,39.47,39.47,39.08,39.08,500
299,39.3,39.66,39.1901,39.525,2623
300,39.44,39.44,39.4,39.4,741
301,39.4512,39.69,39.37,39.64,3520
302,39.225,39.475,39.1201,39.475,3977
303,39.215,39.25,39.02,39.2,1860
304,39,39,39,39,100
306,39.5,39.5,39.19,39.19,700
309,39.61,39.61,39.61,39.61,100
310,39.99,39.99,39.76,39.81,1522
311,40.05,40.4,39.95,39.95,1050
312,39.9955,40.08,39.9955,40.08,225
314,40.19,40.23,39.79,39.79,400
315,40.0802,40.09,40.0802,40.09,247
316,40,40.05,39.9927,40.05,965
317,40.03,40.08,40.01,40.08,800
318,40.01,40.01,40.01,40.01,500
319,40.12,40.125,40.12,40.125,200
320,39.95,40.125,39.95,40.125,750
322,39.98,40.21,39.95,40.1231,525
323,40.1262,40.1262,40.1262,40.1262,198
324,39.8149,39.942,39.7601,39.921,1846
325,39.76,40,39.76,39.81,1328
326,39.53,39.75,39.38,39.75,1890
327,39.49,39.5498,39.37,39.545,3876
432,39.5,39.5,39.5,39.5,215
433,39.0591,39.649,39.0591,39.649,873
436,39.97,39.97,39.33,39.33,237
438,39.6934,39.6934,39.6934,39.6934,106
439,39.6406,39.6406,39.6406,39.6406,900
442,39.71,39.71,39.648,39.648,900
443,39.95,39.95,39.95,39.95,100
444,39.6583,39.8,39.6583,39.8,1590
450,39.2088,39.2688,39.15,39.21,1000
451,39.3608,39.3608,39.3608,39.3608,100
453,39.3,39.3,39.3,39.3,100
454,39.08,39.19,39.08,39.19,500
455,38.93,38.93,38.93,38.93,100
457,38.9168,38.9168,38.9168,38.9168,100
458,38.94,38.94,38.94,38.94,200
459,38.98,38.99,38.97,38.97,400
460,38.975,38.975,38.9512,38.975,300
461,38.97,38.97,38.97,38.97,100
464,39.12,39.12,39.03,39.03,200
465,39.19,39.19,39.09,39.12,1500
466,39.25,39.31,39.25,39.31,510
467,39.11,39.11,39.11,39.11,200
469,38.9508,38.9508,38.94,38.94,600
470,38.705,38.8001,38.62,38.8001,1700
471,38.83,38.83,38.57,38.6064,3198
578,38.81,38.83,38.68,38.79,426
580,38.6,38.6,38.56,38.6,500
581,38.0891,38.0891,38.0891,38.0891,300
582,38.648,38.7015,38.5,38.5,2248
587,38.5456,38.57,38.475,38.475,1098
589,38.5678,38.57,38.51,38.55,800
593,38.1801,38.1801,38.1801,38.1801,100
601,38.23,38.304,38.2,38.304,600
602,38.61,38.61,38.5202,38.54,3778
608,38.63,38.63,38.4,38.4,300
610,38.575,38.575,38.575,38.575,100
611,38.66,38.66,38.66,38.66,100
615,38.41,38.6,38.3,38.6,5101
a1493645400,38.34,38.34,38.34,38.34,385
2,38.59,38.59,38.0791,38.0791,200
3,38.46,38.51,38.04,38.51,765
5,38.4,38.4,38.4,38.4,100
6,38.49,38.49,38.49,38.49,100
7,38.49,38.49,38.49,38.49,122
8,38.3803,38.3803,38.3803,38.3803,102
9,38.54,38.54,38.5,38.5,300
10,38.5133,38.5133,38.5133,38.5133,125
11,38.8,38.8299,38.8,38.8299,433
14,38.5,38.5,38.5,38.5,230
17,38.75,38.75,38.42,38.42,200
18,38.75,38.75,38.75,38.75,100
19,38.76,38.76,38.51,38.51,1000
20,38.7,38.7,38.7,38.7,442
22,38.71,38.71,38.71,38.71,100
23,38.4,38.4,38.4,38.4,100
25,38.37,38.49,38.37,38.49,200
28,38.7199,38.7199,38.64,38.64,725
31,38.32,38.67,38.32,38.5,500
33,38.36,38.39,38.3401,38.39,985
36,38.32,38.32,38.32,38.32,100
37,38.516,38.52,38.3488,38.3488,1223
38,38.41,38.41,38.41,38.41,100
39,38.51,38.54,38.43,38.43,1646
145,38.56,38.56,38.56,38.56,100
147,38.73,38.73,38.73,38.73,100
148,38.675,38.675,38.55,38.55,410
151,38.804,38.804,38.804,38.804,150
153,38.73,38.73,38.61,38.61,200
154,38.6,38.6,38.6,38.6,100
155,38.6999,38.6999,38.69,38.69,264
156,38.72,38.72,38.72,38.72,100
157,38.75,38.75,38.75,38.75,200
158,38.785,38.785,38.67,38.67,300
159,38.75,38.75,38.75,38.75,250
163,38.6291,38.6291,38.6291,38.6291,100
165,38.642,38.675,38.621,38.675,500
167,38.675,38.675,38.675,38.675,100
169,38.61,38.62,38.61,38.62,900
171,38.56,38.56,38.56,38.56,200
173,38.69,38.69,38.69,38.69,200
177,38.73,38.7579,38.73,38.7579,200
178,38.55,38.58,38.55,38.58,200
180,38.4485,38.59,38.4485,38.59,250
182,38.31,38.31,38.31,38.31,100
183,38.44,38.5,38.34,38.45,1289
288,38.22,38.22,38.22,38.22,400
290,38.08,38.08,38.08,38.08,100
291,38.1853,38.1853,38.1853,38.1853,200
292,38.2052,38.2055,38.2052,38.2055,275
293,38.26,38.26,38.26,38.26,300
294,38.0383,38.0383,38.0383,38.0383,215
295,38.15,38.15,38.15,38.15,100
301,38.03,38.16,37.86,37.8684,1016
304,38.13,38.13,38.13,38.13,100
306,38.104,38.104,38.104,38.104,130
307,38.03,38.03,38,38,200
308,38.03,38.03,38.03,38.03,100
309,37.99,37.99,37.81,37.81,200
316,38.16,38.16,38.13,38.13,200
321,38.09,38.09,38.09,38.09,100
323,38.06,38.14,38.05,38.14,300
326,38.14,38.14,38.14,38.14,100
327,38.1,38.16,37.99,37.99,5356
432,38,38,38,38,2903
433,38.08,38.28,38.08,38.2,1500
