EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493052600,3.2559,3.2559,3.2559,3.2559,250
1,3.4827,3.4827,3.4827,3.4827,150
5,3.25,3.25,3.25,3.25,922
131,3.2559,3.2559,3.2559,3.2559,100
137,3.3025,3.3025,3.3025,3.3025,800
142,3.3061,3.3061,3.25,3.25,300
274,3.3,3.448,3.3,3.448,2200
288,3.3327,3.3327,3.3327,3.3327,100
289,3.266,3.266,3.266,3.266,1000
302,3.25,3.25,3.25,3.25,100
304,3.3,3.3,3.3,3.3,100
432,3.2665,3.2665,3.2665,3.2665,795
448,3.3,3.3,3.3,3.3,197
556,3.3,3.3,3.3,3.3,150
558,3.3,3.3,3.3,3.3,134
559,3.35,3.35,3.35,3.35,833
a1493658600,3.3825,3.3825,3.3825,3.3825,700
16,3.396,3.396,3.396,3.396,5000
283,3.39,3.39,3.39,3.39,175
447,3.35,3.35,3.35,3.35,1488
448,3.4,3.4,3.4,3.4,200
563,3.3,3.3,3.3,3.3,500
988,3.4,3.4,3.399,3.399,6200
a1494270600,3.35,3.35,3.35,3.35,100
138,3.2,3.25,3.2,3.25,9791
139,3.35,3.35,3.35,3.35,100
148,3.25,3.25,3.25,3.25,300
254,3.25,3.25,3.25,3.25,100
259,3.2,3.25,3.2,3.25,5000
263,3.3,3.3,3.3,3.3,100
264,3.3,3.3,3.3,3.3,100
269,3.3,3.3,3.3,3.3,100
275,3.3,3.3,3.3,3.3,100
287,3.3,3.3,3.3,3.3,100
402,3.25,3.255,3.2,3.255,5104
403,3.2325,3.2325,3.2325,3.2325,500
407,3.2,3.2,3.2,3.2,200
410,3.2001,3.2001,3.2,3.2,1364
411,3.2,3.2,3.159,3.159,355
413,3.1507,3.1507,3.1507,3.1507,300
415,3.1278,3.1278,3.1278,3.1278,5000
417,3.2,3.2,3.2,3.2,2018
419,3.2,3.2,3.2,3.2,200
420,3.2,3.2,3.2,3.2,200
425,3.2,3.2,3.2,3.2,300
426,3.2,3.2,3.2,3.2,200
427,3.15,3.15,3.15,3.15,300
428,3.15,3.15,3.15,3.15,400
542,3.15,3.15,3.15,3.15,300
543,3.2208,3.2208,3.2208,3.2208,500
550,3.15,3.15,3.15,3.15,600
554,3.15,3.15,3.15,3.15,1216
563,3.15,3.15,3.15,3.15,200
579,3.15,3.15,3.15,3.15,100
581,3.15,3.15,3.15,3.15,100
a1494948600,3.15,3.15,3.15,3.15,200
132,3.15,3.15,3.15,3.15,100
136,3.15,3.15,3.15,3.15,100
171,3.1,3.15,3.1,3.15,748
298,3.15,3.15,3.15,3.15,200
315,3.1,3.1,3.1,3.1,100
423,3.1,3.1001,3.1,3.1,9673
435,3.167,3.167,3.167,3.167,151
458,3.1532,3.1532,3.15,3.15,200
459,3.15,3.15,3.15,3.15,1144
872,3.171,3.171,3.171,3.171,1000
886,3.15,3.1501,3.15,3.1501,300
997,3.2459,3.2459,3.2459,3.2459,946
a1495563600,3.1,3.1,3.1,3.1,2477
1,3.0999,3.0999,3.0769,3.079,3600
2,3.0895,3.0999,3.079,3.079,7000
3,3.1,3.1,3.1,3.1,500
9,3.1881,3.1881,3.1881,3.1881,500
121,3.016,3.016,3.016,3.016,150
131,3.05,3.05,3.05,3.05,500
142,3.05,3.05,3.05,3.05,500
144,3.1,3.1,3.1,3.1,2100
145,3.1,3.1,3.1,3.1,200
146,3.1,3.1,3.1,3.1,200
149,3.1,3.1,3.1,3.1,200
152,3.1,3.1,3.1,3.1,100
154,3.1,3.1,3.1,3.1,200
262,3.1,3.1,3.1,3.1,100
263,3.1,3.15,3.1,3.1,400
264,3.1,3.1,3.1,3.1,200
266,3.1,3.1,3.1,3.1,1200
267,3.1,3.11,3.1,3.1001,10400
279,3.1,3.1,3.1,3.1,100
280,3.1,3.1,3.1,3.1,200
283,3.1,3.1,3.1,3.1,100
286,3.1,3.1,3.1,3.1,100
287,3.1,3.1,3.1,3.1,200
288,3.1485,3.1485,3.1485,3.1485,5000
294,3.0556,3.0556,3.05,3.05,1000
295,3.099,3.099,3.05,3.05,500
296,3.0556,3.0556,3.0556,3.0556,500
298,3.05,3.0503,3.05,3.05,1400
438,3,3.0055,3,3.0055,500
991,3,3.0045,3,3.0045,200
a1496240400,3.071,3.071,3.066,3.066,400
2,3.05,3.051,3.05,3.051,1400
8,3.0384,3.0384,3.0384,3.0384,325
142,3.15,3.15,3.15,3.15,100
143,3.15,3.15,3.15,3.15,100
168,3,3,3,3,100
170,3,3,3,3,100
172,3,3,3,3,100
176,3.1,3.1,3.1,3.1,100
178,3,3,3,3,852
286,3,3.001,3,3.001,800
312,3,3,3,3,300
715,3.1,3.1,3.1,3.1,301
727,3.1,3.1,3,3,994
751,3.016,3.016,3.016,3.016,100
863,3,3,3,3,906
898,3.05,3.05,3.05,3.05,500
a1496844600,3.039,3.039,3.039,3.039,400
3,3,3,3,3,850
12,2.9995,2.9995,2.9995,2.9995,1000
15,3,3,3,3,400
17,2.985,2.985,2.985,2.985,1000
26,2.95,2.95,2.95,2.95,591
31,3,3,3,3,100
152,3,3,3,3,1000
159,3.0505,3.055,3.05,3.05,400
160,3.05,3.0541,3.05,3.0512,2300
174,3.05,3.05,3.05,3.05,400
178,3.0035,3.0035,3.0035,3.0035,200
734,3,3,3,3,500
a1497447000,2.9,2.9,2.9,2.9,200
4,3,3,3,3,100
174,3,3,3,3,250
181,3.004,3.004,3.004,3.004,300
300,3.05,3.05,3.05,3.05,1300
327,2.95,2.95,2.95,2.95,124
721,3.15,3.15,3.15,3.15,531
722,3.0863,3.15,3.0863,3.15,500
724,2.9265,2.9265,2.9265,2.9265,451
734,3.0945,3.0945,3.0945,3.0945,500
741,3,3.0001,3,3.0001,1450
757,2.95,2.95,2.9395,2.945,3750
a1498057200,3.3,3.3,3.3,3.3,400
138,3.0499,3.0499,2.95,2.95,700
148,3.2,3.2,3.2,3.2,399
149,3.2,3.2506,3.2,3.2001,2000
173,3,3.103,3,3.103,300
282,3.05,3.1,2.9999,2.9999,5886
283,3.05,3.05,3.05,3.05,200
284,3.051,3.051,3.051,3.051,400
285,3.3,3.3,3.3,3.3,100
293,3.05,3.1,3.05,3.1,1385
294,3.05,3.0531,3.05,3.0531,800
301,3.055,3.055,3.055,3.055,400
308,3.2025,3.2025,3.2025,3.2025,100
314,3.05,3.1,3.05,3.05,500
315,3.15,3.15,3.05,3.0501,1000
316,3.125,3.125,3.05,3.05,600
317,3.125,3.125,3.125,3.125,100
713,3.35,3.3623,3.2,3.25,7332
717,3.25,3.25,3.25,3.25,100
718,3.05,3.05,3.05,3.05,100
724,3.05,3.101,3.05,3.1,600
738,3,3,3,3,100
861,3.3,3.3,2.95,3.0415,5475
862,3.05,3.1001,3.05,3.1001,803
872,3.1315,3.1315,3.1315,3.1315,400
874,3.1015,3.1015,3.1,3.1,1100
875,3.1669,3.1678,3.1669,3.1678,800
876,3.15,3.15,3.15,3.15,100
877,3.2,3.2,3.2,3.2,599
889,3.1,3.2,3.1,3.2,400
a1498657200,3.05,3.1,3.05,3.05,1918
10,3.05,3.05,3.05,3.05,600
11,3.147,3.147,3.147,3.147,350
19,3.0501,3.0585,3.0501,3.0585,2413
23,3.1,3.1,3.05,3.0805,3701
24,3.05,3.075,3.05,3.075,1743
31,3.0501,3.0501,3.05,3.05,350
33,3.05,3.05,3.05,3.05,100
34,3.05,3.05,3.05,3.05,100
36,3.05,3.05,3.05,3.05,100
147,2.9,2.9,2.9,2.9,100
151,3.1,3.1,3.1,3.1,400
159,3,3,3,3,200
169,3,3,3,3,1250
170,2.95,2.95,2.95,2.95,100
176,2.9705,2.9705,2.9705,2.9705,500
180,2.95,2.95,2.95,2.95,300
181,2.9999,3,2.975,2.975,6800
182,3,3,2.9887,2.9887,1962
293,2.951,2.951,2.951,2.951,500
294,3,3,3,3,100
297,3,3,3,3,200
301,2.9999,3,2.95,2.95,1900
302,3,3,2.9895,2.9895,2089
320,3,3,3,3,400
323,2.95,2.95,2.95,2.95,900
326,2.95,3,2.95,3,260
