EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1495040400,28,28,28,28,150
732,27.883,27.883,27.883,27.883,400
a1495654200,27.9073,27.99,27.87,27.87,400
845,27.7153,27.7797,27.7153,27.7797,200
a1496426400,27.3863,27.765,27.3863,27.74,1532
7,27.4144,27.49,27.4144,27.49,900
8,28.5,28.5,27.4248,27.49,1476
580,28.2,28.2,28.2,28.2,187
719,28.3505,28.3505,28.3505,28.3505,352
837,28.35,28.35,28.35,28.35,107
839,28.3501,28.3501,28.35,28.35,786
a1497027600,28.35,28.375,28.35,28.35,300
733,27.3819,27.3819,27.3819,27.3819,300
867,27.8284,27.8284,27.8284,27.8284,300
a1497642600,27.3718,27.3718,27.27,27.29,600
555,27.75,27.75,27.75,27.75,100
574,27.8303,27.8303,27.8303,27.8303,277
575,27.4518,27.4518,27.37,27.37,200
711,27.8303,27.8303,27.8303,27.8303,260
827,27.9503,27.9503,27.9503,27.9503,290
843,27.6325,27.6325,27.55,27.55,480
859,28.1,28.1,28.1,28.1,100
970,27.61,27.61,27.61,27.61,200
a1498490400,27.7,27.7818,27.31,27.7,400
28,27.31,27.31,27.31,27.31,120
133,27,27,27,27,561
146,27.0001,27.0406,27.0001,27.0406,246
155,27.05,27.05,27.05,27.05,185
565,28.3,28.3,28.3,28.3,11
a1499095800,27.7432,27.7432,27.7432,27.7432,286
