EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493041200,1.25,1.25,1.25,1.25,100
4,1.259,1.259,1.259,1.259,1000
5,1.238,1.2548,1.238,1.2548,3000
10,1.23,1.24,1.2,1.24,24268
11,1.2472,1.2499,1.2279,1.23,5946
12,1.2,1.21,1.2,1.21,800
13,1.21,1.2481,1.21,1.2481,1850
14,1.2028,1.2028,1.2,1.2,1100
15,1.2379,1.2379,1.2379,1.2379,100
16,1.21,1.2387,1.21,1.2387,5200
20,1.2499,1.2499,1.2499,1.2499,200
21,1.22,1.2396,1.22,1.2396,1600
22,1.2018,1.2318,1.2018,1.2318,4350
24,1.2101,1.2399,1.2101,1.2399,1600
25,1.2101,1.2276,1.21,1.21,9100
26,1.21,1.21,1.21,1.21,100
27,1.21,1.24,1.21,1.24,300
28,1.222,1.222,1.222,1.222,1800
30,1.2336,1.2336,1.2336,1.2336,100
31,1.22,1.2201,1.22,1.2201,3850
32,1.2,1.234,1.2,1.22,5290
34,1.2,1.22,1.2,1.22,8969
35,1.2163,1.2205,1.2,1.2177,7200
36,1.2138,1.2138,1.2,1.2123,3850
37,1.2299,1.2299,1.2299,1.2299,160
38,1.21,1.21,1.21,1.21,100
143,1.22,1.22,1.22,1.22,358
144,1.2204,1.2204,1.2204,1.2204,500
147,1.21,1.21,1.21,1.21,100
150,1.2272,1.2272,1.2272,1.2272,1000
161,1.2281,1.2281,1.2281,1.2281,250
169,1.23,1.23,1.2222,1.2222,620
173,1.23,1.23,1.22,1.225,5100
175,1.24,1.24,1.2103,1.2103,2600
176,1.21,1.225,1.21,1.2103,2400
177,1.23,1.23,1.225,1.225,400
181,1.2381,1.2381,1.21,1.22,4350
182,1.21,1.22,1.21,1.22,1812
287,1.22,1.22,1.22,1.22,113
288,1.25,1.25,1.25,1.25,144
292,1.2252,1.2252,1.2252,1.2252,100
296,1.2348,1.2348,1.2348,1.2348,800
297,1.25,1.25,1.25,1.25,100
299,1.2211,1.2211,1.2211,1.2211,903
300,1.2175,1.2218,1.2,1.22,8000
301,1.19,1.2002,1.19,1.2,12900
302,1.2,1.239,1.2,1.239,235
305,1.22,1.22,1.22,1.22,100
316,1.24,1.24,1.24,1.24,100
319,1.19,1.21,1.19,1.21,1000
321,1.2178,1.2178,1.2178,1.2178,130
322,1.2094,1.2094,1.2094,1.2094,550
323,1.214,1.214,1.214,1.214,100
325,1.19,1.22,1.19,1.22,1959
326,1.21,1.21,1.21,1.21,100
431,1.22,1.22,1.22,1.22,273
432,1.22,1.22,1.22,1.22,864
433,1.25,1.25,1.215,1.215,6000
439,1.1925,1.2,1.1925,1.2,2300
441,1.19,1.19,1.19,1.19,400
442,1.1964,1.1964,1.1964,1.1964,500
448,1.18,1.1889,1.18,1.1801,3742
449,1.17,1.1833,1.17,1.17,3700
450,1.19,1.19,1.185,1.185,200
451,1.18,1.19,1.18,1.19,3100
465,1.1518,1.1872,1.15,1.1836,8897
466,1.15,1.15,1.15,1.15,300
470,1.16,1.17,1.16,1.17,473
576,1.16,1.16,1.16,1.16,200
578,1.2065,1.2065,1.2065,1.2065,1000
583,1.16,1.18,1.16,1.16,7172
585,1.1705,1.1705,1.16,1.1618,1100
588,1.16,1.17,1.16,1.17,500
602,1.16,1.1786,1.16,1.1786,6326
603,1.16,1.16,1.16,1.16,400
606,1.16,1.16,1.16,1.16,200
607,1.16,1.16,1.16,1.16,100
612,1.17,1.17,1.17,1.17,300
614,1.18,1.18,1.17,1.17,788
a1493645400,1.2,1.2,1.2,1.2,1276
1,1.18,1.21,1.18,1.21,1992
3,1.15,1.15,1.15,1.15,500
9,1.1552,1.1552,1.1552,1.1552,1020
10,1.16,1.16,1.16,1.16,500
11,1.16,1.16,1.16,1.16,100
14,1.16,1.16,1.16,1.16,200
18,1.1533,1.1533,1.1533,1.1533,700
22,1.15,1.15,1.15,1.15,200
27,1.16,1.16,1.1558,1.1558,2150
28,1.1794,1.1799,1.1674,1.1799,2650
29,1.17,1.17,1.17,1.17,173
32,1.162,1.162,1.162,1.162,500
39,1.1699,1.1699,1.16,1.16,500
147,1.15,1.1545,1.15,1.1545,6200
148,1.09,1.1,1.08,1.0923,13570
149,1.14,1.15,1.09,1.09,25000
151,1.14,1.14,1.14,1.14,600
155,1.12,1.15,1.12,1.15,2200
157,1.12,1.14,1.12,1.1254,6300
158,1.12,1.12,1.12,1.12,300
159,1.12,1.121,1.12,1.12,300
160,1.1373,1.1373,1.11,1.12,1600
164,1.122,1.122,1.122,1.122,1000
169,1.11,1.11,1.11,1.11,500
170,1.1,1.1,1.1,1.1,200
178,1.1,1.1,1.1,1.1,100
182,1.1,1.1,1.1,1.1,300
183,1.1,1.1,1.093,1.1,1100
288,1.07,1.07,1.07,1.07,1086
289,1.06,1.06,1.06,1.06,177
290,1.06,1.0601,1.06,1.0601,4123
292,1.0442,1.058,1.0442,1.058,1100
293,1.05,1.05,1.03,1.0408,5527
294,1.0657,1.0657,1.0657,1.0657,615
295,1.0526,1.0526,1.0526,1.0526,1899
300,1.08,1.08,1.0799,1.0799,400
301,1.09,1.1,1.06,1.07,39649
302,1.1,1.1,1.1,1.1,500
307,1.09,1.09,1.09,1.09,200
312,1.0703,1.071,1.0703,1.071,1200
313,1.0914,1.0914,1.0914,1.0914,800
323,1.0746,1.0799,1.0746,1.0799,1700
324,1.07,1.0717,1.07,1.0717,3200
325,1.06,1.07,1.06,1.07,3900
326,1.06,1.06,1.06,1.06,1400
327,1.06,1.0616,1.06,1.0616,2450
435,1.064,1.07,1.064,1.07,4100
436,1.0989,1.1,1.0972,1.1,500
448,1.06,1.0988,1.06,1.0626,3200
452,1.0784,1.0784,1.0784,1.0784,100
457,1.08,1.08,1.08,1.08,100
469,1.0784,1.0784,1.0784,1.0784,2500
470,1.05,1.0784,1.05,1.0784,5200
471,1.05,1.051,1.05,1.05,2200
576,1.03,1.03,1.03,1.03,1900
577,1.02,1.02,1.02,1.02,7500
579,1.05,1.05,1.03,1.0304,1960
580,1.02,1.0311,1.02,1.02,20360
581,1.06,1.06,1.0301,1.0316,3670
582,1.06,1.06,1.06,1.06,100
589,1.06,1.06,1.06,1.06,300
590,1.0648,1.0648,1.0601,1.0601,500
591,1.06,1.0652,1.06,1.0652,1600
593,1.06,1.06,1.06,1.06,800
594,1.07,1.07,1.07,1.07,500
597,1.0653,1.0653,1.0653,1.0653,400
599,1.06,1.061,1.06,1.061,4100
600,1.06,1.0611,1.06,1.0611,2100
606,1.09,1.09,1.0693,1.0693,700
607,1.09,1.09,1.08,1.08,600
608,1.09,1.09,1.0801,1.0801,580
609,1.09,1.09,1.0893,1.0893,400
610,1.08,1.1,1.08,1.1,86033
611,1.0986,1.1,1.0986,1.1,25000
612,1.09,1.1,1.08,1.1,5300
615,1.0901,1.0901,1.0901,1.0901,300
a1494250200,1.11,1.11,1.11,1.11,1105
1,1.1058,1.11,1.1,1.11,3500
3,1.0984,1.0984,1.0984,1.0984,200
6,1.0735,1.0735,1.0735,1.0735,210
8,1.1,1.1,1.0674,1.0674,2000
10,1.1,1.1,1.1,1.1,759
14,1.1,1.1,1.1,1.1,296
16,1.1,1.1,1.1,1.1,900
19,1.0924,1.0924,1.0924,1.0924,3000
21,1.1,1.1,1.1,1.1,300
22,1.098,1.098,1.098,1.098,100
36,1.1,1.1,1.0938,1.0938,2080
38,1.09,1.09,1.09,1.09,200
39,1.1,1.1,1.09,1.1,9470
144,1.07,1.07,1.07,1.07,1130
146,1.0799,1.0799,1.0799,1.0799,150
148,1.0674,1.0674,1.0674,1.0674,8000
150,1.0689,1.07,1.057,1.057,2000
151,1.06,1.06,1.06,1.06,200
152,1.0763,1.0763,1.0763,1.0763,1250
153,1.11,1.11,1.072,1.08,16835
155,1.1,1.1,1.1,1.1,100
158,1.1,1.1011,1.1,1.1011,2200
166,1.06,1.1,1.06,1.1,1475
168,1.0914,1.12,1.09,1.09,40400
180,1.0727,1.11,1.06,1.0984,4635
181,1.08,1.1001,1.07,1.0839,8600
