EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493040600,10.53,10.53,10.53,10.53,633
3,10.46,10.693,10.46,10.693,600
4,10.55,10.55,10.55,10.55,100
5,10.57,10.57,10.57,10.57,800
6,10.5576,10.57,10.55,10.57,1364
9,10.52,10.52,10.49,10.49,500
10,10.54,10.54,10.53,10.54,700
11,10.57,10.57,10.57,10.57,100
14,10.62,10.62,10.62,10.62,1356
16,10.52,10.52,10.52,10.52,100
19,10.5358,10.5358,10.5358,10.5358,500
23,10.47,10.49,10.47,10.49,200
25,10.45,10.45,10.45,10.45,100
26,10.54,10.54,10.54,10.54,100
27,10.545,10.545,10.545,10.545,200
28,10.545,10.545,10.47,10.47,200
30,10.619,10.619,10.619,10.619,875
32,10.61,10.61,10.59,10.59,200
33,10.595,10.61,10.565,10.565,1100
34,10.61,10.61,10.49,10.57,900
35,10.51,10.61,10.51,10.61,300
36,10.61,10.61,10.61,10.61,100
37,10.54,10.63,10.54,10.61,310
38,10.65,10.65,10.53,10.63,700
39,10.62,10.64,10.56,10.64,2530
144,10.6,10.6,10.6,10.6,287
145,10.51,10.62,10.51,10.62,600
146,10.6416,10.66,10.62,10.62,1400
147,10.7019,10.7019,10.7019,10.7019,1000
148,10.71,10.71,10.65,10.65,600
149,10.805,10.805,10.71,10.72,1200
152,10.7279,10.83,10.7279,10.77,801
154,10.85,10.85,10.84,10.84,300
156,10.75,10.76,10.75,10.76,200
157,10.82,10.87,10.82,10.8487,758
158,10.8607,10.8607,10.8607,10.8607,399
159,10.82,10.82,10.79,10.82,900
161,10.842,10.842,10.842,10.842,100
162,10.78,10.78,10.78,10.78,100
163,10.87,10.8727,10.87,10.8727,200
164,10.89,10.89,10.89,10.89,100
165,10.86,10.89,10.86,10.89,500
168,10.66,10.7931,10.66,10.7931,850
169,10.75,10.75,10.72,10.72,400
171,10.5925,10.755,10.59,10.67,1108
172,10.6339,10.78,10.58,10.58,2650
173,10.79,10.79,10.79,10.79,200
176,10.58,10.58,10.58,10.58,100
177,10.5601,10.76,10.5601,10.74,570
179,10.68,10.78,10.6,10.76,400
180,10.68,10.68,10.68,10.68,1900
181,10.67,10.715,10.64,10.64,300
182,10.57,10.57,10.57,10.57,300
183,10.58,10.81,10.58,10.695,2202
289,10.44,10.447,10.44,10.447,400
290,10.41,10.41,10.41,10.41,100
291,10.5403,10.5403,10.5403,10.5403,300
295,10.45,10.46,10.43,10.46,516
297,10.5,10.5,10.49,10.49,300
298,10.4468,10.4468,10.4207,10.4207,280
300,10.6785,10.6785,10.6785,10.6785,700
303,10.58,10.58,10.58,10.58,100
308,10.4468,10.4468,10.4468,10.4468,150
314,10.4,10.4,10.4,10.4,140
316,10.5051,10.5051,10.5051,10.5051,300
318,10.44,10.44,10.44,10.44,100
320,10.42,10.42,10.42,10.42,100
321,10.4261,10.4261,10.4261,10.4261,250
324,10.35,10.3664,10.35,10.36,2921
325,10.35,10.35,10.33,10.35,4580
326,10.33,10.35,10.33,10.33,2320
327,10.29,10.4125,10.29,10.4125,1400
432,10.28,10.28,10.28,10.28,317
434,10.3238,10.3238,10.3238,10.3238,171
435,10.32,10.4178,10.3,10.4178,1800
436,10.366,10.366,10.366,10.366,500
441,10.46,10.5777,10.43,10.43,1500
442,10.4101,10.4101,10.4101,10.4101,193
449,10.4,10.4,10.4,10.4,1700
450,10.375,10.38,10.35,10.38,7900
451,10.35,10.35,10.34,10.345,3300
452,10.37,10.37,10.37,10.37,200
454,10.38,10.38,10.38,10.38,300
458,10.3692,10.38,10.3692,10.38,455
459,10.38,10.38,10.36,10.36,200
462,10.375,10.375,10.36,10.36,300
463,10.341,10.37,10.34,10.34,800
464,10.34,10.35,10.34,10.35,10000
465,10.373,10.373,10.373,10.373,100
466,10.39,10.4,10.39,10.4,200
467,10.36,10.36,10.35,10.36,300
469,10.38,10.38,10.38,10.38,200
470,10.39,10.39,10.39,10.39,300
471,10.35,10.39,10.35,10.37,1078
576,10.23,10.23,10.23,10.23,1207
577,10.35,10.35,10.2,10.2,300
580,10.35,10.35,10.23,10.35,1700
581,10.335,10.37,10.3,10.35,1600
583,10.3135,10.36,10.3135,10.36,600
588,10.4886,10.4886,10.41,10.41,700
589,10.36,10.412,10.36,10.412,1100
590,10.37,10.37,10.37,10.37,100
591,10.36,10.38,10.32,10.37,1260
592,10.4842,10.4842,10.34,10.37,7200
593,10.5133,10.5699,10.44,10.5699,500
595,10.43,10.43,10.43,10.43,100
596,10.4,10.4403,10.4,10.4403,700
597,10.4,10.4,10.4,10.4,19400
598,10.41,10.41,10.4,10.4,1000
599,10.43,10.4302,10.4128,10.4128,2911
600,10.41,10.41,10.41,10.41,200
602,10.41,10.41,10.41,10.41,300
603,10.41,10.41,10.41,10.41,200
605,10.4,10.4271,10.4,10.4271,500
607,10.4,10.4,10.4,10.4,2100
608,10.36,10.36,10.36,10.36,100
609,10.405,10.405,10.38,10.38,700
610,10.38,10.4,10.38,10.4,1400
612,10.415,10.415,10.415,10.415,100
613,10.42,10.42,10.42,10.42,600
614,10.4,10.42,10.4,10.41,2500
615,10.33,10.42,10.33,10.4,3780
a1493645400,10.53,10.53,10.53,10.53,1162
2,10.4432,10.4432,10.3921,10.3921,336
3,10.41,10.48,10.4,10.48,300
5,10.4,10.4,10.37,10.37,300
6,10.4,10.4156,10.4,10.4156,675
7,10.427,10.427,10.427,10.427,1000
8,10.4494,10.61,10.4494,10.61,900
9,10.5,10.5,10.5,10.5,100
10,10.44,10.5,10.42,10.42,600
11,10.47,10.47,10.47,10.47,300
12,10.41,10.41,10.41,10.41,100
13,10.5,10.5,10.5,10.5,100
14,10.49,10.49,10.49,10.49,100
15,10.4567,10.4567,10.4567,10.4567,725
17,10.54,10.54,10.54,10.54,500
20,10.49,10.49,10.49,10.49,100
27,10.52,10.52,10.52,10.52,100
28,10.52,10.56,10.52,10.56,600
31,10.5,10.5,10.5,10.5,100
34,10.46,10.46,10.46,10.46,100
35,10.56,10.57,10.52,10.52,1200
36,10.55,10.575,10.55,10.575,200
37,10.525,10.54,10.525,10.54,300
38,10.54,10.56,10.54,10.5426,900
39,10.55,10.6,10.5299,10.5299,1007
144,10.49,10.49,10.49,10.49,126
145,10.4101,10.55,10.4,10.55,2364
146,10.43,10.55,10.43,10.55,200
147,10.53,10.61,10.53,10.55,300
148,10.51,10.54,10.415,10.54,1284
149,10.52,10.63,10.42,10.5,3100
150,10.42,10.42,10.42,10.42,100
151,10.42,10.42,10.42,10.42,100
152,10.4,10.62,10.4,10.505,5800
153,10.38,10.51,10.37,10.45,4932
154,10.35,10.35,10.34,10.34,200
155,10.39,10.39,10.39,10.39,100
158,10.38,10.38,10.35,10.35,300
159,10.355,10.355,10.34,10.35,300
162,10.2951,10.2951,10.2951,10.2951,100
163,10.3099,10.34,10.3099,10.34,300
164,10.28,10.39,10.261,10.325,600
165,10.3,10.3,10.3,10.3,100
166,10.27,10.27,10.27,10.27,100
169,10.38,10.38,10.38,10.38,100
172,10.2865,10.2865,10.2865,10.2865,300
173,10.3056,10.34,10.3056,10.34,200
174,10.345,10.345,10.31,10.31,300
175,10.38,10.38,10.3796,10.3799,3300
176,10.37,10.37,10.37,10.37,100
177,10.31,10.31,10.31,10.31,100
178,10.385,10.385,10.36,10.38,1300
179,10.45,10.465,10.38,10.38,3550
180,10.4,10.45,10.4,10.45,200
181,10.438,10.438,10.42,10.42,300
182,10.4,10.4,10.4,10.4,400
183,10.39,10.4,10.33,10.4,800
288,10.4,10.4,10.26,10.26,2657
289,10.3661,10.4,10.26,10.4,881
290,10.49,10.49,10.3934,10.3934,458
292,10.5,10.5,10.38,10.4,1700
293,10.27,10.445,10.27,10.445,2400
294,10.46,10.46,10.46,10.46,100
295,10.375,10.46,10.29,10.44,500
296,10.48,10.48,10.281,10.281,350
297,10.44,10.44,10.44,10.44,100
298,10.48,10.48,10.3301,10.413,1636
300,10.4224,10.43,10.4224,10.43,500
301,10.4,10.405,10.4,10.405,400
302,10.46,10.46,10.33,10.33,200
