EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493040600,7.09,7.09,7.09,7.09,66477
1,6.8701,7.1,6.85,7.1,623712
2,6.8,6.9,6.8,6.88,438898
3,6.8599,6.87,6.76,6.805,426428
4,6.9,6.98,6.84,6.85,289979
5,6.89,6.92,6.85,6.91,209788
6,6.866,6.8985,6.84,6.89,229194
7,6.8601,6.88,6.82,6.8625,127068
8,6.85,6.865,6.85,6.86,44413
9,6.87,6.88,6.84,6.85,73265
10,6.86,6.8701,6.86,6.8701,29187
11,6.86,6.87,6.84,6.87,52131
12,6.8265,6.87,6.82,6.86,75184
13,6.8301,6.8399,6.81,6.83,206507
14,6.8155,6.8355,6.81,6.8355,44696
15,6.83,6.87,6.81,6.8108,73974
16,6.8401,6.85,6.83,6.835,21612
17,6.855,6.87,6.845,6.8484,31368
18,6.86,6.87,6.85,6.85,35811
19,6.8689,6.87,6.85,6.86,46538
20,6.87,6.88,6.86,6.86,18189
21,6.9411,6.95,6.87,6.8789,198105
22,6.9142,6.95,6.8811,6.941,87289
23,6.8708,6.92,6.86,6.92,52293
24,6.91,6.91,6.87,6.87,18888
25,6.895,6.915,6.89,6.9,16348
26,6.9,6.93,6.89,6.895,38774
27,6.895,6.91,6.89,6.9,23803
28,6.8958,6.9,6.89,6.891,23173
29,6.895,6.93,6.89,6.9,50177
30,6.89,6.9,6.85,6.899,67753
31,6.8601,6.8899,6.85,6.885,27098
32,6.9,6.9,6.86,6.865,67833
33,6.9,6.91,6.87,6.909,32299
34,6.9,6.93,6.9,6.903,61298
35,6.89,6.9,6.87,6.89,39497
36,6.895,6.9,6.88,6.895,73247
37,6.9442,6.96,6.899,6.9,153215
38,6.95,6.96,6.93,6.945,107290
39,6.985,6.99,6.93,6.96,366609
144,6.91,6.97,6.91,6.97,35394
145,6.9708,6.98,6.9,6.93,103207
146,6.8635,7.01,6.86,6.971,131851
147,6.9084,6.91,6.83,6.8661,188152
148,6.97,6.97,6.9,6.9038,63389
149,6.93,6.9682,6.905,6.965,83907
150,6.8801,6.94,6.87,6.93,98784
151,6.89,6.9,6.87,6.89,46115
152,6.8407,6.89,6.84,6.885,77627
153,6.84,6.87,6.84,6.8499,53936
154,6.8901,6.9,6.84,6.8462,36416
155,6.9225,6.93,6.87,6.89,50471
156,6.9,6.93,6.9,6.93,34856
157,6.89,6.94,6.89,6.91,49617
158,6.92,6.94,6.89,6.89,66848
159,6.89,6.9299,6.89,6.925,46161
160,6.89,6.9,6.88,6.88,26148
161,6.9,6.91,6.88,6.8907,30155
162,6.91,6.92,6.89,6.9,29590
163,6.915,6.92,6.89,6.9102,53226
164,6.93,6.935,6.91,6.91,42335
165,6.91,6.925,6.9,6.92,23334
166,6.937,6.94,6.91,6.91,9165
167,6.93,6.94,6.92,6.934,23070
168,6.93,6.95,6.93,6.9307,29857
169,6.93,6.9399,6.93,6.9399,12060
170,6.89,6.935,6.88,6.93,46497
171,6.88,6.8947,6.88,6.88,18877
172,6.8919,6.9,6.88,6.8842,35771
173,6.89,6.9,6.89,6.9,12650
174,6.9,6.91,6.9,6.9,28718
175,6.89,6.9093,6.89,6.9,16160
176,6.9,6.915,6.89,6.89,22260
177,6.9301,6.94,6.9068,6.9068,56174
178,6.95,6.97,6.93,6.93,108704
179,6.96,6.96,6.94,6.9508,60786
180,6.97,6.99,6.96,6.96,86283
181,6.96,6.98,6.96,6.975,77678
182,6.97,6.98,6.95,6.955,83926
183,6.98,6.99,6.96,6.975,213716
288,6.9,6.9,6.9,6.9,25974
289,6.9364,6.97,6.88,6.91,72709
290,6.9409,6.95,6.89,6.94,44180
291,6.9884,7,6.92,6.95,87604
292,7.035,7.05,6.97,6.99,163744
293,7.045,7.08,7.01,7.035,190606
294,7.0509,7.07,7.03,7.05,68404
295,7.0599,7.061,7.04,7.055,40304
296,7.1364,7.14,7.055,7.0599,199241
297,7.15,7.15,7.1,7.1386,112999
298,7.17,7.18,7.13,7.15,187831
299,7.157,7.195,7.15,7.1693,189919
300,7.1109,7.17,7.11,7.16,136085
301,7.105,7.125,7.08,7.12,62453
302,7.0724,7.12,7.07,7.105,121431
303,7.1,7.11,7.07,7.075,43375
304,7.0951,7.105,7.075,7.1,18335
305,7.1201,7.15,7.0909,7.0965,35683
306,7.1593,7.18,7.12,7.12,52137
307,7.14,7.1699,7.12,7.1532,77323
308,7.12,7.17,7.12,7.14,47857
309,7.15,7.1509,7.11,7.1193,35339
310,7.16,7.1651,7.1351,7.15,39165
311,7.144,7.17,7.135,7.17,48888
312,7.1244,7.16,7.12,7.14,34852
313,7.1201,7.13,7.08,7.13,72745
314,7.09,7.13,7.08,7.12,55882
315,7.0965,7.13,7.09,7.1,26253
316,7.1,7.1,7.08,7.09,42894
317,7.12,7.15,7.095,7.095,22953
318,7.14,7.15,7.11,7.12,27981
319,7.1208,7.15,7.12,7.135,21900
320,7.15,7.16,7.1,7.1101,114521
321,7.15,7.17,7.145,7.155,68514
322,7.16,7.16,7.14,7.155,27852
323,7.14,7.155,7.13,7.155,55979
324,7.165,7.17,7.13,7.135,61850
325,7.19,7.19,7.16,7.17,139754
326,7.38,7.43,7.18,7.18,634389
327,7.36,7.39,7.33,7.38,612207
432,7.35,7.36,7.31,7.36,29159
433,7.34,7.53,7.26,7.34,545752
434,7.28,7.35,7.2675,7.346,150811
435,7.31,7.3246,7.261,7.285,67947
436,7.311,7.34,7.29,7.3138,52047
437,7.27,7.319,7.26,7.319,86394
438,7.249,7.29,7.21,7.28,167595
439,7.165,7.2399,7.16,7.2359,357129
440,7.1384,7.17,7.11,7.1602,300754
441,7.13,7.16,7.13,7.1399,102101
442,7.1899,7.21,7.13,7.14,41780
443,7.18,7.19,7.165,7.19,39440
444,7.21,7.24,7.1738,7.1843,62013
445,7.2348,7.26,7.21,7.21,35572
446,7.24,7.255,7.22,7.24,54450
447,7.285,7.29,7.24,7.24,58057
448,7.2701,7.3,7.24,7.28,72250
449,7.245,7.3,7.22,7.28,49746
450,7.22,7.27,7.21,7.2401,42387
451,7.21,7.24,7.195,7.2293,29536
452,7.1909,7.23,7.18,7.21,32048
453,7.18,7.1993,7.16,7.19,37097
454,7.1699,7.2,7.15,7.18,43540
455,7.18,7.185,7.15,7.165,43799
456,7.175,7.1936,7.16,7.17,47440
457,7.17,7.2,7.15,7.17,81253
458,7.1555,7.17,7.15,7.16,18438
459,7.165,7.17,7.15,7.155,37864
460,7.13,7.165,7.13,7.165,48417
461,7.14,7.16,7.13,7.14,51285
462,7.13,7.16,7.13,7.1472,27346
463,7.1462,7.15,7.13,7.13,29363
464,7.1369,7.14,7.115,7.14,76200
465,7.12,7.145,7.11,7.135,37165
466,7.139,7.15,7.1,7.11,103427
467,7.11,7.139,7.11,7.139,45443
468,7.125,7.13,7.1,7.11,50714
469,7.1,7.13,7.1,7.13,85905
470,7.105,7.12,7.1,7.1,61723
471,7.1,7.12,7.08,7.11,187350
576,7.13,7.13,7.11,7.11,21300
577,6.96,7.1001,6.95,7.08,255474
578,6.9909,7.02,6.95,6.96,122994
579,6.9958,6.9991,6.95,6.99,58230
580,6.93,7,6.93,6.9924,77510
581,6.9301,6.95,6.915,6.9367,85996
582,6.9596,6.96,6.93,6.9307,43926
583,6.9891,6.9962,6.95,6.95,41694
584,6.98,6.9958,6.98,6.99,64615
585,7.045,7.0799,6.98,6.98,75784
586,7.015,7.05,7.01,7.045,28064
587,7.01,7.02,7,7.01,30511
588,6.985,7.02,6.98,7.0131,44074
589,6.995,7.02,6.98,6.9887,60870
590,6.9951,7,6.99,6.995,11794
591,7.015,7.02,6.99,6.9937,16361
592,7.02,7.03,7,7.01,21069
593,6.9993,7.03,6.99,7.03,45548
594,6.9999,7,6.99,6.99,11200
595,6.99,7.005,6.99,7,16689
596,6.9901,7.0047,6.99,6.9999,18960
597,7,7,6.99,6.9953,27800
598,7,7,6.99,7,7500
599,6.9935,7,6.99,7,9290
600,6.9948,7,6.99,6.995,10418
601,6.9907,7,6.99,6.993,22040
602,7,7,6.99,7,39158
