EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493040600,9.36,9.36,9.36,9.36,1136
1,9.43,9.45,9.4,9.42,13890
2,9.34,9.4,9.34,9.4,11849
3,9.38,9.4,9.3,9.34,19624
4,9.46,9.46,9.36,9.37,21718
5,9.48,9.5,9.4,9.48,27553
6,9.4,9.5,9.4,9.47,16264
7,9.38,9.43,9.38,9.4,11364
8,9.44,9.48,9.37,9.38,17632
9,9.42,9.43,9.35,9.43,22979
10,9.46,9.48,9.4,9.42,9300
11,9.46,9.49,9.43,9.46,30485
12,9.43,9.47,9.41,9.47,6100
13,9.46,9.46,9.37,9.42,19218
14,9.43,9.46,9.43,9.46,6767
15,9.46,9.47,9.43,9.43,11628
16,9.4,9.45,9.39,9.45,19106
17,9.41,9.43,9.37,9.38,10917
18,9.43,9.45,9.42,9.42,22759
19,9.42,9.44,9.42,9.43,7369
20,9.41,9.42,9.41,9.42,200
21,9.42,9.43,9.42,9.43,1400
22,9.44,9.45,9.42,9.43,6422
23,9.43,9.44,9.43,9.435,3976
24,9.45,9.5,9.43,9.45,11273
25,9.43,9.47,9.41,9.47,19162
26,9.44,9.45,9.44,9.45,300
27,9.43,9.46,9.43,9.45,4300
28,9.41,9.42,9.41,9.42,400
29,9.42,9.42,9.4,9.4,1100
30,9.4,9.4,9.4,9.4,100
31,9.4,9.41,9.38,9.4,1500
32,9.4,9.41,9.39,9.4,1700
33,9.35,9.4,9.33,9.4,18033
34,9.36,9.36,9.355,9.355,1068
35,9.355,9.365,9.35,9.36,7900
36,9.37,9.37,9.34,9.35,4159
37,9.38,9.43,9.37,9.38,4667
38,9.4,9.4,9.37,9.37,2975
39,9.43,9.45,9.41,9.41,26938
144,9.49,9.49,9.49,9.49,1200
145,9.48,9.49,9.2595,9.2595,4620
146,9.46,9.49,9.45,9.49,4728
147,9.47,9.48,9.46,9.47,8087
148,9.46,9.5,9.42,9.47,28249
149,9.45,9.48,9.42,9.47,19737
150,9.48,9.48,9.44,9.45,7055
151,9.47,9.49,9.46,9.48,14753
152,9.43,9.48,9.43,9.47,11678
153,9.44,9.47,9.42,9.44,25855
154,9.45,9.45,9.41,9.45,10518
156,9.42,9.422,9.42,9.422,500
157,9.46,9.46,9.4399,9.4399,6110
158,9.46,9.46,9.45,9.46,3011
159,9.43,9.46,9.42,9.45,7100
160,9.43,9.45,9.42,9.43,22522
161,9.44,9.46,9.43,9.44,10403
162,9.43,9.44,9.43,9.44,2200
163,9.45,9.46,9.44,9.45,2300
164,9.44,9.46,9.41,9.46,16619
165,9.4,9.44,9.4,9.42,4800
166,9.41,9.42,9.37,9.4,12102
167,9.39,9.42,9.39,9.39,19223
168,9.45,9.45,9.39,9.39,9300
169,9.45,9.47,9.45,9.45,6100
170,9.45,9.48,9.45,9.46,6664
171,9.45,9.46,9.45,9.45,5700
172,9.47,9.48,9.43,9.45,29101
173,9.46,9.49,9.45,9.47,13318
174,9.45,9.49,9.45,9.46,12600
175,9.38,9.49,9.09,9.48,52890
176,9.43,9.43,9.39,9.39,919
177,9.43,9.44,9.4272,9.43,1259
178,9.46,9.48,9.43,9.43,1500
179,9.46,9.48,9.44,9.48,2400
180,9.5,9.53,9.49,9.49,7700
181,9.5,9.53,9.49,9.49,4000
182,9.46,9.54,9.4141,9.51,10141
183,9.47,9.5,9.42,9.5,23031
288,9.4,9.4,9.4,9.4,716
289,9.55,9.68,9.55,9.68,200
290,9.52,9.56,9.52,9.56,700
291,9.6,9.61,9.48,9.52,4587
292,9.6,9.66,9.58,9.61,11274
293,9.6,9.63,9.53,9.6,13433
294,9.59,9.63,9.58,9.6,12637
295,9.57,9.61,9.56,9.61,16296
296,9.54,9.57,9.54,9.57,9847
297,9.58,9.6,9.54,9.54,3334
298,9.6,9.65,9.55,9.57,22397
299,9.63,9.66,9.6,9.6,15979
300,9.63,9.672,9.62,9.63,11842
301,9.64,9.65,9.62,9.62,4089
302,9.665,9.665,9.65,9.65,300
303,9.66,9.67,9.66,9.67,400
304,9.77,9.77,9.66,9.66,6425
305,9.74,9.78,9.74,9.78,700
306,9.75,9.8,9.71,9.75,2300
307,9.75,9.75,9.75,9.75,300
309,9.76,9.77,9.73,9.77,1200
310,9.74,9.78,9.74,9.76,3700
311,9.74,9.77,9.71,9.74,1687
312,9.72,9.74,9.71,9.74,6527
313,9.77,9.77,9.74,9.74,1400
314,9.74,9.76,9.74,9.76,787
315,9.75,9.76,9.75,9.76,800
316,9.74,9.77,9.74,9.74,3700
317,9.76,9.77,9.69,9.73,6101
318,9.75,9.77,9.71,9.76,5000
319,9.79,9.79,9.77,9.77,2100
320,9.77,9.79,9.77,9.79,300
321,9.83,9.83,9.79,9.8,7539
322,9.89,9.89,9.82,9.83,4298
323,9.88,9.9,9.81,9.88,2902
324,9.84,9.87,9.83,9.86,7200
325,9.88,9.95,9.84,9.84,3400
326,9.86,9.8929,9.85,9.8929,11300
327,9.83,9.87,9.81,9.86,21984
432,9.83,9.83,9.83,9.83,400
433,9.83,9.83,9.83,9.83,1983
434,9.875,9.875,9.685,9.685,400
435,9.86,9.89,9.83,9.88,2200
436,9.76,9.88,9.76,9.865,3100
437,9.8,9.8,9.7292,9.75,1500
438,9.79,9.885,9.79,9.79,1500
439,9.82,9.86,9.8,9.8,1000
440,9.88,9.9,9.81,9.865,2399
441,9.86,9.9,9.81,9.84,1866
442,9.79,9.855,9.78,9.855,900
443,9.83,9.89,9.83,9.84,2100
444,9.84,9.94,9.84,9.86,1600
445,9.88,9.91,9.84,9.89,6034
446,9.855,9.895,9.855,9.855,1100
447,9.85,9.87,9.82,9.87,2100
448,9.87,9.88,9.83,9.85,2100
449,9.85,9.91,9.85,9.86,4000
450,9.84,9.87,9.84,9.86,3797
451,9.85,9.86,9.85,9.86,400
452,9.81,9.86,9.81,9.85,19099
453,9.84,9.86,9.78,9.81,29588
454,9.85,9.93,9.83,9.83,18318
455,9.83,9.88,9.82,9.86,24430
456,9.8,9.88,9.77,9.83,18318
457,9.84,9.84,9.77,9.77,27384
458,9.8,9.82,9.799,9.82,2900
459,9.815,9.83,9.79,9.8,1800
460,9.8,9.84,9.8,9.815,2200
461,9.82,9.82,9.8,9.8,400
462,9.81,9.84,9.8,9.82,2500
463,9.83,9.85,9.81,9.83,13468
464,9.845,9.845,9.82,9.82,1300
465,9.84,9.85,9.811,9.85,20285
466,9.82,9.86,9.82,9.84,7200
467,9.845,9.85,9.81,9.82,2800
468,9.84,9.85,9.84,9.845,5100
469,9.82,9.83,9.81,9.83,8600
470,9.83,9.84,9.82,9.82,2508
471,9.82,9.85,9.82,9.83,17818
576,9.84,9.84,9.84,9.84,350
577,9.83,9.84,9.8,9.81,800
578,9.86,9.95,9.83,9.83,400
579,9.73,9.86,9.73,9.86,2700
580,9.735,9.735,9.61,9.72,1100
581,9.67,9.72,9.61,9.71,1900
582,9.69,9.72,9.67,9.72,840
583,9.77,9.78,9.73,9.73,400
584,9.75,9.8,9.73,9.78,6498
585,9.76,9.79,9.76,9.77,9256
586,9.73,9.75,9.71,9.745,8305
587,9.73,9.75,9.68,9.72,4800
588,9.7,9.75,9.7,9.72,19466
589,9.67,9.7,9.66,9.68,8029
590,9.66,9.68,9.65,9.67,11600
591,9.63,9.69,9.63,9.68,13675
592,9.65,9.65,9.635,9.635,4500
593,9.63,9.66,9.575,9.64,8164
594,9.6,9.66,9.59,9.66,8600
595,9.51,9.62,9.51,9.6,18345
596,9.55,9.55,9.52,9.52,10113
597,9.5,9.57,9.5,9.55,1100
598,9.48,9.55,9.47,9.52,2675
600,9.46,9.5,9.46,9.48,800
601,9.54,9.56,9.46,9.46,10404
602,9.51,9.6,9.51,9.57,5775
603,9.55,9.55,9.51,9.52,900
604,9.56,9.56,9.52,9.52,1000
605,9.5,9.55,9.42,9.55,6200
606,9.47,9.49,9.47,9.49,400
607,9.51,9.53,9.47,9.47,5100
608,9.46,9.49,9.46,9.49,300
609,9.49,9.49,9.46,9.46,2123
610,9.49,9.49,9.49,9.49,1900
