EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493040600,3.9,3.9,3.9,3.9,1469
1,3.8,3.9,3.8,3.875,4700
2,3.8,3.84,3.8,3.8,3937
3,3.775,3.8,3.76,3.76,1200
4,3.8,3.8,3.7713,3.8,2400
5,3.8,3.8,3.7,3.775,5945
6,3.775,3.8,3.75,3.775,400
7,3.8,3.8,3.75,3.775,11148
8,3.775,3.8,3.75,3.7843,1620
9,3.775,3.8,3.75,3.75,500
10,3.775,3.8,3.75,3.75,800
11,3.775,3.7787,3.775,3.7787,600
12,3.8,3.8,3.75,3.75,400
13,3.775,3.8,3.775,3.775,400
14,3.8,3.8,3.75,3.775,3463
15,3.775,3.8,3.775,3.8,1062
16,3.775,3.8,3.75,3.75,2100
17,3.8,3.8,3.75,3.775,2200
18,3.75,3.775,3.75,3.775,200
19,3.775,3.775,3.775,3.775,500
20,3.8,3.8,3.75,3.8,2916
21,3.75,3.8,3.75,3.775,1000
22,3.775,3.8,3.775,3.775,800
23,3.75,3.7801,3.75,3.7801,1100
24,3.775,3.8,3.75,3.775,3100
25,3.7891,3.8,3.75,3.75,1800
26,3.825,3.85,3.775,3.775,21737
27,3.825,3.85,3.8,3.825,1000
28,3.825,3.85,3.825,3.825,900
29,3.825,3.85,3.8,3.8,2800
30,3.8,3.8,3.8,3.8,100
31,3.825,3.825,3.8,3.825,300
32,3.85,3.85,3.8,3.825,500
33,3.8,3.825,3.8,3.8,300
34,3.85,3.85,3.8,3.825,2300
35,3.845,3.85,3.8,3.85,17815
36,3.95,3.95,3.8,3.85,18700
37,3.9247,4,3.9,3.95,12326
38,3.975,4,3.905,3.95,6785
39,4,4,3.95,3.975,38812
144,4.05,4.05,4.05,4.05,1383
145,3.95,4,3.95,3.98,2541
146,3.95,3.975,3.95,3.975,300
147,3.95,3.975,3.95,3.95,1240
148,3.925,3.95,3.9,3.95,2300
149,4.025,4.05,3.9,3.9259,16533
150,4.05,4.1,4.025,4.05,7959
151,4.05,4.05,4.005,4.01,1900
153,4.025,4.05,4,4,7169
154,4,4.05,4,4.025,800
155,4,4.025,4,4,400
156,4.05,4.05,4,4.025,5541
157,4.025,4.05,4,4,500
158,4.025,4.05,4.025,4.025,1966
159,4.025,4.05,4,4.0125,1550
160,4,4.025,4,4.025,600
161,4,4.025,4,4,3702
162,3.975,4,3.975,4,1000
163,3.95,3.975,3.95,3.975,500
164,3.95,3.975,3.95,3.975,940
165,4.025,4.05,3.95,3.95,7450
166,4.025,4.025,4.025,4.025,200
167,4,4.05,4,4.0247,1305
169,4,4.05,4,4.025,906
170,4.05,4.05,4,4.031,1100
171,4.025,4.05,4.005,4.005,2995
172,4,4.025,4,4.01,1800
173,4,4.025,4,4.025,400
174,4,4.025,4,4,3000
175,4,4.025,4,4,668
176,4,4.025,4,4,3756
177,4.022,4.045,4,4,6651
178,4,4.045,4,4,5304
179,4,4.025,4,4.025,1900
180,4,4.0312,4,4,2406
181,4,4.045,4,4.045,2800
182,4,4.025,4,4.025,3600
183,4,4.05,4,4,51681
288,4,4,4,4,539
289,4,4,3.9159,3.95,800
290,4,4.05,4,4,900
291,4,4,4,4,4000
292,4,4.05,4,4,1844
293,3.995,4,3.95,3.96,4350
294,4,4,4,4,1089
295,4,4,3.95,4,2400
296,4,4,3.95,4,513
297,4,4.05,3.95,3.95,15500
298,4.05,4.1,4,4,55908
299,4.105,4.15,4.075,4.1,16419
300,4.1,4.175,4.1,4.15,4457
301,4.15,4.1644,4.1,4.1644,8600
302,4.15,4.175,4.15,4.15,3650
303,4.15,4.1775,4.1,4.15,5087
304,4.1,4.15,4.1,4.15,5000
305,4.15,4.15,4.1,4.1,200
306,4.125,4.15,4.1,4.15,3933
307,4.125,4.125,4.12,4.12,700
308,4.15,4.15,4.1,4.145,7960
309,4.1,4.15,4.1,4.15,2600
310,4.125,4.15,4.1,4.1248,665
311,4.1,4.15,4.1,4.1195,5200
312,4.1,4.1,4.1,4.1,1900
313,4.1,4.125,4.1,4.1247,2300
314,4.05,4.125,4.05,4.125,18000
315,4.175,4.2,4.05,4.05,25201
316,4.15,4.15,4.15,4.15,900
317,4.14,4.15,4.14,4.15,2788
318,4.15,4.15,4.1,4.1,6989
319,4.125,4.2,4.125,4.15,5737
320,4.15,4.15,4.125,4.15,1400
321,4.145,4.15,4.125,4.125,1750
322,4.155,4.2,4.125,4.1305,19500
323,4.15,4.15,4.15,4.15,3400
324,4.1,4.15,4.1,4.125,18924
325,4.105,4.175,4.105,4.15,11503
326,4.05,4.15,4,4.125,32240
327,4.05,4.05,3.95,4.025,18642
432,4.05,4.05,4.05,4.05,505
433,4.05,4.1,4.016,4.05,1405
434,4.05,4.1,4.025,4.025,2598
435,4.075,4.1,4.075,4.1,1100
436,4.05,4.09,4.05,4.09,200
438,4.075,4.075,4.05,4.05,900
440,4.05,4.075,4,4.05,2858
441,4.025,4.05,4.016,4.025,1400
442,4,4,4,4,100
443,4,4.025,4,4.01,1400
444,4.025,4.0252,4,4.0252,1100
447,4,4.05,4,4.0228,1525
448,4.05,4.05,4.0211,4.0211,2702
449,4.05,4.05,4.025,4.025,2418
450,4.1,4.1,4.1,4.1,3314
451,4.05,4.075,4.05,4.075,400
453,4.05,4.1,4.05,4.075,1200
455,4.0755,4.1,4.05,4.0778,4120
456,4.075,4.075,4.075,4.075,100
457,4.075,4.1,4.05,4.05,400
458,4.06,4.0865,4.05,4.0865,650
459,4.05,4.05,4.05,4.05,100
461,4.05,4.1,4.05,4.055,3298
462,4.05,4.075,4.05,4.075,563
463,4.05,4.05,4.05,4.05,300
464,4.025,4.05,4.022,4.05,6400
465,4.025,4.05,4,4.025,3200
466,4.025,4.025,4.025,4.025,700
467,4.0686,4.1,4.045,4.05,6684
468,4.05,4.075,4.05,4.05,1400
469,4.075,4.1,4.05,4.075,1300
470,4.05,4.1,4.05,4.09,7904
471,4.1,4.15,4.05,4.1,33264
576,4.05,4.05,4.05,4.05,840
577,4.1,4.1,4.06,4.1,890
578,4.1,4.125,4.1,4.1,3615
579,4.125,4.125,4.125,4.125,1200
580,4.05,4.14,4.05,4.14,7543
581,4.05,4.05,4.05,4.05,400
582,4.05,4.075,4.05,4.0748,2770
583,4.075,4.075,4.05,4.06,3597
584,4.09,4.09,4.05,4.05,750
585,4.05,4.0859,4.05,4.05,700
586,4.075,4.095,4.05,4.075,11100
587,4.1,4.125,4.075,4.075,4970
588,4.1,4.125,4.1,4.1,2828
589,4.1,4.145,4.1,4.1,9265
590,4.1,4.1,4.05,4.075,600
591,4.1,4.15,4.075,4.075,1500
592,4.15,4.175,4.1,4.14,16999
593,4.14,4.15,4.14,4.15,3862
594,4.1,4.125,4.1,4.125,400
595,4.125,4.125,4.1,4.1,300
596,4.1409,4.1409,4.1409,4.1409,240
597,4.1,4.1252,4.1,4.125,700
598,4.125,4.125,4.1,4.1,200
599,4.125,4.125,4.125,4.125,100
600,4.125,4.125,4.125,4.125,200
601,4.125,4.125,4.1248,4.1248,200
602,4.1,4.2,4.1,4.125,18888
603,4.05,4.1,4.05,4.1,3500
604,4.05,4.1,4.05,4.06,18690
605,4,4.05,4,4,1900
606,4,4,4,4,200
607,4,4.025,4,4,600
608,4.025,4.05,4.025,4.05,900
609,4,4.05,4,4.04,6450
610,4.05,4.05,4.04,4.04,4840
611,4.092,4.125,4.05,4.05,8112
612,4.075,4.075,4.075,4.075,100
613,4.1,4.1,4.05,4.05,1000
614,4.1,4.1,4.05,4.05,900
615,4.1,4.1,4.05,4.1,38480
a1493645400,4.05,4.05,4.05,4.05,331
1,4.11,4.14,4.099,4.1,3700
2,4.1,4.11,4.05,4.11,2160
3,4.1197,4.125,4.05,4.1,7300
4,4.1,4.15,4.05,4.1,6138
5,4.1,4.14,4.1,4.14,1475
6,4.1,4.1395,4.05,4.05,3010
7,4.1,4.1338,4.1,4.125,1100
8,4.1,4.15,4.1,4.145,4600
9,4.1,4.125,4.1,4.125,1616
10,4.025,4.075,4,4.05,8673
11,4.025,4.0411,4.025,4.025,1400
