EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493040600,3.99,3.99,3.99,3.99,200
7,3.89,3.9204,3.781,3.9204,3900
8,3.88,3.881,3.88,3.881,800
9,3.88,3.88,3.88,3.88,120
11,3.91,3.91,3.91,3.91,600
12,4,4,3.99,3.99,7800
14,3.965,3.965,3.9235,3.9235,1600
15,4,4,4,4,2500
19,3.95,4,3.95,3.95,1300
21,3.95,3.95,3.9,3.9,2700
22,3.95,3.95,3.95,3.95,3400
24,3.95,3.95,3.95,3.95,1000
27,3.9497,3.95,3.9224,3.9224,4500
30,3.9,3.9,3.9,3.9,100
34,3.9,3.9,3.9,3.9,100
35,3.85,3.9,3.85,3.9,3200
36,3.9476,3.9476,3.85,3.85,1100
39,3.84,3.84,3.83,3.83,400
149,3.62,3.84,3.57,3.84,22999
150,3.62,3.62,3.62,3.62,100
151,3.62,3.6201,3.62,3.62,500
152,3.6,3.637,3.6,3.6001,2240
153,3.6,3.61,3.5,3.61,7600
154,3.62,3.64,3.61,3.62,5000
155,3.6,3.62,3.6,3.62,500
156,3.64,3.64,3.63,3.63,300
157,3.636,3.65,3.6,3.6,762
158,3.7,3.7,3.68,3.68,3700
159,3.67,3.69,3.67,3.69,200
160,3.65,3.6601,3.65,3.66,9100
161,3.6601,3.6601,3.65,3.65,200
162,3.66,3.66,3.66,3.66,100
163,3.66,3.66,3.66,3.66,100
164,3.66,3.66,3.66,3.66,200
165,3.6601,3.6601,3.6601,3.6601,100
166,3.6528,3.6601,3.65,3.6601,7526
167,3.6621,3.6621,3.65,3.65,400
168,3.66,3.66,3.66,3.66,400
169,3.66,3.66,3.66,3.66,100
170,3.66,3.66,3.66,3.66,200
171,3.6601,3.6601,3.6601,3.6601,100
172,3.6011,3.66,3.6011,3.66,200
173,3.61,3.645,3.61,3.645,200
174,3.6056,3.6056,3.6011,3.6011,200
175,3.65,3.65,3.65,3.65,100
176,3.65,3.65,3.65,3.65,200
177,3.635,3.65,3.6,3.65,10200
178,3.58,3.635,3.56,3.635,4800
179,3.6,3.6,3.5805,3.5999,4200
180,3.58,3.58,3.58,3.58,200
181,3.58,3.59,3.58,3.59,200
182,3.51,3.59,3.51,3.59,1200
183,3.51,3.56,3.4728,3.56,11400
288,3.51,3.51,3.51,3.51,100
292,3.68,3.68,3.52,3.52,500
294,3.7936,3.7936,3.7936,3.7936,1000
295,3.49,3.6,3.49,3.6,6600
296,3.64,3.64,3.59,3.6,1900
297,3.64,3.64,3.6,3.63,500
298,3.6,3.6,3.6,3.6,800
300,3.6,3.6,3.6,3.6,100
303,3.62,3.62,3.6,3.6,223
305,3.6649,3.6649,3.6649,3.6649,2000
306,3.64,3.64,3.64,3.64,100
310,3.62,3.62,3.62,3.62,100
313,3.65,3.65,3.65,3.65,200
317,3.53,3.61,3.5,3.61,4500
318,3.59,3.59,3.59,3.59,100
319,3.61,3.61,3.61,3.61,100
326,3.56,3.56,3.56,3.56,400
327,3.55,3.56,3.55,3.56,700
432,3.55,3.55,3.55,3.55,300
434,3.52,3.57,3.52,3.57,6800
436,3.5202,3.5202,3.52,3.52,1400
438,3.52,3.52,3.52,3.52,1000
440,3.5464,3.5464,3.52,3.52,600
443,3.55,3.5534,3.55,3.55,1500
449,3.4902,3.54,3.4901,3.54,3600
450,3.519,3.519,3.519,3.519,1600
451,3.5002,3.5002,3.5002,3.5002,1000
457,3.51,3.51,3.51,3.51,100
459,3.5105,3.5105,3.5105,3.5105,250
461,3.52,3.52,3.5,3.5002,1100
467,3.5,3.51,3.5,3.51,1267
469,3.52,3.52,3.52,3.52,100
471,3.51,3.5558,3.5,3.5,1500
576,3.55,3.55,3.55,3.55,100
577,3.55,3.55,3.55,3.55,100
578,3.5,3.57,3.5,3.5501,1796
579,3.5,3.5,3.5,3.5,200
580,3.5,3.5,3.5,3.5,5000
581,3.5,3.5,3.5,3.5,7100
584,3.53,3.53,3.53,3.53,100
586,3.5,3.5,3.5,3.5,1000
587,3.48,3.48,3.48,3.48,100
593,3.4,3.4,3.37,3.37,300
594,3.4,3.4,3.4,3.4,600
596,3.44,3.45,3.4,3.4,800
597,3.5,3.5,3.49,3.49,800
598,3.5,3.5,3.49,3.5,1000
599,3.5,3.5,3.44,3.49,2400
602,3.4992,3.4992,3.497,3.497,400
612,3.5,3.5,3.5,3.5,1066
613,3.68,3.68,3.54,3.54,3200
614,3.61,3.66,3.6,3.6,2000
615,3.9,3.9999,3.61,3.61,15700
a1493646000,3.91,3.91,3.91,3.91,1000
1,3.79,3.79,3.79,3.79,200
3,3.55,3.74,3.55,3.737,5200
6,3.74,3.74,3.74,3.74,100
10,3.68,3.6901,3.68,3.69,899
11,3.6703,3.6703,3.6703,3.6703,1000
19,3.65,3.66,3.65,3.66,200
26,3.64,3.64,3.64,3.64,100
29,3.55,3.66,3.55,3.66,16742
30,3.56,3.56,3.54,3.55,700
34,3.54,3.5876,3.54,3.55,2300
36,3.54,3.54,3.54,3.54,400
37,3.54,3.54,3.54,3.54,100
38,3.6,3.6,3.54,3.54,300
144,3.5,3.55,3.5,3.55,1100
148,3.57,3.61,3.52,3.52,11400
149,3.5517,3.5533,3.54,3.5533,3500
150,3.55,3.55,3.55,3.55,300
151,3.55,3.55,3.55,3.55,100
152,3.54,3.54,3.54,3.54,200
158,3.5101,3.5401,3.5101,3.5401,3611
163,3.5,3.51,3.5,3.5,4750
164,3.5,3.5,3.5,3.5,200
167,3.7,3.8528,3.529,3.529,34448
169,3.84,3.84,3.8389,3.8389,200
170,3.84,3.84,3.83,3.83,400
171,3.84,3.84,3.83,3.83,200
172,3.7944,3.8,3.7944,3.8,850
173,3.82,3.8395,3.82,3.82,400
174,3.82,3.84,3.82,3.84,200
175,3.7,3.84,3.7,3.84,400
176,3.701,3.8395,3.7,3.82,3300
177,3.74,3.84,3.7,3.8389,700
178,3.81,3.81,3.81,3.81,200
179,3.7501,3.94,3.7501,3.94,2500
180,3.83,3.99,3.83,3.84,1600
181,3.94,3.9999,3.71,3.83,4100
182,3.9,3.99,3.9,3.94,7500
304,3.89,3.89,3.86,3.86,700
305,3.8899,3.89,3.87,3.87,1300
306,3.71,3.8899,3.57,3.57,3000
307,3.7299,3.7299,3.72,3.7299,1200
308,3.7299,3.7299,3.7299,3.7299,1200
309,3.7299,3.7299,3.7299,3.7299,1200
310,3.73,3.73,3.7299,3.7299,1200
311,3.8,3.89,3.5639,3.61,1300
312,3.55,3.95,3.52,3.9,6700
313,3.9,3.93,3.79,3.9,1400
314,4,4,3.95,3.95,1900
315,3.85,4,3.85,4,1400
316,3.83,3.83,3.83,3.83,200
319,3.83,3.83,3.83,3.83,100
322,3.82,3.82,3.82,3.82,100
324,3.73,3.73,3.73,3.73,100
325,3.76,3.76,3.76,3.76,100
326,3.75,3.75,3.75,3.75,200
435,3.99,3.99,3.95,3.99,5100
437,3.54,3.76,3.54,3.68,1500
438,3.58,3.62,3.58,3.58,4600
443,3.68,3.68,3.68,3.68,100
444,3.8228,3.8228,3.8228,3.8228,850
447,3.67,3.67,3.67,3.67,100
452,3.68,3.68,3.68,3.68,100
453,3.68,3.7,3.68,3.7,200
454,3.74,3.78,3.74,3.77,300
457,3.74,3.74,3.74,3.74,100
458,3.78,3.78,3.78,3.78,100
462,3.7,3.7,3.7,3.7,100
466,3.7,3.7,3.7,3.7,200
468,3.68,3.68,3.68,3.68,100
470,3.58,3.66,3.58,3.64,800
575,3.75,3.75,3.75,3.75,100
578,3.58,3.58,3.58,3.58,100
579,3.7,3.7,3.7,3.7,100
582,3.63,3.63,3.6,3.62,500
584,3.62,3.62,3.62,3.62,150
586,3.6,3.6,3.59,3.6,300
588,3.572,3.572,3.572,3.572,300
590,3.6,3.6,3.6,3.6,100
591,3.6,3.6,3.6,3.6,100
597,3.55,3.55,3.55,3.55,100
599,3.58,3.58,3.58,3.58,100
601,3.58,3.58,3.53,3.54,300
603,3.58,3.58,3.54,3.54,200
604,3.55,3.58,3.55,3.58,1300
605,3.61,3.61,3.61,3.61,200
