EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1495136400,27.76,27.76,27.76,27.76,400
576,27.94,27.94,27.94,27.94,200
a1495738800,27.85,27.85,27.85,27.85,100
133,27.93,27.93,27.93,27.93,100
141,27.35,27.5513,27.35,27.51,5000
150,27.3,27.3,27.3,27.3,300
724,27.3,27.31,27.3,27.31,200
725,27.34,27.34,27.34,27.34,200
858,27.42,27.42,27.34,27.34,300
859,27.42,27.42,27.42,27.42,200
860,27.44,27.44,27.42,27.42,600
a1496679000,27.1907,27.1907,27.15,27.15,600
21,27.34,27.34,27.24,27.24,497
23,27.204,27.204,27.204,27.204,500
307,27.2,27.2,27.2,27.2,150
309,28.192,28.192,28.192,28.192,750
428,27,27,27,27,400
588,27.137,27.45,27.1,27.4,1000
a1497454200,27.65,27.65,27.65,27.65,233
21,27.45,27.45,27.45,27.45,200
23,27.44,27.44,27.44,27.44,100
137,27.45,27.45,27.45,27.45,200
170,27.34,27.34,27.34,27.34,300
a1498139400,27.3451,27.3451,27.2,27.2,385
142,27.15,27.15,27.15,27.15,200
181,27.4,27.4,27.4,27.4,200
757,27.45,27.45,27.45,27.45,100
873,26.8632,26.89,26.8632,26.89,200
876,27.29,27.29,27.29,27.29,200
878,27.25,27.25,27.25,27.25,100
a1498743000,26.75,26.75,26.75,26.75,252
1,26.75,26.75,26.75,26.75,100
27,28.61,28.61,28.61,28.61,240
587,26.45,26.51,26.45,26.51,300
590,27.45,27.5,27.41,27.41,3000
