EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,24.71,24.71,24.71,24.71,924
1,24.82,24.91,24.72,24.72,2399
2,24.8,24.9,24.8,24.9,300
3,24.82,24.89,24.82,24.85,795
4,24.77,24.85,24.75,24.81,2076
5,24.8,24.83,24.73,24.7509,1950
6,24.81,24.9,24.81,24.87,500
7,24.8,24.855,24.8,24.83,800
8,24.76,24.79,24.68,24.79,18300
9,24.78,24.89,24.78,24.88,400
10,24.82,24.9,24.799,24.799,1000
11,24.89,24.89,24.89,24.89,100
12,24.84,24.92,24.84,24.9,994
13,24.795,24.8201,24.73,24.8201,2040
14,24.8499,24.89,24.8,24.85,964
15,24.79,24.85,24.79,24.85,490
16,24.91,24.91,24.85,24.85,500
17,24.88,24.92,24.87,24.92,400
18,24.9,24.9,24.9,24.9,400
20,24.89,24.9,24.89,24.9,200
22,24.92,24.92,24.88,24.88,300
23,24.89,24.93,24.89,24.93,200
24,24.94,24.94,24.94,24.94,300
25,24.94,24.94,24.93,24.93,200
26,24.93,24.94,24.93,24.94,300
27,24.95,24.95,24.95,24.95,200
28,24.85,24.95,24.85,24.95,1496
29,24.8611,24.8611,24.8611,24.8611,100
30,24.86,24.86,24.86,24.86,200
32,24.78,24.8,24.78,24.8,300
33,24.75,24.75,24.743,24.743,200
34,24.82,24.82,24.78,24.78,500
35,24.88,24.88,24.83,24.83,600
36,24.91,24.91,24.88,24.88,300
37,24.91,24.91,24.82,24.83,693
38,25.05,25.05,24.97,24.98,4349
39,24.93,25.06,24.92,25.04,4199
144,24.98,24.98,24.98,24.98,382
145,25.1,25.14,25.075,25.075,800
146,25.17,25.17,25.12,25.12,200
147,25.21,25.21,25.17,25.17,200
148,25.28,25.28,25.2,25.23,700
149,25.38,25.38,25.38,25.38,100
151,25.3801,25.3801,25.3,25.3,400
152,25.4701,25.49,25.4701,25.49,200
153,25.57,25.58,25.57,25.58,400
154,25.52,25.64,25.52,25.64,900
155,25.44,25.44,25.44,25.44,100
156,25.48,25.48,25.43,25.44,500
159,25.32,25.32,25.32,25.32,100
161,25.4,25.4,25.4,25.4,200
162,25.3892,25.3892,25.37,25.37,200
163,25.39,25.39,25.39,25.39,200
164,25.4,25.4,25.4,25.4,100
165,25.45,25.5,25.42,25.46,1005
166,25.42,25.42,25.42,25.42,100
167,25.33,25.38,25.33,25.38,300
168,25.36,25.38,25.36,25.38,200
169,25.34,25.34,25.33,25.33,200
170,25.32,25.32,25.32,25.32,100
172,25.265,25.28,25.26,25.28,800
173,25.33,25.33,25.28,25.28,200
174,25.33,25.33,25.32,25.32,200
175,25.35,25.35,25.35,25.35,200
176,25.35,25.35,25.35,25.35,200
177,25.36,25.38,25.36,25.38,800
178,25.38,25.38,25.37,25.37,200
179,25.37,25.41,25.36,25.37,2106
180,25.375,25.3929,25.35,25.3888,1526
181,25.31,25.38,25.31,25.38,1000
182,25.29,25.32,25.25,25.32,1200
183,25.23,25.26,25.2,25.25,6027
288,25.33,25.33,25.33,25.33,233
289,25.2418,25.2418,25.24,25.24,585
290,25.17,25.17,25.12,25.12,200
291,25.29,25.29,25.29,25.29,100
292,25.0833,25.14,25.0833,25.12,860
293,25.08,25.08,25.01,25.01,500
294,25.12,25.12,25.04,25.08,300
295,25.14,25.14,25.05,25.05,500
296,25.23,25.29,25.15,25.15,800
297,25.0424,25.11,25.0424,25.11,594
298,25.01,25.05,25.01,25.02,300
299,24.98,25,24.95,25,2096
300,24.98,24.98,24.98,24.98,300
301,24.95,24.95,24.95,24.95,100
302,24.97,24.97,24.91,24.94,2500
303,24.91,24.94,24.89,24.94,1600
304,24.93,24.93,24.91,24.91,500
306,24.9,24.9,24.9,24.9,100
307,24.9,24.9,24.9,24.9,200
308,24.97,24.97,24.93,24.94,1003
309,24.95,24.96,24.95,24.96,200
311,24.94,24.95,24.94,24.95,400
312,24.92,24.94,24.9,24.9,500
313,24.88,24.9,24.88,24.9,1048
315,24.86,24.91,24.86,24.91,200
316,24.85,24.85,24.85,24.85,100
317,24.79,24.83,24.79,24.83,600
318,24.79,24.8,24.7792,24.8,457
319,24.76,24.76,24.76,24.76,100
320,24.73,24.77,24.73,24.77,200
321,24.73,24.73,24.71,24.71,500
322,24.78,24.78,24.72,24.73,800
323,24.78,24.79,24.76,24.76,300
324,24.7692,24.77,24.767,24.77,700
325,24.93,24.98,24.78,24.79,4228
326,24.885,24.93,24.88,24.92,1500
327,24.95,25.01,24.87,24.9,6649
432,24.92,24.92,24.92,24.92,555
434,24.92,25.1,24.9,24.9744,1589
436,24.66,24.87,24.6147,24.87,1250
437,24.61,24.62,24.57,24.57,400
438,24.77,24.77,24.66,24.66,300
439,24.81,24.835,24.81,24.835,300
442,24.77,24.77,24.77,24.77,300
443,24.77,24.8,24.7528,24.77,1336
444,24.79,24.81,24.77,24.77,400
445,24.81,24.81,24.81,24.81,100
446,24.785,24.785,24.785,24.785,100
448,24.73,24.73,24.73,24.73,100
449,24.7,24.7972,24.7,24.76,1000
450,24.7,24.7,24.7,24.7,200
451,24.71,24.71,24.675,24.7,300
452,24.72,24.72,24.685,24.685,300
453,24.76,24.76,24.745,24.745,200
454,24.83,24.83,24.81,24.81,600
456,24.92,24.95,24.83,24.83,7204
458,24.84,24.88,24.84,24.85,500
459,24.87,24.87,24.87,24.87,100
460,24.87,24.87,24.83,24.83,200
461,24.85,24.85,24.85,24.85,100
462,24.83,24.84,24.83,24.84,200
463,24.83,24.83,24.83,24.83,100
464,24.83,24.83,24.82,24.82,300
465,24.86,24.86,24.83,24.83,300
466,24.86,24.86,24.86,24.86,200
467,24.895,24.94,24.89,24.89,300
468,24.89,24.94,24.89,24.94,400
469,24.89,24.94,24.89,24.94,1296
470,24.93,24.94,24.9,24.9,600
471,24.83,24.93,24.8,24.93,7476
864,25.01,25.01,25.01,25.01,401
865,25.004,25.004,25.004,25.004,100
866,25.01,25.01,25.01,25.01,106
868,24.81,24.81,24.81,24.81,100
869,24.85,24.86,24.76,24.77,500
870,24.8,24.8,24.8,24.8,245
876,24.96,24.96,24.96,24.96,100
877,24.89,24.89,24.88,24.89,305
879,24.9,24.9,24.9,24.9,400
880,24.91,24.91,24.9,24.9,207
882,25.02,25.02,24.92,24.92,300
883,24.985,24.985,24.985,24.985,100
884,24.89,24.92,24.89,24.92,228
885,24.86,24.96,24.84,24.85,1304
888,24.93,24.93,24.93,24.93,100
890,24.91,24.91,24.91,24.91,100
892,24.86,24.86,24.86,24.86,100
893,24.86,24.87,24.86,24.87,200
895,24.82,24.8428,24.8,24.8428,1300
897,24.67,24.86,24.67,24.86,913
898,24.75,24.75,24.75,24.75,200
899,24.84,24.84,24.84,24.84,496
900,24.72,24.79,24.72,24.79,305
901,24.71,24.71,24.71,24.71,836
902,24.78,24.78,24.78,24.78,100
903,24.83,24.85,24.78,24.83,2253
a1493732400,25.06,25.06,24.82,24.88,2714
4,24.76,24.76,24.76,24.76,100
5,24.7,24.7,24.6293,24.6908,630
6,24.5999,24.62,24.5999,24.62,500
7,24.58,24.58,24.4501,24.4501,200
10,24.5701,24.5701,24.5701,24.5701,100
11,24.59,24.62,24.57,24.59,500
12,24.6321,24.6321,24.6321,24.6321,300
13,24.72,24.72,24.645,24.645,300
15,24.7,24.7,24.66,24.66,300
16,24.72,24.72,24.7101,24.7101,200
17,24.7664,24.7664,24.71,24.71,302
18,24.8099,24.8099,24.8099,24.8099,500
19,24.75,24.79,24.74,24.74,1900
20,24.6301,24.72,24.6301,24.72,400
21,24.72,24.73,24.685,24.69,2755
24,24.88,24.88,24.76,24.78,3292
25,24.82,24.86,24.82,24.86,700
26,24.795,24.795,24.77,24.77,214
27,24.81,24.81,24.8,24.8,400
28,24.9,24.9,24.81,24.86,2899
29,24.9,24.9,24.9,24.9,277
30,24.7601,24.87,24.7601,24.84,500
31,24.7301,24.7301,24.7301,24.7301,100
33,24.815,24.91,24.815,24.82,3000
34,24.78,24.9,24.76,24.83,3400
35,24.8,24.8,24.72,24.78,1498
36,24.77,24.79,24.75,24.79,2000
