EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493040600,19.75,19.75,19.75,19.75,493
27,20.55,20.55,20.418,20.418,6380
39,20.5,20.5,20.5,20.5,1053
145,20.8083,20.95,20.8083,20.95,300
151,20,20,19.63,19.63,701
156,20.5128,20.5128,20.5128,20.5128,150
157,20.8,20.8,20.75,20.75,215
159,20.8,20.8,20.8,20.8,200
169,20.4628,20.4628,20.4628,20.4628,500
172,20.8388,20.8388,20.8388,20.8388,671
293,20.7,20.7,20.7,20.7,100
297,20.4015,20.4015,20.4015,20.4015,900
298,20.4015,20.4015,20.4015,20.4015,272
326,20.7,20.7,20.7,20.7,200
327,20.6,20.6,20.6,20.6,100
436,20.76,20.76,20.76,20.76,150
438,20.6737,20.6737,20.6737,20.6737,503
450,20.99,20.99,20.99,20.99,222
468,21,21,20.999,20.999,400
576,21,21,21,21,588
589,20.2508,20.575,20.2508,20.575,400
594,20.9,21,20.9,21,200
599,20.9,20.9,20.9,20.9,100
603,21,21,20.8625,20.9999,1700
604,20.95,20.95,20.95,20.95,100
612,20.95,20.95,20.95,20.95,100
614,20.9,20.9,20.9,20.9,100
615,20.8,20.8,20.8,20.8,400
a1493645400,20.45,20.45,20.45,20.45,801
4,20.541,20.541,20.541,20.541,167
7,20.667,20.667,20.667,20.667,450
10,20.45,20.66,20.45,20.66,1000
11,20.7619,20.7619,20.7619,20.7619,100
22,20.55,20.55,20.55,20.55,100
23,20.55,20.55,20.55,20.55,100
24,20.6,20.6,20.6,20.6,100
31,20.4,20.4999,20.4,20.4999,819
34,20.325,20.325,20.325,20.325,116
36,20.3,20.3,20.3,20.3,1300
37,20.85,20.85,20.3001,20.3001,1524
38,20.55,20.55,20.5,20.55,500
144,20.6,20.6,20.6,20.6,254
152,20.1185,20.6,20,20.6,2124
161,20.32,20.32,20.32,20.32,200
167,20.3,20.3,20.25,20.25,1700
172,20.55,20.6,20.4705,20.5,900
173,20.7,20.7,20.7,20.7,100
174,20.5,20.55,20.5,20.55,446
175,20.44,20.5,20.44,20.5,454
183,20.7,20.7,20.7,20.7,100
293,20.5,20.51,20.5,20.51,400
296,20.003,20.45,20.003,20.45,1500
302,20.2997,20.2997,20.05,20.1,4405
303,20.2,20.2,20.15,20.15,640
306,20.25,20.25,20.25,20.25,100
326,20,20.15,20,20.1,400
327,20.05,20.1,20.05,20.06,1596
449,20.05,20.1,20.05,20.1,300
456,20.05,20.05,20.05,20.05,200
457,20.05,20.05,20.05,20.05,200
464,20.05,20.05,20,20.05,3804
466,20,20,20,20,240
468,20.4773,20.4773,20,20.05,1100
470,20.15,20.15,20.15,20.15,100
597,20,20.05,20,20.05,874
599,20.7,20.7,20.7,20.7,199
600,20.15,20.15,20.1,20.1,200
614,20.1,20.1,20.05,20.05,200
a1494250800,20,20,20,20,100
11,20.103,20.103,20.1,20.1,300
17,20.1557,20.1557,20.1557,20.1557,250
21,20.0998,20.0998,20,20.05,2352
22,20,20.0625,20,20,1119
23,20.4771,20.4771,20.4771,20.4771,822
32,20.4999,20.4999,20.4999,20.4999,100
35,20.262,20.262,20.262,20.262,200
292,20.245,20.295,20.245,20.295,1669
293,20.15,20.25,20.1,20.245,1796
305,19.939,19.939,19.939,19.939,100
311,19.9045,19.9045,19.9045,19.9045,200
325,19.95,19.95,19.95,19.95,145
432,20.4,20.4,20.15,20.15,300
468,20.17,20.17,20.17,20.17,100
578,20.7373,20.7373,20.7373,20.7373,162
595,19.9958,19.9958,19.9958,19.9958,100
598,20.1106,20.1106,20.1106,20.1106,100
603,20.3499,20.3499,20.3,20.3,2251
608,19.65,19.65,19.65,19.65,200
609,19.9,19.9,19.9,19.9,399
612,20.0047,20.0047,20.0047,20.0047,300
a1494863400,20.08,20.08,20.08,20.08,300
6,20.5943,20.5943,20.5943,20.5943,250
9,20.1,20.18,20.1,20.1302,841
23,20.0001,20.0001,20,20,325
25,20.05,20.05,20.05,20.05,100
134,20.05,20.05,20.05,20.05,550
140,19.7501,19.825,19.7501,19.8,2167
148,20.4,20.4,20.4,20.4,100
152,20,20,20,20,150
168,20.17,20.17,20.17,20.17,100
274,19.75,19.75,19.75,19.75,300
296,19.75,19.75,19.75,19.75,100
303,19.55,19.55,19.55,19.55,200
308,19.6687,19.6687,19.6687,19.6687,100
310,19.85,19.85,19.85,19.85,100
313,19.55,19.85,19.55,19.85,200
418,19.2,19.2,19.2,19.2,755
419,19.275,19.275,19.275,19.275,1000
422,18.4816,19.2,18.4816,19.2,2040
424,19.5,19.5,18.7015,18.85,2185
429,19.1,19.1,19.1,19.1,100
431,19.0572,19.0572,19.0572,19.0572,100
450,18.9,18.9,18.9,18.9,100
451,18.7997,18.7997,18.7997,18.7997,200
566,19.1,19.1,19.05,19.05,320
567,19.2,19.2,19.2,19.2,2700
568,18.8,18.8,18.8,18.8,100
572,19.1312,19.1312,19.1312,19.1312,100
574,19.15,19.15,19.15,19.15,100
590,20.5,20.5,19.2,19.2,1810
a1495475400,19.9,19.9,19.4,19.4045,530
3,19.3501,19.3501,19.3501,19.3501,119
10,20.2199,20.2199,20.2199,20.2199,100
120,19.4,19.45,19.4,19.4001,1586
130,19.75,19.921,19.2789,19.921,771
139,19.4,19.4,19.4,19.4,150
141,19.7306,19.7306,19.7306,19.7306,100
142,19.7499,19.7499,19.7499,19.7499,200
267,19.525,19.525,19.525,19.525,100
268,19.5,19.5,19.5,19.5,100
269,19.2,19.2,19.2,19.2,100
301,19.6,19.6,19.6,19.6,100
407,18.907,20.4222,18.907,20.4222,616
413,19.4863,19.4863,19.4863,19.4863,500
425,19.8,19.8,19.8,19.8,100
434,19.797,19.797,19.797,19.797,190
438,19.856,19.856,19.856,19.856,201
442,19.5,19.5,19.5,19.5,100
444,19.653,19.653,19.653,19.653,693
574,19.71,19.71,19.71,19.71,600
585,19.6501,19.8,19.6501,19.8,1101
a1496158200,19.899,19.899,19.899,19.899,500
1,19.8017,19.8017,19.8017,19.8017,400
7,19.8001,19.8001,19.8001,19.8001,600
27,19.8,19.8,19.8,19.8,300
169,20.15,20.15,20.15,20.15,100
171,20.2,20.2,20.2,20.2,400
288,20.2708,20.35,20.2708,20.35,499
294,19.9,20.3168,19.9,20.3168,200
295,20.3183,20.3183,20.3183,20.3183,100
303,20.4,20.4,20.0925,20.0925,340
313,20.35,20.35,20.35,20.35,100
314,19.5,19.5,19.5,19.5,200
315,19.75,19.75,19.4001,19.4001,1054
456,19.6547,19.6547,19.6547,19.6547,330
459,20.1,20.1,20.1,20.1,112
864,19.8048,19.8048,19.8048,19.8048,270
870,20.2627,20.2627,20.2627,20.2627,1000
891,19.4,19.4,19.4,19.4,100
a1496772600,20.0432,20.0432,20.0432,20.0432,148
8,19.872,19.872,19.872,19.872,100
11,19.4,19.75,19.4,19.75,200
116,19.95,19.95,19.95,19.95,1000
120,19.3104,19.3104,19.3104,19.3104,278
125,19.2488,19.2488,19.2488,19.2488,200
155,19.95,19.95,19.95,19.95,128
287,19.33,19.33,19.33,19.33,100
299,19.9,19.9,19.9,19.9,100
404,19.6,19.6,19.6,19.6,220
415,20.15,20.15,20.15,20.15,100
417,20.0999,20.0999,20.0999,20.0999,1000
435,19.5999,19.5999,19.5999,19.5999,1000
440,19.5001,19.5001,19.5001,19.5001,226
443,19.55,20.1,19.55,20.1,408
836,19.2,19.2,19.2,19.2,415
837,19.6,19.6,19.6,19.6,538
843,19.329,19.329,19.329,19.329,201
862,19.75,19.75,19.75,19.75,100
868,19.6,19.6,19.6,19.6,200
870,19.7,19.7,19.699,19.7,1347
873,19.85,19.85,19.85,19.85,100
875,19.7,19.7,19.7,19.7,443
984,19.7501,19.7501,19.7501,19.7501,284
a1497378000,19.8,20.0052,19.8,20.0052,300
8,20.47,20.47,20.47,20.47,100
134,20,20,20,20,100
145,20,20,20,20,100
154,20,20,20,20,100
296,19.4501,20.0292,19.4501,20,988
403,19.9,19.9,19.9,19.9,300
410,20,20,20,20,200
411,20.4,20.4,20.4,20.4,100
412,20.119,20.3465,20.119,20.3465,1053
