EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493040600,65.3,65.3,65.3,65.3,510
1,64.545,64.545,64.545,64.545,230
2,67.8,67.8,67.8,67.8,100
6,67.1,67.1,67,67,200
7,65.55,66.25,65.5,65.775,1800
8,64.3,64.9183,64.25,64.9183,300
11,66.1601,66.3,64.8,64.8,2461
12,67.11,67.11,66.005,66.005,1396
13,67,67,67,67,300
16,67.25,67.4,67,67,300
17,67.65,67.65,66.85,67,3050
18,67.7,67.7,67.7,67.7,100
22,67.7,67.7,67.7,67.7,100
23,68.2,68.2,67.45,67.5,1400
25,68.15,68.15,67.55,67.55,700
26,67.7,68.4,67.7,68.4,1100
27,67.75,67.95,67.65,67.65,500
28,67.65,67.65,67.5,67.5,400
29,67.265,67.5,66.8042,67.5,1669
30,67.05,67.05,67.05,67.05,100
31,67,67,67,67,300
33,67.4,67.4,67,67,400
36,67,67.3,67,67.3,600
37,67.35,67.5,66.85,66.9,3252
38,67.4,67.4,67.3,67.4,500
39,67.3,67.35,67,67.2,4386
144,67.45,67.45,67.45,67.45,105
148,67.5,67.5,67.5,67.5,100
151,67.95,67.95,67.95,67.95,200
152,67.8,67.95,67.8,67.95,400
153,67.95,67.95,67.55,67.55,200
154,68.2,68.5,67.95,67.95,900
155,68.5,68.5,68.45,68.45,200
157,68.45,68.45,68.45,68.45,100
158,68.45,68.45,68.45,68.45,100
159,68.625,68.75,68.05,68.3,1999
161,68.75,68.75,68.75,68.75,200
166,68.75,68.75,68.5,68.5,1000
167,68.55,68.55,68.55,68.55,100
173,68.6,68.75,68.6,68.75,3300
174,68.35,68.55,68.35,68.55,1600
175,68.5,68.55,68.5,68.55,1570
176,68.35,68.35,68.35,68.35,100
177,68.35,68.4,68.35,68.4,200
178,68.1,68.2,67.95,68.15,1000
179,67.6,67.6,67.6,67.6,200
180,67.5,67.6,67.5,67.6,400
181,67.6,67.6,67.55,67.55,200
182,67.9,67.9,67.65,67.7,600
183,67.85,68.3,67.85,67.9,3482
291,67.8,67.8,67.8,67.8,200
292,67.9,68.35,67.85,67.85,400
293,67.95,68.25,67.95,68.25,900
294,67.9,67.9,67.9,67.9,200
296,67.85,67.85,67.85,67.85,100
297,67.9,67.9,67.85,67.85,316
298,67.825,67.95,67.7,67.95,400
299,67.7,67.85,67.7,67.8,700
300,67.9,67.9,67.85,67.85,500
301,67.9,67.95,67.9,67.9,300
302,67.8,67.85,67.8,67.85,200
304,67.75,67.75,67.75,67.75,100
305,67.9,67.9,67.85,67.85,200
306,67.9,67.9,67.875,67.875,300
307,67.9,67.9,67.85,67.85,200
308,67.925,67.925,67.9,67.9,700
309,67.95,67.95,67.9,67.9,600
310,67.95,67.95,67.95,67.95,100
311,67.9,67.9,67.9,67.9,300
312,68,68,68,68,100
314,67.9,67.9,67.9,67.9,700
316,67.9,67.9163,67.7149,67.845,1100
317,67.725,67.8,67.725,67.8,300
318,67.8,67.8,67.8,67.8,100
319,67.8,67.8,67.75,67.8,500
320,67.75,67.8,67.75,67.8,200
323,67.7,67.7677,67.7,67.7,1098
324,67.75,67.75,67.6,67.6,500
325,67.5001,67.775,67.5001,67.775,200
326,67.45,67.775,67.45,67.775,1533
327,67.25,67.25,66.95,66.95,2615
432,67.2,67.2,67.2,67.2,157
433,67.3503,67.3503,67.3503,67.3503,295
435,66.95,67.45,66.85,67.15,800
436,66.35,67.85,66.35,67.4,800
440,66.25,66.25,66.25,66.25,100
441,65.85,66.3,65.8,66.3,400
442,66.05,66.1,65.85,65.85,400
443,66.07,66.07,65.9,65.9,599
444,65.95,66.05,65.95,66.05,699
445,66.05,66.05,66.05,66.05,100
446,66.2,66.2,66.05,66.05,500
447,65.95,66.0978,65.95,66.0978,800
449,65.95,65.95,65.95,65.95,100
450,65.65,65.95,65.6,65.95,600
459,65.65,65.65,65.35,65.4,500
461,65.45,65.45,65.45,65.45,100
464,65.55,65.55,65.55,65.55,100
465,65.55,65.55,65.55,65.55,200
466,65.25,65.4,65.25,65.4,200
467,64.65,65.2,64.65,65.2,400
468,64.75,64.75,64.75,64.75,100
469,64.3,64.6,64.3,64.6,200
470,64.25,64.4198,64.2,64.2,300
471,64.1,64.25,64,64.25,2232
576,64.4,64.4,64.4,64.4,107
579,64.8,64.8,64.5,64.5,5100
580,65.2,65.2,65.2,65.2,100
583,65,65.8275,64.575,65.2,10718
584,65.05,65.4,65.05,65.1024,699
586,64.825,64.85,64.825,64.85,400
589,64.1,64.5,64.1,64.4,900
591,64.05,64.05,64.05,64.05,100
593,64.2,64.2,64.2,64.2,200
597,63.6,64,63.6,64,400
599,64.35,64.35,64.35,64.35,100
604,64.45,64.45,64.45,64.45,100
607,63.65,63.65,63.649,63.649,599
608,63.55,63.7906,63.55,63.7906,699
609,63.55,63.55,63.55,63.55,100
610,63.75,63.75,63.75,63.75,100
612,63.65,63.85,63.65,63.7,900
613,63.35,63.9,63.35,63.75,1406
614,63.1,63.1,63.05,63.05,300
615,63.15,63.5,62.95,63.2,2927
a1493646000,62.5051,62.5051,62.5051,62.5051,300
1,62.9315,62.9315,61.2,61.7,869
3,62.175,62.175,61.85,61.85,300
4,62.7074,62.7074,62.3,62.3,400
5,62.2,62.2,62.2,62.2,100
6,62.8,62.8,62.65,62.675,300
8,62.75,62.75,62.6,62.6,200
11,62.6,62.6,62.6,62.6,100
15,62.8,62.8,62.8,62.8,100
18,62.7,62.796,62.7,62.796,246
19,62.8999,62.8999,62.8999,62.8999,100
20,62.525,62.7,62.3,62.7,1560
21,62.25,62.25,62.2,62.2,200
24,63.5,64.6,63.5,64.1,400
27,63.55,63.675,63.3531,63.5,1431
28,63.4975,63.4975,63.45,63.45,200
30,62.45,63.0788,61.95,63.0788,1395
31,62.5,62.7499,61.9,62.7372,2596
32,63.05,63.05,62.45,62.55,1099
34,62.45,62.625,62.45,62.451,300
35,62.8,62.8,62.35,62.35,200
36,61.4,61.9,61.25,61.9,1600
37,61.3,61.3,61.25,61.25,300
38,62.15,62.4,61.7,61.7,3279
144,63.7,63.7,63.7,63.7,100
154,62.85,62.85,62.45,62.45,200
156,62.65,62.65,62.6,62.6,1900
160,62.65,62.65,62.65,62.65,100
161,62.3,63.1,62.3,62.7,4394
162,62.4,63.15,62.4,62.4,1199
164,62.5,62.5,62.5,62.5,100
165,62.5,62.5,62.2,62.2,300
166,62,62.45,62,62.45,400
169,62.2,62.35,62.2,62.35,700
170,61.75,61.8,61.75,61.8,319
171,62.2563,62.2563,62.2563,62.2563,100
178,62.15,62.15,62.15,62.15,100
179,62.25,62.25,62.15,62.15,300
181,62.4,62.4,62.2,62.2,1400
182,62.45,62.875,62.45,62.55,2869
287,62.4,62.4,62.4,62.4,200
288,62.65,63.1,62.65,62.95,800
291,62.45,62.5,61.85,62,1500
292,62.5,62.5,62.15,62.15,300
293,61.95,62.1,61.95,62.1,300
294,62.05,62.05,62.05,62.05,100
295,61.8649,61.8649,61.8649,61.8649,499
296,61.65,61.9242,61.5,61.85,1200
298,61.4,61.8,61.4,61.8,300
304,61.6,61.6,61.6,61.6,100
306,61.6,61.6,61.6,61.6,200
307,61.8,61.8,61.8,61.8,100
310,61.8,61.8,61.8,61.8,300
312,62.25,62.25,60.95,60.9501,400
313,61.85,61.85,61.85,61.85,100
317,61.8,61.8,61.8,61.8,100
318,61.85,61.85,61.85,61.85,100
319,62.15,62.2,62.15,62.2,200
320,62,62,62,62,100
321,62.1,62.1,62.1,62.1,300
322,62.35,62.35,62.35,62.35,100
323,62.35,62.35,62.175,62.175,300
325,62.65,62.65,62.5,62.5,200
326,62.55,62.8,62.55,62.7,2319
431,63.25,63.25,63.25,63.25,476
433,62.95,62.95,62.95,62.95,100
436,61.15,61.15,61.15,61.15,100
443,62.9,62.9,62.85,62.85,200
444,62.0649,62.0649,62.0649,62.0649,499
445,62.451,62.451,62.451,62.451,499
447,62.6,62.6,62.6,62.6,100
448,62.325,62.325,62.325,62.325,100
451,62.6,62.6,62.5,62.5,2075
459,62.625,62.625,62.625,62.625,100
