EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,16.85,16.85,16.85,16.85,1451
1,16.8,16.9,16.8,16.85,4623
2,16.9,16.9,16.8,16.85,2203
3,16.8,16.85,16.75,16.85,6668
4,16.85,16.9,16.8,16.8,2900
5,16.8,16.85,16.8,16.85,2207
6,16.775,16.8,16.75,16.8,700
7,16.75,16.75,16.75,16.75,900
8,16.7162,16.75,16.7,16.75,1140
9,16.7,16.75,16.7,16.7,2400
10,16.7,16.75,16.7,16.75,965
11,16.75,16.7511,16.65,16.7,5351
12,16.7,16.75,16.7,16.75,1400
13,16.725,16.75,16.65,16.7,4300
14,16.7,16.75,16.7,16.75,3000
15,16.7,16.701,16.7,16.7,600
16,16.75,16.75,16.7,16.7,600
17,16.7,16.7,16.7,16.7,5724
18,16.725,16.725,16.65,16.7,2701
19,16.7,16.7,16.7,16.7,4705
20,16.75,16.75,16.7,16.75,2600
21,16.7,16.75,16.7,16.75,200
22,16.775,16.8,16.7,16.725,5228
23,16.75,16.751,16.75,16.751,300
24,16.75,16.775,16.75,16.775,4700
25,16.75,16.7999,16.75,16.75,1981
26,16.8,16.8,16.75,16.75,1400
27,16.75,16.775,16.75,16.75,300
28,16.775,16.775,16.75,16.75,898
29,16.825,16.825,16.75,16.75,8942
31,16.801,16.85,16.8,16.825,5000
32,16.85,16.85,16.85,16.85,3140
33,16.825,16.85,16.825,16.85,300
34,16.825,16.85,16.825,16.825,1300
35,16.7,16.825,16.7,16.825,8883
36,16.65,16.725,16.65,16.725,6031
37,16.65,16.7,16.65,16.65,4300
38,16.65,16.675,16.65,16.65,6489
39,16.6,16.675,16.55,16.675,53427
144,16.5,16.5,16.5,16.5,3896
145,16.6,16.6,16.5,16.5,4630
146,16.65,16.65,16.6,16.6,8430
147,16.65,16.7,16.65,16.7,1700
148,16.6,16.65,16.6,16.625,6191
149,16.65,16.65,16.601,16.601,5248
150,16.675,16.675,16.601,16.601,3391
151,16.7,16.7,16.675,16.675,7600
152,16.75,16.7625,16.75,16.75,6020
153,16.7501,16.7501,16.725,16.725,6425
154,16.775,16.795,16.75,16.7571,1350
155,16.8,16.8,16.775,16.7995,1637
156,16.9,16.9,16.8,16.8,8901
157,16.85,16.8501,16.801,16.8501,2940
158,16.8,16.9,16.75,16.9,5300
160,16.825,16.85,16.825,16.85,400
161,16.9,16.9,16.8,16.8,3055
162,16.9,16.9,16.85,16.9,2392
163,16.95,16.95,16.875,16.875,7855
164,17,17,16.9,16.95,4959
165,17,17,16.95,17,6250
166,17,17,16.95,17,6500
167,16.975,17,16.975,17,1700
168,17,17,16.95,16.95,2100
169,16.95,16.95,16.9,16.95,5198
170,16.9,17,16.9,17,1800
171,16.9,16.9501,16.9,16.925,4694
172,16.85,16.925,16.85,16.925,6032
173,16.95,16.95,16.875,16.875,3400
174,16.95,17,16.9,16.925,16858
175,16.95,16.999,16.95,16.95,1556
176,16.95,16.975,16.95,16.975,500
177,16.95,17,16.95,16.95,23858
178,16.975,17,16.95,17,2700
179,17,17,16.95,17,1100
180,16.975,17,16.95,17,1200
181,16.975,17,16.95,17,2483
182,16.85,16.975,16.85,16.975,12379
183,16.85,16.9,16.85,16.875,45299
288,16.85,16.85,16.85,16.85,1092
290,16.8,16.85,16.7,16.75,21788
291,16.75,16.8,16.75,16.8,2400
292,16.8,16.8,16.725,16.725,600
293,16.7419,16.7419,16.7,16.7,350
294,16.65,16.725,16.65,16.725,1516
295,16.65,16.65,16.65,16.65,2800
296,16.65,16.65,16.625,16.625,200
297,16.65,16.65,16.6,16.65,3100
298,16.6,16.65,16.6,16.625,5548
300,16.55,16.6,16.5,16.6,2000
301,16.55,16.6,16.55,16.55,2678
302,16.55,16.55,16.55,16.55,1000
303,16.45,16.525,16.45,16.5,2437
304,16.55,16.55,16.5,16.5,3200
305,16.6,16.6,16.6,16.6,2711
306,16.575,16.6,16.575,16.6,900
307,16.6,16.6,16.6,16.6,5041
308,16.575,16.6,16.55,16.6,1100
309,16.55,16.575,16.55,16.55,300
310,16.5,16.55,16.5,16.55,3838
311,16.5,16.55,16.5,16.5,300
312,16.45,16.5,16.45,16.5,1431
313,16.45,16.5,16.45,16.5,400
314,16.45,16.4664,16.45,16.45,859
315,16.45,16.45,16.45,16.45,100
316,16.35,16.5,16.3,16.475,6010
317,16.4,16.4,16.35,16.35,5634
318,16.45,16.45,16.45,16.45,1700
319,16.45,16.45,16.45,16.45,700
320,16.4,16.5,16.4,16.5,2100
321,16.4,16.45,16.4,16.421,1060
322,16.4,16.45,16.4,16.45,400
323,16.35,16.45,16.35,16.45,25500
324,16.3,16.4,16.275,16.375,9992
325,16.3,16.3,16.26,16.3,8004
326,16.35,16.4,16.325,16.325,7335
327,16.35,16.4,16.35,16.35,31109
432,16.45,16.45,16.45,16.45,1535
433,16.3,16.3,16.3,16.3,800
434,16.35,16.35,16.25,16.3,5100
435,16.45,16.45,16.35,16.35,1004
436,16.4,16.4,16.375,16.4,4184
437,16.3692,16.3692,16.35,16.35,1320
438,16.325,16.375,16.325,16.375,3308
439,16.3,16.3,16.25,16.3,907
440,16.25,16.3,16.25,16.3,2100
441,16.25,16.25,16.25,16.25,100
442,16.275,16.3,16.25,16.275,3900
443,16.25,16.35,16.2,16.25,8698
444,16.225,16.25,16.2,16.25,800
445,16.2,16.225,16.2,16.2,1100
446,16.2,16.25,16.2,16.2,2211
447,16.15,16.225,16.15,16.225,1900
448,16.225,16.25,16.2,16.2,1200
449,16.2,16.25,16.2,16.25,400
450,16.2,16.2,16.2,16.2,1700
451,16.175,16.2,16.1517,16.2,525
452,16.175,16.2,16.15,16.15,600
453,16.175,16.2,16.125,16.2,3057
454,16.2,16.2,16.2,16.2,400
455,16.175,16.2,16.175,16.2,500
456,16.15,16.2,16.15,16.2,500
457,16.15,16.2,16.15,16.2,1100
458,16.15,16.15,16.125,16.15,300
459,16.1,16.125,16.1,16.125,300
460,16.1,16.15,16.1,16.1,700
461,16.05,16.1,16.05,16.1,8563
462,16.05,16.05,16.05,16.05,300
463,16.025,16.05,16.025,16.05,2051
464,16.1,16.1,16.025,16.05,4246
465,16.1,16.1,16.05,16.1,1271
466,16.1,16.1,16.05,16.075,18827
467,16.1,16.15,16.05,16.15,3300
468,16.05,16.1,16.05,16.075,1000
469,16,16.1,16,16.1,6809
470,16.05,16.1,16,16,10465
471,16,16.1,15.95,16.05,62097
864,16.05,16.05,16.05,16.05,1372
865,16.05,16.05,16,16,514
866,16.05,16.1,16.05,16.05,5600
867,16.05,16.05,16,16.05,1600
868,15.95,16,15.95,16,2365
869,15.9,15.95,15.9,15.95,1790
870,15.9,15.95,15.9,15.95,2900
871,15.975,15.975,15.95,15.95,3196
872,15.975,16,15.975,16,1846
874,16,16,15.975,15.975,1500
875,16.025,16.05,15.9847,15.9847,1054
876,15.95,16,15.95,16,2171
877,15.925,15.95,15.9,15.95,1000
878,15.975,16,15.95,15.95,1208
879,16.025,16.025,15.975,16,900
880,15.95,16.025,15.95,16,4209
881,15.95,16.025,15.95,15.975,1525
882,15.975,16,15.975,16,700
883,16,16,15.95,15.975,2900
884,16,16,16,16,400
885,15.975,16,15.95,16,2400
886,16,16,15.975,15.975,300
887,15.95,16,15.95,16,2505
888,15.975,16,15.95,16,1500
889,15.955,15.975,15.95,15.975,600
890,16,16,15.95,15.95,6317
891,16.025,16.05,16,16,800
892,16.05,16.075,16,16.025,3905
893,16,16.075,15.9625,16,9019
894,16,16.025,16,16.0075,2481
895,15.95,16,15.95,15.95,1999
896,15.95,15.9837,15.9,15.9837,2871
897,15.905,15.95,15.85,15.905,4285
898,15.925,15.95,15.905,15.905,7531
899,15.95,15.95,15.9,15.9,2103
900,15.9,15.95,15.9,15.9,1986
901,15.855,15.95,15.85,15.925,7491
902,15.85,15.9,15.8,15.85,13063
903,15.9,15.95,15.85,15.85,32531
a1493731800,15.95,15.95,15.95,15.95,249
1,15.95,16,15.95,16,2800
2,15.9,15.95,15.9,15.95,3223
3,15.9,15.9,15.9,15.9,900
