EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493040600,14.32,14.32,14.32,14.32,861
1,14.315,14.48,14.2,14.2,10739
2,14.29,14.36,14.25,14.25,7100
3,14.31,14.35,14.251,14.28,3645
4,14.27,14.35,14.27,14.3,9600
5,14.32,14.375,14.29,14.29,4500
6,14.31,14.375,14.3,14.32,7400
7,14.35,14.43,14.315,14.315,8000
8,14.41,14.42,14.36,14.36,7050
9,14.44,14.5,14.35,14.4,15183
10,14.43,14.48,14.43,14.43,6698
11,14.4,14.44,14.39,14.43,6200
12,14.4,14.42,14.39,14.39,5700
13,14.4,14.43,14.4,14.41,4700
14,14.3873,14.415,14.38,14.405,3800
15,14.47,14.47,14.385,14.385,1300
16,14.61,14.68,14.45,14.48,15615
17,14.46,14.63,14.42,14.62,6270
18,14.5,14.66,14.455,14.455,17225
19,14.46,14.5,14.45,14.47,5750
20,14.51,14.52,14.36,14.45,16366
21,14.44,14.52,14.435,14.52,4000
22,14.44,14.44,14.4,14.435,5400
23,14.41,14.49,14.41,14.4747,4700
24,14.41,14.44,14.41,14.41,2200
25,14.42,14.42,14.385,14.41,19500
26,14.39,14.405,14.39,14.405,1400
27,14.38,14.405,14.38,14.39,5400
28,14.31,14.37,14.31,14.37,2000
29,14.26,14.31,14.26,14.31,2700
30,14.47,14.5,14.28,14.3,13500
31,14.39,14.455,14.39,14.455,2800
32,14.44,14.46,14.39,14.39,4200
33,14.42,14.44,14.4,14.43,7000
34,14.42,14.49,14.42,14.435,5200
35,14.43,14.45,14.42,14.43,7400
36,14.44,14.45,14.42,14.43,6100
37,14.5,14.5,14.42,14.42,12200
38,14.43,14.5,14.43,14.485,38344
39,14.43,14.49,14.39,14.43,49213
144,14.5,14.5,14.5,14.5,122
145,14.405,14.525,14.35,14.455,5900
146,14.405,14.49,14.37,14.49,6914
147,14.41,14.45,14.35,14.39,3881
148,14.39,14.46,14.335,14.445,6200
149,14.31,14.4,14.295,14.34,5300
150,14.42,14.42,14.295,14.295,5481
151,14.355,14.44,14.33,14.4,7833
152,14.28,14.36,14.28,14.355,4601
153,14.305,14.32,14.29,14.295,10029
154,14.32,14.32,14.3,14.305,3400
155,14.31,14.36,14.3,14.32,5753
156,14.33,14.345,14.3,14.305,7000
157,14.39,14.4,14.3,14.335,7900
158,14.39,14.48,14.37,14.42,3600
159,14.4634,14.5,14.37,14.37,9610
160,14.51,14.52,14.42,14.46,4910
161,14.49,14.525,14.49,14.515,3800
162,14.49,14.5,14.48,14.5,1900
163,14.5,14.525,14.49,14.5,5306
164,14.51,14.53,14.5,14.505,1500
165,14.46,14.53,14.46,14.5056,2700
166,14.51,14.51,14.46,14.5,2600
167,14.5,14.56,14.5,14.5168,27058
168,14.5,14.515,14.49,14.5,1700
169,14.51,14.51,14.49,14.5,16495
170,14.59,14.64,14.515,14.515,3700
171,14.99,14.99,14.6084,14.6084,4960
172,14.92,15.07,14.92,14.9656,16678
173,15.03,15.03,14.93,14.93,2950
174,14.9,15.1,14.9,15.035,8066
175,14.9,14.905,14.89,14.9,1750
176,14.9075,14.92,14.89,14.895,2500
177,14.81,14.9027,14.745,14.9,5850
178,15,15.105,14.8,14.805,7515
179,14.91,15.03,14.9,15.03,9100
180,14.88,14.92,14.87,14.91,6100
181,14.84,14.96,14.79,14.92,10000
182,14.67,14.8723,14.43,14.84,21625
183,14.81,14.9,14.6,14.82,101616
288,15.1,15.1,14.79,14.79,733
289,14.55,14.825,14.5,14.77,3400
290,14.99,15.06,14.53,14.5328,5845
291,14.995,15.08,14.87,15,4400
292,15.1,15.19,14.98,15.03,4800
293,15.09,15.1,15.01,15.08,3000
294,15.21,15.35,15.065,15.07,13552
295,15.2,15.3007,15.11,15.11,5125
296,15.5,15.5,15.22,15.22,7600
297,15.5221,15.66,15.4527,15.5,6805
298,15.43,15.68,15.39,15.53,8196
299,15.58,15.62,15.44,15.48,6400
300,15.56,15.59,15.51,15.51,3700
301,15.62,15.63,15.44,15.55,8067
302,15.63,15.77,15.53,15.53,13518
303,15.6034,15.675,15.6,15.63,3500
304,15.78,15.78,15.5,15.6,7650
305,15.86,15.88,15.8,15.88,2600
306,15.805,15.86,15.775,15.86,3400
307,15.88,15.88,15.805,15.84,2200
308,16.09,16.2,15.89,15.89,20888
309,15.9,16.06,15.9,16.06,1800
310,15.9,15.97,15.86,15.86,25528
311,15.85,15.93,15.75,15.915,7900
312,15.85,15.86,15.775,15.78,9400
313,15.85,15.85,15.81,15.82,1225
314,15.64,15.83,15.64,15.825,3005
315,15.755,15.755,15.595,15.645,4900
316,15.79,15.79,15.65,15.755,2900
317,15.66,15.7796,15.66,15.7796,5500
318,15.66,15.7,15.66,15.695,1602
319,15.7,15.75,15.66,15.685,6000
320,15.73,15.75,15.7,15.715,6300
321,15.62,15.79,15.62,15.75,6999
322,15.68,15.72,15.635,15.6521,8820
323,15.72,15.77,15.72,15.74,5400
324,15.73,15.73,15.64,15.71,6300
325,15.65,15.76,15.605,15.73,18205
326,15.42,15.68,15.42,15.68,13650
327,15.47,15.59,15.425,15.425,21024
432,15.74,15.74,15.65,15.65,2167
433,15.64,15.78,15.64,15.77,1900
434,15.76,15.875,15.63,15.63,3200
435,16.09,16.1,15.83,15.84,8386
436,15.7975,16.45,15.7975,16.09,25187
437,15.82,15.95,15.715,15.78,9688
438,15.86,15.99,15.82,15.85,5950
439,15.7,15.855,15.59,15.855,13592
440,15.73,15.82,15.6,15.705,7700
441,15.71,15.78,15.69,15.75,3400
442,15.7,15.74,15.69,15.705,12600
443,15.84,15.84,15.7,15.7,7600
444,15.83,15.91,15.8,15.91,2600
445,15.68,15.8525,15.68,15.83,3400
446,15.6,15.725,15.6,15.7,4600
447,15.66,15.74,15.4707,15.5,5292
448,15.685,15.7,15.66,15.67,1000
449,15.715,15.72,15.66,15.67,3000
450,15.69,15.73,15.69,15.715,2600
451,15.7,15.71,15.68,15.69,2900
452,15.51,15.7075,15.4,15.7075,6535
453,15.6675,15.6875,15.53,15.53,3800
454,15.69,15.695,15.48,15.64,3400
455,15.65,15.69,15.645,15.69,3300
456,15.5,15.665,15.5,15.665,2200
457,15.62,15.62,15.52,15.555,1700
458,15.6525,15.685,15.65,15.66,3000
459,15.5,15.654,15.5,15.6,800
460,15.56,15.58,15.49,15.5,1200
461,15.625,15.7,15.56,15.56,5000
462,15.58,15.645,15.565,15.565,2600
463,15.61,15.665,15.6,15.6,3800
464,15.65,15.66,15.61,15.61,2050
465,15.6,15.65,15.5,15.65,6366
466,15.5,15.58,15.5,15.57,2200
467,15.47,15.565,15.23,15.46,9442
468,15.37,15.54,15.36,15.45,17421
469,15.46,15.57,15.32,15.405,10690
470,15.42,15.5492,15.4,15.46,5998
471,15.48,15.57,15.44,15.49,24051
576,15.35,15.35,15.35,15.35,900
577,15.39,15.4,15.265,15.265,1159
578,15.49,15.49,15.37,15.3875,2650
579,15.25,15.53,15.25,15.49,3840
580,15.2,15.27,15.07,15.075,1000
581,15.06,15.285,15,15.235,4510
582,15.2,15.2,14.975,14.975,3300
583,15.25,15.315,15.0801,15.2,5164
584,15.39,15.43,15.29,15.29,1200
585,15.47,15.47,15.28,15.39,2700
586,15.35,15.58,15.34,15.49,4060
587,15.27,15.36,15.27,15.36,2995
588,15.535,15.535,15.27,15.28,3700
589,15.42,15.48,15.42,15.48,800
590,15.39,15.425,15.34,15.37,2650
591,15.39,15.39,15.39,15.39,300
592,15.38,15.4,15.27,15.365,17600
593,15.31,15.42,15.31,15.34,6586
594,15.3,15.37,15.175,15.33,2200
595,15.38,15.39,15.3424,15.37,1200
596,15.32,15.36,15.31,15.325,700
597,15.375,15.41,15.32,15.34,1700
598,15.3,15.33,15.185,15.33,1200
599,15.27,15.3,15.16,15.3,2700
600,15.2775,15.31,15.26,15.26,400
601,15.33,15.34,15.32,15.32,400
602,15.33,15.395,15.3,15.32,4800
603,15.27,15.3429,15.27,15.3292,3616
604,15.34,15.36,15.26,15.295,1200
605,15.35,15.36,15.35,15.35,900
