EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1495031400,24.19,24.2255,24.19,24.2255,5274
157,24.065,24.2,24.06,24.19,400
159,24,24.02,24,24.02,3600
160,23.885,23.885,23.885,23.885,400
161,23.8,23.87,23.36,23.87,10100
168,23.73,23.79,23.6,23.79,1760
171,23.89,23.89,23.89,23.89,371
172,23.745,23.745,23.745,23.745,227
173,23.75,23.75,23.5155,23.61,6302
175,23.51,23.51,23.51,23.51,100
176,23.56,23.56,23.56,23.56,100
177,23.51,23.51,23.51,23.51,100
286,23.836,23.98,23.836,23.98,200
287,23.836,23.98,23.8,23.836,483
288,23.808,23.98,23.808,23.93,1845
289,23.7,23.7,23.7,23.7,150
290,23.773,23.78,23.773,23.78,900
291,23.84,23.89,23.74,23.89,450
292,23.78,23.9,23.5,23.86,3612
293,23.78,23.78,23.78,23.78,100
295,23.6,23.6,23.6,23.6,100
296,23.6,23.6,23.6,23.6,100
297,23.6,23.6,23.6,23.6,100
298,23.6346,23.6346,23.6346,23.6346,307
316,23.6,23.64,23.6,23.64,300
317,23.6,23.6,23.6,23.6,100
321,23.77,23.77,23.61,23.61,200
720,23.706,23.706,23.706,23.706,800
722,23.898,23.92,23.898,23.92,1000
726,23.9,23.9,23.9,23.9,300
739,23.865,23.865,23.865,23.865,3500
742,23.87,23.87,23.87,23.87,100
743,23.75,23.75,23.75,23.75,466
867,23.71,23.71,23.71,23.71,100
868,23.71,23.71,23.71,23.71,100
870,23.75,23.75,23.75,23.75,100
871,23.85,23.85,23.85,23.85,1000
876,23.773,23.773,23.773,23.773,1125
888,23.806,23.88,23.806,23.88,350
889,23.81,23.81,23.81,23.81,420
892,23.94,23.94,23.87,23.87,1500
893,23.965,23.965,23.965,23.965,100
897,23.98,23.99,23.97,23.97,400
a1495638000,24,24,23.95,23.95,3117
8,24,24,23.96,23.96,1255
15,23.99,23.99,23.99,23.99,1000
147,23.8,23.8,23.8,23.8,300
149,23.94,23.94,23.94,23.94,800
158,23.8,23.81,23.8,23.81,1700
160,23.8,23.8,23.78,23.78,300
162,23.77,23.77,23.77,23.77,100
166,23.77,23.77,23.77,23.77,500
285,23.79,23.79,23.79,23.79,175
289,23.76,23.77,23.76,23.77,500
306,23.75,23.75,23.74,23.74,700
316,23.75,23.75,23.75,23.75,1351
882,23.74,23.74,23.74,23.74,250
883,23.74,23.74,23.74,23.74,125
a1496240400,23.51,23.51,23.51,23.51,900
1,23.51,23.51,23.5,23.5,200
2,23.52,23.52,23.52,23.52,400
4,23.52,23.52,23.52,23.52,1000
16,23.724,23.74,23.67,23.67,600
22,23.72,23.72,23.72,23.72,680
32,23.79,23.79,23.79,23.79,100
143,23.77,23.77,23.77,23.77,200
151,23.8769,23.8769,23.8769,23.8769,100
155,23.95,23.95,23.95,23.95,1080
156,23.97,23.97,23.95,23.95,600
157,23.99,23.99,23.98,23.98,1349
161,23.86,23.86,23.86,23.86,100
162,23.9673,23.9673,23.9673,23.9673,300
174,23.99,23.99,23.99,23.99,1236
292,24.25,24.25,24.25,24.25,200
293,24.25,24.25,24.25,24.25,100
298,24.32,24.32,24.3,24.3,200
299,24.32,24.32,24.32,24.32,1000
304,24.25,24.26,24.25,24.26,4725
305,24.07,24.07,24.07,24.07,200
309,24,24.02,24,24.02,900
312,24,24,24,24,100
316,24,24,24,24,700
319,24,24,24,24,1442
727,24.3345,24.369,24.32,24.32,2000
736,24.32,24.32,24.32,24.32,300
743,24.18,24.18,24.18,24.18,325
744,24,24,24,24,400
747,24.1538,24.1538,24.1538,24.1538,400
749,24.12,24.18,24.12,24.13,8850
751,24.17,24.17,24.17,24.17,100
754,24.17,24.17,24.16,24.16,500
862,24.25,24.25,24.25,24.25,117
874,24.2,24.2,24.2,24.2,483
883,24.25,24.25,24.23,24.23,2100
890,24.25,24.26,24.25,24.25,300
892,24.331,24.34,24.331,24.34,400
895,24.3,24.3,24.3,24.3,300
896,24.275,24.275,24.275,24.275,100
898,24.26,24.26,24.26,24.26,200
a1496842800,24.2,24.2,24.2,24.2,620
5,24.219,24.333,24.219,24.333,7085
19,24.345,24.345,24.345,24.345,871
149,24.39,24.39,24.39,24.39,100
153,24.3,24.327,24.3,24.327,2600
157,24.327,24.327,24.327,24.327,500
175,24.4,24.4,24.39,24.39,2400
179,24.3604,24.3604,24.36,24.36,5000
182,24.36,24.36,24.3235,24.36,3400
293,24.397,24.397,24.397,24.397,400
294,24.4899,24.4899,24.4,24.4,1000
296,24.478,24.4899,24.478,24.4899,1500
299,24.49,24.49,24.49,24.49,700
304,24.49,24.49,24.49,24.49,325
317,24.49,24.49,24.49,24.49,820
320,24.49,24.49,24.49,24.49,1200
326,24.37,24.37,24.37,24.37,100
723,24.4999,24.5,24.48,24.48,9800
729,24.36,24.36,24.36,24.36,100
732,24.35,24.3728,24.35,24.3728,497
738,24.443,24.443,24.443,24.443,1950
874,24.5375,24.5375,24.5,24.5,2150
885,24.5,24.51,24.5,24.51,1500
890,24.405,24.405,24.405,24.405,350
891,24.481,24.481,24.481,24.481,1020
a1497448800,24.35,24.35,24.35,24.35,1189
17,24.31,24.31,24.31,24.31,425
18,24.34,24.34,24.34,24.34,1095
19,24.35,24.35,24.35,24.35,235
24,24.35,24.35,24.343,24.343,2200
26,24.35,24.35,24.35,24.35,874
171,24.455,24.455,24.455,24.455,1000
172,24.3814,24.3814,24.3814,24.3814,400
180,24.55,24.55,24.55,24.55,1770
290,24.55,24.55,24.55,24.55,420
293,24.505,24.55,24.505,24.55,325
298,24.55,24.55,24.55,24.55,200
301,24.55,24.55,24.55,24.55,300
303,24.5254,24.55,24.5254,24.55,1600
314,24.54,24.54,24.54,24.54,1100
724,24.51,24.51,24.51,24.51,291
735,24.493,24.493,24.493,24.493,500
745,24.52,24.52,24.52,24.52,100
748,24.52,24.52,24.52,24.52,150
749,24.52,24.52,24.52,24.52,100
754,24.4681,24.4681,24.4681,24.4681,400
862,24.59,24.59,24.58,24.58,1517
869,24.58,24.58,24.58,24.58,200
871,24.579,24.579,24.5,24.5,2830
878,24.4635,24.4635,24.4635,24.4635,500
893,24.5,24.5,24.5,24.5,2000
894,24.5,24.5,24.5,24.5,100
897,24.4827,24.4827,24.4827,24.4827,100
899,24.49,24.49,24.45,24.45,2100
900,24.48,24.49,24.48,24.49,500
a1498057800,24.366,24.48,24.366,24.48,785
2,24.479,24.48,24.479,24.48,320
11,24.47,24.47,24.47,24.47,100
21,24.295,24.295,24.295,24.295,225
25,24.221,24.221,24.221,24.221,400
28,24.47,24.47,24.47,24.47,100
29,24.47,24.47,24.47,24.47,100
145,24.47,24.47,24.47,24.47,100
149,24.2459,24.26,24.2459,24.26,400
150,24.47,24.47,24.47,24.47,100
157,24.26,24.26,24.26,24.26,100
158,24.28,24.2999,24.28,24.2999,202
166,24.48,24.48,24.47,24.47,200
169,24.48,24.48,24.48,24.48,100
171,24.47,24.47,24.47,24.47,1000
172,24.3483,24.3483,24.3483,24.3483,750
173,24.48,24.48,24.48,24.48,100
294,24.47,24.47,24.47,24.47,250
295,24.47,24.47,24.47,24.47,150
299,24.4,24.4,24.4,24.4,2000
301,24.39,24.39,24.39,24.39,200
710,24.4,24.4,24.4,24.4,100
714,24.4001,24.4001,24.385,24.4,500
715,24.47,24.47,24.47,24.47,200
717,24.47,24.47,24.47,24.47,817
738,24.4,24.41,24.4,24.41,600
742,24.4,24.4,24.4,24.4,500
747,24.439,24.439,24.439,24.439,215
748,24.4391,24.4391,24.4391,24.4391,500
749,24.3262,24.3262,24.3262,24.3262,200
860,24.47,24.47,24.47,24.47,200
870,24.4793,24.48,24.4793,24.48,200
878,24.389,24.389,24.389,24.389,550
888,24.458,24.47,24.458,24.47,400
a1498658400,24.48,24.48,24.48,24.48,200
11,24.47,24.48,24.47,24.48,1150
12,24.4601,24.461,24.46,24.461,2800
29,24.459,24.459,24.459,24.459,205
30,24.46,24.46,24.427,24.459,2000
31,24.46,24.46,24.351,24.351,2370
33,24.35,24.35,24.35,24.35,910
