EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,12.565,12.57,12.565,12.57,22667
1,12.585,12.59,12.565,12.565,169772
2,12.59,12.595,12.58,12.58,203133
3,12.591,12.595,12.59,12.595,144723
4,12.585,12.6,12.58,12.59,63422
5,12.59,12.59,12.58,12.585,72899
6,12.59,12.59,12.58,12.59,81561
7,12.585,12.59,12.58,12.59,338191
8,12.58,12.59,12.58,12.59,25776
9,12.58,12.59,12.58,12.585,49088
10,12.585,12.59,12.58,12.59,29778
11,12.58,12.59,12.57,12.59,374098
12,12.58,12.58,12.5725,12.58,61424
13,12.58,12.58,12.5725,12.58,32712
14,12.575,12.58,12.57,12.575,30128
15,12.561,12.575,12.56,12.575,74270
16,12.56,12.57,12.56,12.565,8922
17,12.56,12.57,12.56,12.565,9810
18,12.57,12.57,12.56,12.565,11500
19,12.57,12.57,12.56,12.56,12100
20,12.57,12.57,12.56,12.56,5847
21,12.57,12.57,12.56,12.56,10775
22,12.575,12.58,12.56,12.56,78194
23,12.58,12.58,12.57,12.575,5905
24,12.58,12.58,12.57,12.57,7815
25,12.58,12.58,12.57,12.57,15770
26,12.57,12.58,12.57,12.57,7020
27,12.571,12.58,12.57,12.58,8100
28,12.575,12.58,12.57,12.58,8360
29,12.575,12.58,12.57,12.57,8638
30,12.57,12.58,12.57,12.575,12846
31,12.57,12.58,12.57,12.571,8924
32,12.58,12.58,12.57,12.57,10479
33,12.57,12.58,12.57,12.571,14794
34,12.575,12.58,12.57,12.575,9188
35,12.575,12.58,12.57,12.57,21397
36,12.571,12.58,12.57,12.575,28572
37,12.571,12.58,12.57,12.575,17711
38,12.575,12.58,12.57,12.57,25079
39,12.58,12.58,12.57,12.575,167378
144,12.58,12.59,12.57,12.59,22608
145,12.58,12.58,12.575,12.58,266667
146,12.575,12.58,12.57,12.58,156672
147,12.575,12.575,12.57,12.575,45080
148,12.575,12.58,12.57,12.575,7700
149,12.575,12.575,12.57,12.575,2400
150,12.58,12.58,12.57,12.57,86886
151,12.58,12.58,12.575,12.58,2960
152,12.575,12.58,12.5742,12.58,2250
153,12.58,12.58,12.575,12.58,2936
154,12.58,12.58,12.575,12.575,6460
155,12.575,12.58,12.575,12.58,1900
156,12.575,12.58,12.5725,12.575,14184
157,12.57,12.58,12.57,12.5725,83211
158,12.565,12.58,12.56,12.57,94916
159,12.56,12.57,12.56,12.56,15324
160,12.555,12.57,12.555,12.56,51970
161,12.54,12.56,12.54,12.55,278476
162,12.54,12.55,12.54,12.54,406731
163,12.53,12.55,12.52,12.545,979663
164,12.535,12.545,12.525,12.53,331425
165,12.535,12.54,12.53,12.54,82904
166,12.525,12.535,12.525,12.535,264636
167,12.525,12.53,12.525,12.53,35510
168,12.521,12.53,12.521,12.525,26625
169,12.54,12.54,12.52,12.525,228814
170,12.53,12.54,12.53,12.5342,134968
171,12.535,12.535,12.53,12.535,5770
172,12.535,12.54,12.53,12.535,3000
173,12.535,12.54,12.53,12.53,12704
174,12.535,12.54,12.53,12.5385,13292
175,12.54,12.54,12.53,12.53,155699
176,12.53,12.54,12.53,12.53,2703
177,12.535,12.54,12.53,12.53,4300
178,12.53,12.54,12.53,12.535,5535
179,12.535,12.54,12.53,12.53,9800
180,12.535,12.5399,12.53,12.535,8000
181,12.53,12.54,12.53,12.54,11791
182,12.535,12.54,12.53,12.535,62686
183,12.525,12.54,12.52,12.535,530006
288,12.54,12.54,12.53,12.535,10325
289,12.535,12.55,12.53,12.535,125850
290,12.545,12.55,12.53,12.53,175220
291,12.545,12.55,12.54,12.5478,11000
292,12.545,12.55,12.54,12.55,7735
293,12.54,12.55,12.54,12.545,119590
294,12.545,12.55,12.54,12.545,13862
295,12.545,12.55,12.54,12.54,19373
296,12.545,12.55,12.54,12.54,23708
297,12.54,12.55,12.54,12.545,406431
298,12.55,12.55,12.54,12.545,77710
299,12.55,12.55,12.54,12.55,10899
300,12.55,12.55,12.54,12.55,8200
301,12.55,12.55,12.54,12.54,7826
302,12.55,12.55,12.54,12.55,9019
303,12.545,12.55,12.54,12.54,40429
304,12.55,12.55,12.54,12.545,93406
305,12.54,12.55,12.54,12.55,9511
306,12.55,12.55,12.54,12.55,7231
307,12.55,12.55,12.54,12.54,6862
308,12.555,12.56,12.54,12.55,120026
309,12.55,12.56,12.55,12.555,30464
310,12.55,12.56,12.55,12.555,13782
311,12.555,12.56,12.55,12.555,10900
312,12.555,12.56,12.55,12.555,12860
313,12.55,12.56,12.55,12.555,12000
314,12.54,12.555,12.54,12.555,123083
315,12.545,12.55,12.54,12.54,8405
316,12.545,12.55,12.54,12.545,108559
317,12.54,12.55,12.53,12.54,333185
318,12.54,12.55,12.54,12.545,434407
319,12.545,12.55,12.54,12.55,28270
320,12.555,12.56,12.54,12.55,70700
321,12.55,12.56,12.55,12.55,242910
322,12.555,12.56,12.55,12.555,8277
323,12.56,12.57,12.555,12.555,69036
324,12.565,12.57,12.56,12.565,26400
325,12.555,12.57,12.55,12.565,270205
326,12.555,12.56,12.55,12.55,105099
327,12.55,12.56,12.55,12.555,413483
432,12.555,12.555,12.54,12.54,12552
433,12.56,12.56,12.5438,12.56,66828
434,12.56,12.56,12.55,12.555,26613
435,12.555,12.56,12.55,12.55,13700
436,12.55,12.56,12.54,12.56,54400
437,12.56,12.56,12.54,12.55,170310
438,12.56,12.56,12.55,12.56,16427
439,12.56,12.56,12.55,12.56,22550
440,12.55,12.56,12.55,12.555,12600
441,12.555,12.56,12.55,12.555,24209
442,12.55,12.56,12.55,12.555,16241
443,12.555,12.56,12.55,12.55,24104
444,12.555,12.56,12.55,12.55,21452
445,12.55,12.56,12.55,12.555,11300
446,12.55,12.56,12.55,12.55,12600
447,12.56,12.56,12.55,12.555,9565
448,12.56,12.56,12.55,12.555,11100
449,12.555,12.56,12.55,12.56,18922
450,12.555,12.56,12.55,12.55,11242
451,12.55,12.56,12.55,12.56,12166
452,12.55,12.555,12.55,12.55,15840
453,12.55,12.56,12.55,12.55,11222
454,12.55,12.555,12.55,12.55,7852
455,12.54,12.555,12.53,12.55,193901
456,12.55,12.55,12.53,12.535,177186
457,12.55,12.55,12.54,12.55,7900
458,12.55,12.56,12.54,12.54,142094
459,12.55,12.56,12.55,12.56,27504
460,12.555,12.56,12.55,12.56,7200
461,12.555,12.56,12.55,12.56,24902
462,12.55,12.56,12.55,12.55,13213
463,12.56,12.56,12.55,12.56,13886
464,12.55,12.56,12.55,12.56,20405
465,12.55,12.56,12.55,12.55,23652
466,12.555,12.56,12.55,12.55,18344
467,12.55,12.56,12.55,12.55,53057
468,12.55,12.56,12.55,12.55,57961
469,12.55,12.56,12.55,12.55,27267
470,12.555,12.56,12.55,12.55,108719
471,12.55,12.57,12.55,12.555,576609
864,12.57,12.57,12.57,12.57,24780
865,12.565,12.57,12.54,12.55,55160
866,12.56,12.57,12.56,12.565,49490
867,12.56,12.57,12.56,12.57,46592
868,12.56,12.57,12.555,12.56,199370
869,12.56,12.57,12.55,12.56,221699
870,12.56,12.57,12.56,12.56,74347
871,12.57,12.57,12.56,12.56,83048
872,12.57,12.57,12.56,12.565,24248
873,12.565,12.57,12.56,12.5699,25972
874,12.565,12.57,12.56,12.57,31312
875,12.565,12.57,12.56,12.565,34737
876,12.57,12.57,12.56,12.565,25387
877,12.56,12.57,12.56,12.57,19562
878,12.565,12.57,12.56,12.57,18588
879,12.57,12.57,12.5625,12.57,15466
880,12.57,12.57,12.565,12.57,17147
881,12.57,12.57,12.5634,12.57,20266
882,12.57,12.57,12.565,12.5699,28374
883,12.57,12.57,12.5601,12.57,66434
884,12.57,12.57,12.565,12.565,23042
885,12.57,12.57,12.565,12.57,22681
886,12.57,12.57,12.56,12.57,23418
887,12.57,12.57,12.565,12.57,30635
888,12.5699,12.57,12.5624,12.57,34476
889,12.57,12.57,12.564,12.57,31535
890,12.58,12.58,12.563,12.57,59144
891,12.575,12.58,12.575,12.58,21535
892,12.58,12.59,12.575,12.58,276855
893,12.585,12.59,12.58,12.59,35259
