EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493040600,35.95,35.95,35.95,35.95,187
2,37.1502,38.5,37.1502,38.5,375
4,36.15,36.15,36.1,36.1,200
7,37.0025,37.6094,36.3291,36.3291,1896
8,36.85,36.85,36.85,36.85,200
10,35.945,36.888,35.8101,36.85,2921
12,36.9452,36.9452,36.9452,36.9452,100
21,36.6,36.6,36.6,36.6,100
23,36.32,36.35,36.32,36.35,250
28,36.4,36.4,36.3,36.3,400
29,36,36,36,36,975
32,36.3,36.3,36.3,36.3,100
34,36.3,36.3,36.3,36.3,100
37,36.3,36.3,36.3,36.3,100
39,36.29,36.3,36.07,36.26,1866
144,36.01,36.01,36.01,36.01,1020
146,36.14,36.14,35.665,35.665,699
147,36.1607,36.86,36.1607,36.59,1200
150,36.18,36.18,36.15,36.18,869
169,36.49,36.49,36.49,36.49,100
173,36.19,36.3,36.19,36.3,1600
174,36.09,36.51,36.09,36.19,1446
177,36.1,36.1,36.1,36.1,200
178,36.12,36.12,36.12,36.12,100
179,36,36.01,36,36.01,800
180,35.8,36,35.8,36,983
181,35.7,35.7,35.7,35.7,130
182,35.6478,35.6478,35.605,35.605,200
183,35.41,35.7,35.05,35.25,3364
288,35.49,35.49,35.49,35.49,200
327,34.9,36.78,34.9,35.9,1691
432,35.12,35.12,35.12,35.12,154
441,35.5,35.5,35.5,35.5,300
447,34.65,34.65,34.65,34.65,200
463,35.8,35.8,35.8,35.8,100
467,35.78,35.78,35.78,35.78,100
471,35.5,35.5,35.5,35.5,754
579,36.7,36.7,36.7,36.7,100
594,35,35.03,35,35.01,1481
595,35.6698,35.97,34.8985,35.0176,2357
597,35.16,35.256,34.898,34.898,1198
604,35.6,35.6,35.6,35.6,200
605,35.79,35.79,35.79,35.79,100
610,35.37,35.7,35.37,35.7,200
614,36,36,36,36,100
615,36.14,36.15,35.6,36.14,3743
a1493645400,36.05,36.05,36.05,36.05,183
11,36.12,36.12,36.12,36.12,122
12,36.05,36.15,36.05,36.06,400
13,36.15,36.15,36.1495,36.1495,200
15,36.12,36.12,36.12,36.12,100
32,35.78,35.78,35.78,35.78,100
37,35.49,35.5,35.35,35.5,300
39,35.94,35.94,35.94,35.94,680
183,35.38,35.43,35.37,35.37,1205
312,35.0159,35.0159,35.0159,35.0159,291
315,35.39,35.39,35.39,35.39,100
321,35.1008,35.256,34.85,34.9005,1898
323,35.59,35.59,35.59,35.59,100
326,35.49,35.49,35.49,35.49,100
327,35.06,35.08,34.92,34.92,1273
452,35.065,35.065,35.065,35.065,500
471,35.26,35.43,35.26,35.43,309
583,35.35,35.35,35.35,35.35,499
593,35.615,35.62,35.35,35.62,600
594,35.615,35.615,35.615,35.615,100
599,35.86,35.86,35.86,35.86,100
601,35.4,35.4,35.4,35.4,100
602,35.53,35.53,35.53,35.53,100
603,35.4131,35.505,35.32,35.32,1660
604,35.7425,35.75,35.5501,35.75,1368
613,35.7,35.7,35.7,35.7,310
614,35.65,35.65,35.65,35.65,100
615,35.87,36.02,35.79,35.79,1894
a1494250800,35.87,35.87,35.87,35.87,153
3,36.5,36.5,34.62,34.62,1598
20,35.56,35.56,35.56,35.56,660
22,35.655,35.655,35.655,35.655,297
37,36.09,36.1,36.09,36.1,300
38,36.1,36.29,35.85,36.01,2139
150,36.15,36.15,36.15,36.15,240
151,36.01,36.15,36.01,36.09,600
154,35.8711,35.8711,35.5935,35.5935,998
155,35.7301,35.7301,35.7301,35.7301,116
164,35.45,35.45,35.45,35.45,200
172,35.43,35.43,35.43,35.43,100
174,35.82,35.82,35.82,35.82,100
179,35.73,35.8,35.73,35.8,1000
181,35.76,35.79,35.76,35.79,400
182,35.91,35.92,35.91,35.92,564
326,36.12,36.8,36.12,36.8,1044
433,36.15,36.15,36.15,36.15,607
438,36.15,36.6429,35.7777,36.05,1199
445,36.1,36.95,36.1,36.8902,488
462,36.76,36.76,36.76,36.76,100
468,36.68,36.68,36.68,36.68,100
470,36.5,36.67,36.5,36.67,932
575,36.59,36.59,36.59,36.59,100
580,36.9753,37.02,36.9753,37.02,588
581,36.43,36.43,36.43,36.43,100
583,36.7328,36.7328,36.7328,36.7328,100
584,36.55,36.55,36.55,36.55,100
591,36.61,36.61,36.6,36.6,200
600,36.99,36.99,36.99,36.99,100
610,36.6,36.61,36.6,36.61,400
611,36.6,36.6,36.6,36.6,100
612,36.6,36.6,36.6,36.6,100
613,36.8,36.8,36.79,36.79,200
614,36.8,36.8,36.52,36.65,4944
a1494856800,35.94,35.94,35.94,35.94,100
2,36.01,36.145,36.01,36.145,300
3,35.765,35.765,35.765,35.765,100
12,35.8803,35.9999,35.6728,35.85,1159
15,36.2,36.2,36.1,36.1,6913
25,36.29,36.29,36.29,36.29,100
26,36.435,36.435,36.3,36.3,200
28,36.26,36.29,36.25,36.29,312
34,36.25,36.25,36.12,36.12,200
35,36.3,36.3,36.3,36.3,810
36,36.24,36.3,36.14,36.3,8494
141,36.19,36.19,36.19,36.19,197
143,36.195,36.2,36.195,36.2,400
145,36.2,36.2,36.2,36.2,100
147,36.1822,36.1822,36.1,36.1,300
148,36.1,36.1,36.1,36.1,100
152,36.005,36.005,36.005,36.005,100
157,36.01,36.01,36.01,36.01,100
159,36.01,36.01,36.01,36.01,700
160,36.01,36.01,36.01,36.01,100
163,36.01,36.01,36.01,36.01,100
165,36.01,36.01,36.01,36.01,200
167,36.01,36.01,36.01,36.01,100
168,36.01,36.01,36.01,36.01,200
173,36.01,36.01,36.01,36.01,100
174,36.005,36.08,36.005,36.08,200
176,36.06,36.06,36.06,36.06,100
177,35.98,35.98,35.98,35.98,100
179,36.1,36.1,36.1,36.1,400
180,36.15,36.15,36.1,36.1,920
285,35.7,35.7,35.7,35.7,282
301,35.7,35.7,35.7,35.7,100
304,35.44,35.71,35.44,35.71,420
313,33.91,33.91,33.91,33.91,100
317,34,34,34,34,306
318,34,34,34,34,599
320,34.13,34.13,34.13,34.13,100
324,33.48,33.87,33.48,33.85,3010
433,33.8827,33.8827,33.8827,33.8827,1000
434,34.6,34.6,34.6,34.6,100
437,34.01,34.01,34.01,34.01,100
443,34.435,34.435,34.435,34.435,100
445,34.01,34.04,34.01,34.04,300
448,34.28,34.28,34.28,34.28,100
451,34.27,34.27,34.27,34.27,100
460,34.3,34.3,34.3,34.3,400
461,34.31,34.31,34.3,34.3,300
462,34.46,34.46,34.46,34.46,100
467,34.31,34.31,34.31,34.31,100
468,34.37,34.37,34.3,34.31,1075
573,34.24,34.24,34.24,34.24,959
577,34.5,34.5,34.5,34.5,100
580,34.32,34.32,34.32,34.32,200
581,34.32,34.32,34.32,34.32,100
583,34,34,34,34,100
594,34.01,34.01,34.01,34.01,100
595,34,34,34,34,200
596,34,34,34,34,100
597,34.01,34.01,34.01,34.01,100
598,34,34,34,34,100
605,34,34,34,34,200
607,33.9,34,33.9,34,400
608,33.9,33.91,33.9,33.9,400
609,34,34,33.95,33.95,600
610,34,34,34,34,100
611,34,34,34,34,200
612,33.83,34.11,33.77,34,3457
a1495462200,34.13,34.13,34.13,34.13,100
1,33.73,33.73,33.73,33.73,100
21,34.2496,34.2506,34.2496,34.2506,1516
24,33.8,33.8,33.8,33.8,100
35,33.82,33.82,33.68,33.68,561
140,33.72,33.72,33.72,33.72,180
171,33.7301,33.7301,33.7301,33.7301,100
178,34.31,34.31,34.31,34.31,100
179,34.08,34.11,34.08,34.11,616
288,34.27,34.27,34.27,34.27,100
298,33.8,33.8,33.8,33.8,100
299,34.23,34.23,34.23,34.23,100
316,34.04,34.05,34.04,34.04,500
322,34,34,34,34,100
323,33.73,33.73,33.73,33.73,344
459,33.0001,33.0001,33.0001,33.0001,100
460,33.0101,33.1853,33.0101,33.1853,1826
467,33.31,33.31,33.14,33.15,775
572,33.01,33.01,33.01,33.01,693
580,31.7,32.6,31.7,32.4,2300
581,31.94,31.94,31.94,31.94,205
582,31.7552,31.7552,31.5001,31.53,2950
594,32.7864,32.7864,32.7864,32.7864,150
605,32.2,32.32,32.2,32.31,500
