EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493040600,24.6,24.6,24.6,24.6,2789
2,24.7,24.7,24.65,24.65,1089
3,24.55,24.65,24.5,24.65,1868
4,24.5,24.5,24.5,24.5,100
5,24.5,24.55,24.5,24.525,7698
6,24.45,24.55,24.45,24.5,7981
7,24.5,24.5,24.5,24.5,1400
8,24.5,24.5,24.45,24.455,2591
9,24.45,24.5,24.45,24.5,2984
10,24.45,24.5,24.425,24.475,1986
11,24.475,24.5,24.4,24.45,2600
12,24.45,24.5,24.45,24.5,3800
13,24.5,24.5,24.5,24.5,1300
14,24.5,24.5,24.5,24.5,1200
15,24.5,24.5,24.5,24.5,200
16,24.5,24.5,24.5,24.5,300
17,24.475,24.55,24.45,24.5,1100
18,24.5,24.5,24.5,24.5,1418
21,24.5,24.55,24.5,24.5,700
23,24.55,24.55,24.45,24.45,200
25,24.5,24.5,24.5,24.5,700
27,24.45,24.45,24.45,24.45,1300
28,24.45,24.45,24.45,24.45,100
29,24.35,24.4,24.35,24.4,1000
30,24.425,24.425,24.425,24.425,100
31,24.425,24.45,24.425,24.45,200
33,24.425,24.45,24.4,24.425,1000
34,24.45,24.45,24.425,24.425,4200
35,24.5,24.5,24.425,24.45,4800
36,24.5,24.5,24.45,24.5,1400
37,24.45,24.5,24.4,24.5,4138
38,24.4,24.5,24.35,24.5,4536
39,24.45,24.45,24.35,24.4,11249
145,24.65,24.65,24.6,24.6,1400
146,24.7,24.7,24.7,24.7,100
147,24.6503,24.6503,24.65,24.65,467
148,24.65,24.65,24.6,24.65,900
149,24.675,24.7,24.65,24.65,800
150,24.7,24.7,24.7,24.7,100
151,24.7,24.7,24.675,24.7,4100
152,24.75,24.75,24.725,24.725,200
153,24.8,24.8,24.75,24.75,2300
154,24.9,24.9,24.9,24.9,100
155,24.9,24.9,24.9,24.9,100
157,24.95,24.95,24.9,24.9,500
158,24.95,25,24.95,25,250
159,25,25,25,25,300
161,25,25,25,25,300
162,25,25,25,25,100
163,24.9,24.95,24.9,24.95,3200
164,24.9,24.9,24.875,24.9,900
166,24.9,24.9,24.9,24.9,100
168,24.9,24.9,24.9,24.9,200
169,24.875,24.9,24.875,24.9,200
170,24.85,24.85,24.85,24.85,100
171,24.9,24.9,24.9,24.9,100
172,24.9,24.9,24.9,24.9,100
173,24.9,24.9,24.9,24.9,100
175,24.9,24.9,24.9,24.9,200
177,24.9,24.9,24.9,24.9,200
178,24.85,24.9,24.825,24.9,600
179,24.85,24.9,24.8,24.85,600
181,24.755,24.85,24.755,24.85,1679
182,24.75,24.75,24.725,24.75,2414
183,24.7,24.75,24.65,24.7,4974
288,24.7,24.7,24.7,24.7,202
291,24.85,24.85,24.85,24.85,100
293,25,25,24.9,24.9,200
295,25.1,25.1,24.95,25,500
296,25.1,25.1,25.05,25.1,700
299,25.3,25.3,25.3,25.3,200
300,25.3,25.3,25.3,25.3,400
303,25.35,25.35,25.3,25.35,600
304,25.3,25.4,25.3,25.35,2000
305,25.25,25.35,25.25,25.35,1000
306,25.25,25.3,25.2,25.25,1728
307,25.15,25.225,25.1,25.225,801
308,25.15,25.25,25.15,25.15,2100
313,25.15,25.25,25.1,25.15,3400
314,25.15,25.2,25.15,25.2,500
316,25.15,25.2,25.15,25.2,200
317,25.15,25.15,25.15,25.15,100
319,25.25,25.25,25.2,25.2,760
322,25.35,25.35,25.35,25.35,200
323,25.35,25.35,25.35,25.35,900
324,25.3,25.35,25.3,25.35,571
325,25.225,25.275,25.225,25.275,1300
326,25.15,25.25,25.15,25.2,1253
327,25.1,25.2,25.05,25.15,10689
432,25.1,25.1,25.1,25.1,146
434,25.15,25.15,25.15,25.15,100
435,25.25,25.25,25.2,25.2,200
437,25.15,25.15,25.15,25.15,258
438,25.15,25.15,25.125,25.125,300
439,25.1,25.1,25,25.1,1373
444,25.1,25.1,25.1,25.1,100
446,25.125,25.125,25.05,25.05,300
447,25.125,25.125,25.125,25.125,100
448,25.15,25.15,25.1,25.1,1103
449,25.3,25.3,25.3,25.3,200
452,25.25,25.3,25.25,25.25,600
453,25.35,25.35,25.35,25.35,200
454,25.3,25.35,25.2,25.3,4341
455,25.175,25.175,25.1,25.1,200
456,25.05,25.05,25.05,25.05,200
457,25.1,25.1,24.95,25.05,1000
458,24.95,25.025,24.95,25.025,200
459,24.95,24.95,24.8,24.9,2500
461,25,25,25,25,100
462,25.0032,25.0032,25.0032,25.0032,318
463,25.05,25.05,25.05,25.05,100
466,25.05,25.05,25.05,25.05,100
468,25.05,25.05,25.05,25.05,200
469,24.9989,25,24.95,25,1000
470,25.05,25.05,25,25.05,400
471,25,25.1,24.95,25.1,3786
577,24.85,24.85,24.85,24.85,100
580,24.95,24.95,24.9,24.9,300
583,24.85,24.85,24.85,24.85,200
587,24.85,24.85,24.85,24.85,100
590,24.845,24.845,24.845,24.845,1000
595,24.7,24.8,24.7,24.8,1100
597,24.7,24.7,24.7,24.7,100
599,24.65,24.65,24.6,24.6,300
600,24.53,24.53,24.53,24.53,240
602,24.65,24.65,24.65,24.65,100
605,24.55,24.575,24.55,24.575,300
606,24.6,24.6,24.55,24.55,400
607,24.6,24.6,24.6,24.6,8100
608,24.65,24.65,24.65,24.65,200
609,24.65,24.75,24.65,24.75,1600
610,24.65,24.65,24.65,24.65,400
614,24.6,24.7,24.555,24.6,3084
615,24.5,24.65,24.45,24.625,22930
a1493645400,24.6,24.6,24.6,24.6,107
1,24.471,24.471,24.471,24.471,252
2,24.65,24.65,24.65,24.65,300
3,24.5,24.5,24.5,24.5,100
4,24.5,24.5,24.5,24.5,200
6,24.5,24.5,24.5,24.5,800
7,24.5,24.5,24.5,24.5,500
9,24.55,24.55,24.55,24.55,100
10,24.5,24.5,24.5,24.5,1800
11,24.5,24.55,24.5,24.525,400
12,24.55,24.55,24.5,24.5,500
15,24.525,24.55,24.5,24.55,300
17,24.475,24.475,24.475,24.475,200
18,24.35,24.45,24.3,24.45,2200
19,24.4,24.4,24.4,24.4,100
23,24.25,24.3048,24.25,24.3048,900
26,24.3,24.3,24.3,24.3,800
27,24.3,24.3,24.3,24.3,343
29,24.25,24.3,24.25,24.3,2030
31,24.2,24.2363,24.1,24.2,2074
32,24.3,24.3,24.25,24.255,1950
34,24.3,24.35,24.3,24.35,600
37,24.15,24.35,24.15,24.35,1500
39,24.2,24.25,24.15,24.25,7710
144,24.25,24.25,24.25,24.25,119
145,24.5,24.5,24.35,24.35,200
146,24.4,24.4,24.3,24.3,300
147,24.4,24.4,24.4,24.4,100
153,24.3,24.3,24.3,24.3,100
154,24.4,24.4,24.4,24.4,100
155,24.3,24.3,24.3,24.3,986
156,24.35,24.4,24.35,24.4,365
157,24.35,24.4,24.35,24.35,1515
159,24.3,24.35,24.3,24.3,500
160,24.4,24.4,24.35,24.35,300
161,24.3361,24.4,24.3361,24.4,600
162,24.3,24.35,24.3,24.35,1100
164,24.3,24.3,24.255,24.255,621
165,24.35,24.35,24.3,24.3,200
166,24.25,24.3,24.25,24.3,300
167,24.225,24.225,24.225,24.225,100
169,24.25,24.25,24.225,24.25,500
171,24.25,24.25,24.25,24.25,200
172,24.25,24.25,24.25,24.25,200
176,24.25,24.3,24.25,24.3,400
178,24.2,24.2,24.2,24.2,244
179,24.2,24.25,24.15,24.25,2452
180,24.2,24.2,24.2,24.2,800
181,24.1,24.15,24.1,24.15,1189
182,24.15,24.15,24.15,24.15,1610
183,24.25,24.25,24.15,24.15,5392
288,24.15,24.15,24.15,24.15,225
290,24.3,24.3,24.2098,24.2098,2100
292,24.25,24.4,24.25,24.35,400
295,24.35,24.35,24.35,24.35,100
296,24.25,24.35,24.25,24.35,1200
299,24.2742,24.2742,24.2742,24.2742,200
301,24.25,24.25,24.25,24.25,100
302,24.3,24.3,24.3,24.3,200
303,24.3,24.3,24.3,24.3,300
304,24.25,24.345,24.25,24.345,700
306,24.35,24.35,24.35,24.35,100
308,24.35,24.35,24.35,24.35,100
309,24.35,24.4,24.35,24.4,300
311,24.35,24.35,24.35,24.35,100
