EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,162,162.6,162,162.6,2463
1,162.75,163.95,162.25,162.7,2344
2,164.35,164.7,163.5,163.5,10051
3,164.6,164.6,164.2,164.5,3800
4,164.5,164.55,164.25,164.55,1600
5,164.35,164.55,164.25,164.55,23649
6,164.1,164.45,164.05,164.45,1500
7,163.65,164.05,163.6,164,4600
8,163.65,163.85,163.65,163.75,2450
9,162.85,163.7,162.85,163.5,5225
10,163.65,163.65,162.9,162.9,2430
11,163.55,163.55,163.4,163.5,5700
12,163.4,163.5,163.4,163.5,1900
13,163.15,163.4,163.1,163.4,4500
14,163.4,163.4,163.15,163.15,4900
15,163.2,163.4,163.15,163.4,4403
16,163.15,163.35,163.15,163.25,4005
17,163,163.2,162.95,163.05,4540
18,162.85,163.05,162.8,163,4700
19,163,163,162.8,162.95,5920
20,162.95,163,162.9,163,4823
21,163,163,162.9,163,4721
22,163.15,163.25,162.85,162.85,2910
23,163.6,163.75,163.175,163.25,4379
24,163.55,163.675,163.45,163.65,5406
25,163.8,163.8,163.6,163.6,900
26,163.9,164.05,163.85,163.9,7407
27,163.6,164,163.6,163.9,2827
28,163.7,163.85,163.55,163.6,11024
29,163.725,163.725,163.55,163.7,2700
30,163.45,163.9,163.45,163.7,11972
31,163.625,163.7,163.35,163.45,3757
32,163.65,163.75,163.55,163.65,8302
33,163.775,163.9,163.6,163.65,8500
34,163.8,164.05,163.7,163.775,8274
35,163.65,163.8,163.5,163.8,6124
36,163.7,163.85,163.6,163.7,13259
37,163.4,163.75,163.35,163.7,12994
38,163.2,163.45,163.1,163.4,23734
39,162.8,163.175,162.8,163.175,56214
144,164.35,164.35,162.85,162.85,2132
145,163.3,163.8,163.3,163.8,3433
146,162.85,163.55,162.85,163.55,7068
147,162.8,162.925,162.55,162.65,12574
148,162.7,162.8,162.45,162.65,5160
149,162.4,162.75,161.8,162.45,9167
150,162.65,162.7,162.35,162.375,9365
151,162.6,162.7,162.4,162.6,17291
152,162.3,162.8,162.2,162.7,28717
153,162.15,162.45,162.15,162.4,9260
154,162.3,162.55,162.1,162.25,15033
155,162.25,162.35,162.1,162.3,4427
156,162.2,162.55,161.8,162.2,7800
157,162,162.25,161.9,162.25,9136
158,161.725,162.05,161.6,162.05,9228
159,161.75,161.9,161.6,161.65,7077
160,161.95,162,161.8,161.8,6479
161,162,162.05,161.85,162,15197
162,161.875,162.05,161.745,162,7050
163,162.45,162.6,161.8,161.85,12340
164,162.45,162.85,162.45,162.55,3294
165,163.1997,163.2,162.55,162.55,4866
166,162.75,163.175,162.7,163.175,4442
167,162.5,162.9,162.5,162.9,7109
168,162.6,162.7,162.475,162.525,6600
169,162.4,162.55,162.25,162.5,23967
170,162.15,162.4,162.05,162.25,5550
171,162.35,162.4,162.2,162.2,11450
172,162.8,163.075,162.3,162.35,11350
173,162.7,163,162.5,162.9,4541
174,162.55,162.8,162.54,162.575,8140
175,163,163.1,162.625,162.7,9101
176,163.5,163.75,163,163,9299
177,163.825,163.95,163.35,163.55,16644
178,163.65,163.8,163.45,163.75,9500
179,163.75,163.9,163.6,163.65,14031
180,163.4,163.7,163.2,163.7,18668
181,163.2,163.35,162.95,163.35,17875
182,162.75,163.35,162.65,163.25,33882
183,162.4,163,161.95,162.75,105409
288,155.35,156.3,155.3,155.3,14767
289,153.87,158.4,152.8,156,121155
290,156.4,156.8,152.8,153.895,86310
291,156.2,156.7,155.55,156.35,55975
292,156.83,158.3,156.3,156.3,40720
293,157.3,157.725,156.655,156.8,17473
294,156.45,157.3,156.35,157.3,16874
295,156.85,157.1,156.35,156.4,16285
296,157.05,157.7,156.7,156.7,13315
297,156.55,157.35,156.55,156.8,11723
298,156.7,157,156.5,156.6,7233
299,156.75,156.95,156.55,156.85,17794
300,156.85,157,156.3,156.775,27180
301,155.9,156.65,155.65,156.6,9774
302,156.895,156.895,155.85,155.975,7122
303,156.75,157.5,156.65,156.8,10224
304,156.95,157.45,156.8,156.8,6097
305,157,157.2,156.75,156.95,8132
306,156.75,157.1,156.707,156.9,3672
307,156.975,157,156.7,156.75,8722
308,157.275,157.3,156.975,156.975,9560
309,157.05,157.35,156.9,157.275,6027
310,157.5,157.75,157.05,157.05,12666
311,157.25,157.5,157.25,157.4394,5013
312,157.15,157.55,157.1,157.325,4539
313,157.3,157.35,157.1,157.25,5491
314,157.25,157.6,157.15,157.3,8300
315,157.25,157.3,157.15,157.225,4600
316,157.45,157.65,157.15,157.25,7833
317,157.5,157.6,157.3,157.4,5572
318,157.175,157.55,157.1,157.475,7117
319,157.325,157.4,157.1,157.175,10673
320,157.475,157.6,157.325,157.325,7250
321,157.275,157.6,157.2,157.45,14024
322,157.325,157.45,157.15,157.25,7360
323,157.1,157.5,157.05,157.3246,10399
324,157.05,157.45,156.8,157.05,16071
325,156.7,157.1,156.55,157,29487
326,156.6,156.65,156.3,156.6,18195
327,156.4,156.65,155.85,156.5,96984
432,156.15,156.15,156.15,156.15,3118
433,156.15,156.15,155.41,155.9,4900
434,156.6,157,156.3,156.3,7884
435,156.75,156.95,156.55,156.55,3533
436,156.05,156.75,156.0255,156.75,4372
437,155.55,156.05,155.4903,156.05,4708
438,155.05,155.52,154.85,155.5,7200
439,154.85,155.15,154.85,155.05,5500
440,154.8,155.2,154.8,154.95,5145
441,155.25,155.4,154.8,154.85,8984
442,155.25,155.45,155.15,155.15,7648
443,155.1,155.25,155.05,155.25,7100
444,155.4,155.4,155,155.05,6800
445,155.5,155.55,155.375,155.4,3000
446,155.45,155.65,155.4,155.5,7949
447,156.1,156.1,155.575,155.6,6350
448,156.2,156.225,156.05,156.2,3656
449,156.45,156.55,156.25,156.25,6141
450,156.7,156.75,156.45,156.45,5267
451,156.4571,156.7,156.4,156.7,8088
452,156.9,156.95,156.4,156.45,2700
453,157,157.2,156.8,156.9,14962
454,157.15,157.15,156.85,157.15,4500
455,157.25,157.35,157.2,157.2,5500
456,157.25,157.3,157.15,157.3,6365
457,157.45,157.45,157.25,157.3,3625
458,157.45,157.55,157.35,157.5,8300
459,157.65,157.75,157.5,157.55,4876
460,157.9,158.1,157.7,157.75,7400
461,158.3,158.35,157.95,158,14100
462,158.05,158.35,157.95,158.25,7700
463,157.85,158.1,157.7,158.05,7000
464,157.8,157.9,157.65,157.85,3800
465,157.55,157.8,157.35,157.8,6892
466,157.6,157.675,157.55,157.65,8300
467,157.85,157.85,157.55,157.55,6164
468,157.35,158.025,157.35,157.9,15703
469,157.4,157.55,157.3,157.45,12398
470,157.425,157.55,157.2,157.3,21643
471,157.55,158.05,157.4,157.45,124100
864,157.85,157.85,157.85,157.85,1913
865,158.5,158.9,157.75,158.2,6252
866,158.05,158.7,157.95,158.4,4760
867,158.75,158.75,158,158.05,2800
868,159.1,159.5,158.6,158.75,12047
869,159.35,159.7,158.9,158.9,5803
870,159.55,159.6,159.075,159.35,4452
871,160.425,160.6,159.55,159.55,14307
872,161.075,161.1,160.35,160.45,17788
873,161.325,161.4,160.75,161.05,19910
874,161.5,161.8,161.325,161.4,13786
875,160.7,161.35,160.7,161.35,9112
876,160.8,160.8,160.7,160.7,3900
877,160.4,160.8,160.35,160.8,5612
878,160.7,160.7,160.3,160.3,4300
879,160.95,161.05,160.4,160.6,4720
880,160.9,161.05,160.75,161,2500
881,160.85,161.2,160.775,160.95,6921
882,160.95,161.05,160.725,160.85,4415
883,160.7,161.15,160.6,161.1,5400
884,160.5,160.775,160.5,160.75,3300
885,160.68,160.75,160.3,160.575,5307
886,160.75,160.85,160.75,160.85,1850
887,160.65,160.65,160.4,160.65,4200
888,160.65,160.725,160.65,160.65,2406
889,160.6,160.775,160.5,160.7,4300
890,160.95,160.95,160.65,160.65,2000
891,160.95,161,160.8,160.95,6742
892,160.625,161,160.625,161,3200
893,160.05,160.675,160.05,160.6,5100
894,160.05,160.1,159.95,160.05,4971
895,159.9,160.05,159.85,160.05,2319
896,159.5,159.9,159.5,159.9,3400
897,159.75,159.75,159.4,159.45,2800
898,159.7,159.85,159.65,159.75,2800
