EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493905200,24.88,24.88,24.88,24.88,2406
1,24.85,24.85,24.85,24.85,400
3,24.8893,24.8893,24.8893,24.8893,250
4,24.8899,24.8899,24.8899,24.8899,200
8,24.89,24.89,24.89,24.89,100
11,24.85,24.85,24.85,24.85,100
12,24.87,24.87,24.87,24.87,100
13,24.89,24.89,24.89,24.89,1399
15,24.85,24.85,24.85,24.85,1000
20,24.8452,24.8452,24.8452,24.8452,200
31,24.8651,24.8651,24.8651,24.8651,300
37,24.8628,24.89,24.8628,24.89,3440
581,24.8895,24.8895,24.8895,24.8895,200
584,24.88,24.88,24.88,24.88,5350
586,24.85,24.85,24.85,24.85,300
587,24.82,24.82,24.82,24.82,2400
599,24.8408,24.8408,24.8408,24.8408,100
610,24.8398,24.8398,24.8398,24.8398,400
611,24.8398,24.85,24.8398,24.85,1900
612,24.84,24.85,24.84,24.84,2200
743,24.85,24.85,24.85,24.85,100
754,24.901,24.901,24.901,24.901,721
755,24.9,24.9,24.9,24.9,100
868,24.8594,24.8594,24.8594,24.8594,500
872,24.84,24.84,24.839,24.84,2820
875,24.85,24.85,24.84,24.84,1100
895,24.84,24.84,24.84,24.84,370
896,24.87,24.87,24.8677,24.87,2200
901,24.87,24.87,24.87,24.87,584
902,24.88,24.88,24.869,24.869,2000
a1494516600,24.77,24.78,24.77,24.78,1500
2,24.7747,24.78,24.7747,24.78,460
16,24.82,24.82,24.82,24.82,535
17,24.84,24.84,24.8176,24.8199,1695
24,24.83,24.83,24.83,24.83,790
26,24.83,24.83,24.83,24.83,400
27,24.85,24.85,24.83,24.83,800
138,24.8,24.81,24.8,24.81,500
143,24.813,24.813,24.813,24.813,250
144,24.83,24.83,24.8299,24.8299,580
145,24.82,24.82,24.82,24.82,1830
146,24.8201,24.8201,24.8201,24.8201,480
148,24.82,24.83,24.82,24.8266,1410
149,24.813,24.813,24.813,24.813,220
165,24.81,24.81,24.8077,24.8099,500
169,24.79,24.79,24.785,24.785,665
170,24.79,24.79,24.79,24.79,700
171,24.78,24.78,24.78,24.78,600
567,24.8999,24.8999,24.8999,24.8999,200
576,24.94,24.94,24.92,24.92,200
580,24.91,24.91,24.91,24.91,100
587,24.91,24.91,24.91,24.91,100
592,24.93,24.93,24.93,24.93,100
595,24.89,24.89,24.89,24.89,100
599,24.9,24.9,24.89,24.89,200
601,24.9,24.9,24.9,24.9,325
603,24.92,24.92,24.92,24.92,200
713,24.94,24.94,24.94,24.94,100
714,24.89,24.89,24.89,24.89,200
716,24.8799,24.8799,24.8799,24.8799,200
725,24.9,24.9,24.9,24.9,100
728,24.9055,24.9099,24.9055,24.9099,400
730,24.9,24.9,24.9,24.9,100
736,24.9,24.9,24.89,24.89,200
741,24.88,24.88,24.88,24.88,100
742,24.87,24.87,24.87,24.87,200
855,24.68,24.68,24.68,24.68,100
856,24.64,24.64,24.64,24.64,200
859,24.63,24.63,24.63,24.63,100
861,24.59,24.59,24.59,24.59,200
864,24.56,24.56,24.56,24.56,100
866,24.59,24.59,24.59,24.59,100
868,24.57,24.57,24.57,24.57,100
870,24.57,24.57,24.57,24.57,100
871,24.5498,24.5498,24.5498,24.5498,300
873,24.58,24.58,24.58,24.58,100
874,24.5708,24.5708,24.5708,24.5708,800
875,24.57,24.57,24.57,24.57,100
877,24.55,24.55,24.55,24.55,100
880,24.54,24.54,24.54,24.54,100
881,24.51,24.55,24.51,24.54,3600
884,24.46,24.465,24.46,24.465,200
889,24.48,24.48,24.48,24.48,2000
891,24.41,24.41,24.4,24.4,2200
998,24.374,24.39,24.374,24.39,1000
a1495120200,24.54,24.54,24.54,24.54,100
3,24.505,24.51,24.505,24.51,500
4,24.5,24.5,24.5,24.5,600
13,24.48,24.48,24.48,24.48,100
19,24.5662,24.5662,24.5662,24.5662,200
23,24.57,24.57,24.57,24.57,100
28,24.54,24.54,24.54,24.54,100
136,24.69,24.69,24.69,24.69,300
144,24.7362,24.7362,24.7362,24.7362,200
147,24.7429,24.7429,24.7429,24.7429,400
148,24.7358,24.7358,24.7358,24.7358,150
154,24.779,24.779,24.779,24.779,500
163,24.7696,24.7696,24.7696,24.7696,135
165,24.8,24.8,24.8,24.8,800
167,24.7964,24.7964,24.7964,24.7964,160
168,24.75,24.77,24.75,24.77,1400
574,24.84,24.84,24.84,24.84,200
599,24.873,24.873,24.873,24.873,200
602,24.8864,24.8864,24.8864,24.8864,200
719,24.8628,24.8799,24.8628,24.8799,400
738,24.88,24.88,24.88,24.88,500
880,24.9699,24.9699,24.9699,24.9699,500
882,24.96,24.96,24.95,24.96,800
886,24.9793,24.9793,24.9793,24.9793,200
887,24.97,24.9799,24.97,24.9799,400
891,24.9696,24.9696,24.9696,24.9696,250
a1495726200,25.12,25.12,25.12,25.12,100
2,25.07,25.07,25.07,25.07,200
19,25.0865,25.0865,25.0865,25.0865,358
27,25.02,25.0629,25.02,25.0628,2100
138,25.07,25.07,25.07,25.07,100
140,25.08,25.08,25.08,25.08,100
143,25.08,25.08,25.08,25.08,100
145,25.08,25.08,25.08,25.08,100
148,25.07,25.07,25.07,25.07,100
152,25.07,25.07,25.07,25.07,100
155,25.07,25.07,25.07,25.07,100
158,25.07,25.07,25.07,25.07,100
159,25.0698,25.0698,25.0698,25.0698,300
161,25.07,25.07,25.07,25.07,100
164,25.07,25.07,25.07,25.07,100
712,25.0792,25.0792,25.0792,25.0792,1145
713,25.05,25.05,25.05,25.05,500
732,25.0396,25.0396,25.0396,25.0396,1000
738,25.0396,25.0396,25.0396,25.0396,200
739,25.0396,25.0396,25.0396,25.0396,200
742,25.05,25.05,25.04,25.04,705
743,25.0492,25.05,25.0492,25.05,400
744,25.04,25.045,25.04,25.045,300
856,24.93,24.93,24.93,24.93,100
857,24.89,24.96,24.89,24.96,900
858,24.96,24.96,24.96,24.96,100
859,24.97,24.97,24.97,24.97,100
860,24.98,24.98,24.98,24.98,100
862,24.99,24.99,24.99,24.99,100
863,24.99,24.99,24.99,24.99,100
864,24.99,24.99,24.99,24.99,100
866,24.97,24.97,24.97,24.97,100
867,24.98,24.98,24.98,24.98,100
869,25.01,25.01,25.01,25.01,100
870,25.01,25.01,25.01,25.01,100
872,25.01,25.01,25.01,25.01,100
873,25,25,25,25,100
875,25,25,25,25,100
876,25.01,25.01,24.9798,25,2300
877,25.01,25.01,25.01,25.01,100
879,25,25.01,25,25.01,900
880,25.01,25.01,25.01,25.01,100
881,24.99,24.99,24.99,24.99,100
882,25,25,25,25,100
883,25.01,25.01,25.01,25.01,100
884,25.01,25.01,25.01,25.01,100
885,25.01,25.01,25.01,25.01,345
891,25.06,25.06,25.06,25.06,100
998,25.234,25.24,25.2,25.2,2000
a1496330400,25.193,25.193,25.193,25.193,100
1,25.2055,25.21,25.2055,25.21,400
3,25.2,25.2,25.2,25.2,790
13,25.29,25.29,25.29,25.29,200
23,25.29,25.29,25.29,25.29,500
144,25.37,25.37,25.332,25.332,200
146,25.3906,25.3906,25.3906,25.3906,100
151,25.4355,25.44,25.4355,25.44,600
565,25.48,25.48,25.48,25.48,3500
566,25.448,25.48,25.44,25.462,22600
567,25.42,25.44,25.42,25.44,14500
568,25.44,25.44,25.44,25.44,2600
569,25.45,25.45,25.45,25.45,900
574,25.44,25.44,25.44,25.44,487
577,25.4,25.4,25.4,25.4,100
579,25.4,25.4,25.4,25.4,1100
604,25.43,25.43,25.43,25.43,100
736,25.31,25.31,25.31,25.31,115
745,25.3828,25.3828,25.3828,25.3828,160
746,25.36,25.36,25.36,25.36,400
854,25.399,25.399,25.386,25.399,2000
860,25.35,25.35,25.35,25.35,300
867,25.319,25.319,25.319,25.319,200
868,25.32,25.32,25.31,25.31,500
872,25.27,25.28,25.27,25.28,1800
873,25.25,25.25,25.25,25.25,850
892,25.31,25.31,25.31,25.31,100
997,25.37,25.37,25.37,25.37,250
a1496932200,25.21,25.21,25.21,25.21,400
1,25.25,25.25,25.2492,25.2492,1100
19,25.28,25.28,25.278,25.2799,3100
