EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,2,2.02,2,2,114572
1,1.72,2.05,1.68,2,3414447
2,1.72,1.76,1.66,1.72,1452553
3,1.635,1.75,1.57,1.725,1809395
4,1.72,1.72,1.61,1.635,1217813
5,1.65,1.72,1.65,1.715,403438
6,1.65,1.67,1.63,1.65,262374
7,1.61,1.66,1.61,1.65,230205
8,1.63,1.66,1.61,1.61,165272
9,1.61,1.65,1.6,1.63,279975
10,1.5984,1.62,1.59,1.61,149880
11,1.6,1.61,1.56,1.595,373627
12,1.59,1.6099,1.59,1.6,67864
13,1.5707,1.59,1.56,1.59,191705
14,1.56,1.58,1.56,1.57,102243
15,1.55,1.57,1.55,1.57,151441
16,1.5607,1.57,1.52,1.55,244090
17,1.53,1.57,1.53,1.5607,72054
18,1.52,1.54,1.52,1.53,113813
19,1.53,1.54,1.52,1.52,122208
20,1.568,1.58,1.53,1.53,100760
21,1.5693,1.58,1.56,1.565,70511
22,1.54,1.5693,1.53,1.565,76565
23,1.53,1.5461,1.52,1.54,89369
24,1.51,1.5385,1.51,1.53,118699
25,1.5199,1.52,1.5,1.5198,118432
26,1.5,1.54,1.5,1.52,150905
27,1.52,1.52,1.5061,1.51,43811
28,1.5193,1.5247,1.5101,1.5199,38893
29,1.5107,1.52,1.51,1.52,34165
30,1.5,1.52,1.48,1.511,109923
31,1.5193,1.53,1.481,1.4901,63910
32,1.4902,1.53,1.4902,1.5176,25610
33,1.52,1.525,1.5,1.5,22334
34,1.51,1.519,1.51,1.515,4130
35,1.5,1.519,1.49,1.51,92033
36,1.4978,1.5,1.48,1.494,88292
37,1.491,1.5,1.481,1.4901,65356
38,1.48,1.5,1.48,1.4909,31205
39,1.48,1.49,1.46,1.483,230480
144,1.45,1.45,1.45,1.45,27385
145,1.3809,1.4639,1.35,1.44,281190
146,1.39,1.43,1.38,1.3899,99223
147,1.4,1.42,1.35,1.396,241827
148,1.3901,1.4,1.37,1.3846,94659
149,1.41,1.41,1.39,1.39,90670
150,1.415,1.42,1.41,1.41,7433
151,1.421,1.43,1.411,1.411,54353
152,1.425,1.43,1.4201,1.425,20649
153,1.4401,1.45,1.42,1.4233,45825
154,1.4415,1.45,1.44,1.449,6627
155,1.41,1.4499,1.4,1.4409,83447
156,1.4234,1.43,1.42,1.4277,17731
157,1.42,1.428,1.42,1.4201,9930
158,1.4201,1.4216,1.42,1.42,11000
159,1.42,1.43,1.42,1.4261,10407
160,1.4207,1.43,1.42,1.425,26780
161,1.42,1.425,1.41,1.425,28171
162,1.415,1.42,1.415,1.42,1375
163,1.4191,1.4191,1.41,1.411,8037
164,1.42,1.42,1.4199,1.42,10811
165,1.411,1.42,1.41,1.4199,6029
166,1.42,1.42,1.411,1.415,5925
168,1.43,1.43,1.4201,1.4201,5097
169,1.43,1.43,1.41,1.425,19113
170,1.425,1.43,1.42,1.42,10275
171,1.43,1.43,1.4224,1.4224,5492
172,1.425,1.425,1.42,1.4215,1280
173,1.4492,1.45,1.43,1.43,89258
174,1.4401,1.4462,1.4401,1.4412,9538
175,1.45,1.455,1.45,1.45,6292
176,1.4411,1.45,1.42,1.45,18286
177,1.4432,1.46,1.44,1.44,17125
178,1.4515,1.4515,1.45,1.45,2342
180,1.44,1.449,1.44,1.4422,5700
181,1.439,1.445,1.4308,1.442,19719
182,1.44,1.44,1.4307,1.435,9614
183,1.45,1.46,1.44,1.4401,73871
288,1.43,1.43,1.43,1.43,4456
289,1.42,1.4383,1.39,1.43,20194
290,1.4201,1.43,1.4101,1.4217,13295
291,1.44,1.44,1.42,1.43,32720
292,1.42,1.44,1.42,1.438,19255
293,1.43,1.45,1.41,1.4199,38275
294,1.4201,1.47,1.41,1.4311,16121
295,1.432,1.432,1.4201,1.4201,1025
296,1.465,1.47,1.4201,1.4201,46789
297,1.4611,1.47,1.46,1.46,18258
298,1.46,1.47,1.45,1.4617,8444
299,1.45,1.45,1.44,1.44,4200
300,1.4499,1.4501,1.44,1.45,5558
301,1.4438,1.4442,1.43,1.4442,3610
303,1.4301,1.4372,1.43,1.4372,531
304,1.44,1.44,1.43,1.433,3145
305,1.4301,1.4475,1.43,1.4419,10450
306,1.4225,1.435,1.42,1.435,6138
307,1.42,1.4222,1.4,1.421,15256
308,1.41,1.4199,1.4,1.41,14471
309,1.4178,1.42,1.415,1.42,8739
310,1.411,1.42,1.411,1.419,12955
311,1.42,1.42,1.4101,1.4155,11548
312,1.425,1.426,1.42,1.4233,2510
313,1.425,1.425,1.421,1.425,1000
314,1.4346,1.435,1.4201,1.43,2671
315,1.44,1.44,1.43,1.43,2600
316,1.43,1.435,1.43,1.435,4400
317,1.42,1.42,1.42,1.42,100
318,1.4283,1.4371,1.4232,1.4261,5225
319,1.4224,1.4237,1.4224,1.4237,2200
320,1.4301,1.44,1.421,1.421,4600
321,1.4219,1.425,1.411,1.4201,10486
322,1.4299,1.4299,1.411,1.42,2980
323,1.42,1.43,1.41,1.428,7925
324,1.42,1.42,1.41,1.411,29100
325,1.4186,1.42,1.415,1.415,5365
326,1.411,1.42,1.41,1.41,14100
327,1.42,1.43,1.41,1.42,43166
432,1.41,1.41,1.41,1.41,2833
433,1.4281,1.43,1.41,1.42,28125
434,1.41,1.42,1.41,1.42,17200
435,1.41,1.4191,1.41,1.4165,3453
436,1.4109,1.4109,1.41,1.41,10120
437,1.4101,1.42,1.41,1.41,16006
438,1.41,1.42,1.41,1.42,12350
439,1.413,1.42,1.41,1.41,8168
440,1.42,1.42,1.41,1.415,2343
441,1.4092,1.42,1.4,1.42,35308
442,1.4099,1.41,1.4,1.4099,13871
443,1.4,1.41,1.4,1.41,10172
444,1.405,1.41,1.3907,1.4,13672
445,1.4,1.405,1.4,1.4021,4650
446,1.394,1.4,1.39,1.391,17776
447,1.4,1.4,1.39,1.395,11846
448,1.3956,1.4,1.39,1.397,14570
449,1.4071,1.41,1.39,1.4,27150
450,1.4001,1.41,1.4,1.4001,2860
451,1.4093,1.4093,1.4017,1.4017,1050
452,1.4,1.4069,1.4,1.4001,2900
453,1.41,1.41,1.401,1.401,6000
454,1.4086,1.41,1.4,1.4,12963
455,1.39,1.41,1.39,1.41,7774
456,1.3939,1.3939,1.39,1.39,12325
457,1.39,1.3952,1.39,1.3907,19238
458,1.39,1.4,1.39,1.4,3900
459,1.4,1.43,1.39,1.39,40995
460,1.41,1.41,1.407,1.407,2200
461,1.4,1.41,1.4,1.41,2900
462,1.4027,1.43,1.39,1.409,42648
463,1.405,1.41,1.405,1.41,600
466,1.4093,1.41,1.4,1.4,6529
467,1.4,1.401,1.4,1.4,36711
468,1.4001,1.41,1.4,1.4,16221
469,1.4138,1.42,1.39,1.4064,26464
470,1.4117,1.419,1.4117,1.419,3572
471,1.43,1.43,1.4107,1.4178,31200
864,1.43,1.43,1.43,1.43,5269
865,1.4018,1.4361,1.39,1.43,29028
866,1.41,1.439,1.41,1.4373,24550
867,1.4299,1.4299,1.4224,1.4224,4795
868,1.426,1.43,1.4222,1.4282,4514
869,1.427,1.43,1.4245,1.43,1420
870,1.43,1.43,1.41,1.4295,7310
871,1.43,1.43,1.4102,1.4102,3453
872,1.41,1.43,1.41,1.42,5867
873,1.4209,1.43,1.42,1.43,440
874,1.42,1.42,1.42,1.42,300
875,1.42,1.42,1.41,1.41,7700
876,1.4141,1.42,1.41,1.41,11321
877,1.4092,1.4101,1.405,1.41,2400
878,1.41,1.41,1.4,1.4,3900
879,1.41,1.41,1.41,1.41,700
880,1.43,1.44,1.4,1.4099,14734
881,1.4126,1.4126,1.4,1.41,10650
882,1.42,1.42,1.41,1.42,4590
883,1.42,1.42,1.415,1.415,200
884,1.42,1.42,1.4102,1.4102,430
885,1.41,1.42,1.41,1.41,1200
886,1.42,1.42,1.4113,1.4113,280
887,1.4107,1.42,1.4101,1.4101,5300
888,1.411,1.4114,1.41,1.411,2469
889,1.42,1.42,1.411,1.411,290
890,1.41,1.4208,1.41,1.4138,7044
891,1.42,1.42,1.41,1.414,7747
