EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,115.755,117.04,115.755,117.04,1324
1,116,116,116,116,100
2,117.12,117.96,116.8146,117.19,1900
3,117.86,117.88,117.27,117.88,1969
4,118.04,118.04,117.53,117.57,1900
5,118.28,118.56,118.24,118.24,1300
6,118.22,118.44,118.01,118.3884,2940
7,118.0225,118.41,117.98,118.38,5700
8,118.25,118.54,117.92,117.95,5653
9,118.205,118.26,118.08,118.26,1700
10,118.3314,118.52,118.26,118.3,4791
11,118.48,118.48,118.09,118.23,4750
12,118.36,118.47,118.23,118.47,5150
13,118.14,118.435,118.14,118.36,1300
14,118.3,118.4,118.15,118.23,14111
15,118.315,118.34,118.23,118.23,2300
16,117.74,118.25,117.66,118.25,5600
17,118.1,118.3275,117.71,117.81,3800
18,118.21,118.21,117.68,117.9,3400
19,118.12,118.405,117.98,118.08,6000
20,118.08,118.19,118.04,118.12,900
21,118.38,118.77,118.11,118.16,10600
22,118.02,118.405,117.85,118.39,6658
23,117.79,118.04,117.79,118.03,1900
24,117.62,117.62,117.61,117.61,200
25,117.635,117.73,117.58,117.73,1650
26,117.85,118.28,117.55,117.63,3700
27,118.465,118.495,117.92,117.93,10213
28,118.09,118.425,117.87,118.32,6400
29,118.09,118.21,117.88,118.08,7352
30,117.91,118.19,117.91,118.03,2152
31,118.26,118.49,117.91,117.97,18080
32,117.81,118.2,117.74,118.16,2774
33,118.445,118.445,117.665,117.78,1402
34,118.255,118.2825,117.99,118.06,3200
35,118.35,118.39,118.13,118.3,5515
36,118.6,118.6,118.48,118.48,500
37,118.55,118.59,118.45,118.51,4600
38,118.57,118.62,118.45,118.55,7274
39,118.71,118.81,118.51,118.68,16741
144,115.715,119.2,115.715,119.2,1142
145,119.47,119.574,118.1,118.935,1400
146,119.68,119.7,118.99,119.53,6397
147,119.01,119.56,119,119.56,12244
148,119.15,119.17,118.98,119.03,2050
149,119.2,119.2,119.06,119.09,1400
150,119.4,119.47,119.21,119.32,2600
151,119.3,119.33,119.16,119.25,3588
152,118.87,119.24,118.8,119.22,3100
153,118.525,118.63,118.05,118.05,1440
154,119,119,118.5,118.52,16572
155,118.99,119.06,118.86,118.9,2100
156,119.14,119.2,118.99,119.06,2582
157,119.09,119.245,118.96,119,17800
158,119.195,119.29,118.755,118.98,9900
159,119.02,119.23,118.93,119.13,3900
160,119.43,119.43,119,119,9775
161,119.3,119.32,119.25,119.32,1000
162,119.31,119.34,119.2,119.26,7892
163,119.26,119.3,119.13,119.22,8500
164,119.26,119.48,119.2,119.26,7000
165,119.17,119.3,119.17,119.21,3500
166,119.2,119.3,119.18,119.18,2411
167,119.17,119.22,119.09,119.09,395
168,119.12,119.26,119.12,119.23,2333
169,119.12,119.17,119,119.01,3700
170,119.15,119.31,119.15,119.16,2700
171,119.17,119.24,119.08,119.08,2700
172,119.13,119.15,119,119.13,2800
173,119.16,119.16,118.96,119.1,3707
174,119.09,119.21,119.09,119.1,1700
175,119.15,119.31,119.12,119.19,1500
176,119.22,119.36,119.2,119.23,1500
177,119,119.22,119,119.21,500
178,119.14,119.22,119.13,119.13,798
179,119.05,119.195,119.05,119.195,1000
180,119.2,119.27,119.05,119.08,2600
181,119.05,119.2,119.05,119.2,1600
182,119.19,119.2675,119.05,119.05,6016
183,119.15,119.23,119.04,119.16,31746
288,117.9,118.46,117.9,118.46,1299
289,118.05,119.41,117.9001,117.91,1200
290,118.17,118.78,118.15,118.78,1500
291,118.38,118.62,118.21,118.3,1320
292,118.36,118.64,118.27,118.54,1300
293,118.24,118.35,118.06,118.3,1100
294,117.89,118.05,117.81,117.91,2480
295,118.25,118.58,117.89,118.04,5130
296,118.06,118.08,118.06,118.06,700
297,118.37,118.45,117.77,118.02,4906
298,118.345,118.49,118.15,118.3,1700
299,118.41,118.83,118.22,118.28,2500
300,118.51,118.51,118.34,118.37,800
301,118.23,118.51,118.23,118.33,1200
302,118.2,118.2,118.18,118.18,200
303,118.06,118.12,118.02,118.12,1700
304,118.04,118.095,118.03,118.03,400
305,117.885,118.06,117.85,118.04,1236
306,118.26,118.26,117.86,117.86,2797
307,117.95,118.04,117.95,118.04,200
308,118.17,118.34,118.03,118.15,1034
309,118.105,118.105,118.095,118.095,600
310,118.17,118.18,118.115,118.115,900
311,118.09,118.2,118.09,118.2,900
312,118.11,118.17,118.09,118.17,1700
313,118.05,118.11,118.05,118.11,1000
314,118.02,118.055,118.02,118.03,800
315,118.33,118.33,117.96,118,3910
316,117.94,118.23,117.94,118.23,1506
317,117.97,118.04,117.91,117.92,1700
318,118.02,118.19,117.97,118.03,3986
319,118.18,118.18,118.18,118.18,100
320,118.16,118.23,118.04,118.08,3429
321,118.33,118.37,118.17,118.17,1100
322,118.27,118.32,118.27,118.32,883
323,118.1,118.27,118.1,118.27,1300
324,118.2,118.205,118.03,118.09,2449
325,118.22,118.26,118.15,118.15,2817
326,118.32,118.33,118.12,118.15,2277
327,118.22,118.37,118.14,118.31,12305
432,117.52,118.41,117.52,118.41,1024
433,117.5,118.64,117.21,118.64,450
434,117.98,117.98,117.635,117.65,3550
435,117.99,118.71,117.72,118.14,3100
436,118.14,118.75,117.8,117.99,7700
437,117.885,118.18,117.885,118.18,850
438,117.96,117.96,117.96,117.96,100
439,117.725,117.73,117.725,117.73,200
440,117.785,117.88,117.72,117.73,1600
441,117.8,117.91,117.8,117.87,1200
442,117.815,117.87,117.79,117.81,1200
443,117.873,117.97,117.63,117.81,4150
444,117.905,117.98,117.89,117.98,500
445,118.14,118.14,117.88,117.915,5165
446,118.09,118.17,118.09,118.14,500
447,118.145,118.17,118.04,118.17,900
448,118.13,118.13,118,118.05,800
449,117.99,118.1,117.91,118.055,4200
450,117.9,117.985,117.9,117.98,800
451,118.05,118.07,117.985,117.985,2500
452,118.4,118.55,117.94,117.995,7756
453,118,118.46,118,118.39,6251
454,118.05,118.05,118.05,118.05,100
455,118,118.075,118,118.075,900
456,118.04,118.04,117.93,118.025,1700
457,118.14,118.14,117.96,117.96,1700
458,118,118.15,117.99,118.09,1713
459,118.12,118.13,118.035,118.13,1100
460,118.03,118.13,118.01,118.07,1500
461,118.05,118.09,118,118.02,1100
462,118.02,118.1,118.01,118.01,800
463,118.08,118.08,117.98,118.01,2021
464,118.09,118.09,118,118.09,2756
465,118.1,118.1,118.1,118.1,400
466,118.07,118.13,118.06,118.1,3364
467,118.08,118.14,118.07,118.085,1062
468,118.07,118.1,118.07,118.085,900
469,118.075,118.12,117.99,118.09,4500
470,118.11,118.12,117.965,118.075,6704
471,118,118.13,117.98,118.11,14738
864,118.34,118.34,118.34,118.34,1014
865,117.41,117.41,117.41,117.41,100
866,118.92,119.07,117.85,118.1701,12805
867,118.74,118.74,118.74,118.74,100
868,118.61,118.86,118.56,118.76,5800
869,119.01,119.04,118.65,118.65,2677
870,118.835,119,118.835,119,698
871,118.79,118.79,118.73,118.73,300
872,118.68,118.81,118.68,118.81,1800
873,118.14,118.6,118.07,118.6,1800
874,118.57,118.6,118.16,118.16,3671
875,118.88,118.99,118.54,118.65,3400
876,118.65,118.825,118.6,118.825,900
877,118.79,118.79,118.48,118.6,3000
879,118.8,118.8,118.7,118.74,1500
880,118.79,118.8,118.75,118.79,1300
881,118.92,118.96,118.72,118.79,6913
882,119.14,119.175,118.89,118.94,5660
883,119.23,119.25,119.06,119.06,1350
884,118.79,119.19,118.79,119.19,5200
885,118.64,118.68,118.64,118.68,200
886,118.9,118.9,118.745,118.83,1600
887,118.9,118.9,118.89,118.89,600
888,118.89,118.9,118.79,118.89,400
889,118.99,118.99,118.89,118.89,500
890,118.91,118.99,118.88,118.99,600
891,118.92,119.08,118.92,118.98,2600
892,119.23,119.32,118.99,118.99,1500
893,118.99,119.18,118.99,119.18,510
894,118.92,118.92,118.86,118.87,1401
895,118.96,119.08,118.88,118.96,1700
896,118.69,118.9,118.64,118.9,3083
897,118.94,118.94,118.69,118.69,1500
898,118.84,118.95,118.78,118.95,1300
899,118.855,118.94,118.78,118.78,4826
