EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,74.62,74.62,74.3,74.3,2008
1,74.73,74.73,74.3,74.6478,2150
2,74.64,74.78,74.63,74.63,1000
3,74.5,74.665,74.5,74.63,2065
4,74.5,74.56,74.35,74.35,2050
5,74.5,74.61,74.45,74.58,1200
6,74.56,74.56,74.49,74.49,800
7,74.58,74.59,74.47,74.59,2000
8,74.495,74.54,74.44,74.54,2035
9,74.6,74.64,74.52,74.56,1457
10,74.83,74.83,74.5,74.5,5301
11,75,75.01,74.84,74.84,2000
12,74.82,75,74.81,75,2600
13,74.96,74.96,74.845,74.845,1600
14,74.915,74.97,74.86,74.87,1800
15,74.64,74.81,74.64,74.81,700
16,74.815,74.815,74.64,74.675,5900
17,74.79,74.82,74.71,74.775,1200
18,74.78,74.82,74.72,74.72,800
19,74.72,74.82,74.69,74.81,1700
20,74.78,74.78,74.66,74.72,800
21,74.78,74.78,74.69,74.77,3100
22,74.77,74.81,74.64,74.64,800
23,74.76,74.85,74.76,74.775,500
24,74.88,74.88,74.76,74.81,700
25,74.66,74.87,74.66,74.79,2700
26,74.63,74.71,74.61,74.69,2900
27,74.64,74.69,74.64,74.66,700
28,74.67,74.77,74.65,74.66,1000
29,74.9,74.9,74.725,74.725,2600
30,74.82,74.93,74.82,74.91,1600
31,74.64,74.74,74.64,74.74,1400
32,74.74,74.7599,74.65,74.65,714
33,74.82,74.82,74.77,74.79,2200
34,74.96,74.96,74.8,74.8,4120
35,74.895,74.945,74.795,74.93,4442
36,74.82,74.895,74.81,74.87,3800
37,74.68,74.81,74.68,74.81,5900
38,74.64,74.71,74.56,74.66,5800
39,74.56,74.7,74.48,74.67,25663
144,74.67,74.67,74.67,74.67,1669
145,74.5,74.69,74.5,74.67,1150
146,74.29,74.29,74.1583,74.26,600
147,74.26,74.35,74.0601,74.35,1190
148,74.4,74.4,74.12,74.31,1925
149,74.49,74.5,74.42,74.432,1000
150,74.63,74.63,74.395,74.395,800
151,74.57,74.66,74.54,74.54,1400
152,74.59,74.63,74.5,74.62,4000
153,74.625,74.7,74.625,74.63,1600
154,74.855,75.01,74.64,74.64,1500
155,75.19,75.19,74.89,74.89,1740
156,75.45,75.47,75.03,75.11,7485
157,75.46,75.48,75.32,75.43,1800
158,75.49,75.52,75.43,75.43,1500
159,75.53,75.53,75.3768,75.4,1804
160,75.45,75.54,75.39,75.54,2500
161,75.41,75.49,75.41,75.41,800
162,75.4297,75.5,75.4297,75.49,600
163,75.5,75.5,75.425,75.4699,800
164,75.49,75.53,75.49,75.51,400
165,75.95,75.95,75.45,75.45,2098
166,75.97,75.97,75.865,75.87,907
167,75.9597,75.97,75.9028,75.95,1026
168,76.075,76.14,75.94,75.94,3392
169,76.05,76.19,76,76.085,5251
170,75.83,76.21,75.83,76.1697,3900
171,75.98,75.99,75.701,75.701,700
172,75.79,75.88,75.649,75.88,2688
173,75.806,75.88,75.806,75.83,705
174,75.905,75.965,75.79,75.79,1400
175,75.92,75.92,75.82,75.84,1369
176,75.975,76.07,75.95,76,4379
177,76.02,76.05,75.95,75.97,2700
178,75.9,76.07,75.887,76.05,6378
179,76.07,76.07,75.8832,75.93,2697
180,76.04,76.05,75.9,76.04,4500
181,75.925,76.0659,75.925,76.03,4531
182,75.94,75.95,75.64,75.9,10018
183,76.52,76.59,75.89,75.93,73438
288,74.53,74.53,74.53,74.53,1915
289,76.9,77,73.9408,74.4651,14369
290,77.06,77.49,75.78,76.45,8600
291,77.89,78.427,77.27,77.285,7796
292,77.436,77.79,77.26,77.62,1602
293,77.99,78.4,77.33,77.35,2663
294,78.335,78.48,77.69,77.82,2400
295,78.65,78.67,78.04,78.35,3691
296,79.3501,79.71,79,79.71,11000
297,78.89,79.44,78.89,79.33,4023
298,78.4125,78.77,78.35,78.77,800
299,78.65,78.72,78.36,78.36,1900
300,79.07,79.07,78.7,78.7,9540
301,78.86,79.13,78.7019,79.13,4193
302,78.63,78.955,78.62,78.8947,3742
303,78.69,78.83,78.4522,78.53,6150
304,78.81,78.81,78.63,78.63,2820
305,78.6,78.86,78.55,78.76,7689
306,78.663,78.69,78.52,78.52,1740
307,78.84,78.88,78.75,78.75,2600
308,78.83,78.88,78.75,78.75,3259
309,78.87,78.87,78.63,78.76,3499
310,78.85,78.9,78.78,78.84,4300
311,78.9148,78.95,78.68,78.87,4376
312,78.76,78.885,78.63,78.885,1200
313,78.7301,78.77,78.71,78.77,5400
314,78.75,78.7901,78.73,78.75,2097
315,78.76,78.76,78.6,78.68,4338
316,78.76,78.76,78.65,78.75,2653
317,78.7901,78.95,78.6801,78.7287,7000
318,78.78,78.89,78.685,78.875,1380
319,78.83,79,78.67,78.77,4918
320,78.61,78.76,78.59,78.76,1435
321,78.85,78.9,78.57,78.59,5200
322,79.0383,79.1151,78.82,78.85,15024
323,79.19,79.25,78.99,79,4886
324,79.22,79.22,79.0101,79.11,6900
325,79.125,79.28,79.075,79.28,4343
326,79.25,79.26,79.09,79.115,6590
327,79.29,79.4,79.1,79.26,58214
432,79.97,79.97,79.97,79.97,2209
433,79.5,79.989,79.42,79.989,672
434,79.09,79.475,79.09,79.44,3000
435,78.92,79.11,78.88,79.1,1800
436,78.23,78.73,78.093,78.73,3460
437,77.98,78.22,77.92,78.2,2500
438,78.48,78.57,77.99,77.99,4330
439,78.51,78.59,78.3674,78.46,1786
440,78.29,78.52,78.29,78.452,1800
441,78.58,78.58,78.21,78.21,1519
442,78.49,78.6,78.48,78.6,1300
443,78.52,78.64,78.41,78.47,1400
444,78.73,78.775,78.4063,78.5,5750
445,78.405,78.7,78.405,78.6,2000
446,78.3875,78.57,78.3875,78.57,1000
447,78.49,78.52,78.41,78.41,1400
448,78.4,78.59,78.4,78.53,2100
449,78.4,78.49,78.4,78.42,700
450,78.66,78.66,78.45,78.45,1300
451,78.4,78.46,78.4,78.45,600
452,78.56,78.56,78.31,78.34,2000
453,78.4,78.47,78.33,78.47,1100
454,78.395,78.4,78.34,78.39,1000
455,78.31,78.34,78.22,78.31,1500
456,78.33,78.33,78.28,78.28,500
457,78.2,78.3,78.2,78.205,1400
458,78.1,78.21,78.1,78.21,1000
459,78.04,78.21,77.98,78.03,2160
460,78.09,78.14,78.05,78.05,1504
461,77.89,77.905,77.78,77.905,1000
462,77.86,78.02,77.86,77.95,1716
463,78.08,78.1,77.8,77.86,1600
464,77.84,78.04,77.82,78.04,1200
465,77.93,78,77.72,77.82,3900
466,78.105,78.17,77.91,77.91,3873
467,77.97,78.15,77.93,78.05,4500
468,78.04,78.13,78.02,78.02,2284
469,78.26,78.33,78.05,78.12,6929
470,78.33,78.36,78.17,78.23,8442
471,78.35,78.39,78.21,78.37,50294
864,78.66,78.66,78.66,78.66,912
865,78.555,78.98,77.9,78,1895
866,78.96,79.06,78.41,78.59,1400
867,78.42,78.67,78.42,78.6,800
868,78.25,78.55,78.25,78.3,1927
869,77.96,78.165,77.92,77.98,1300
870,77.9,78.05,77.9,77.91,500
871,78.49,78.5,77.9,77.9,3349
872,78.77,78.77,78.31,78.36,2160
873,78.6,78.6,78.32,78.4,937
874,78.71,78.71,78.39,78.53,1900
875,78.62,78.825,78.62,78.77,1100
876,78.56,78.62,78.56,78.61,800
877,78.575,78.635,78.48,78.57,2614
878,78.79,78.79,78.58,78.6,1300
879,79.27,79.365,78.81,78.85,2600
880,79.24,79.3599,79.24,79.28,1500
881,79.26,79.31,79.23,79.23,700
882,79.15,79.295,79.13,79.25,2258
883,79.3099,79.3099,79.19,79.24,2928
884,79.31,79.31,79.21,79.31,3400
885,78.83,79.26,78.83,79.26,1800
886,79.12,79.12,78.915,78.99,3200
887,79.27,79.43,79.09,79.1325,4050
888,79.3,79.35,79.25,79.3,2100
889,79.32,79.32,79.06,79.29,6390
890,79.3,79.32,79.12,79.32,4500
891,79.29,79.36,79.28,79.3,4000
892,78.88,79.27,78.88,79.27,1500
893,78.82,79.045,78.77,78.85,19135
894,78.74,78.86,78.74,78.751,2100
895,78.76,78.8425,78.71,78.7801,3062
