EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,4.84,4.84,4.84,4.84,1200
3,4.8735,4.8735,4.8735,4.8735,500
8,4.89,4.89,4.89,4.89,100
14,4.93,4.93,4.9,4.9,745
18,4.9001,4.9001,4.9001,4.9001,1500
25,4.949,4.949,4.949,4.949,960
32,4.9426,4.9426,4.9426,4.9426,200
144,4.96,4.96,4.96,4.96,304
147,4.9228,4.9228,4.9228,4.9228,492
150,4.94,4.94,4.94,4.94,100
151,4.9516,4.9516,4.9516,4.9516,287
153,4.91,4.936,4.91,4.936,1285
154,4.954,4.954,4.954,4.954,705
155,4.9381,4.9381,4.9381,4.9381,544
156,4.9227,4.9227,4.9227,4.9227,400
158,4.9545,4.9545,4.9545,4.9545,2000
165,4.91,4.9401,4.9,4.94,1400
171,4.924,4.924,4.924,4.924,173
182,4.9587,4.9587,4.9587,4.9587,1000
183,4.96,4.96,4.95,4.95,2355
288,4.92,4.92,4.92,4.92,188
291,4.94,4.94,4.94,4.94,100
298,4.935,4.9399,4.9335,4.9335,4348
299,4.92,4.9319,4.92,4.9319,2100
301,4.9251,4.93,4.92,4.93,1000
310,4.9366,4.9366,4.9366,4.9366,100
311,4.936,4.936,4.936,4.936,700
315,4.922,4.922,4.921,4.921,300
316,4.94,4.94,4.94,4.94,100
320,4.947,4.947,4.947,4.947,200
326,4.9485,4.9485,4.9485,4.9485,100
327,4.94,4.94,4.94,4.94,171
432,4.94,4.94,4.94,4.94,1035
448,4.95,4.95,4.95,4.95,554
451,4.95,4.95,4.94,4.94,600
471,4.95,4.95,4.95,4.95,172
866,4.9645,4.9645,4.9645,4.9645,100
874,4.96,4.96,4.96,4.96,100
880,4.94,4.94,4.94,4.94,402
883,4.9516,4.96,4.9516,4.96,2240
884,4.96,4.96,4.96,4.96,100
885,4.945,4.945,4.945,4.945,300
888,4.93,4.93,4.93,4.93,100
891,4.93,4.931,4.93,4.931,450
896,4.94,4.94,4.931,4.931,2600
898,4.93,4.9499,4.93,4.94,3503
899,4.945,4.95,4.94,4.94,3764
900,4.94,4.94,4.93,4.9384,1200
901,4.93,4.9392,4.93,4.935,2359
902,4.93,4.93,4.93,4.93,200
903,4.94,4.94,4.93,4.935,900
a1493734200,4.97,4.97,4.97,4.97,100
3,4.9696,4.972,4.9696,4.972,755
6,5,5,4.96,4.96,1440
7,5,5,4.979,4.99,500
9,4.93,4.93,4.93,4.93,100
10,4.99,4.99,4.99,4.99,325
11,5,5,5,5,1000
13,4.9947,5,4.9947,5,2643
14,5.03,5.03,5,5,1600
17,5.01,5.01,5.01,5.01,200
18,5.01,5.0157,5.0001,5.0157,3626
19,5,5.036,5,5.036,1200
21,5.034,5.034,5.034,5.034,400
25,5.001,5.03,5.001,5.0198,2600
27,5.0491,5.06,5.0262,5.03,3444
28,5.06,5.06,5.06,5.06,200
31,5.036,5.0399,5,5,800
32,5.0264,5.0264,5.0264,5.0264,300
34,5.04,5.04,5.01,5.01,900
35,5.04,5.04,5.01,5.01,1300
140,5.04,5.04,5.04,5.04,100
146,5.05,5.05,5.05,5.05,156
147,5.0501,5.0501,5.0501,5.0501,200
149,5.045,5.045,5.045,5.045,100
165,5.0235,5.0235,5.0235,5.0235,1300
170,5.0513,5.0513,5.0513,5.0513,318
171,5.05,5.05,5.05,5.05,500
173,5.059,5.06,5.059,5.06,2000
174,5.0595,5.0595,5.0595,5.0595,4048
177,5.08,5.08,5.0576,5.08,1900
179,5.08,5.089,5.06,5.06,1875
284,5.04,5.04,5.04,5.04,700
288,5.06,5.06,5.05,5.05,200
289,5.0576,5.0576,5.0576,5.0576,2000
294,5.09,5.09,5.077,5.0779,1786
295,5.04,5.04,5.04,5.04,1300
300,5.08,5.08,5.08,5.08,200
301,5.04,5.05,5.03,5.05,7000
306,5.09,5.09,5.09,5.09,300
317,5.06,5.06,5.06,5.06,594
318,5.0608,5.08,5.06,5.08,300
320,5.1,5.1,5.1,5.1,100
322,5.064,5.1,5.06,5.099,2900
323,5.13,5.13,5.085,5.1,700
428,5.09,5.09,5.09,5.09,122
432,5.096,5.096,5.096,5.096,250
438,5.0842,5.0842,5.0842,5.0842,250
444,5.0802,5.099,5.0802,5.099,802
446,5.0821,5.0821,5.0821,5.0821,1550
447,5.0844,5.0844,5.0844,5.0844,100
457,5.0925,5.0925,5.0925,5.0925,200
458,5.0898,5.098,5.0898,5.098,325
459,5.0897,5.0897,5.0897,5.0897,400
461,5.1,5.1,5.09,5.09,1600
464,5.1,5.1,5.09,5.09,1000
465,5.0604,5.12,5.0604,5.1,9299
467,5.14,5.14,5.12,5.12,3526
860,5.16,5.16,5.16,5.16,501
862,5.19,5.19,5.18,5.18,848
863,5.19,5.19,5.19,5.19,200
864,5.18,5.18,5.1522,5.1522,2526
865,5.18,5.18,5.18,5.18,400
866,5.18,5.18,5.16,5.18,1000
868,5.16,5.18,5.16,5.18,796
870,5.18,5.18,5.18,5.18,100
872,5.19,5.19,5.18,5.18,800
875,5.172,5.172,5.172,5.172,1400
876,5.172,5.172,5.172,5.172,1500
877,5.1653,5.19,5.1653,5.19,926
878,5.1801,5.194,5.1801,5.194,2800
879,5.1995,5.2,5.19,5.1979,3967
880,5.23,5.23,5.21,5.21,706
881,5.24,5.24,5.2201,5.2201,1779
882,5.29,5.29,5.24,5.24,1525
883,5.2559,5.2559,5.2416,5.2416,600
884,5.29,5.29,5.289,5.289,1800
885,5.3,5.3,5.294,5.2959,2388
886,5.4,5.4,5.364,5.385,3100
887,5.3902,5.3902,5.388,5.388,2600
888,5.485,5.5,5.4,5.4,5007
889,5.43,5.49,5.3825,5.46,8971
890,5.6,5.6,5.43,5.43,7866
891,5.56,5.58,5.4192,5.58,2302
892,5.45,5.63,5.45,5.62,3200
893,5.5,5.5,5.447,5.45,4476
894,5.5,5.5,5.4365,5.5,2400
895,5.5,5.5,5.5,5.5,500
896,5.5,5.5,5.5,5.5,100
897,5.48,5.4836,5.48,5.4836,350
898,5.484,5.49,5.484,5.49,200
899,5.5,5.5,5.48,5.49,725
a1494336600,5.47,5.47,5.47,5.47,101
1,5.47,5.47,5.47,5.47,100
2,5.43,5.5,5.43,5.45,2496
3,5.31,5.32,5.31,5.32,1586
5,5.472,5.5,5.43,5.499,1300
8,5.45,5.45,5.45,5.45,100
9,5.4582,5.4582,5.4582,5.4582,1000
10,5.5987,5.5987,5.5,5.5,4007
11,5.6415,5.65,5.6,5.6,5397
12,5.6,5.7,5.6,5.6056,10239
14,5.7,5.7,5.6001,5.62,7804
17,5.711,5.711,5.711,5.711,500
18,5.8,5.8,5.73,5.73,2600
19,5.85,5.85,5.81,5.81,1400
22,5.7804,5.7804,5.7804,5.7804,1926
23,5.8087,5.8187,5.8,5.81,500
25,5.8495,5.85,5.8495,5.85,2036
26,5.8,5.8,5.74,5.74,700
29,5.8,5.8,5.8,5.8,201
30,5.899,5.899,5.899,5.899,3155
32,5.77,5.7797,5.77,5.7797,600
34,5.7998,5.8,5.7998,5.8,2485
39,5.83,5.83,5.83,5.83,130
144,5.78,5.78,5.78,5.78,139
145,5.761,5.761,5.761,5.761,300
147,5.7857,5.7979,5.7514,5.7514,1120
149,5.6822,5.6822,5.6822,5.6822,1000
150,5.7199,5.7199,5.7199,5.7199,200
151,5.6399,5.6399,5.6399,5.6399,1000
152,5.5801,5.5801,5.5801,5.5801,5000
153,5.6,5.6,5.6,5.6,1525
161,5.6667,5.6667,5.6667,5.6667,400
162,5.661,5.661,5.661,5.661,1078
163,5.68,5.68,5.68,5.68,500
174,5.7,5.7,5.68,5.68,252
179,5.7683,5.7683,5.725,5.725,1500
180,5.75,5.77,5.75,5.77,5000
181,5.8213,5.8213,5.8213,5.8213,2443
182,5.76,5.76,5.76,5.76,100
183,5.87,5.87,5.77,5.7701,335
288,5.82,5.82,5.82,5.82,110
296,5.825,5.829,5.825,5.829,1000
298,5.8,5.81,5.8,5.81,928
301,5.8299,5.8299,5.8299,5.8299,100
305,5.8162,5.8162,5.8162,5.8162,364
