EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,124,124,123.99,124,59922
1,124.67,124.75,123.745,123.98,105949
2,125.19,125.4,124.67,124.69,198898
3,124.98,125.33,124.83,125.24,92819
4,125.59,125.69,124.93,124.95,133720
5,125.86,125.98,125.59,125.59,118458
6,125.68,125.92,125.45,125.87,97918
7,125.69,125.87,125.535,125.69,92135
8,125.54,125.73,125.39,125.7,69983
9,125.88,125.89,125.52,125.54,63324
10,125.58,125.9,125.55,125.88,42540
11,125.52,125.6,125.41,125.57,34635
12,125.53,125.6,125.385,125.53,43065
13,125.49,125.73,125.49,125.53,41228
14,125.47,125.635,125.46,125.495,31423
15,125.62,125.62,125.42,125.46,27256
16,125.49,125.64,125.47,125.62,34389
17,125.615,125.615,125.35,125.49,46402
18,125.6537,125.66,125.47,125.6,30807
19,125.52,125.7,125.42,125.64,34739
20,125.56,125.5789,125.44,125.5,30803
21,125.75,125.75,125.55,125.58,45386
22,125.85,125.86,125.72,125.75,45167
23,125.8701,125.97,125.83,125.86,45503
24,125.8069,125.93,125.76,125.88,48158
25,125.78,125.85,125.78,125.81,35718
26,125.84,125.89,125.67,125.76,30778
27,125.96,125.97,125.84,125.845,33198
28,126.05,126.079,125.925,125.94,81356
29,125.99,126.1,125.99,126.04,61589
30,125.83,126.01,125.82,126,56073
31,125.9022,125.94,125.81,125.83,45143
32,125.87,125.96,125.8466,125.89,41531
33,125.85,125.89,125.77,125.89,23537
34,126.1,126.1,125.83,125.85,71705
35,126.07,126.13,126,126.09,69243
36,126.09,126.22,126.03,126.09,75889
37,125.87,126.13,125.85,126.09,91047
38,125.77,125.95,125.74,125.88,113430
39,125.52,125.79,125.46,125.765,852806
144,125.9999,126.26,125.87,126.26,41758
145,125.73,126,125.5135,125.97,68987
146,126.14,126.17,125.58,125.72,68897
147,126.25,126.3,125.98,126.145,82729
148,126.24,126.53,126.13,126.21,95702
149,126.36,126.45,126,126.23,68158
150,126.002,126.36,125.98,126.31,69044
151,126.025,126.2,125.88,126.02,77412
152,125.93,126.1,125.91,126.03,32784
153,125.95,126.07,125.86,125.91,54976
154,125.99,126.05,125.92,125.97,32232
155,125.74,126.02,125.56,125.98,105587
156,125.91,125.93,125.7,125.7,63054
157,125.84,125.91,125.75,125.91,73007
158,125.3876,125.85,125.35,125.84,60737
159,125.49,125.6505,125.38,125.38,52372
160,125.57,125.715,125.3672,125.46,52518
161,125.8601,125.88,125.56,125.57,31352
162,125.64,125.88,125.61,125.87,38740
163,125.52,125.67,125.49,125.64,39786
164,125.6,125.71,125.53,125.55,27691
165,125.5,125.61,125.31,125.59,87819
166,125.47,125.57,125.41,125.5,35802
167,125.44,125.5,125.38,125.49,38492
168,125.34,125.5,125.27,125.44,41920
169,125.29,125.4032,125.14,125.37,82063
170,125.15,125.46,125.0585,125.29,62922
171,125.21,125.36,125.08,125.14,51568
172,125.54,125.57,125.17,125.2,65047
173,125.46,125.64,125.46,125.54,49632
174,125.66,125.69,125.41,125.4802,57094
175,125.67,125.74,125.64,125.655,43151
176,125.683,125.75,125.6,125.6646,48775
177,125.5921,125.74,125.5921,125.69,51396
178,125.73,125.765,125.54,125.605,50958
179,125.6691,125.77,125.65,125.715,45076
180,125.58,125.7198,125.57,125.66,71136
181,125.51,125.6099,125.35,125.575,122897
182,125.54,125.58,125.395,125.5101,149620
183,125.2,125.54,125.06,125.53,567651
288,122.29,122.5,122.2,122.48,53683
289,123.425,123.74,122.12,122.4,317128
290,122.52,123.35,122.44,123.35,194716
291,123.17,123.64,122.55,122.55,151861
292,123.28,123.55,123.02,123.14,187164
293,123.17,123.37,123.01,123.2801,135639
294,123.31,123.6299,123.18,123.18,93199
295,123.48,123.52,122.95,123.3236,115559
296,123.71,123.84,123.3381,123.48,82412
297,124.015,124.12,123.63,123.71,90784
298,124.49,124.58,123.87,124,79260
299,124.56,124.57,124.2,124.5,80513
300,124.68,124.98,124.45,124.56,137482
301,124.49,124.68,124.45,124.68,68065
302,124.36,124.63,124.05,124.5,70050
303,124.29,124.51,124.17,124.35,49632
304,124.1176,124.315,124.06,124.3,46664
305,124.05,124.15,123.97,124.1,40357
306,123.81,124.12,123.81,124.04,40370
307,123.9,123.94,123.76,123.79,29683
308,123.9,123.96,123.86,123.89,18368
309,124.44,124.44,123.8987,123.9,41003
310,124.67,124.67,124.37,124.4,43028
311,124.69,124.8,124.66,124.67,51229
312,124.705,124.705,124.51,124.69,62777
313,124.62,124.735,124.6,124.735,28275
314,124.38,124.64,124.38,124.6218,74601
315,124.13,124.4,124.084,124.38,56428
316,124.325,124.38,124.1,124.14,37033
317,124.43,124.4738,124.32,124.33,39272
318,124.39,124.58,124.23,124.44,51215
319,124.47,124.54,124.38,124.38,61439
320,124.42,124.46,124.3,124.46,42720
321,124.5,124.5,124.34,124.41,62277
322,124.13,124.52,124.04,124.52,91591
323,124.02,124.2,124,124.13,78045
324,124.1,124.25,123.97,124.03,132549
325,123.65,124.12,123.64,124.11,99322
326,123.57,123.8903,123.48,123.64,87802
327,123.97,124.01,123.62,123.62,679940
432,124.27,124.3,124.21,124.21,80902
433,124.31,124.31,123.59,124.02,89914
434,124.05,124.33,123.75,124.33,105012
435,123.93,124.06,123.83,124.05,71159
436,123.93,124.207,123.895,123.9016,87290
437,123.66,123.9599,123.65,123.94,59338
438,123.53,123.72,123.2,123.64,160675
439,123.61,123.615,123.45,123.56,69442
440,123.65,123.68,123.56,123.6,79858
441,123.955,123.97,123.6,123.65,53987
442,123.99,124.12,123.9,123.97,73140
443,123.81,124.24,123.765,124.015,74552
444,123.87,123.9,123.804,123.81,41511
445,123.745,123.87,123.6699,123.85,37242
446,123.74,123.87,123.67,123.75,42930
447,123.9451,123.95,123.73,123.74,42340
448,124.165,124.19,123.92,123.94,43036
449,123.905,124.165,123.81,124.165,43022
450,124.02,124.09,123.86,123.91,21524
451,123.87,124.04,123.86,124.02,22476
452,123.78,123.9014,123.73,123.87,25238
453,123.63,123.79,123.59,123.78,35622
454,123.67,123.76,123.63,123.63,28384
455,123.52,123.66,123.52,123.66,28678
456,123.39,123.6,123.35,123.54,36918
457,123.4595,123.55,123.32,123.38,21077
458,123.23,123.465,123.2212,123.465,32372
459,123.41,123.52,123.235,123.235,35082
460,123.45,123.57,123.4,123.4,36729
461,123.76,123.7999,123.445,123.45,41077
462,123.75,123.9,123.69,123.77,55588
463,123.79,123.86,123.75,123.77,93318
464,123.83,123.89,123.78,123.79,50651
465,123.74,123.84,123.65,123.84,88788
466,123.74,123.75,123.54,123.75,56428
467,123.73,123.84,123.65,123.72,47050
468,123.81,123.82,123.57,123.74,61990
469,123.96,123.99,123.82,123.82,94914
470,124.03,124.05,123.8,123.95,120601
471,124.05,124.15,123.99,124.02,581514
864,124.09,124.09,124.09,124.09,47717
865,124.18,124.41,123.89,124.17,86156
866,124.38,124.45,124.14,124.1863,51125
867,124.33,124.41,124.28,124.34,76921
868,124.12,124.37,124.0964,124.29,88796
869,124.0901,124.22,124.09,124.11,29478
870,124,124.17,123.959,124.09,60821
871,124.07,124.11,123.92,124,41909
872,124.16,124.1998,124.07,124.09,26041
873,124.05,124.1523,123.99,124.14,56806
874,124.0499,124.12,123.99,124.05,29739
875,124.06,124.11,123.985,124.05,41644
876,123.98,124.11,123.96,124.0607,31563
877,123.99,124.0097,123.94,123.965,38519
878,124.03,124.0901,123.96,123.99,39667
879,124.02,124.08,123.99,124.05,19466
880,124,124.08,123.99,124.04,24238
881,123.86,124.0304,123.86,124.01,31450
882,123.96,123.98,123.81,123.86,30106
883,124.01,124.07,123.99,123.99,26451
884,124.07,124.08,123.99,124.01,26227
885,123.9207,124.06,123.78,124.0501,33847
886,123.92,124.01,123.83,123.93,31129
887,124.02,124.03,123.87,123.94,37640
888,124.18,124.18,123.9144,124.01,76800
889,124.25,124.29,124.16,124.17,101629
890,124.35,124.36,124.2388,124.26,54566
891,124.4,124.4,124.12,124.35,155326
892,124.55,124.58,124.3701,124.41,102070
893,124.57,124.58,124.45,124.55,49876
