EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,0.52,0.52,0.52,0.52,4247
1,0.5265,0.5265,0.52,0.5202,3495
2,0.52,0.5248,0.52,0.5248,600
3,0.5201,0.5205,0.5201,0.5202,2400
4,0.52,0.5205,0.52,0.5205,600
5,0.5401,0.5405,0.52,0.5201,15103
6,0.5393,0.54,0.53,0.5308,22840
7,0.5399,0.54,0.5399,0.54,2500
8,0.5306,0.5306,0.53,0.53,5200
9,0.5292,0.5302,0.5292,0.5301,14000
12,0.5202,0.5202,0.5202,0.5202,200
13,0.52,0.5203,0.52,0.5203,1400
15,0.5201,0.5201,0.5201,0.5201,200
17,0.5204,0.5204,0.5204,0.5204,140
18,0.529,0.529,0.529,0.529,770
20,0.5209,0.5209,0.5209,0.5209,100
21,0.5208,0.5208,0.5207,0.5207,900
24,0.5209,0.5209,0.5209,0.5209,100
25,0.5211,0.5211,0.5211,0.5211,100
28,0.5215,0.5215,0.5215,0.5215,100
29,0.5215,0.5215,0.5215,0.5215,700
32,0.52,0.522,0.52,0.522,15355
33,0.5203,0.5203,0.5203,0.5203,100
34,0.5204,0.5204,0.5204,0.5204,100
35,0.5205,0.5206,0.5205,0.5206,1300
36,0.5201,0.5205,0.5201,0.5205,960
37,0.5201,0.5201,0.52,0.52,1100
39,0.525,0.525,0.5123,0.5205,7248
144,0.5172,0.5172,0.5172,0.5172,981
145,0.501,0.52,0.501,0.52,26000
147,0.5013,0.5013,0.5013,0.5013,150
149,0.5183,0.5183,0.5183,0.5183,1000
150,0.505,0.505,0.505,0.505,300
151,0.506,0.5073,0.506,0.5073,1200
153,0.5131,0.52,0.5131,0.52,1790
156,0.506,0.5117,0.506,0.5104,700
157,0.5201,0.525,0.5124,0.5199,6512
158,0.5272,0.5272,0.5272,0.5272,123
159,0.5272,0.5272,0.5228,0.5228,1100
161,0.515,0.515,0.515,0.515,200
162,0.5142,0.5142,0.51,0.51,1300
163,0.5101,0.5101,0.505,0.506,594
164,0.515,0.515,0.515,0.515,100
165,0.5102,0.515,0.506,0.51,1810
167,0.5103,0.5103,0.5103,0.5103,1300
169,0.51,0.51,0.51,0.51,200
170,0.5142,0.5142,0.5142,0.5142,500
171,0.506,0.506,0.506,0.506,191
172,0.515,0.515,0.515,0.515,400
173,0.508,0.508,0.508,0.508,100
174,0.5275,0.528,0.52,0.52,1116
175,0.5279,0.5279,0.5082,0.5082,1051
178,0.505,0.5265,0.505,0.508,6806
179,0.505,0.51,0.505,0.505,10800
180,0.5001,0.51,0.49,0.51,29160
181,0.502,0.5145,0.494,0.5001,8776
182,0.4958,0.503,0.494,0.5015,19710
183,0.51,0.52,0.491,0.494,12750
288,0.5,0.5,0.5,0.5,642
289,0.5,0.5,0.5,0.5,792
290,0.5005,0.5005,0.5,0.5,1926
291,0.52,0.52,0.52,0.52,1936
292,0.51,0.52,0.5005,0.52,11000
294,0.5151,0.5152,0.5051,0.51,14400
295,0.501,0.501,0.501,0.501,200
296,0.503,0.5058,0.503,0.5058,430
297,0.5067,0.52,0.5067,0.52,1100
298,0.52,0.52,0.504,0.504,1200
307,0.52,0.52,0.5199,0.5199,1800
308,0.5397,0.541,0.5095,0.5095,101149
309,0.5599,0.57,0.5255,0.5397,145532
310,0.5303,0.55,0.5303,0.54,13195
311,0.5115,0.55,0.5111,0.548,17846
312,0.52,0.5284,0.51,0.5111,17750
313,0.54,0.54,0.5295,0.5295,10762
314,0.5301,0.5301,0.53,0.53,3627
315,0.5296,0.5297,0.5295,0.5297,1328
316,0.535,0.535,0.5285,0.529,5800
317,0.534,0.534,0.534,0.534,2000
318,0.526,0.533,0.526,0.533,3060
320,0.53,0.53,0.53,0.53,100
321,0.53,0.53,0.53,0.53,200
322,0.5152,0.53,0.5152,0.53,8500
323,0.5152,0.5232,0.5152,0.5232,2625
325,0.5378,0.5378,0.5378,0.5378,300
326,0.518,0.5209,0.506,0.52,33100
327,0.5298,0.5298,0.5104,0.52,2851
432,0.37,0.37,0.36,0.36,34357
433,0.4036,0.4348,0.3401,0.3507,164207
434,0.4,0.42,0.4,0.4101,64058
435,0.43,0.438,0.4102,0.4199,21596
436,0.458,0.4844,0.43,0.43,95390
437,0.4499,0.458,0.4446,0.4511,23380
438,0.445,0.4499,0.44,0.4499,11130
439,0.458,0.458,0.4406,0.4493,19669
440,0.455,0.458,0.4502,0.4526,9758
441,0.4536,0.455,0.45,0.4546,49100
442,0.4201,0.45,0.41,0.45,131824
443,0.445,0.445,0.4239,0.443,1943
444,0.45,0.45,0.4345,0.4399,20200
446,0.4494,0.4494,0.4302,0.4302,5545
447,0.43,0.4488,0.43,0.4488,54580
448,0.422,0.4301,0.422,0.4301,2200
449,0.43,0.43,0.4214,0.422,19200
450,0.43,0.43,0.43,0.43,15100
451,0.433,0.4331,0.43,0.43,4300
452,0.4378,0.44,0.4302,0.4302,1465
453,0.4344,0.438,0.4344,0.438,1200
454,0.4301,0.4301,0.4301,0.4301,100
455,0.4303,0.4303,0.4302,0.4302,500
457,0.4301,0.4301,0.4301,0.4301,2905
458,0.43,0.4303,0.43,0.4301,6999
459,0.4396,0.4396,0.4396,0.4396,108
460,0.42,0.438,0.42,0.4305,228313
462,0.4206,0.4206,0.4206,0.4206,1900
463,0.4205,0.4205,0.4205,0.4205,209
464,0.4211,0.4211,0.4211,0.4211,500
465,0.4248,0.4248,0.4248,0.4248,300
466,0.4297,0.43,0.4211,0.4211,8566
467,0.43,0.43,0.425,0.425,675
468,0.43,0.43,0.4295,0.43,6900
469,0.4296,0.4296,0.425,0.4255,3625
470,0.4306,0.4306,0.4253,0.4253,253814
471,0.442,0.449,0.4301,0.4301,25134
864,0.422,0.422,0.422,0.422,1009
865,0.4431,0.4431,0.422,0.422,3095
866,0.449,0.449,0.4436,0.4467,12010
867,0.459,0.46,0.4479,0.449,10157
868,0.4501,0.4501,0.4501,0.4501,100
869,0.485,0.485,0.45,0.45,9458
870,0.462,0.489,0.46,0.4872,17323
871,0.4644,0.489,0.4621,0.4621,4227
875,0.4748,0.475,0.4738,0.475,7300
876,0.47,0.4748,0.47,0.4748,2413
877,0.4701,0.4701,0.4701,0.4701,300
878,0.4754,0.4755,0.4701,0.4701,4200
879,0.4754,0.4755,0.4751,0.4755,10703
880,0.4755,0.5,0.4755,0.4755,36645
881,0.485,0.4992,0.485,0.4992,3875
882,0.4754,0.4831,0.475,0.4831,1700
883,0.489,0.495,0.4754,0.4798,5700
884,0.4896,0.4899,0.4779,0.4779,3614
885,0.4886,0.4893,0.4886,0.4893,3900
886,0.4993,0.4999,0.4801,0.481,4739
887,0.4801,0.496,0.47,0.496,2400
888,0.532,0.55,0.4897,0.4897,99830
889,0.5495,0.55,0.5314,0.5314,25700
890,0.5549,0.56,0.54,0.5494,33295
891,0.5332,0.553,0.5249,0.551,37284
892,0.531,0.5311,0.531,0.5311,10495
893,0.526,0.55,0.526,0.531,30717
894,0.538,0.538,0.526,0.526,600
895,0.52,0.538,0.52,0.538,18537
896,0.5007,0.505,0.5,0.5012,16666
897,0.5241,0.5241,0.5002,0.5002,1000
898,0.51,0.51,0.51,0.51,100
900,0.5142,0.5147,0.5142,0.5145,2100
901,0.5113,0.514,0.51,0.5139,14500
902,0.5117,0.5117,0.51,0.5101,6058
903,0.5326,0.54,0.5139,0.5139,18983
a1493731800,0.499,0.499,0.49,0.49,5049
1,0.4905,0.5002,0.49,0.49,3385
2,0.5211,0.53,0.5164,0.5164,6300
3,0.5271,0.5299,0.5,0.5226,10630
4,0.5285,0.5285,0.5,0.5,5755
5,0.5,0.5,0.5,0.5,100
6,0.535,0.54,0.5242,0.5242,16344
7,0.5101,0.5387,0.5101,0.5301,500
8,0.5101,0.5398,0.5101,0.5398,3100
9,0.51,0.538,0.51,0.5101,13700
12,0.51,0.53,0.5051,0.5176,35300
14,0.5121,0.5121,0.512,0.512,200
15,0.512,0.5259,0.512,0.5259,5200
16,0.512,0.521,0.512,0.521,7800
17,0.512,0.512,0.512,0.512,902
