EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,59.32,59.35,59.31,59.35,17639
1,59.39,59.4589,59.13,59.36,32526
2,59.585,59.6,59.38,59.4,49041
3,59.5,59.61,59.49,59.58,19516
4,59.46,59.52,59.43,59.48,18570
5,59.47,59.51,59.46,59.47,13691
6,59.39,59.47,59.3503,59.46,51153
7,59.72,59.75,59.395,59.395,104497
8,59.86,60.11,59.72,59.72,263515
9,59.88,59.91,59.84,59.86,70958
10,60.11,60.13,59.87,59.89,91917
11,60.1,60.12,60.03,60.12,56072
12,60.11,60.14,60.09,60.11,58231
13,60.22,60.245,60.1,60.11,76969
14,60.17,60.24,60.16,60.22,46686
15,60.19,60.24,60.17,60.17,49058
16,60.22,60.235,60.17,60.18,38902
17,60.03,60.23,60.02,60.22,40605
18,59.95,60.04,59.9,60.03,36303
19,59.86,59.95,59.84,59.95,28643
20,59.8597,59.86,59.69,59.86,73587
21,59.78,59.89,59.78,59.86,30000
22,59.6997,59.81,59.68,59.78,45191
23,59.71,59.745,59.64,59.7,44549
24,59.64,59.72,59.62,59.71,34566
25,59.7,59.75,59.65,59.65,43878
26,59.69,59.71,59.645,59.7,19724
27,59.66,59.69,59.635,59.68,17656
28,59.6557,59.66,59.62,59.66,26294
29,59.59,59.6599,59.59,59.65,57239
30,59.64,59.66,59.57,59.595,53292
31,59.595,59.66,59.575,59.6301,29249
32,59.6,59.6,59.57,59.59,20152
33,59.58,59.6,59.555,59.6,36241
34,59.595,59.61,59.565,59.585,50798
35,59.575,59.6,59.54,59.595,43181
36,59.525,59.6,59.51,59.575,79906
37,59.4844,59.6,59.46,59.53,78488
38,59.535,59.58,59.4801,59.4801,86661
39,59.45,59.5675,59.43,59.54,349592
144,59.64,59.64,59.64,59.64,14431
145,59.55,59.75,59.52,59.7,22744
146,59.73,59.73,59.45,59.54,50600
147,59.65,59.73,59.62,59.73,49180
148,59.62,59.74,59.62,59.65,48025
149,59.63,59.69,59.54,59.62,85384
150,59.61,59.7,59.61,59.64,27271
151,59.53,59.615,59.5,59.615,38842
152,59.5,59.55,59.48,59.54,27673
153,59.57,59.58,59.49,59.51,39510
154,59.51,59.59,59.5,59.58,41408
155,59.51,59.53,59.49,59.51,39915
156,59.55,59.59,59.49,59.51,65940
157,59.67,59.7,59.51,59.56,78136
158,59.6,59.79,59.6,59.68,78499
159,59.6401,59.67,59.58,59.6,37999
160,59.65,59.67,59.61,59.655,47147
161,59.65,59.69,59.61,59.64,134616
162,59.78,59.82,59.65,59.65,33649
163,59.89,59.9,59.77,59.78,23628
164,59.88,59.96,59.88,59.9,32222
165,59.8233,59.89,59.79,59.88,33146
166,59.84,59.88,59.79,59.825,47866
167,59.83,59.865,59.8,59.83,29858
168,59.79,59.8425,59.72,59.83,37693
169,59.825,59.825,59.75,59.78,22124
170,59.72,59.8418,59.71,59.825,29227
171,59.84,59.895,59.73,59.73,51490
172,59.7,59.83,59.69,59.82,44642
173,59.69,59.755,59.68,59.71,25964
174,59.62,59.69,59.53,59.69,50154
175,59.63,59.68,59.57,59.6,28375
176,59.66,59.67,59.6282,59.63,14832
177,59.74,59.76,59.65,59.65,30714
178,59.71,59.75,59.685,59.73,30422
179,59.76,59.77,59.71,59.72,28185
180,59.73,59.76,59.69,59.76,32167
181,59.69,59.81,59.69,59.74,88199
182,59.625,59.74,59.59,59.68,152931
183,59.53,59.635,59.49,59.63,719680
288,59.51,59.52,59.51,59.52,8711
289,59.64,59.76,59.37,59.53,20630
290,59.64,59.6934,59.57,59.66,53435
291,59.655,59.75,59.62,59.63,76103
292,59.67,59.73,59.65,59.65,98731
293,59.66,59.73,59.65,59.67,62028
294,59.69,59.71,59.6475,59.66,98456
295,59.76,59.8,59.67,59.7,105296
296,59.71,59.8,59.65,59.76,77403
297,59.81,59.83,59.68,59.71,40910
298,59.84,59.875,59.73,59.81,84532
299,59.77,59.85,59.75,59.85,40961
300,59.73,59.8,59.72,59.77,21764
301,59.78,59.8155,59.72,59.72,31592
302,59.97,59.98,59.78,59.78,109691
303,59.94,59.98,59.89,59.97,98423
304,60.145,60.15,59.92,59.95,132189
305,60.17,60.22,60.06,60.15,67207
306,60.215,60.24,60.13,60.185,55688
307,60.155,60.215,60.1,60.215,20098
308,60.18,60.2,60.15,60.15,27998
309,60.35,60.37,60.17,60.1884,59191
310,60.35,60.38,60.12,60.355,82467
311,60.37,60.425,60.31,60.36,33392
312,60.32,60.46,60.315,60.36,46587
313,60.345,60.345,60.26,60.33,48475
314,60.32,60.355,60.255,60.345,36079
315,60.32,60.3375,60.3,60.31,33901
316,60.305,60.33,60.29,60.32,91095
317,60.25,60.32,60.24,60.305,52565
318,60.34,60.35,60.22,60.245,62822
319,60.295,60.36,60.29,60.33,57529
320,60.16,60.3,60.15,60.295,60050
321,60.04,60.18,60.02,60.16,46754
322,60.1,60.11,59.96,60.045,66330
323,59.98,60.14,59.89,60.105,122765
324,59.85,60.015,59.84,59.99,140289
325,59.9,59.94,59.82,59.855,125971
326,59.99,60.01,59.9,59.905,86115
327,60.04,60.13,59.91,59.99,759184
432,62.4325,62.59,62.2,62.59,46842
433,64.375,64.97,62.16,62.5,863464
434,64.23,65,64.2,64.38,729093
435,64.43,64.57,64.1,64.21,420282
436,64.455,64.59,64.3,64.43,327583
437,64.12,64.49,63.87,64.455,236345
438,64.46,64.5,64.06,64.08,322409
439,65.01,65.37,64.455,64.46,357789
440,65.43,65.65,64.95,64.9992,264141
441,65.77,65.8525,65.4475,65.46,316618
442,66.06,66.12,65.74,65.77,230851
443,66.17,66.2734,65.9,66.0501,188904
444,66.06,66.22,65.96,66.16,139285
445,65.89,66.18,65.8896,66.051,347150
446,66.01,66.02,65.75,65.89,169208
447,65.91,66.04,65.86,66.02,148295
448,65.86,66.01,65.82,65.94,144488
449,65.85,65.94,65.63,65.86,143281
450,65.705,65.9,65.69,65.841,101317
451,65.89,65.9,65.705,65.71,154186
452,65.82,65.91,65.82,65.89,91101
453,65.795,65.9,65.78,65.83,70488
454,65.82,65.92,65.8047,65.8047,92423
455,65.711,65.83,65.71,65.825,72851
456,65.685,65.74,65.58,65.73,88675
457,65.63,65.75,65.59,65.685,85836
458,65.44,65.63,65.35,65.63,99414
459,65.37,65.535,65.36,65.44,95233
460,65.4,65.4099,65.27,65.36,143263
461,65.255,65.405,65.255,65.4,91423
462,65.22,65.27,65.17,65.26,113560
463,65.205,65.26,65.18,65.22,104455
464,65.085,65.29,65.06,65.21,132279
465,65.08,65.19,65.03,65.085,104733
466,65.155,65.19,65.055,65.08,104142
467,65.09,65.175,65.08,65.155,139003
468,64.98,65.11,64.93,65.1,144647
469,64.87,64.98,64.69,64.98,225714
470,64.82,64.88,64.745,64.87,194960
471,64.745,64.91,64.69,64.84,1076284
864,64.54,64.67,64.54,64.63,44851
865,64.68,64.7,64.43,64.47,41903
866,65.075,65.08,64.68,64.68,109317
867,65.52,65.63,65.03,65.09,166273
868,65.52,65.68,65.36,65.52,201959
869,65.74,65.81,65.38,65.525,64927
870,65.52,65.75,65.46,65.75,79796
871,65.625,65.66,65.45,65.52,80162
872,65.57,65.68,65.57,65.63,63244
873,65.5999,65.62,65.48,65.58,64909
874,65.5,65.62,65.5,65.6,53999
875,65.5,65.54,65.39,65.49,73309
876,65.42,65.5,65.3,65.5,110300
877,65.355,65.45,65.34,65.43,83367
878,65.36,65.49,65.34,65.35,50025
879,65.46,65.505,65.345,65.355,44967
880,65.56,65.57,65.43,65.465,89866
881,65.4831,65.56,65.45,65.56,46228
882,65.55,65.55,65.44,65.48,51823
883,65.53,65.58,65.48,65.55,50868
884,65.5,65.56,65.4747,65.53,41830
885,65.55,65.55,65.435,65.4956,60925
886,65.49,65.565,65.472,65.55,62775
887,65.46,65.52,65.435,65.495,35847
888,65.46,65.47,65.41,65.47,28651
889,65.441,65.47,65.425,65.46,34860
890,65.43,65.46,65.41,65.45,41121
891,65.38,65.44,65.36,65.43,42365
892,65.44,65.46,65.38,65.39,63703
893,65.36,65.47,65.36,65.44,54741
