EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,3.65,3.65,3.65,3.65,7870
1,3.65,3.65,3.6,3.6001,5410
2,3.7,3.7,3.6,3.625,10594
3,3.65,3.7,3.65,3.7,200
4,3.6553,3.7,3.65,3.65,1535
5,3.65,3.65,3.65,3.65,400
6,3.675,3.7,3.675,3.7,225
7,3.675,3.7,3.65,3.7,6715
8,3.675,3.675,3.65,3.675,2490
9,3.65,3.7,3.65,3.7,669
10,3.7,3.7,3.65,3.65,765
11,3.65,3.7,3.65,3.675,1000
12,3.7,3.7,3.65,3.65,500
13,3.7,3.75,3.65,3.675,21343
14,3.65,3.7,3.65,3.7,2600
15,3.7,3.7,3.65,3.7,2007
16,3.7,3.7,3.65,3.675,2000
17,3.7,3.7,3.65,3.65,1300
18,3.675,3.675,3.675,3.675,200
19,3.7,3.7,3.7,3.7,400
20,3.7,3.7,3.675,3.7,3900
21,3.7,3.7,3.675,3.7,700
22,3.675,3.7,3.675,3.675,10047
23,3.7,3.7,3.7,3.7,580
24,3.675,3.675,3.675,3.675,200
25,3.675,3.7,3.675,3.675,1300
26,3.675,3.7,3.675,3.675,600
27,3.7,3.7,3.7,3.7,100
28,3.7,3.7,3.675,3.675,200
29,3.7,3.7,3.675,3.7,1920
30,3.7,3.7,3.65,3.675,9362
31,3.7,3.7,3.65,3.675,6520
32,3.675,3.7,3.65,3.65,1700
33,3.675,3.675,3.65,3.675,500
34,3.7,3.7,3.65,3.7,2444
35,3.7,3.7,3.65,3.6748,3859
36,3.675,3.7,3.65,3.7,2700
37,3.7,3.7,3.65,3.675,1800
38,3.675,3.7,3.65,3.65,18357
39,3.65,3.7,3.65,3.7,56145
144,4.35,4.35,4.35,4.35,12870
145,4.154,4.45,4.154,4.3,81311
146,4.1465,4.25,4.1,4.15,59018
147,4.2,4.2,4.05,4.125,37513
148,4.1,4.2,4.05,4.2,13679
149,4.1,4.175,4.05,4.1,33059
150,4.1,4.15,4.075,4.1,12289
151,4.15,4.2,4.1,4.1,22932
152,4.175,4.175,4.15,4.15,5573
153,4.15,4.2,4.1,4.15,14174
154,4.1709,4.2,4.125,4.15,19217
155,4.15,4.2,4.1,4.15,9773
156,4.125,4.15,4.05,4.15,31024
157,4.05,4.1,4,4.1,35398
158,4.05,4.1,4,4.05,14930
159,4.1,4.1,4,4.05,8720
160,4.1,4.1,4,4.05,12970
161,4.05,4.1,4.025,4.05,12751
162,4.075,4.1,4,4.05,22448
163,4.1,4.1,4.05,4.075,14313
164,4.1,4.1,4.05,4.075,11693
165,4.125,4.15,4.05,4.1,49652
166,4.125,4.15,4.05,4.15,22346
167,4.125,4.15,4.05,4.125,23860
168,4.15,4.15,4.1,4.125,2400
169,4.15,4.15,4.075,4.1,23300
170,4.125,4.15,4.05,4.1,21080
171,4.1,4.125,4.1,4.125,10016
172,4.1395,4.15,4.1,4.125,17100
173,4.1,4.15,4.1,4.125,14124
174,4.025,4.125,3.95,4.1,143970
175,3.9,4.05,3.85,4.05,33361
176,3.9889,4,3.9,3.95,11557
177,3.9,4,3.9,4,16007
178,3.9,3.925,3.9,3.9,2790
179,3.9,3.95,3.9,3.925,11628
180,3.925,3.925,3.85,3.9,17468
181,3.925,3.95,3.9,3.925,5838
182,3.9,3.95,3.9,3.9,7795
183,3.9,3.925,3.85,3.9,81124
288,3.9,3.9,3.9,3.9,4767
289,3.95,4.0489,3.8512,3.9,15024
290,3.9498,4,3.9498,3.999,1196
291,4,4,3.95,3.999,1097
293,4,4,3.9825,4,1990
294,4,4,4,4,600
295,4,4,3.992,3.992,1200
296,4.05,4.05,3.975,3.975,20569
297,3.95,4.025,3.95,4,17780
298,3.975,4,3.95,3.95,7274
299,3.975,4,3.95,3.975,5600
300,4,4,3.975,3.975,1900
301,4.025,4.05,3.975,3.975,4200
302,4.05,4.05,4.025,4.025,2250
303,4,4.05,4,4.025,2550
304,4.05,4.05,4,4,11673
305,4.025,4.05,4.025,4.025,2000
306,4.025,4.05,4.025,4.025,3400
307,4,4.05,4,4.05,2200
308,4.05,4.05,4,4,2000
309,4.05,4.05,4.025,4.05,7623
310,4.05,4.05,4.025,4.025,1900
311,4.025,4.05,4,4.025,2300
312,4.025,4.05,4,4.05,2500
313,4,4.05,4,4.05,2400
314,4.025,4.05,4,4.025,7313
315,4.05,4.05,4,4.05,8099
316,4.15,4.2,4.025,4.05,47060
317,4.125,4.15,4.1,4.15,2638
318,4.1043,4.15,4.1035,4.125,16375
319,4.125,4.15,4.1,4.111,27888
320,4.075,4.1,4.05,4.1,11158
321,4.1,4.1,4.05,4.075,1500
322,4.05,4.1,4.05,4.075,3500
323,4.1,4.1,4.05,4.1,2200
324,4.075,4.1,4.05,4.1,5100
325,4.1,4.1,4.05,4.075,2600
326,4,4.1,4,4.05,14141
327,4.05,4.1,4,4,50595
432,4.1,4.1,4.1,4.1,5443
433,4.15,4.15,4.1,4.1,14000
434,4.05,4.15,4.05,4.15,5500
435,4.1,4.15,4.05,4.05,8454
436,4.1,4.15,4.1,4.1,6095
437,4.1,4.15,4.1,4.1,1911
438,4.1,4.15,4.1,4.1,5550
439,4.125,4.15,4.1,4.1,3100
440,4.1,4.15,4.1,4.1,2100
441,4.1,4.15,4.1,4.1,1600
442,4.1,4.1499,4.1,4.1,2946
443,4.1,4.125,4.1,4.1,1575
444,4.05,4.1,4.05,4.1,3005
445,4.05,4.1,4.05,4.05,3098
446,4.05,4.075,4.05,4.05,1300
447,4.05,4.1,4.05,4.05,1900
448,4.05,4.1,4.05,4.05,4058
449,4.1,4.1,4.05,4.05,1900
450,4.025,4.05,4,4.05,6332
451,4,4.05,4,4,2201
452,3.975,4.046,3.975,4.046,2290
453,4,4.05,3.95,3.95,7470
454,3.975,4,3.975,4,12800
455,3.975,4,3.95,4,800
456,4,4,3.95,3.95,3300
457,3.975,4,3.975,4,300
458,4.05,4.075,4,4,15961
459,4,4.075,4,4.075,2200
460,4.025,4.025,4,4,2000
461,4,4.05,4,4,2587
462,4.025,4.05,4,4,2400
463,4.05,4.05,4,4,2200
464,4.025,4.025,4,4,2950
465,4,4.025,4,4.025,1400
466,4.075,4.075,4.025,4.05,2700
467,4.1,4.1,4.075,4.1,700
468,4.1,4.1,4.1,4.1,500
469,4.1,4.1,4.1,4.1,500
470,4.1,4.1,4.0805,4.1,5420
471,4.1,4.1,4.05,4.1,51883
864,4.15,4.15,4.15,4.15,5626
865,4.025,4.05,4.025,4.05,335
866,4.1,4.1,4.05,4.05,5024
867,4.1,4.15,4.0571,4.1,16192
868,4.1,4.1,4.0571,4.0571,4258
869,4.125,4.15,4.05,4.0775,8430
870,4.125,4.15,4.1,4.1,786
871,4.115,4.1499,4.1,4.125,2920
872,4.125,4.125,4.1,4.1,300
873,4.1,4.15,4.1,4.101,3800
874,4.1,4.1,4.1,4.1,100
875,4.125,4.15,4.1,4.1,14049
876,4.1,4.149,4.1,4.149,800
877,4.125,4.125,4.1,4.1,200
878,4.125,4.125,4.125,4.125,100
879,4.05,4.125,4.05,4.125,3440
880,4.05,4.0571,4.05,4.0571,200
881,4.075,4.075,4.05,4.05,600
882,4.075,4.1,4.0591,4.0591,1300
883,4.05,4.1,4.05,4.1,2858
884,4.075,4.1,4.05,4.1,600
885,4.05,4.05,4.05,4.05,100
886,4.05,4.1,4.05,4.075,400
888,4.05,4.1,4.05,4.075,900
889,4.075,4.075,4.075,4.075,100
890,4.075,4.075,4.05,4.051,14637
891,4.075,4.075,4.05,4.05,500
892,4.095,4.1,4.095,4.1,1715
893,4.075,4.075,4.05,4.075,300
894,4.075,4.075,4.05,4.05,300
896,4.075,4.099,4.05,4.075,2500
897,4.075,4.075,4.075,4.075,100
898,4.05,4.1,4.05,4.1,3700
899,4.075,4.1,4.075,4.1,400
900,4.075,4.1,4.05,4.1,2050
901,4.075,4.1,4.05,4.075,1500
902,4.075,4.1,4.05,4.095,3428
903,4.1,4.1,4.05,4.1,35509
a1493731800,4.1,4.1,4.1,4.1,1783
1,4.1,4.1449,4.1,4.1,2400
