EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,14.98,14.98,14.98,14.98,4800
1,14.99,15.06,14.92,15,8738
2,15.01,15.011,14.98,15,14613
3,14.97,15.01,14.96,15.01,12322
4,15.02,15.03,14.97,14.97,12511
5,14.99,15.025,14.99,15.02,5231
6,15,15,14.985,14.99,6707
7,15,15.01,14.9824,14.995,9854
8,14.99,15,14.985,15,5280
9,14.99,15,14.98,14.98,4782
10,14.99,15,14.975,14.985,6815
11,15,15,14.99,14.99,6488
12,14.965,15,14.96,15,7300
13,14.96,14.97,14.955,14.96,5200
14,14.955,14.965,14.95,14.965,14213
15,14.95,14.96,14.95,14.96,2100
16,14.955,14.96,14.95,14.955,3700
17,14.95,14.955,14.94,14.95,6082
18,14.94,14.95,14.93,14.95,5024
19,14.91,14.94,14.905,14.94,6210
20,14.89,14.92,14.88,14.91,7033
21,14.87,14.895,14.87,14.89,3788
22,14.88,14.885,14.87,14.8704,6516
23,14.875,14.89,14.87,14.8763,6912
24,14.86,14.88,14.85,14.88,5073
25,14.88,14.88,14.86,14.86,2377
26,14.87,14.88,14.87,14.87,4059
27,14.87,14.87,14.86,14.87,3800
28,14.9,14.9,14.87,14.87,3393
29,14.88,14.9,14.88,14.9,4600
30,14.871,14.89,14.87,14.88,16048
31,14.89,14.89,14.88,14.88,7689
32,14.881,14.89,14.88,14.89,2590
33,14.87,14.885,14.87,14.88,15358
34,14.9,14.9,14.85,14.87,45432
35,14.885,14.91,14.885,14.9,7246
36,14.86,14.89,14.84,14.89,15480
37,14.85,14.86,14.83,14.85,26305
38,14.84,14.86,14.84,14.85,10032
39,14.84,14.85,14.82,14.84,89543
144,14.8,14.8,14.8,14.8,1425
145,14.79,14.81,14.78,14.8,4000
146,14.83,14.84,14.79,14.8,11630
147,14.8,14.84,14.79,14.84,4359
148,14.8,14.805,14.78,14.79,3200
149,14.78,14.8,14.77,14.8,6500
150,14.8,14.8,14.7825,14.79,4788
151,14.82,14.82,14.79,14.8,5700
152,14.83,14.83,14.81,14.82,8900
153,14.87,14.87,14.84,14.84,11120
154,14.87,14.87,14.84,14.86,7700
155,14.91,14.91,14.86,14.87,8908
156,14.98,14.98,14.91,14.91,14857
157,14.94,14.975,14.92,14.97,35804
158,14.92,14.935,14.9,14.93,3819
159,14.94,14.94,14.91,14.91,6000
160,14.93,14.94,14.93,14.93,4112
161,14.93,14.94,14.93,14.93,6949
162,14.93,14.94,14.93,14.93,4000
163,14.94,14.94,14.92,14.93,2970
164,14.95,14.95,14.93,14.93,14640
165,14.94,14.95,14.93,14.94,17355
166,14.95,14.95,14.93,14.94,9654
167,14.96,14.96,14.95,14.95,8648
168,14.96,14.99,14.95,14.96,7507
169,14.98,14.98,14.95,14.96,11641
170,14.94,14.98,14.94,14.98,5148
171,14.95,14.95,14.94,14.94,1701
172,14.895,14.93,14.895,14.93,7789
173,14.9,14.91,14.89,14.9,8044
174,14.91,14.91,14.895,14.9,5020
175,14.91,14.91,14.9,14.91,7515
176,14.92,14.92,14.905,14.91,7611
177,14.92,14.93,14.92,14.92,6400
178,14.92,14.93,14.91,14.93,13377
179,14.92,14.93,14.9138,14.92,11250
180,14.92,14.92,14.89,14.91,8568
181,14.89,14.92,14.88,14.92,22440
182,14.88,14.89,14.87,14.89,41338
183,14.87,14.88,14.84,14.88,178260
288,14.95,14.95,14.95,14.95,3820
289,14.8501,14.93,14.85,14.93,500
290,14.89,15.02,14.75,14.9,13927
291,14.73,14.86,14.67,14.86,15715
292,14.79,14.85,14.73,14.73,10654
293,14.83,14.84,14.79,14.79,6400
294,14.86,14.87,14.84,14.84,2000
295,14.85,14.86,14.84,14.855,7234
296,14.75,14.85,14.75,14.85,9700
297,14.75,14.75,14.71,14.75,7576
298,14.75,14.79,14.75,14.77,7350
299,14.75,14.75,14.73,14.74,4000
300,14.71,14.75,14.71,14.75,2900
301,14.71,14.73,14.705,14.72,3900
302,14.68,14.7,14.68,14.7,3000
303,14.6601,14.69,14.66,14.69,2018
304,14.71,14.72,14.66,14.66,7870
305,14.71,14.72,14.705,14.71,2923
306,14.69,14.71,14.68,14.7,4500
307,14.7,14.71,14.69,14.699,6890
308,14.72,14.72,14.7,14.7,3900
309,14.75,14.75,14.72,14.72,1200
310,14.71,14.75,14.71,14.75,3600
311,14.7,14.72,14.7,14.72,2100
312,14.68,14.7,14.68,14.7,2200
313,14.69,14.7,14.68,14.69,4877
314,14.67,14.7,14.67,14.7,4967
315,14.67,14.68,14.66,14.68,5400
316,14.67,14.67,14.66,14.67,6407
317,14.67,14.67,14.65,14.6642,8091
318,14.7,14.7,14.67,14.67,8893
319,14.74,14.74,14.71,14.71,2905
320,14.73,14.74,14.72,14.73,5063
321,14.725,14.73,14.72,14.7237,3900
322,14.7101,14.72,14.71,14.72,6314
323,14.76,14.76,14.7101,14.72,14906
324,14.75,14.77,14.75,14.76,13711
325,14.77,14.77,14.75,14.75,11969
326,14.8,14.83,14.76,14.77,34774
327,14.81,14.82,14.8,14.805,168524
432,14.79,14.79,14.79,14.79,4373
433,14.78,14.8,14.77,14.78,7146
434,14.86,14.86,14.78,14.78,9636
435,14.8983,14.9,14.84,14.85,11118
436,14.87,14.89,14.86,14.89,6347
437,14.9,14.905,14.88,14.88,6900
438,14.85,14.9,14.85,14.9,7300
439,14.85,14.855,14.83,14.855,4800
440,14.83,14.85,14.82,14.85,6395
441,14.82,14.83,14.81,14.83,15888
442,14.78,14.82,14.78,14.82,10500
443,14.78,14.79,14.75,14.79,5912
444,14.8,14.81,14.78,14.78,25876
445,14.79,14.81,14.79,14.8,13435
446,14.77,14.79,14.77,14.79,6710
447,14.73,14.77,14.73,14.77,7189
448,14.75,14.755,14.74,14.74,4500
449,14.74,14.7599,14.73,14.7599,10711
450,14.74,14.74,14.74,14.74,2528
451,14.71,14.74,14.71,14.74,7302
452,14.72,14.72,14.71,14.71,900
453,14.7125,14.73,14.71,14.72,7916
454,14.72,14.72,14.71,14.72,4184
455,14.675,14.72,14.67,14.72,8400
456,14.695,14.7,14.68,14.68,5479
457,14.69,14.7,14.69,14.7,2900
458,14.675,14.69,14.66,14.69,8154
459,14.68,14.685,14.67,14.6799,3995
460,14.6799,14.68,14.675,14.68,1600
461,14.655,14.69,14.65,14.675,9609
462,14.66,14.66,14.65,14.6599,4200
463,14.665,14.68,14.66,14.66,8286
464,14.66,14.67,14.65,14.67,5600
465,14.66,14.665,14.655,14.66,4955
466,14.665,14.67,14.655,14.66,6666
467,14.655,14.6699,14.65,14.665,12212
468,14.625,14.66,14.61,14.66,21397
469,14.6199,14.625,14.58,14.62,41766
470,14.65,14.66,14.6,14.61,47877
471,14.63,14.68,14.59,14.655,253265
864,14.65,14.65,14.65,14.65,3504
865,14.63,14.66,14.62,14.65,33521
866,14.57,14.63,14.56,14.63,13227
867,14.58,14.6,14.57,14.57,10629
868,14.56,14.58,14.55,14.58,14191
869,14.61,14.61,14.56,14.56,7510
870,14.61,14.62,14.6,14.62,10365
871,14.63,14.63,14.61,14.61,23719
872,14.64,14.64,14.62,14.63,6331
873,14.62,14.64,14.61,14.64,4557
874,14.64,14.64,14.62,14.62,3243
875,14.66,14.67,14.64,14.64,7062
876,14.67,14.67,14.64,14.65,4700
877,14.65,14.67,14.63,14.6601,16645
878,14.66,14.66,14.645,14.65,13795
879,14.67,14.67,14.6553,14.66,12293
880,14.69,14.69,14.67,14.67,12135
881,14.69,14.69,14.69,14.69,5300
882,14.69,14.69,14.685,14.69,1632
883,14.67,14.685,14.665,14.68,8400
884,14.66,14.68,14.66,14.665,6725
885,14.65,14.665,14.6,14.66,14164
886,14.65,14.65,14.64,14.64,8080
887,14.67,14.67,14.65,14.65,5227
888,14.67,14.67,14.66,14.67,3900
889,14.67,14.67,14.655,14.67,8165
890,14.69,14.69,14.67,14.67,6576
891,14.69,14.7,14.68,14.7,16277
892,14.69,14.71,14.69,14.7,11029
893,14.685,14.69,14.6834,14.69,7139
894,14.67,14.69,14.67,14.69,4034
