EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493128200,1.56,1.56,1.56,1.56,1950
1,1.6,1.6,1.6,1.6,100
4,1.6,1.6,1.6,1.6,100
7,1.6,1.6,1.6,1.6,100
8,1.59,1.59,1.59,1.59,168
9,1.57,1.6,1.57,1.6,501
12,1.6,1.6,1.6,1.6,100
20,1.5724,1.59,1.5724,1.59,3910
25,1.575,1.6,1.575,1.6,200
29,1.6,1.6,1.6,1.6,100
30,1.6,1.6,1.6,1.6,200
32,1.6,1.6,1.6,1.6,100
34,1.6,1.6,1.6,1.6,200
35,1.6,1.6,1.6,1.6,934
36,1.575,1.575,1.575,1.575,500
37,1.6,1.6,1.55,1.55,400
149,1.6,1.6,1.6,1.6,100
152,1.51,1.51,1.51,1.51,650
153,1.6,1.6,1.6,1.6,100
156,1.6,1.6,1.6,1.6,200
157,1.65,1.65,1.65,1.65,100
162,1.65,1.65,1.65,1.65,100
163,1.65,1.65,1.65,1.65,400
181,1.65,1.65,1.625,1.625,204
286,1.65,1.65,1.65,1.65,400
290,1.65,1.65,1.65,1.65,1500
291,1.625,1.65,1.625,1.65,200
293,1.5933,1.6,1.5761,1.6,2450
294,1.575,1.575,1.575,1.575,350
295,1.6,1.6,1.6,1.6,100
299,1.6,1.6,1.6,1.6,100
306,1.6,1.6,1.6,1.6,500
308,1.6,1.6,1.6,1.6,2282
310,1.568,1.568,1.568,1.568,185
311,1.6,1.6,1.6,1.6,100
312,1.6,1.6,1.6,1.6,100
316,1.6,1.6,1.6,1.6,100
320,1.6,1.6,1.6,1.6,200
321,1.59,1.6,1.59,1.6,1350
325,1.55,1.6,1.55,1.6,2539
430,1.6,1.6,1.6,1.6,184
431,1.55,1.575,1.5,1.55,3000
432,1.6,1.6,1.6,1.6,350
433,1.6,1.6,1.6,1.6,100
435,1.575,1.59,1.575,1.59,1100
443,1.6,1.6,1.6,1.6,100
448,1.6,1.6,1.6,1.6,200
455,1.575,1.575,1.569,1.569,1100
458,1.55,1.55,1.55,1.55,758
460,1.55,1.575,1.55,1.575,400
462,1.55,1.55,1.55,1.55,200
469,1.55,1.55,1.5,1.5,426
862,1.55,1.55,1.55,1.55,864
864,1.55,1.6,1.55,1.6,300
865,1.55,1.55,1.55,1.55,200
874,1.55,1.55,1.55,1.55,300
875,1.6,1.625,1.55,1.55,17653
877,1.6161,1.65,1.6161,1.65,1100
879,1.6,1.61,1.6,1.61,5400
887,1.6,1.6,1.55,1.6,2740
889,1.625,1.625,1.625,1.625,100
894,1.6,1.61,1.6,1.61,5600
895,1.6,1.6,1.6,1.6,400
901,1.575,1.575,1.55,1.56,900
a1493733000,1.554,1.554,1.554,1.554,130
1,1.5415,1.5415,1.5415,1.5415,1000
2,1.5,1.5,1.5,1.5,1505
4,1.55,1.55,1.55,1.55,1500
6,1.55,1.575,1.55,1.55,700
7,1.575,1.575,1.575,1.575,200
8,1.55,1.55,1.55,1.55,400
14,1.5877,1.5877,1.5877,1.5877,300
16,1.525,1.54,1.5,1.54,5381
18,1.5325,1.5325,1.5325,1.5325,150
26,1.55,1.55,1.55,1.55,200
28,1.55,1.6,1.55,1.55,2631
29,1.6,1.6,1.6,1.6,100
31,1.55,1.6,1.5,1.6,3775
32,1.55,1.55,1.525,1.55,4415
33,1.55,1.55,1.55,1.55,300
34,1.6,1.6,1.6,1.6,200
35,1.575,1.6,1.575,1.6,200
36,1.6,1.6,1.6,1.6,100
37,1.55,1.6,1.55,1.56,1275
146,1.55,1.55,1.55,1.55,100
149,1.525,1.525,1.5,1.505,2100
150,1.5,1.5,1.5,1.5,100
151,1.525,1.525,1.5,1.5,200
152,1.5,1.5,1.5,1.5,1120
153,1.525,1.525,1.525,1.525,100
155,1.525,1.525,1.525,1.525,100
160,1.525,1.525,1.525,1.525,100
166,1.5,1.514,1.5,1.514,1600
167,1.525,1.525,1.525,1.525,200
170,1.525,1.525,1.525,1.525,154
171,1.54,1.54,1.54,1.54,100
173,1.55,1.55,1.55,1.55,100
174,1.525,1.525,1.5,1.525,3010
177,1.55,1.55,1.525,1.525,1100
178,1.55,1.55,1.55,1.55,100
181,1.55,1.55,1.5,1.5,300
286,1.5,1.5,1.5,1.5,551
288,1.5,1.5,1.5,1.5,300
289,1.505,1.505,1.505,1.505,1425
297,1.525,1.525,1.51,1.51,850
299,1.5,1.5,1.5,1.5,100
300,1.55,1.55,1.525,1.525,300
302,1.5,1.55,1.5,1.525,800
303,1.525,1.525,1.5,1.5,225
305,1.525,1.525,1.525,1.525,100
310,1.5,1.55,1.5,1.525,2110
311,1.5,1.5,1.5,1.5,200
312,1.5,1.5,1.5,1.5,275
313,1.5,1.5,1.5,1.5,500
314,1.525,1.525,1.525,1.525,2417
316,1.55,1.55,1.5,1.525,5609
320,1.55,1.55,1.55,1.55,100
325,1.5,1.525,1.5,1.5,700
430,1.5,1.5,1.5,1.5,200
431,1.5,1.5,1.5,1.5,1600
432,1.5,1.5,1.5,1.5,200
433,1.5,1.525,1.5,1.525,600
434,1.5,1.5,1.5,1.5,100
439,1.51,1.51,1.51,1.51,1000
441,1.54,1.54,1.54,1.54,130
442,1.5,1.525,1.5,1.525,850
443,1.475,1.5,1.45,1.5,6204
446,1.475,1.475,1.475,1.475,100
447,1.475,1.49,1.45,1.49,5300
449,1.45,1.5,1.45,1.46,3600
450,1.5,1.5,1.45,1.45,1846
453,1.49,1.49,1.49,1.49,2000
457,1.5,1.5,1.5,1.5,100
458,1.5,1.5,1.5,1.5,200
464,1.5,1.525,1.45,1.475,17769
465,1.5,1.5,1.5,1.5,100
467,1.45,1.45,1.45,1.45,500
468,1.45,1.45,1.45,1.45,600
469,1.5,1.5,1.45,1.45,5345
862,1.55,1.55,1.55,1.55,4012
863,1.55,1.575,1.55,1.575,6888
865,1.6,1.6,1.5,1.525,5596
866,1.49,1.5,1.45,1.5,3320
867,1.4752,1.4801,1.45,1.4801,1000
868,1.475,1.5,1.475,1.495,2100
870,1.45,1.45,1.45,1.45,4100
872,1.5,1.5,1.475,1.475,3100
873,1.5,1.5,1.475,1.475,200
876,1.5,1.6,1.45,1.5,14600
877,1.525,1.525,1.525,1.525,200
879,1.55,1.55,1.55,1.55,100
880,1.5,1.5,1.5,1.5,200
882,1.55,1.55,1.55,1.55,100
883,1.525,1.55,1.525,1.55,2400
884,1.55,1.6,1.55,1.55,12138
885,1.625,1.65,1.55,1.595,13500
886,1.6,1.625,1.6,1.6,6800
887,1.625,1.625,1.625,1.625,1600
888,1.6,1.625,1.6,1.625,1900
889,1.6,1.625,1.6,1.6116,3200
890,1.6,1.625,1.6,1.6,4100
892,1.6,1.625,1.55,1.625,14335
893,1.6,1.6,1.6,1.6,1000
894,1.65,1.65,1.65,1.65,200
896,1.6,1.61,1.6,1.605,19600
897,1.6,1.61,1.55,1.61,18471
898,1.6,1.61,1.6,1.6,2200
900,1.625,1.625,1.6,1.6,1700
901,1.65,1.65,1.6,1.625,2500
a1494340800,1.65,1.65,1.65,1.65,200
1,1.65,1.65,1.65,1.65,200
2,1.65,1.65,1.65,1.65,100
3,1.625,1.625,1.625,1.625,121
10,1.65,1.65,1.65,1.65,200
11,1.6,1.61,1.6,1.61,10400
15,1.6,1.61,1.575,1.61,7400
16,1.575,1.6,1.55,1.55,28500
17,1.575,1.575,1.575,1.575,200
21,1.55,1.595,1.55,1.595,3325
25,1.55,1.575,1.55,1.575,1700
28,1.6,1.6,1.575,1.575,800
29,1.625,1.625,1.625,1.625,100
30,1.6,1.65,1.6,1.65,5600
31,1.6148,1.6148,1.6148,1.6148,425
32,1.6,1.625,1.6,1.6121,1627
137,1.55,1.55,1.55,1.55,4236
139,1.5685,1.5685,1.5685,1.5685,777
144,1.6,1.6,1.6,1.6,1000
152,1.6,1.6,1.6,1.6,500
153,1.65,1.65,1.65,1.65,200
156,1.6,1.6256,1.6,1.6256,1600
159,1.625,1.625,1.625,1.625,100
160,1.625,1.625,1.605,1.605,1200
164,1.6,1.6,1.6,1.6,100
170,1.6,1.625,1.6,1.61,460
