EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127600,39.36,39.36,39.36,39.36,100
18,37.17,37.17,37.17,37.17,356
19,37.96,37.96,37.96,37.96,100
24,37.24,37.24,37.24,37.24,500
25,37.25,37.25,37.25,37.25,600
28,37.25,37.25,37.25,37.25,100
30,37.25,37.295,37.249,37.25,1765
38,37.23,37.23,37.23,37.23,540
147,38.35,38.35,38.35,38.35,134
150,37.495,37.495,37.495,37.495,100
161,37.5,37.5,37.5,37.5,100
169,37.45,37.45,37.45,37.45,200
173,37.15,37.15,37.15,37.15,200
174,37.2,37.2,37.15,37.15,400
177,37.15,37.15,37.15,37.15,100
182,37.05,37.25,37.05,37.25,754
314,37.89,37.89,37.89,37.89,100
321,37.06,37.06,37.06,37.06,100
323,37.05,37.05,37.05,37.05,100
325,37.05,37.05,37.05,37.05,500
326,37.4,37.4,37.05,37.05,790
433,37.4997,37.4997,37.4997,37.4997,100
435,36.74,37.4,36.74,37.4,800
439,37.4,37.4,37.36,37.4,1450
442,37.4,37.4,37.4,37.4,1450
443,37.4,37.4,37.4,37.4,200
444,37.4,37.4,37.395,37.4,1150
445,37.4,37.4,37.4,37.4,300
446,37.4,37.655,37.4,37.4,4950
447,37.4,37.4,37.4,37.4,780
448,37.46,37.46,37.46,37.46,100
449,37.41,37.46,37.41,37.46,400
450,37.41,37.41,37.41,37.41,100
452,37.42,37.42,37.42,37.42,100
453,37.41,37.41,37.41,37.41,300
454,37.41,37.41,37.41,37.41,200
455,37.41,37.41,37.41,37.41,100
456,37.44,37.44,37.44,37.44,100
460,37.5,37.5,37.5,37.5,100
461,37.5,37.5,37.5,37.5,300
464,37.8,37.8,37.67,37.67,900
470,37.99,37.99,37.75,37.79,2675
863,38,38,38,38,219
874,38.0001,38.0001,38.0001,38.0001,1340
878,38.2675,38.2675,38.2675,38.2675,525
880,38.29,38.29,38.29,38.29,100
882,38.47,38.47,38.47,38.47,100
883,38.48,38.48,38.48,38.48,100
884,38.29,38.29,38.29,38.29,100
888,38.32,38.365,38.24,38.365,2200
890,38.15,38.2378,38,38.15,600
892,37.99,37.99,37.99,37.99,321
900,37.31,37.885,37.31,37.885,200
901,38.35,38.35,38.35,38.35,100
902,38.2,38.45,38.04,38.35,598
a1493732400,38.2,38.2,38.2,38.2,100
26,38.3,38.3,38.3,38.3,100
27,38.5,38.5,38.3,38.3,7017
31,38.21,38.21,38.21,38.21,100
35,38.5,38.5,38.5,38.5,100
36,38.5,38.5,38.5,38.5,100
38,38.23,38.23,38.23,38.23,427
149,38.4999,38.4999,38.4999,38.4999,100
152,38.495,38.5,38.495,38.5,800
153,38.5,38.5,38.5,38.5,100
170,38.4452,38.4452,38.4452,38.4452,650
175,38.4739,38.64,38.4739,38.64,600
177,38.65,38.65,38.65,38.65,100
182,38.6,38.71,38.6,38.71,648
287,38.88,38.88,38.88,38.88,101
300,38,38,38,38,200
303,38.78,38.78,38.78,38.78,100
318,38.2,38.314,38.2,38.314,200
325,38.92,38.92,38.92,38.92,100
326,38.6,38.6,38.6,38.6,233
443,36.78,36.78,36.78,36.78,100
460,37.85,38.6,37.5,37.6,3881
461,38.045,38.045,37.9,37.9,300
462,38.5,38.5,38.01,38.01,1002
463,38.05,38.39,38.02,38.02,400
464,38.2,38.2,37.572,37.572,900
466,38.4,38.4,38.4,38.4,500
467,38.6,38.6,38.235,38.235,200
468,38.3,38.62,38.3,38.6,1400
469,38.43,38.62,38.35,38.35,1300
470,38.3,38.43,38.08,38.43,971
879,37.905,37.905,37.905,37.905,100
899,37.91,37.91,37.91,37.91,100
902,38.6,38.8,38.6,38.8,327
a1494336600,38.86,38.86,38.86,38.86,150
5,38.83,38.83,38.83,38.83,100
8,37.9417,37.9417,37.9417,37.9417,400
39,38.72,38.72,38.5,38.5,242
148,37.91,37.91,37.91,37.91,100
149,37.5,37.5,37.5,37.5,1400
151,37.85,37.86,37.77,37.86,900
152,37.5,37.9339,37.5,37.85,2100
156,37.93,37.93,37.93,37.93,100
163,37.7097,37.7097,37.7097,37.7097,131
168,38.75,38.75,38.75,38.75,100
171,38.76,38.76,38.76,38.76,100
181,38.55,38.55,38.55,38.55,100
183,38.27,38.5,38.27,38.5,881
307,37.5101,37.5101,37.5101,37.5101,101
327,37.86,37.86,37.86,37.86,237
451,37.951,37.951,37.951,37.951,157
471,38.08,38.08,38.08,38.08,784
871,38.99,38.99,38.99,38.99,100
883,38.18,38.199,38.18,38.199,244
891,37.85,37.85,37.84,37.84,200
892,38.1,38.1,38.1,38.1,100
893,38.12,38.2,38.09,38.09,2960
895,37.975,37.975,37.975,37.975,200
898,38.1,38.1,38.1,38.1,100
903,38.24,39,38.24,39,442
a1494964800,38.68,38.68,38.615,38.615,340
105,37.94,37.94,37.94,37.94,687
114,39,39,37.9,37.9,440
121,38.2959,38.3124,37.978,38.1161,1360
124,38.1196,38.1196,38.1196,38.1196,228
126,38.45,38.46,38.45,38.46,300
135,38.99,38.99,38.24,38.25,11033
137,38.69,38.69,38.31,38.31,300
139,38.4,38.44,38.4,38.44,200
141,38.25,38.25,38.25,38.25,100
144,38.1,38.18,38.1,38.18,1181
265,38.395,38.48,38.11,38.48,1234
266,38.48,38.6,38.48,38.6,300
268,38.48,38.5485,38.48,38.5485,280
273,38.42,38.42,38.42,38.42,100
276,38.42,38.42,38.42,38.42,1000
278,38.45,38.45,38.42,38.42,600
283,38.5,38.5,38.5,38.5,1405
284,38.1,38.3,38.1,38.3,680
286,38.5,38.5,38.5,38.5,100
288,38.47,38.97,38.47,38.97,566
393,38.5,38.5,38.5,38.5,660
394,38.47,38.47,38.47,38.47,397
414,38.55,38.74,38.55,38.74,200
416,38.54,38.54,38.54,38.54,200
418,38.47,38.47,38.47,38.47,300
428,38.68,38.68,38.58,38.62,2086
432,38.12,38.49,38.12,38.49,1203
825,38.03,38.03,38.03,38.03,145
845,38.48,38.48,38.48,38.48,100
848,38.51,38.51,38.51,38.51,100
849,38.51,38.51,38.51,38.51,100
851,38.51,38.51,38.51,38.51,100
857,38.78,38.78,38.78,38.78,100
858,38.51,38.51,38.51,38.51,200
859,38.65,38.65,38.65,38.65,100
863,38.65,38.65,38.65,38.65,100
864,38.94,38.94,38.94,38.94,190
977,39,39,39,39,100
979,39,39,39,39,100
990,38.6,38.6,38.6,38.6,100
996,38.51,38.55,38.51,38.55,200
999,38.5,38.5,38.5,38.5,200
a1495569600,38.7,38.7,38.7,38.7,154
115,39,39,39,39,100
123,38.735,38.735,38.735,38.735,500
144,38.81,38.81,38.81,38.81,158
259,38.85,38.85,38.85,38.85,259
260,39,39,39,39,300
261,39,39,39,39,772
268,39.3,39.3,39.09,39.09,304
273,39.25,39.25,39.12,39.12,500
277,39.09,39.09,39.09,39.09,100
280,39.1496,39.1496,39.1496,39.1496,100
281,39.09,39.09,39.09,39.09,100
283,39.09,39.09,39.09,39.09,100
285,39.09,39.09,39.09,39.09,100
287,39.34,39.34,39.34,39.34,133
288,39.2,39.2,39.2,39.2,334
398,39.4,39.4,39.4,39.4,100
406,38.9,39.2,38.9,39.2,897
432,39.07,39.38,39.07,39.38,553
991,39.28,39.28,39.28,39.28,100
a1496174400,38.61,39.5,38.61,39.5,343
105,38.94,38.94,38.94,38.94,201
118,36.7401,36.7401,36.7401,36.7401,705
142,37.001,38,37.001,38,772
144,37.58,37.58,37.4,37.4,788
267,37.8583,37.8583,37.8583,37.8583,100
285,39.4,39.4,39.4,39.4,100
287,39.5,39.5,39.5,39.5,100
288,39.37,39.44,39.37,39.44,1030
394,39.75,39.75,39.5,39.5,463
395,39.75,39.75,39.75,39.75,100
404,40,40,40,40,116
405,40,40,39.95,39.95,200
409,39.5,39.5,39.5,39.5,200
412,39.95,39.95,39.95,39.95,100
413,39.54,39.58,39.54,39.58,200
419,39.9,39.9,39.9,39.9,200
421,39.7599,39.9,39.7599,39.9,210
431,39.3223,39.3223,39.3223,39.3223,200
432,39.79,39.82,39.53,39.82,949
825,39.68,39.68,39.68,39.68,666
826,39.96,39.96,39.96,39.96,100
