EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127600,15.82,15.93,15.52,15.56,4424
1,15.89,15.93,15.82,15.86,2984
2,15.78,15.89,15.71,15.89,3348
3,15.76,15.81,15.72,15.8,1948
4,15.76,15.76,15.72,15.72,800
5,15.78,15.78,15.65,15.76,3100
6,15.81,15.82,15.76,15.78,2198
7,15.83,15.91,15.8,15.87,1224
8,15.83,15.83,15.83,15.83,800
9,15.78,15.81,15.73,15.81,400
10,15.785,15.785,15.785,15.785,182
11,15.76,15.77,15.76,15.76,400
14,15.75,15.75,15.75,15.75,500
15,15.8,15.8,15.8,15.8,200
18,15.73,15.73,15.73,15.73,100
20,15.72,15.72,15.71,15.72,300
21,15.81,15.83,15.67,15.67,700
22,15.85,15.87,15.83,15.83,400
24,15.7872,15.7872,15.7872,15.7872,100
25,15.84,15.84,15.79,15.82,562
26,15.82,15.84,15.82,15.84,200
27,15.82,15.82,15.82,15.82,100
29,15.81,15.82,15.7886,15.8,1323
30,15.75,15.76,15.75,15.76,200
31,15.75,15.77,15.75,15.7689,2100
32,15.7,15.75,15.7,15.75,500
33,15.7,15.74,15.7,15.74,200
34,15.7,15.7,15.7,15.7,100
35,15.65,15.67,15.62,15.67,1312
36,15.7,15.72,15.55,15.66,6654
37,15.58,15.68,15.58,15.68,1634
38,15.67,15.67,15.58,15.58,6368
144,15.65,15.75,15.65,15.75,500
145,15.59,15.6,15.58,15.58,700
146,15.578,15.63,15.578,15.63,570
147,15.56,15.56,15.56,15.56,100
150,15.63,15.63,15.63,15.63,100
151,15.65,15.65,15.65,15.65,200
152,15.72,15.72,15.72,15.72,100
155,15.82,15.82,15.75,15.75,300
156,15.81,15.81,15.81,15.81,594
157,15.66,15.73,15.65,15.73,1000
158,15.65,15.65,15.65,15.65,100
159,15.65,15.65,15.65,15.65,100
160,15.71,15.71,15.71,15.71,100
163,15.71,15.71,15.71,15.71,100
164,15.61,15.73,15.5,15.71,48580
165,15.72,15.725,15.61,15.61,1000
166,15.79,15.86,15.71,15.71,31097
167,15.72,15.84,15.7,15.82,8600
168,15.76,15.76,15.71,15.71,10459
169,15.71,15.76,15.71,15.76,400
170,15.72,15.72,15.68,15.68,200
171,15.65,15.7,15.64,15.69,1300
172,15.64,15.67,15.64,15.64,400
173,15.65,15.66,15.65,15.65,500
174,15.66,15.68,15.65,15.65,900
175,15.65,15.66,15.63,15.66,2300
176,15.65,15.65,15.6,15.6,400
177,15.59,15.6,15.5701,15.6,512
178,15.59,15.6,15.55,15.55,600
179,15.56,15.71,15.54,15.57,5600
180,15.61,15.7,15.54,15.6,4482
181,15.68,15.69,15.58,15.58,2000
182,15.62,15.66,15.54,15.63,11171
288,15.6699,15.69,15.52,15.69,35550
289,15.65,15.8199,15.61,15.71,27030
290,15.74,15.74,15.66,15.66,4105
291,15.73,15.75,15.71,15.74,1900
293,15.77,15.77,15.77,15.77,100
294,15.77,15.77,15.77,15.77,500
295,15.8,15.8,15.8,15.8,100
296,15.76,15.77,15.75,15.76,800
297,15.8,15.8,15.78,15.78,200
299,15.79,15.8,15.76,15.8,3407
300,15.81,15.81,15.8,15.8,300
301,15.77,15.77,15.77,15.77,200
302,15.78,15.78,15.76,15.76,300
303,15.8,15.8,15.8,15.8,200
306,15.8,15.8,15.8,15.8,100
307,15.84,15.84,15.84,15.84,200
309,15.91,15.91,15.89,15.89,2000
310,15.89,15.95,15.89,15.89,1126
311,15.89,15.93,15.89,15.91,300
315,15.9,15.92,15.87,15.87,800
316,15.88,15.89,15.88,15.89,200
317,15.86,15.88,15.86,15.87,8199
318,15.87,15.9,15.87,15.88,600
320,15.89,15.89,15.86,15.86,200
321,15.9,15.9,15.89,15.89,700
322,15.87,15.87,15.87,15.87,100
323,15.9,15.93,15.9,15.92,600
324,15.84,15.965,15.8,15.965,1600
325,15.9186,15.955,15.87,15.87,2301
326,15.94,15.975,15.88,15.92,6036
431,16,16,16,16,203
432,15.91,15.91,15.91,15.91,100
435,15.79,15.93,15.785,15.93,858
436,15.81,15.81,15.77,15.77,1680
437,15.76,15.82,15.76,15.82,900
439,15.71,15.71,15.71,15.71,100
442,15.68,15.71,15.68,15.71,500
443,15.64,15.68,15.6,15.63,6011
444,15.64,15.64,15.64,15.64,100
445,15.7,15.7,15.6349,15.64,5885
446,15.64,15.69,15.64,15.69,1790
447,15.66,15.66,15.63,15.65,1300
449,15.67,15.68,15.66,15.68,1400
451,15.7,15.74,15.67,15.67,3415
452,15.68,15.68,15.68,15.68,100
453,15.72,15.72,15.72,15.72,100
454,15.72,15.72,15.72,15.72,100
456,15.77,15.7799,15.71,15.71,1669
457,15.77,15.79,15.76,15.77,997
458,15.8299,15.8299,15.785,15.785,700
459,15.76,15.81,15.76,15.81,2020
460,15.83,15.83,15.7699,15.7699,1800
461,15.85,15.8799,15.85,15.85,1113
462,15.88,15.89,15.88,15.8899,590
463,15.89,15.9,15.84,15.8799,2600
464,15.78,15.87,15.78,15.87,900
465,15.89,15.9,15.8,15.8,3000
466,15.8,15.8899,15.8,15.86,2600
467,15.84,15.9,15.81,15.81,2300
468,15.9099,15.91,15.86,15.87,1900
469,15.89,15.91,15.84,15.89,3500
470,15.92,15.98,15.89,15.89,14589
863,15.94,15.94,15.94,15.94,121
866,16.02,16.02,15.945,15.945,2600
867,16,16,16,16,300
868,15.99,16,15.98,15.99,3875
869,15.995,16.01,15.99,16,23983
870,16.04,16.04,16,16,1600
871,16,16.03,16,16.03,600
872,16,16.01,16,16.01,500
873,16.01,16.01,16,16,12075
874,16,16.01,16,16.01,700
875,16,16.01,15.99,16,2600
876,16,16.01,16,16,1600
877,16.01,16.01,15.93,16.01,5544
878,16,16.03,15.96,15.9999,1354
879,16.025,16.025,16.025,16.025,100
880,16.02,16.07,16.02,16.02,799
882,16,16,16,16,300
883,16.015,16.04,15.985,15.985,3618
884,15.96,16,15.96,16,400
885,15.97,15.97,15.97,15.97,100
886,15.94,15.95,15.92,15.95,370
887,15.96,15.96,15.96,15.96,100
888,15.95,15.96,15.95,15.95,400
889,15.96,16,15.96,16,400
890,15.95,15.95,15.94,15.94,400
891,15.96,16.02,15.95,15.95,8330
892,15.95,15.99,15.93,15.93,1800
893,15.94,15.97,15.94,15.97,500
894,15.95,15.95,15.93,15.93,347
895,15.9,15.905,15.895,15.895,500
898,16,16,15.91,15.91,700
899,15.9687,15.97,15.94,15.97,776
900,15.945,15.945,15.945,15.945,100
901,15.94,15.95,15.93,15.93,1300
902,16.02,16.035,15.97,16.01,7749
a1493733000,16.04,16.04,16.03,16.03,300
1,15.89,16,15.89,16,200
2,15.83,15.83,15.77,15.77,749
3,15.87,15.87,15.82,15.82,400
4,15.94,15.94,15.78,15.84,1200
5,16,16,15.98,15.98,700
6,15.9901,15.9901,15.96,15.96,200
9,15.96,15.9763,15.96,15.9763,1070
10,15.97,15.97,15.96,15.96,300
11,16.03,16.05,15.95,15.95,1000
12,16.08,16.08,16.08,16.08,200
13,15.97,15.97,15.96,15.96,300
14,16.01,16.01,15.96,15.96,300
15,15.98,15.98,15.96,15.98,1871
17,16,16.01,16,16.01,300
18,16.02,16.02,16.01,16.01,400
20,16.05,16.05,16.05,16.05,100
21,16.07,16.07,16.0601,16.0601,300
22,16.05,16.05,16.03,16.03,404
24,16.05,16.05,16.05,16.05,200
26,16.04,16.09,16,16.04,2682
27,15.94,15.9998,15.94,15.99,1172
28,16.04,16.05,15.96,15.96,1107
29,16.03,16.05,16.03,16.04,1100
30,16.03,16.03,16,16,600
31,16.115,16.115,16.08,16.08,400
32,16.09,16.1,16.09,16.1,500
33,16.04,16.05,16.03,16.05,600
34,16.08,16.08,16.04,16.06,1300
35,16.12,16.13,16.08,16.08,900
36,16.13,16.13,16.05,16.08,2855
37,16.14,16.23,16.08,16.12,11910
145,16,16.02,16,16.02,300
146,16.05,16.08,16.05,16.08,337
147,16.06,16.06,16.06,16.06,110
148,15.915,15.98,15.915,15.97,600
149,15.92,15.955,15.88,15.955,736
150,15.96,15.96,15.94,15.94,829
