EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493128200,49.3,49.45,49.25,49.45,1100
2,49.3634,49.5,49.3634,49.45,912
3,49.35,49.5,49.35,49.5,300
6,49.2497,49.2497,49.2497,49.2497,200
7,49.25,49.25,49.2,49.2,300
8,49.15,49.15,49.15,49.15,300
9,49.1,49.15,49.1,49.15,550
11,49,49,49,49,100
12,49,49,49,49,100
13,48.9,48.95,48.9,48.95,200
14,48.884,48.884,48.884,48.884,200
15,48.8987,48.8987,48.8987,48.8987,200
16,48.95,48.95,48.95,48.95,109
18,48.99,49.025,48.99,49,636
19,49.05,49.1,49.05,49.05,300
23,49.15,49.15,49.15,49.15,100
25,49.15,49.15,49.15,49.15,200
26,49.1,49.2,49.05,49.2,1593
27,49.05,49.1,49,49.1,900
28,49.05,49.05,48.95,48.95,410
29,49,49.1,49,49,600
30,48.9,48.9,48.9,48.9,600
31,48.8,48.9,48.8,48.9,600
32,48.7282,48.8,48.7282,48.8,639
33,48.7,48.85,48.7,48.85,1600
34,48.65,48.725,48.6,48.7,1100
35,48.6,48.6,48.45,48.55,4320
36,48.5,48.65,48.4,48.65,2300
37,48.65,48.75,48.6,48.6,3032
142,48.5,48.5,48.5,48.5,191
143,48.55,48.65,48.55,48.65,600
144,48.55,48.55,48.45,48.45,300
145,48.5,48.55,48.4,48.55,811
147,48.4,48.6,48.4,48.5,600
148,48.65,48.65,48.6,48.6,300
149,48.7,48.7,48.65,48.65,400
151,48.65,48.65,48.65,48.65,300
152,48.65,48.7,48.6,48.6,335
155,48.7,48.75,48.65,48.65,1512
156,48.65,48.7,48.65,48.7,1100
157,48.6,48.7,48.6,48.7,200
158,48.7,48.7,48.7,48.7,100
159,48.7,48.7,48.7,48.7,200
160,48.7,48.7,48.7,48.7,100
161,48.85,48.85,48.7,48.7,1716
162,49,49,49,49,100
163,49.05,49.05,49,49,519
164,49.05,49.05,49.05,49.05,100
165,49.1,49.1,49.1,49.1,400
166,49.05,49.1,49.05,49.1,400
167,49.1,49.15,49.1,49.15,200
168,49.05,49.15,49.05,49.15,600
170,48.8,48.8,48.8,48.8,466
171,48.7,48.7,48.55,48.65,1777
172,48.7,48.7,48.7,48.7,100
173,48.7,48.7,48.7,48.7,600
174,48.95,48.95,48.8,48.8,200
175,48.85,48.85,48.8,48.8,600
176,48.85,48.85,48.85,48.85,100
178,48.75,48.85,48.75,48.85,800
179,48.75,48.75,48.55,48.7,3754
180,48.8,48.8,48.75,48.75,200
181,49.05,49.1,48.8,48.8,5469
286,48.85,48.85,48.85,48.85,200
287,48.9,49.35,48.45,48.45,6900
288,49.1,49.1,48.9,48.9,700
289,49.05,49.3,49.05,49.2,900
290,49.15,49.15,49.1,49.1,681
291,49.0247,49.0247,49.0247,49.0247,251
292,48.85,49,48.85,49,1000
294,48.85,48.85,48.8,48.8,500
295,48.55,48.7,48.55,48.7,1200
296,48.65,48.65,48.65,48.65,200
297,48.45,48.7,48.45,48.55,1975
298,48.3,48.45,48.3,48.45,1200
299,48.3,48.3,48.3,48.3,100
300,48.35,48.35,48.35,48.35,500
301,48.3,48.4,48.3,48.4,1000
302,48.35,48.35,48.3,48.3,300
304,48.55,48.55,48.55,48.55,200
307,48.55,48.6,48.55,48.6,842
310,48.85,48.85,48.85,48.85,400
312,48.7781,48.7781,48.7781,48.7781,100
313,49.05,49.05,48.85,48.85,450
315,48.95,49.1,48.95,49.1,200
316,48.9175,48.9175,48.9175,48.9175,215
317,48.95,49,48.95,48.95,491
318,48.9,48.9,48.9,48.9,100
319,48.9,48.95,48.9,48.95,449
320,48.85,48.9,48.85,48.9,200
321,48.8,48.8,48.8,48.8,300
322,48.8232,48.8232,48.8,48.8,400
323,48.8,48.9,48.8,48.85,1400
324,48.95,49,48.75,48.8,1800
325,48.95,49,48.8,48.95,2906
431,48.7,48.7,48.7,48.7,300
433,48.85,48.85,48.85,48.85,200
434,48.8,48.8782,48.8,48.8782,200
435,48.8,48.8,48.8,48.8,300
436,48.8,48.8,48.8,48.8,340
437,48.7,48.7,48.7,48.7,300
438,48.8,48.8,48.7,48.7,500
439,48.75,48.85,48.75,48.85,200
440,48.7,48.7,48.7,48.7,100
441,48.6,48.65,48.6,48.65,400
443,48.65,48.65,48.4,48.55,1348
444,48.65,48.65,48.65,48.65,300
445,48.6,48.65,48.6,48.608,611
446,48.6,48.6,48.6,48.6,100
447,48.55,48.6,48.55,48.6,600
448,48.4,48.45,48.4,48.45,300
450,48.375,48.375,48.375,48.375,1700
451,48.6,48.6,48.45,48.45,1500
452,48.45,48.55,48.45,48.55,200
454,48.65,48.65,48.5,48.5,400
455,48.7,48.75,48.7,48.75,400
457,48.9,48.9,48.8,48.8,200
458,48.65,48.85,48.65,48.85,890
459,48.7,48.7,48.7,48.7,100
460,48.6,48.6,48.5485,48.55,1045
461,48.8,48.8,48.65,48.7,4400
462,48.8,48.8,48.55,48.725,7100
463,48.6,48.85,48.55,48.65,9065
464,48.8,48.8,48.7,48.7,200
466,48.85,48.85,48.85,48.85,200
467,48.8,48.9,48.8,48.85,500
468,48.75,48.9,48.65,48.85,4435
469,48.85,49,48.75,48.75,7884
864,48.85,48.85,48.85,48.85,100
866,49,49,49,49,100
868,48.85,48.85,48.85,48.85,200
869,49,49,48.9,48.9,300
870,49.45,49.45,48.95,48.95,4600
871,50,50.1,49.55,49.55,4200
872,50.3,50.3,49.975,50,3000
873,50,50.05,50,50.05,394
874,49.9,49.9,49.9,49.9,578
875,49.8023,49.8023,49.8023,49.8023,362
877,49.778,49.825,49.778,49.825,283
878,49.8,49.8,49.7,49.75,700
879,49.55,49.65,49.55,49.65,300
880,49.5,49.6,49.45,49.45,400
881,49.487,49.487,49.487,49.487,145
882,49.55,49.55,49.55,49.55,800
883,49.85,49.85,49.5501,49.6,500
884,49.85,49.85,49.85,49.85,100
885,50.05,50.1,49.95,49.95,700
887,50.1,50.1,50.05,50.05,800
888,50.2,50.25,50.15,50.15,1460
889,50.2,50.2,50.2,50.2,200
890,50.2,50.3,50.2,50.2,800
891,50.45,50.45,50.225,50.225,1000
892,50.45,50.5,50.45,50.45,1086
893,50.5,50.5,50.45,50.5,400
894,50.3,50.5,50.3,50.475,1263
895,50.4,50.45,50.4,50.45,200
896,50.25,50.45,50.25,50.45,900
897,50.2,50.2,50.15,50.2,1300
898,50.1,50.1,50.05,50.1,500
899,50.15,50.15,50.05,50.05,969
900,50.05,50.1,50.05,50.1,2350
901,50.3,50.35,50,50.05,6806
a1493731800,52,52,52,52,968
1,54.2,54.35,53.05,53.445,8536
2,53.6845,54.0762,53.05,54.0762,3000
3,54.55,54.55,53.75,53.75,1605
4,54.6184,55.05,54.2,54.5,2288
5,54.1,54.95,54.1,54.8,3230
6,54.3,54.45,54.2,54.45,800
7,54.6,54.7,54.35,54.35,2228
8,54.625,54.7,54.4,54.7,3547
9,54.45,54.65,54.3,54.55,2530
10,54.1,54.3,53.4,54.25,7500
11,54.05,54.25,54.05,54.22,740
12,53.9542,53.9542,53.9542,53.9542,417
13,54.4,54.4,54.4,54.4,100
14,54.0579,54.168,53.95,54.168,1266
16,54.05,54.05,54.05,54.05,100
17,54.05,54.05,54.05,54.05,500
18,53.85,54.125,53.85,54.125,4304
19,54,54.05,54,54,1700
20,54.25,54.3,53.9,54,1700
21,54.05,54.25,54.05,54.25,1030
22,54.0802,54.2,54,54.075,1000
23,54.1,54.1,54.1,54.1,100
24,54.25,54.25,54.2,54.2,200
25,53.95,54.25,53.95,54.2,2300
26,54.05,54.05,54.05,54.05,100
27,53.7,54.05,53.65,54.025,2214
28,53.7,53.7,53.7,53.7,100
29,53.9,53.9,53.7,53.75,956
30,53.8,54,53.75,53.85,2800
31,53.8,53.85,53.5,53.85,7310
32,53.85,53.9,53.75,53.75,300
33,53.8,53.825,53.7,53.825,1300
34,53.6,53.8,53.45,53.8,3200
35,53.8,53.8,53.476,53.476,4350
36,53.8,53.85,53.55,53.85,5852
37,53.6,53.8,53.5,53.725,7200
38,53.625,53.7,53.55,53.625,5827
