EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493148000,69.01,69.01,69.01,69.01,100
989,66.25,66.25,66.25,66.25,100
991,66.55,66.55,66.55,66.55,100
a1494360000,70,70,70,70,600
144,71.45,71.45,71.45,71.45,100
393,71.35,71.35,71.35,71.35,100
982,67.25,67.25,67.25,67.25,100
a1495029000,67.25,67.25,67.25,67.25,100
a1496242200,64.01,64.01,64.01,64.01,500
877,61.59,61.59,61.59,61.59,300
a1497018000,64.01,64.01,64.01,64.01,100
3,65,65,65,65,100
19,66,66,66,66,100
724,60.51,60.51,60.51,60.51,500
729,66,66,66,66,100
a1498229400,60.8,60.8,60.8,60.8,100
713,61.41,61.41,61.41,61.41,100
a1498847400,64,64,64,64,100
413,67.5,67.5,67.5,67.5,100
414,67.5,67.5,67.48,67.48,700
