EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1498497000,10.5,10.5,10.5,10.5,1000
17,10,10,10,10,1500
132,10,10,9.995,10,3000
133,9.995,10,9.995,10,2000
135,9.8961,9.8961,9.8961,9.8961,1100
137,9.995,10,9.995,10,2000
140,10,10,10,10,1000
141,9.995,10,9.995,10,1800
160,9.95,9.95,9.95,9.95,300
282,10,10,10,10,2000
283,10,10,10,10,1000
285,10,10,10,10,2000
298,10,10,10,10,7000
299,10,10,10,10,700
301,9.9999,9.9999,9.9999,9.9999,1000
413,10,10,10,10,3300
414,10,10,10,10,1700
437,10,10,10,10,1100
442,9.5,9.5,9.5,9.5,1500
559,9.92,9.92,9.9,9.9,800
561,9.95,9.95,9.91,9.91,3295
562,9.9813,9.9813,9.9813,9.9813,100
565,9.9999,10,9.9999,10,2000
568,9.9501,9.9501,9.9501,9.9501,2000
573,9.95,9.95,9.95,9.95,2000
574,9.95,9.95,9.95,9.95,1805
589,9.95,9.95,9.95,9.95,1000
592,9.95,9.95,9.95,9.95,1000
987,9.95,9.95,9.95,9.95,140
989,9.75,9.75,9.75,9.75,2000
991,9.95,9.95,9.95,9.95,500
992,9.95,9.95,9.95,9.95,500
993,9.95,9.95,9.95,9.95,2000
a1499101200,9.75,9.75,9.75,9.75,1000
269,10,10,10,10,5000
