EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,3.22,3.22,3.22,3.22,41347
1,3.27,3.27,3.21,3.21,51088
2,3.285,3.3,3.27,3.27,132594
3,3.285,3.29,3.275,3.285,41819
4,3.3,3.3,3.2801,3.285,63800
5,3.29,3.3,3.29,3.3,71977
6,3.3,3.3,3.28,3.3,45080
7,3.295,3.3,3.29,3.295,46054
8,3.3,3.3,3.28,3.3,11510
9,3.3,3.3,3.29,3.3,13000
10,3.3,3.31,3.29,3.3,140107
11,3.31,3.31,3.3,3.305,15105
12,3.3,3.31,3.3,3.305,5350
13,3.301,3.33,3.3,3.3001,80797
14,3.3,3.31,3.3,3.305,8500
15,3.31,3.31,3.3,3.3,8653
16,3.3016,3.31,3.3,3.305,13490
17,3.29,3.3087,3.29,3.305,27980
18,3.285,3.3,3.28,3.291,22122
19,3.285,3.29,3.28,3.29,4225
20,3.285,3.29,3.275,3.285,20677
21,3.2833,3.29,3.28,3.29,5990
22,3.261,3.29,3.261,3.28,9101
23,3.27,3.27,3.26,3.27,12500
24,3.2572,3.27,3.25,3.265,56468
25,3.265,3.2699,3.255,3.26,11430
26,3.26,3.27,3.26,3.26,9127
27,3.2625,3.27,3.26,3.261,3267
28,3.28,3.28,3.265,3.27,37168
29,3.285,3.29,3.27,3.29,21779
30,3.285,3.29,3.28,3.29,7140
31,3.29,3.29,3.275,3.28,13280
32,3.29,3.2999,3.29,3.295,22822
33,3.29,3.295,3.29,3.29,1000
34,3.305,3.31,3.29,3.295,39473
35,3.305,3.305,3.3,3.3,2900
36,3.305,3.31,3.3,3.305,5193
37,3.305,3.31,3.3,3.305,18694
38,3.32,3.32,3.3,3.305,22307
39,3.3,3.315,3.29,3.315,166894
144,3.3,3.32,3.3,3.32,6998
145,3.32,3.33,3.29,3.33,36874
146,3.35,3.35,3.305,3.319,36284
147,3.345,3.36,3.33,3.35,27192
148,3.3458,3.35,3.334,3.34,20464
149,3.375,3.385,3.345,3.345,36297
150,3.37,3.39,3.37,3.38,41124
151,3.365,3.375,3.35,3.375,43647
152,3.36,3.38,3.36,3.365,38094
153,3.36,3.38,3.36,3.37,25345
154,3.36,3.37,3.36,3.36,7190
155,3.39,3.39,3.3699,3.3699,63586
156,3.41,3.41,3.387,3.39,21430
157,3.405,3.41,3.39,3.41,29816
158,3.38,3.41,3.37,3.405,53342
159,3.395,3.395,3.371,3.38,16057
160,3.39,3.395,3.38,3.39,9965
161,3.4,3.4,3.39,3.39,12813
162,3.39,3.4,3.39,3.39,15164
163,3.38,3.385,3.36,3.385,17132
164,3.38,3.39,3.37,3.38,10272
165,3.37,3.38,3.37,3.37,4300
166,3.38,3.38,3.37,3.38,5700
167,3.39,3.39,3.37,3.38,23321
168,3.385,3.395,3.38,3.39,42293
169,3.375,3.39,3.37,3.39,36693
170,3.375,3.38,3.37,3.375,7774
171,3.375,3.38,3.37,3.3734,12278
172,3.38,3.38,3.37,3.37,9100
173,3.34,3.38,3.325,3.38,213963
174,3.345,3.35,3.33,3.34,25436
175,3.33,3.35,3.33,3.345,35220
176,3.35,3.35,3.32,3.33,43853
177,3.35,3.35,3.34,3.35,33600
178,3.34,3.35,3.33,3.34,30710
179,3.35,3.36,3.345,3.35,42635
180,3.38,3.38,3.35,3.36,52653
181,3.41,3.41,3.38,3.38,82863
182,3.39,3.41,3.38,3.405,71453
183,3.38,3.39,3.37,3.39,179817
288,3.38,3.4,3.38,3.4,11584
289,3.3801,3.415,3.37,3.4,27551
290,3.39,3.405,3.37,3.38,15944
291,3.4,3.4,3.3868,3.3868,21971
292,3.37,3.405,3.355,3.4,53704
293,3.3727,3.38,3.36,3.37,19461
294,3.36,3.365,3.355,3.36,6475
295,3.355,3.36,3.35,3.36,7635
296,3.36,3.36,3.35,3.36,6117
297,3.33,3.36,3.33,3.3505,26588
298,3.35,3.35,3.34,3.34,6880
299,3.34,3.35,3.33,3.35,30892
300,3.34,3.34,3.33,3.34,30907
301,3.3301,3.34,3.33,3.335,6300
302,3.34,3.34,3.33,3.335,2600
303,3.33,3.34,3.33,3.34,6750
304,3.34,3.34,3.33,3.34,7154
305,3.34,3.34,3.33,3.34,9627
306,3.34,3.34,3.33,3.33,3550
307,3.35,3.35,3.3309,3.3309,5901
308,3.37,3.37,3.3409,3.3409,43678
309,3.37,3.37,3.3699,3.37,12000
310,3.37,3.37,3.365,3.37,2100
311,3.37,3.37,3.365,3.37,3032
312,3.38,3.38,3.365,3.37,8200
313,3.38,3.38,3.37,3.38,4200
314,3.38,3.38,3.37,3.38,3782
315,3.36,3.38,3.35,3.37,28955
316,3.35,3.36,3.35,3.36,5600
317,3.35,3.355,3.34,3.355,7551
318,3.349,3.35,3.3401,3.35,5114
319,3.345,3.35,3.3413,3.35,4300
320,3.345,3.35,3.34,3.345,2200
321,3.36,3.36,3.3442,3.3492,26537
322,3.36,3.36,3.3534,3.36,5300
323,3.36,3.36,3.35,3.36,14198
324,3.36,3.36,3.3501,3.36,31275
325,3.35,3.36,3.35,3.36,28248
326,3.36,3.36,3.35,3.355,17297
327,3.36,3.36,3.35,3.355,149929
432,3.35,3.35,3.35,3.35,3806
433,3.365,3.39,3.33,3.39,15787
434,3.34,3.365,3.33,3.36,31300
435,3.2912,3.345,3.29,3.3342,103692
436,3.305,3.32,3.3,3.3,20750
437,3.265,3.315,3.26,3.31,60950
438,3.27,3.28,3.26,3.2699,56369
439,3.3,3.3,3.275,3.275,23235
440,3.3,3.3,3.2924,3.3,5680
441,3.31,3.31,3.2924,3.3,12000
442,3.31,3.315,3.305,3.31,8639
443,3.3188,3.32,3.305,3.31,6850
444,3.32,3.32,3.315,3.315,2085
445,3.305,3.32,3.3,3.315,13562
446,3.3001,3.31,3.3,3.305,11650
447,3.305,3.31,3.3,3.305,3600
448,3.3201,3.33,3.305,3.305,25661
449,3.33,3.33,3.325,3.33,3885
450,3.33,3.33,3.32,3.325,3100
451,3.325,3.33,3.32,3.325,5705
452,3.34,3.34,3.32,3.32,11863
453,3.32,3.34,3.32,3.34,35198
454,3.335,3.335,3.32,3.325,13359
455,3.325,3.34,3.32,3.33,29886
456,3.32,3.32,3.31,3.32,10378
457,3.3293,3.3293,3.315,3.315,5200
458,3.325,3.33,3.32,3.325,5800
459,3.32,3.33,3.32,3.325,6900
460,3.32,3.325,3.31,3.32,10940
461,3.31,3.32,3.31,3.315,5640
462,3.315,3.32,3.31,3.3101,6600
463,3.32,3.33,3.32,3.32,7991
464,3.315,3.33,3.31,3.3208,16004
465,3.3101,3.315,3.31,3.31,3100
466,3.315,3.32,3.31,3.315,13225
467,3.34,3.34,3.315,3.32,16403
468,3.35,3.35,3.33,3.34,22038
469,3.35,3.35,3.3438,3.35,14550
470,3.34,3.35,3.34,3.345,52540
471,3.33,3.35,3.33,3.34,245514
864,3.33,3.33,3.33,3.33,12315
865,3.28,3.33,3.28,3.33,39856
866,3.3,3.31,3.276,3.276,50129
867,3.31,3.31,3.3,3.305,9336
868,3.3,3.31,3.29,3.3001,57816
869,3.3,3.3,3.27,3.3,26156
870,3.2992,3.305,3.29,3.305,9405
871,3.28,3.3,3.28,3.29,37982
872,3.28,3.29,3.28,3.28,12800
873,3.2701,3.285,3.27,3.28,21277
874,3.28,3.2891,3.27,3.28,30578
875,3.2745,3.28,3.27,3.27,10140
876,3.27,3.275,3.27,3.27,2000
877,3.275,3.28,3.27,3.275,2000
878,3.28,3.28,3.27,3.28,4800
879,3.28,3.28,3.27,3.28,13800
880,3.27,3.28,3.27,3.28,13908
881,3.285,3.29,3.26,3.2701,123925
882,3.285,3.29,3.28,3.2865,12005
883,3.295,3.31,3.285,3.285,41261
884,3.3,3.3,3.295,3.295,4500
885,3.3,3.3,3.29,3.3,9150
886,3.295,3.3,3.29,3.29,33354
887,3.3,3.3,3.29,3.29,9347
888,3.3,3.3,3.29,3.3,9805
889,3.3,3.3,3.291,3.3,13880
890,3.31,3.31,3.29,3.3,22062
891,3.31,3.33,3.31,3.31,36402
892,3.315,3.32,3.31,3.31,10842
