EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,26.51,26.51,26.51,26.51,221
1,26.91,26.93,26.14,26.14,3158
2,26.98,26.98,26.85,26.85,400
3,26.9103,27.08,26.91,26.98,1791
4,27.13,27.13,26.88,26.88,700
5,27.15,27.15,27.15,27.15,200
6,27.06,27.17,27.06,27.17,500
7,27.06,27.06,26.99,27.04,1000
8,27.02,27.11,27.02,27.11,600
9,27.04,27.09,27.04,27.08,600
10,27.21,27.22,27.08,27.08,2648
11,27.34,27.34,27.24,27.25,2521
12,27.17,27.325,27.17,27.325,603
13,27.07,27.1403,27.04,27.14,2196
14,27.095,27.11,27.07,27.07,11400
15,27.15,27.28,27.11,27.11,1300
17,27.29,27.29,27.29,27.29,200
18,27.45,27.45,27.34,27.34,500
19,27.4,27.42,27.38,27.42,600
20,27.49,27.49,27.45,27.45,1000
21,27.39,27.53,27.39,27.49,700
22,27.485,27.52,27.44,27.44,1500
23,27.4,27.51,27.39,27.51,2136
24,27.4,27.43,27.35,27.42,2311
25,27.4,27.41,27.37,27.38,1495
26,27.37,27.42,27.349,27.35,1400
27,27.38,27.4,27.35,27.37,1100
28,27.3101,27.41,27.3,27.41,2484
29,27.36,27.395,27.34,27.34,700
30,27.32,27.34,27.3,27.34,500
31,27.26,27.26,27.26,27.26,100
32,27.23,27.25,27.23,27.25,300
33,27.14,27.24,27.14,27.2,1187
34,27.15,27.23,27.12,27.15,1300
35,27.29,27.3,27.1,27.14,7300
36,27.17,27.31,27.17,27.31,2300
37,27.24,27.27,27.21,27.27,500
38,27.17,27.23,27.13,27.23,2600
39,27.18,27.22,27.16,27.21,8622
144,27.09,27.09,27.09,27.09,637
145,27.265,27.265,27.2058,27.2058,795
146,27.185,27.185,27.185,27.185,100
147,27.03,27.25,27.03,27.25,1324
148,27.26,27.27,27.03,27.03,1000
149,27.16,27.26,27.16,27.26,300
150,27.18,27.26,27.11,27.26,600
151,27.12,27.22,27.12,27.2,1100
152,27.23,27.24,27.23,27.24,300
153,27.55,27.55,27.31,27.31,900
154,27.37,27.49,27.37,27.49,1798
155,27.46,27.46,27.36,27.36,500
156,27.48,27.66,27.46,27.46,2800
157,27.55,27.55,27.46,27.49,1000
158,27.32,27.5,27.32,27.5,1021
159,27.32,27.32,27.24,27.32,820
160,27.27,27.33,27.27,27.3,600
161,27.3,27.3,27.28,27.28,300
162,27.36,27.36,27.29,27.29,200
163,27.28,27.31,27.28,27.31,500
164,27.33,27.48,27.29,27.29,5500
165,27.42,27.45,27.31,27.31,900
166,27.36,27.37,27.36,27.37,200
167,27.36,27.47,27.36,27.43,1600
168,27.31,27.34,27.31,27.34,400
169,27.38,27.38,27.34,27.35,800
170,27.31,27.46,27.31,27.37,1100
171,27.32,27.33,27.28,27.28,600
172,27.35,27.35,27.27,27.32,1601
173,27.44,27.44,27.31,27.31,400
174,27.49,27.49,27.36,27.37,1100
175,27.37,27.46,27.37,27.39,1700
176,27.48,27.48,27.4,27.4,400
177,27.4,27.52,27.355,27.44,1900
178,27.43,27.43,27.38,27.41,601
179,27.45,27.5,27.43,27.47,1500
180,27.43,27.5,27.38,27.5,2700
181,27.39,27.43,27.39,27.415,2400
182,27.3,27.37,27.24,27.37,4311
183,27.26,27.33,27.24,27.29,13280
288,27.29,27.29,27.29,27.29,364
292,27.3,27.3,27.3,27.3,100
294,27.19,27.19,27.19,27.19,100
295,27.2,27.2,27.16,27.16,300
296,27.17,27.23,27.15,27.23,400
297,26.945,27.17,26.945,27.12,600
299,26.97,26.99,26.97,26.99,300
300,26.985,27.02,26.985,27.02,300
302,26.82,26.83,26.82,26.83,200
303,26.75,26.79,26.75,26.79,200
304,26.82,26.87,26.77,26.77,400
305,26.78,26.85,26.78,26.85,500
306,26.86,26.86,26.86,26.86,100
308,26.79,26.85,26.79,26.82,1100
314,26.7,26.81,26.7,26.81,200
317,26.75,26.75,26.75,26.75,100
318,26.74,26.74,26.74,26.74,100
320,26.69,26.78,26.69,26.78,2100
321,26.7,26.75,26.7,26.705,700
322,26.67,26.71,26.67,26.71,700
323,26.74,26.74,26.68,26.71,300
324,26.75,26.77,26.71,26.745,800
325,26.821,26.821,26.78,26.79,300
326,26.8,26.87,26.8,26.87,300
327,26.85,26.93,26.81,26.818,9305
432,26.85,26.85,26.85,26.85,260
433,26.74,26.85,26.74,26.84,965
434,26.72,26.72,26.72,26.72,100
436,26.58,26.71,26.58,26.71,300
437,26.48,26.48,26.48,26.48,100
438,26.37,26.4919,26.37,26.4919,700
439,26.41,26.41,26.41,26.41,100
440,26.3,26.41,26.3,26.41,600
441,26.38,26.38,26.32,26.34,1500
442,26.225,26.34,26.225,26.33,1300
443,26.3,26.3,26.23,26.23,500
444,26.28,26.3,26.19,26.3,1800
445,26.19,26.29,26.19,26.29,200
446,26.24,26.24,26.2,26.2,300
447,26.24,26.24,26.24,26.24,100
448,26.3,26.3,26.265,26.29,1700
449,26.265,26.265,26.265,26.265,100
450,26.275,26.275,26.275,26.275,200
451,26.3,26.3,26.3,26.3,4476
452,26.3,26.3,26.3,26.3,500
453,26.285,26.285,26.285,26.285,200
455,26.285,26.285,26.27,26.27,200
456,26.28,26.28,26.28,26.28,100
457,26.3,26.3,26.25,26.25,2758
458,26.25,26.25,26.25,26.25,100
459,26.24,26.24,26.24,26.24,200
461,26.27,26.27,26.2699,26.2699,721
462,26.19,26.19,26.19,26.19,200
463,26.18,26.18,26.18,26.18,100
464,26.18,26.24,26.17,26.17,300
465,26.19,26.19,26.19,26.19,200
466,26.25,26.25,26.19,26.2,400
467,26.275,26.29,26.275,26.29,200
468,26.21,26.3,26.21,26.29,2003
469,26.21,26.22,26.19,26.2,800
470,26.2,26.26,26.2,26.26,500
471,26.13,26.25,26.09,26.2,12142
864,26.34,26.34,26.34,26.34,395
867,26.09,26.43,25.89,26.42,1666
868,26.02,26.03,26.02,26.03,200
869,25.89,25.98,25.79,25.98,1500
870,25.82,25.87,25.785,25.87,1100
871,26.02,26.02,25.83,25.83,300
872,26.05,26.12,26.035,26.035,300
873,26.06,26.11,26.06,26.11,300
874,25.9,26.02,25.89,26.02,600
875,25.945,25.945,25.94,25.94,200
876,25.99,26.01,25.94,25.94,500
877,25.94,25.94,25.94,25.94,200
878,26.01,26.05,26.01,26.04,700
879,26.07,26.13,26.07,26.07,500
880,26.1,26.1,26.03,26.06,300
881,25.98,26.04,25.98,26.04,300
883,25.92,26.05,25.92,26.05,300
884,25.87,25.881,25.87,25.881,395
885,25.86,25.86,25.86,25.86,200
887,25.96,25.96,25.9,25.9,300
888,25.92,26.01,25.92,26.01,300
889,26.07,26.07,25.97,25.97,300
890,26.1,26.16,25.99,26.08,1300
891,26.0375,26.1,26.02,26.1,800
892,26.06,26.06,26.03,26.05,1000
893,26.04,26.06,26.04,26.06,500
894,25.97,26.02,25.97,25.998,850
895,25.96,25.96,25.96,25.96,200
896,25.92,25.96,25.92,25.92,500
897,25.85,25.85,25.85,25.85,100
898,25.94,25.94,25.905,25.91,1000
899,25.91,25.94,25.91,25.92,300
900,25.98,25.98,25.9,25.92,800
901,25.85,25.935,25.85,25.93,2100
902,25.86,25.87,25.85,25.87,400
903,26.03,26.04,25.885,25.885,8989
a1493731800,26.04,26.04,26.04,26.04,400
1,26.15,26.6,26.15,26.6,200
2,26.09,26.24,25.94,26.24,500
3,26,26.11,26,26.05,2800
4,26.105,26.13,25.99,25.99,1400
5,25.99,26.13,25.97,26.105,1200
6,26.09,26.09,26.09,26.09,200
7,26.09,26.12,26.05,26.12,1649
8,26.1,26.1,26.05,26.1,1973
9,26.07,26.12,25.9701,26.12,1908
10,26.07,26.07,26.025,26.025,400
11,26,26.07,26,26.07,1853
12,26.01,26.04,26.01,26.04,500
13,25.99,26.03,25.985,26.03,2400
14,25.985,26.03,25.98,26,1200
15,26.02,26.02,25.96,26,2700
16,26.0403,26.06,25.95,26.03,15400
17,26.18,26.18,26.12,26.13,1000
18,26.07,26.13,26.07,26.13,600
19,26.12,26.13,26.08,26.08,900
