EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,120.23,120.23,120.23,120.23,12706
1,120.5,120.67,119.96,120.17,21977
2,120.47,120.69,120.42,120.53,14665
3,120.52,120.58,120.4,120.48,26031
4,120.48,120.6,120.3001,120.49,25309
5,120.35,120.55,120.29,120.51,15211
6,120.02,120.35,120.01,120.35,37890
7,119.82,120.05,119.82,120.05,33040
8,119.54,119.8399,119.42,119.83,52786
9,119.865,119.92,119.52,119.54,20266
10,119.59,119.9,119.56,119.84,26132
11,119.72,119.72,119.51,119.61,16104
12,119.79,119.83,119.66,119.76,43172
13,119.73,120.025,119.66,119.82,32794
14,119.82,119.83,119.695,119.735,37208
15,119.98,119.98,119.8,119.83,10920
16,119.8699,119.98,119.84,119.97,80814
17,119.88,119.94,119.775,119.85,10151
18,119.8895,119.92,119.86,119.92,9454
19,119.73,119.86,119.64,119.86,28730
20,119.74,119.82,119.69,119.72,34541
21,119.54,119.8,119.51,119.74,41511
22,119.57,119.6,119.5101,119.54,13407
23,119.5701,119.6,119.53,119.5701,10982
24,119.555,119.61,119.49,119.57,17397
25,119.54,119.58,119.51,119.57,15614
26,119.59,119.63,119.53,119.545,11446
27,119.5601,119.5957,119.53,119.58,13977
28,119.62,119.64,119.49,119.57,35918
29,119.6,119.65,119.56,119.625,14789
30,119.6158,119.67,119.57,119.5701,43098
31,119.68,119.69,119.6,119.61,25507
32,119.71,119.78,119.66,119.6701,13742
33,119.5803,119.63,119.57,119.63,41434
34,119.67,119.7,119.57,119.5907,26139
35,119.63,119.67,119.55,119.645,12942
36,119.66,119.67,119.615,119.63,14470
37,119.75,119.87,119.67,119.67,51595
38,119.89,120.01,119.73,119.75,48872
39,119.93,119.97,119.7,119.89,187678
144,120.2,120.2,120,120,8928
145,119.5,120.16,119.48,120.16,12193
146,119.72,119.7599,119.56,119.59,13889
147,119.48,119.77,119.42,119.75,18160
148,119.42,119.47,119.29,119.44,26863
149,119.51,119.64,119.39,119.4,23569
150,119.55,119.59,119.48,119.56,16053
151,119.47,119.55,119.4,119.54,64863
152,119.46,119.5,119.35,119.48,29538
153,119.6,119.69,119.48,119.48,10800
154,119.575,119.59,119.5,119.58,9856
155,119.85,119.85,119.57,119.57,14208
156,120.07,120.25,119.83,119.85,17604
157,120.17,120.21,119.94,120.08,17171
158,119.86,120.2,119.86,120.1688,18832
159,120.11,120.11,119.84,119.84,6045
160,120.07,120.1,119.95,120.05,8948
161,120.305,120.37,120.09,120.09,14364
162,120.2,120.32,120.2,120.315,23376
163,120.22,120.32,120.16,120.2,11591
164,120.2411,120.34,120.18,120.2399,9373
165,120.41,120.48,120.26,120.26,12738
166,120.59,120.596,120.42,120.4307,16363
167,120.66,120.661,120.58,120.6,11037
168,120.47,120.73,120.47,120.68,9308
169,120.46,120.49,120.33,120.48,10542
170,120.285,120.51,120.27,120.46,23765
171,120.12,120.44,120.12,120.305,11194
172,120.08,120.17,120,120.17,15644
173,120.22,120.35,120.08,120.11,19379
174,120.255,120.33,120.19,120.3,19808
175,120.23,120.39,120.22,120.31,11227
176,120.2836,120.3499,120.21,120.24,10886
177,120.14,120.33,120.12,120.2793,20221
178,120.3,120.34,120.135,120.15,19883
179,120.28,120.34,120.21,120.29,18021
180,120.39,120.42,120.28,120.29,32221
181,120.02,120.5,120.02,120.39,59415
182,120.13,120.23,120.01,120.01,69717
183,120.04,120.29,119.92,120.13,267435
288,118,118.25,118,118.25,16973
289,116.4,118.25,115.86,118.21,141175
290,115.95,116.55,115.94,116.385,222517
291,115.43,116.01,115,115.96,263035
292,115.295,115.59,115.1507,115.4,99561
293,115.7305,115.86,115.28,115.295,101374
294,115.54,115.789,115.53,115.74,79867
295,115.72,115.78,115.44,115.52,52250
296,115.24,115.72,115.225,115.7,57312
297,115.24,115.41,114.99,115.25,118659
298,115.9,115.91,115.165,115.24,70289
299,115.49,115.98,115.39,115.86,66791
300,115.34,115.71,115.31,115.52,75108
301,115.44,115.49,115.0118,115.33,92377
302,115.35,115.53,115.31,115.39,41355
303,115.26,115.37,115.02,115.35,106973
304,115.06,115.29,114.94,115.26,247181
305,114.95,115.08,114.8746,115.08,33344
306,114.84,115,114.8176,114.92,45809
307,115.05,115.33,114.84,114.84,33571
308,114.91,115.15,114.9,115.04,80861
309,115.06,115.1599,114.91,114.92,43333
310,115.1,115.13,114.97,115.08,126214
311,115.04,115.1,115,115.08,27265
312,115.045,115.15,114.95,115.05,46650
313,114.92,115.13,114.9,115.04,97012
314,114.95,115.06,114.9,114.92,42300
315,115.06,115.125,114.95,114.95,34678
316,114.98,115.07,114.944,115.035,51430
317,115.02,115.08,114.96,114.9674,45345
318,115.07,115.12,114.97,115,39517
319,115.04,115.1,115.02,115.06,63785
320,115.01,115.08,114.98,115.035,106531
321,115.16,115.25,114.93,115,69895
322,115.06,115.16,114.95,115.16,112104
323,115.25,115.26,115.04,115.075,53441
324,115.4,115.48,115.21,115.25,95834
325,115.285,115.42,115.27,115.42,111749
326,115.04,115.29,115.03,115.285,95555
327,115.12,115.31,114.99,115.04,505165
432,115.29,115.29,115.29,115.29,15218
433,115.44,115.46,115.19,115.29,29557
434,115.75,115.75,115.1144,115.4212,46665
435,116.0901,116.12,115.7104,115.72,84176
436,115.85,116.08,115.78,116.08,34477
437,116.04,116.21,115.9,115.91,46608
438,116.08,116.1,115.73,116.03,45152
439,116,116.1,115.82,116.09,28836
440,115.99,116.15,115.97,116,79931
441,115.95,116.08,115.82,115.94,18558
442,116.1294,116.24,115.92,115.92,32762
443,116.16,116.18,115.98,116.09,25012
444,116.15,116.26,115.94,116.13,23284
445,116.09,116.205,116.01,116.13,32167
446,115.84,116.07,115.78,116.07,32653
447,115.8,115.94,115.69,115.82,19629
448,115.77,115.86,115.72,115.84,14227
449,115.94,115.95,115.73,115.7833,19574
450,115.99,116.06,115.87,115.93,33466
451,115.97,116.08,115.97,115.985,17042
452,116.03,116.15,115.97,115.98,21389
453,116.24,116.24,115.995,116.07,25577
454,116.06,116.26,116.06,116.22,20651
455,116.08,116.2,116.02,116.05,26634
456,116.1347,116.22,116.07,116.07,15704
457,116.04,116.14,115.99,116.14,19286
458,116.01,116.1,115.99,116.055,18803
459,116.04,116.055,115.96,116.04,33852
460,116.01,116.14,115.9797,116,38459
461,116.15,116.15,115.99,116.01,35414
462,116.24,116.25,116.12,116.16,20055
463,116.18,116.25,116.08,116.23,23342
464,116.06,116.22,116.035,116.18,16204
465,116.02,116.09,115.9836,116.06,24229
466,116.05,116.1,115.99,116.02,28867
467,116.22,116.34,116.05,116.08,47612
468,116.125,116.22,116.12,116.2,28783
469,116.06,116.3,116.06,116.11,41868
470,116.07,116.1,115.97,116.075,60627
471,116.19,116.29,116.08,116.08,356554
864,116.55,116.55,116.55,116.55,7796
865,116.325,116.59,116.13,116.59,9865
866,116.29,116.38,116.21,116.37,20459
867,116.25,116.425,116.22,116.29,14939
868,116.25,116.36,116.23,116.23,14729
869,116.45,116.56,116.215,116.25,14698
870,116.46,116.51,116.35,116.42,8502
871,116.53,116.61,116.47,116.47,7694
872,116.6,116.64,116.47,116.53,10026
873,116.62,116.66,116.5,116.62,13009
874,116.645,116.72,116.61,116.64,6525
875,116.66,116.7,116.59,116.65,7862
876,116.695,116.91,116.605,116.61,21263
877,116.71,116.7289,116.61,116.7,8272
878,116.6749,116.735,116.62,116.71,11504
879,116.57,116.74,116.54,116.6532,15388
880,116.76,116.77,116.57,116.59,29785
881,116.71,116.84,116.66,116.78,23220
882,116.7573,116.78,116.66,116.71,18122
883,116.75,116.79,116.74,116.7542,25819
884,116.78,116.81,116.74,116.755,20567
885,116.7,116.81,116.465,116.79,62715
886,116.6,116.67,116.55,116.65,20463
887,116.66,116.71,116.595,116.61,12913
888,116.78,116.79,116.645,116.65,23255
889,116.79,116.83,116.75,116.76,14947
890,116.83,116.86,116.78,116.79,13118
891,116.78,116.865,116.71,116.8075,16135
892,116.85,116.93,116.785,116.785,30714
893,116.88,116.96,116.85,116.86,16725
