EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,0.69,0.69,0.69,0.69,500
1,0.72,0.72,0.72,0.72,3000
2,0.7014,0.7014,0.7014,0.7014,3000
10,0.71,0.71,0.71,0.71,700
15,0.71,0.71,0.68,0.6907,10705
27,0.71,0.71,0.71,0.71,100
29,0.71,0.71,0.6901,0.6914,7900
37,0.71,0.71,0.7099,0.71,700
39,0.71,0.71,0.7,0.71,3701
144,0.68,0.68,0.68,0.68,5918
145,0.72,0.72,0.72,0.72,8400
150,0.701,0.72,0.701,0.72,1320
152,0.72,0.72,0.72,0.72,500
154,0.72,0.72,0.72,0.72,100
157,0.7097,0.7097,0.7097,0.7097,200
161,0.7097,0.71,0.7001,0.7001,895
162,0.7045,0.7049,0.7045,0.7049,1000
165,0.71,0.71,0.7,0.7019,8058
167,0.7061,0.7061,0.7061,0.7061,100
171,0.705,0.71,0.705,0.7061,3600
172,0.71,0.71,0.705,0.71,300
173,0.71,0.71,0.71,0.71,100
176,0.71,0.71,0.7051,0.7051,800
182,0.7051,0.7051,0.7051,0.7051,620
183,0.72,0.72,0.705,0.71,9500
289,0.72,0.72,0.71,0.71,1900
290,0.72,0.72,0.72,0.72,1500
291,0.72,0.72,0.7,0.7,7699
292,0.72,0.72,0.705,0.719,700
298,0.72,0.72,0.7101,0.72,2600
301,0.7102,0.7102,0.7102,0.7102,430
302,0.72,0.72,0.72,0.72,200
304,0.72,0.72,0.72,0.72,200
309,0.72,0.72,0.7101,0.7101,1700
310,0.72,0.72,0.7101,0.72,3300
312,0.72,0.72,0.72,0.72,100
321,0.72,0.72,0.72,0.72,100
323,0.72,0.72,0.72,0.72,500
326,0.72,0.72,0.72,0.72,200
327,0.72,0.72,0.7125,0.7125,1900
432,0.72,0.72,0.72,0.72,1510
433,0.72,0.72,0.72,0.72,1200
434,0.71,0.72,0.71,0.72,579
435,0.715,0.715,0.71,0.71,6200
436,0.715,0.715,0.715,0.715,670
438,0.715,0.715,0.715,0.715,300
439,0.71,0.715,0.71,0.715,1700
441,0.71,0.71,0.71,0.71,200
442,0.71,0.71,0.71,0.71,300
443,0.71,0.71,0.71,0.71,1300
445,0.71,0.71,0.71,0.71,300
446,0.71,0.71,0.71,0.71,1300
448,0.7009,0.71,0.7,0.71,1400
449,0.705,0.705,0.7001,0.7001,1000
450,0.705,0.705,0.705,0.705,1200
451,0.705,0.705,0.705,0.705,200
452,0.715,0.715,0.715,0.715,300
453,0.715,0.715,0.715,0.715,100
454,0.715,0.715,0.715,0.715,300
455,0.72,0.72,0.72,0.72,100
456,0.72,0.72,0.72,0.72,100
457,0.72,0.72,0.72,0.72,300
458,0.72,0.72,0.72,0.72,300
460,0.72,0.72,0.72,0.72,300
461,0.72,0.72,0.72,0.72,300
463,0.72,0.72,0.72,0.72,400
464,0.72,0.72,0.72,0.72,300
466,0.72,0.72,0.72,0.72,300
467,0.72,0.72,0.7125,0.7125,300
469,0.72,0.72,0.72,0.72,300
471,0.72,0.72,0.72,0.72,1393
864,0.7099,0.7099,0.7099,0.7099,141
865,0.72,0.72,0.72,0.72,300
866,0.72,0.72,0.695,0.6979,400
867,0.71,0.71,0.71,0.71,300
868,0.72,0.72,0.71,0.71,300
869,0.72,0.72,0.72,0.72,300
871,0.72,0.72,0.72,0.72,300
872,0.72,0.72,0.72,0.72,300
874,0.72,0.72,0.72,0.72,300
876,0.72,0.72,0.72,0.72,300
877,0.72,0.72,0.72,0.72,300
878,0.72,0.72,0.72,0.72,300
879,0.7003,0.7003,0.7003,0.7003,500
880,0.72,0.72,0.72,0.72,300
881,0.71,0.71,0.705,0.7051,1300
883,0.71,0.71,0.71,0.71,200
884,0.71,0.71,0.7069,0.7069,300
885,0.72,0.72,0.705,0.71,5300
886,0.72,0.72,0.72,0.72,200
888,0.72,0.72,0.72,0.72,200
889,0.72,0.72,0.7,0.72,400
891,0.72,0.72,0.72,0.72,200
892,0.72,0.72,0.72,0.72,200
894,0.72,0.72,0.72,0.72,200
895,0.72,0.72,0.72,0.72,300
897,0.72,0.72,0.72,0.72,200
898,0.72,0.72,0.72,0.72,200
899,0.7125,0.7125,0.7125,0.7125,100
900,0.72,0.72,0.72,0.72,200
901,0.72,0.72,0.72,0.72,200
902,0.72,0.72,0.72,0.72,100
903,0.72,0.72,0.72,0.72,792
a1493731800,0.7,0.7,0.7,0.7,125
1,0.72,0.72,0.72,0.72,300
3,0.72,0.72,0.719,0.719,200
4,0.72,0.72,0.72,0.72,200
6,0.72,0.72,0.72,0.72,200
7,0.719,0.719,0.719,0.719,100
9,0.72,0.72,0.72,0.72,200
10,0.719,0.719,0.719,0.719,200
11,0.715,0.715,0.715,0.715,300
12,0.715,0.715,0.7011,0.7011,1300
13,0.714,0.714,0.7075,0.7075,200
14,0.715,0.715,0.715,0.715,200
16,0.719,0.719,0.719,0.719,200
17,0.719,0.719,0.7,0.7,1400
19,0.719,0.719,0.719,0.719,200
20,0.719,0.719,0.719,0.719,200
22,0.72,0.72,0.719,0.719,200
23,0.72,0.72,0.7074,0.7074,1300
25,0.72,0.72,0.72,0.72,200
26,0.72,0.72,0.72,0.72,200
28,0.71,0.72,0.71,0.72,300
29,0.71,0.71,0.71,0.71,200
31,0.71,0.71,0.705,0.7099,2700
33,0.71,0.71,0.71,0.71,200
34,0.71,0.71,0.71,0.71,200
36,0.7,0.71,0.7,0.71,650
37,0.71,0.71,0.71,0.71,400
39,0.72,0.72,0.71,0.71,1293
144,0.7,0.7,0.7,0.7,1503
145,0.71,0.71,0.7,0.7,1300
147,0.71,0.71,0.71,0.71,200
148,0.71,0.71,0.71,0.71,400
150,0.71,0.71,0.71,0.71,400
151,0.71,0.71,0.71,0.71,200
152,0.7005,0.7005,0.7005,0.7005,1230
153,0.71,0.71,0.7,0.705,1600
154,0.71,0.71,0.71,0.71,200
156,0.71,0.71,0.71,0.71,200
157,0.71,0.71,0.7,0.7,2225
159,0.71,0.71,0.71,0.71,200
160,0.71,0.71,0.71,0.71,2000
162,0.71,0.71,0.71,0.71,200
163,0.71,0.71,0.71,0.71,200
165,0.71,0.71,0.71,0.71,200
166,0.71,0.71,0.71,0.71,600
168,0.71,0.71,0.7,0.7,3700
169,0.72,0.72,0.72,0.72,109
170,0.71,0.72,0.7,0.72,7800
171,0.71,0.71,0.71,0.71,200
172,0.71,0.71,0.71,0.71,200
173,0.71,0.71,0.71,0.71,100
174,0.71,0.71,0.71,0.71,200
175,0.71,0.71,0.71,0.71,200
177,0.71,0.71,0.71,0.71,200
178,0.71,0.71,0.71,0.71,200
179,0.71,0.71,0.71,0.71,300
180,0.71,0.71,0.71,0.71,200
181,0.71,0.71,0.71,0.71,200
182,0.72,0.72,0.71,0.71,11400
183,0.72,0.72,0.7134,0.72,5803
288,0.7,0.7,0.7,0.7,1700
289,0.7,0.7,0.7,0.7,30476
290,0.6995,0.7,0.6995,0.7,1000
291,0.7,0.7,0.6995,0.6995,5700
292,0.7,0.7,0.7,0.7,200
294,0.7,0.7,0.7,0.7,200
295,0.72,0.72,0.6989,0.7,2127
297,0.72,0.72,0.72,0.72,198
298,0.72,0.72,0.719,0.719,200
300,0.719,0.719,0.719,0.719,200
301,0.719,0.719,0.719,0.719,300
302,0.719,0.719,0.719,0.719,100
303,0.719,0.719,0.719,0.719,100
304,0.715,0.715,0.715,0.715,100
306,0.715,0.715,0.715,0.715,100
307,0.719,0.719,0.7148,0.7148,1283
309,0.7053,0.713,0.705,0.71,1442
310,0.712,0.712,0.712,0.712,100
312,0.719,0.719,0.719,0.719,100
313,0.719,0.719,0.719,0.719,100
314,0.7072,0.7072,0.7072,0.7072,440
315,0.719,0.719,0.719,0.719,100
316,0.719,0.719,0.7,0.705,2100
317,0.705,0.7051,0.705,0.7051,5231
318,0.718,0.718,0.718,0.718,100
319,0.718,0.718,0.705,0.7179,700
320,0.7179,0.7179,0.7179,0.7179,1000
321,0.718,0.718,0.7,0.718,7373
322,0.705,0.718,0.705,0.718,3325
323,0.718,0.718,0.718,0.718,100
