EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,214.15,214.15,214.15,214.15,3714
1,214.06,214.61,212.81,213.01,4940
2,212.63,213.75,212.18,213.61,3963
3,211.2,212.73,210.82,212.62,6000
4,212.315,212.315,210.9,211.69,5666
5,212.04,212.57,211.74,212.408,2315
6,212.7303,212.86,211.89,211.89,1470
7,212.73,212.775,212.11,212.6,3600
8,213.025,213.26,212.75,212.75,2466
9,213.21,213.31,213,213.18,4929
10,212.96,213.6,212.92,213.1076,4278
11,213.58,213.58,212.591,212.8923,2825
12,213.94,214,213.53,213.84,3100
13,213.54,213.82,213.26,213.71,4450
14,213.77,213.77,213.26,213.5577,1900
15,213.76,213.76,213.4947,213.4947,1100
16,213.8703,214.2,213.6,213.6,3200
17,214.042,214.3202,213.8308,213.8308,7291
18,213.7836,214.09,213.56,213.995,4565
19,213.4102,213.63,213.25,213.63,2390
20,213.2368,213.72,213.14,213.47,5097
21,213.51,213.73,213.24,213.34,6164
22,213.64,213.71,213.27,213.41,5922
23,213.55,213.83,213.4,213.77,3399
24,213.2,213.53,213.2,213.49,1400
25,212.665,212.89,212.665,212.79,900
26,212.68,213.065,212.66,212.68,2100
27,213.14,213.14,212.79,212.831,3527
28,213.07,213.07,212.9703,213.0096,950
29,213.53,213.53,212.955,212.9735,2500
30,213.4913,213.77,213.33,213.49,1500
31,213.26,213.33,212.895,213.33,1579
32,212.89,212.97,212.89,212.97,500
33,213.12,213.12,212.71,212.86,3456
34,213.19,213.19,212.81,213.04,1100
35,213.24,213.24,213.04,213.22,710
36,212.9,213.2,212.9,213.1,1717
37,212.57,213.0892,212.57,212.89,1950
38,212.88,213.2,212.84,212.84,4048
39,212.38,212.87,212.24,212.87,13228
144,211.97,211.97,211.97,211.97,1839
145,210.74,212.2,210.74,211.24,5425
146,210.9453,211.48,210.65,211.065,6571
147,210.44,210.97,210.32,210.75,3975
148,210.41,210.67,210,210.32,4170
149,208.47,210.41,208.4665,210.41,6711
150,209.76,209.76,208.73,208.84,14878
151,208.94,209.44,208.94,209.44,1000
152,209.1,209.35,209.07,209.07,1051
153,210.1,210.1,209.3,209.63,1932
154,209.76,210.13,209.541,209.541,2258
155,210,210.13,209.54,209.54,1406
156,210.64,210.98,210.02,210.13,6980
157,210.895,210.98,210.6,210.8278,1400
158,210.09,211.05,209.77,211.05,3617
159,210.12,210.44,210.1,210.1,2199
160,210.43,210.44,210.0209,210.23,1750
161,211.1199,211.1199,210.18,210.47,1000
162,211.36,211.36,211.079,211.09,3014
163,211.55,211.63,211.25,211.25,3171
164,212.29,212.29,211.4976,211.4976,3120
165,212.7296,212.7296,212.32,212.32,1807
166,212.59,212.82,212.505,212.505,1300
167,212.35,212.825,212.35,212.59,2650
168,212.69,212.69,212.4928,212.4928,1275
169,211.94,212.33,211.53,212.33,1200
170,212.32,212.32,212.32,212.32,200
171,211.15,211.76,211.15,211.76,1300
172,211.2747,211.28,210.88,211.22,1740
173,211.5922,211.5922,210.97,211.5,800
174,211.9826,212.41,211.77,211.77,600
175,212.81,212.89,212.2231,212.36,2006
176,212.77,212.82,212.33,212.33,829
177,212.52,213,212.52,212.653,4300
178,212.75,212.85,212.47,212.47,600
179,212.3,212.9148,212.3,212.7815,2528
180,212.2322,212.35,212.16,212.31,2240
181,212.3,212.52,212.17,212.42,2754
182,211.81,212.39,211.8,212.22,2213
183,211.46,211.88,211.2701,211.75,19072
288,211.99,211.99,211.99,211.99,1390
289,211.99,213.7182,211.94,211.99,1351
290,213.045,213.06,211.96,212.4374,1450
291,211.91,213.005,211.8,212.62,2916
292,212.74,212.74,212.02,212.46,1700
293,213.4348,213.4348,212.53,212.53,1700
294,213.515,213.86,213.515,213.67,400
295,213.58,213.7187,213.09,213.31,3556
296,213.66,214,213.43,213.6287,3687
297,213.49,213.7,213.3674,213.7,2170
298,214.01,214.15,213.495,213.495,3355
299,213.93,214.18,213.93,214.11,1398
300,214,214.12,214,214.1,500
301,213.2,214.22,213.2,214.07,1074
302,213.3839,213.608,213.18,213.18,1800
303,214.03,214.03,213.2825,213.34,900
304,214.13,214.14,213.8,213.8,829
305,214.195,214.42,214.06,214.28,1300
306,214.25,214.25,214.0449,214.2203,1200
307,214.28,214.59,214.28,214.41,400
308,215.17,215.17,214.595,214.595,3099
309,215,215.0902,214.75,214.87,2595
310,215.01,215.07,214.933,215.07,1200
311,214.59,215,214.33,214.88,1935
312,214.5858,214.8322,214.5858,214.73,804
313,214.62,214.65,214.47,214.54,1646
314,214.6,214.635,214.47,214.53,1263
315,214.8,214.8,214.52,214.79,1869
316,214.6768,214.6768,214.6768,214.6768,1450
317,215.0173,215.0173,214.47,214.585,2508
318,214.99,215.1,214.68,214.98,2160
319,215.2861,215.46,215.2727,215.33,1540
320,215.12,215.12,215.12,215.12,100
321,215.33,215.54,215.21,215.27,3349
322,215.26,215.4197,215.215,215.31,601
323,215.22,215.5,215.08,215.42,2575
324,215.5,215.5,215.255,215.31,1000
325,215.44,215.525,215.13,215.45,4955
326,215.48,215.8497,215.22,215.53,919
327,215.54,215.64,215.24,215.4,23512
432,215.93,215.93,215.93,215.93,852
433,213.6973,215.93,213.54,215.93,1590
434,215.65,215.889,213.47,214.1,1704
435,217.14,217.14,215.93,215.99,2999
436,216.61,217.16,216.27,217.03,4700
437,215.13,216.81,215.13,216.81,2576
438,215.94,216.32,215.26,215.99,5533
439,215.98,216.52,215.51,216.51,2547
440,216.155,216.75,215.795,215.795,2310
441,216.13,216.54,216,216.1,5012
442,216.43,216.5,216.24,216.49,1700
443,216.53,216.54,215.96,216.2064,3289
444,216.42,216.85,216.42,216.56,2822
445,216.72,216.72,216.02,216.545,5604
446,216.77,217.24,216.77,217.03,1357
447,216.73,217.26,216.64,217.26,1400
448,216.64,217.07,216.62,217.07,1453
449,217.52,217.52,216.5,216.7123,8432
450,217.26,217.26,216.91,217.1556,3406
451,216.75,217.0735,216.75,217.0735,3405
452,216.9804,216.9804,216.35,216.52,6356
453,217.37,217.42,216.62,216.62,1625
454,217.44,217.45,217.08,217.08,2641
455,217.45,217.86,217.45,217.45,2200
456,217.635,217.74,217.32,217.43,1200
457,217.69,217.85,217.52,217.72,3000
458,217.6125,217.84,217.5,217.69,1680
459,217.26,217.67,217.26,217.51,4693
460,216.95,217.2621,216.7377,217.2621,1687
461,216.945,217.13,216.63,216.9713,2400
462,217.32,217.33,217,217.13,2818
463,217.45,217.74,217.33,217.33,2739
464,217.32,217.68,217.32,217.66,2116
465,217.42,217.42,217.07,217.07,1600
466,217.53,217.6,217.335,217.55,700
467,217.285,217.52,217.2,217.35,2002
468,217.11,217.32,216.84,217.15,4665
469,216.85,217.04,216.63,216.98,1700
470,216.34,216.69,216.21,216.529,3100
471,215.6,216.65,215.48,216.65,39950
864,216.37,216.37,216.37,216.37,1202
865,216.9928,217.1237,215.56,217.1237,2881
866,216.477,216.7,216.19,216.7,793
867,215.35,216.472,215.05,215.82,1750
868,214.5,215.537,214.5,215.537,3808
869,214.44,214.655,213.6001,214.38,4546
870,214.93,215.02,214.435,214.639,3720
871,215.93,215.93,215.13,215.13,800
872,216.13,216.1694,215.74,215.75,4800
873,215.99,216.29,215.99,216.14,1038
874,216.65,216.65,216.19,216.19,600
875,216.44,216.885,216.44,216.799,1102
876,216,216.69,216,216.6,1970
877,216.25,216.44,215.965,215.9983,1300
878,217.03,217.22,216.435,216.6199,1750
879,217.2855,217.2855,217.04,217.06,560
880,217.4615,217.4615,217.4615,217.4615,100
881,216.7,216.89,216.7,216.89,500
882,216.725,216.8572,216.58,216.8572,700
883,217.08,217.12,216.64,216.82,2663
884,217.2685,217.4,217.035,217.035,1100
885,216.74,217.01,216.56,217.01,1200
886,216.71,216.71,216.64,216.64,200
887,216.695,217.175,216.36,216.5,1967
888,216.9,217.4,216.9,217.3694,400
889,217.65,217.66,217.3,217.3052,953
890,217.69,217.94,217.49,217.49,2000
891,218.4,218.46,217.97,217.97,1471
892,217.7,218.5159,217.7,218.215,1300
