EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,40.58,40.58,40.58,40.58,1782
1,40.64,40.74,40.55,40.59,5255
2,40.77,40.8,40.555,40.63,4925
3,40.69,40.72,40.6,40.71,1400
4,40.77,40.84,40.63,40.65,2665
5,40.59,40.78,40.56,40.77,2400
6,40.58,40.64,40.53,40.57,12135
7,40.44,40.565,40.44,40.55,5308
8,40.41,40.44,40.38,40.44,1392
9,40.44,40.45,40.35,40.35,3200
10,40.61,40.61,40.405,40.405,9577
11,40.67,40.67,40.5,40.6,2600
12,40.55,40.63,40.53,40.63,2300
13,40.545,40.55,40.5,40.53,3100
14,40.53,40.53,40.5,40.5,1000
15,40.4805,40.5,40.45,40.5,1844
16,40.46,40.4998,40.46,40.49,893
17,40.5,40.5,40.45,40.45,3200
18,40.51,40.53,40.51,40.53,1000
19,40.46,40.49,40.43,40.49,3500
20,40.48,40.48,40.43,40.45,1900
21,40.37,40.48,40.37,40.46,13684
22,40.34,40.38,40.33,40.33,2900
23,40.44,40.44,40.3525,40.3525,2600
24,40.45,40.49,40.44,40.44,3000
25,40.43,40.46,40.42,40.46,3205
26,40.49,40.49,40.44,40.45,1200
27,40.47,40.48,40.44,40.48,1597
28,40.55,40.55,40.44,40.44,2091
29,40.5122,40.57,40.46,40.57,2000
30,40.53,40.53,40.46,40.53,2060
31,40.61,40.61,40.52,40.52,2100
32,40.56,40.63,40.56,40.57,2200
33,40.49,40.559,40.48,40.559,1323
34,40.59,40.61,40.48,40.48,4437
35,40.48,40.58,40.45,40.58,2499
36,40.3764,40.49,40.35,40.47,9326
37,40.38,40.39,40.34,40.37,5791
38,40.34,40.4,40.31,40.37,11026
39,40.26,40.34,40.22,40.32,35598
144,40.24,40.24,40.24,40.24,1067
145,40.32,40.38,40.23,40.29,1200
146,40.55,40.55,40.28,40.28,1800
147,40.2601,40.51,40.2601,40.4401,2884
148,40.28,40.39,40.24,40.29,2670
149,40.37,40.4,40.2225,40.23,2900
150,40.37,40.37,40.26,40.37,2400
151,40.35,40.42,40.35,40.39,1100
152,40.345,40.41,40.29,40.32,1800
153,40.55,40.61,40.35,40.38,4650
154,40.6,40.64,40.54,40.57,1794
155,40.6,40.69,40.59,40.62,3700
156,40.75,40.92,40.63,40.66,5382
157,40.79,40.87,40.72,40.74,4129
158,40.64,40.76,40.59,40.75,3937
159,40.69,40.69,40.6275,40.64,1935
160,40.69,40.76,40.64,40.73,4400
161,40.7988,40.86,40.68,40.69,3800
162,40.7,40.82,40.7,40.8,2800
163,40.7,40.74,40.68,40.71,3100
164,40.82,40.87,40.69,40.74,2101
165,40.92,40.94,40.84,40.84,3551
166,40.94,40.99,40.85,40.89,1900
167,41,41,40.92,40.95,3674
168,40.96,41.015,40.93,40.98,2158
169,40.9875,41.01,40.87,40.91,2900
170,40.9009,40.99,40.8335,40.97,5347
171,40.881,41.01,40.86,40.9,5956
172,40.91,40.91,40.83,40.88,14140
173,40.84,40.96,40.84,40.93,4505
174,40.98,40.98,40.79,40.835,4149
175,40.99,41.02,40.9,40.91,2300
176,41,41.15,40.94,40.98,8788
177,41.0115,41.06,40.98,41.03,1662
178,41.08,41.09,40.93,40.93,4108
179,41.04,41.13,40.99,41.09,11138
180,41.09,41.09,40.961,41.04,4963
181,40.9,41.12,40.9,41.12,6422
182,40.7,40.92,40.69,40.86,11735
183,40.67,40.74,40.58,40.69,59465
288,39.5,39.5,39.5,39.5,3269
289,40.29,40.72,40.21,40.72,4290
290,40.66,40.66,40.2,40.275,6800
291,40.44,40.6001,40.28,40.6001,4415
292,40.45,40.54,40.4,40.4384,9011
293,40.68,40.7,40.44,40.45,5700
294,40.45,40.7,40.44,40.69,3822
295,40.52,40.56,40.48,40.49,4034
296,40.395,40.5,40.36,40.46,14259
297,40.3,40.419,40.17,40.419,5651
298,40.24,40.4,40.23,40.32,3998
299,40.425,40.425,40.265,40.28,2000
300,40.4,40.43,40.39,40.41,2612
301,40.34,40.394,40.33,40.33,2755
302,40.195,40.39,40.195,40.39,2750
303,40.18,40.2,40.05,40.18,3457
304,40.3,40.3175,40.21,40.21,2100
305,40.4,40.455,40.35,40.35,6569
306,40.28,40.45,40.255,40.44,2933
307,40.355,40.4,40.31,40.31,2777
308,40.43,40.46,40.3799,40.3799,4052
309,40.5,40.5,40.42,40.42,6297
310,40.4425,40.5,40.4425,40.48,2286
311,40.4799,40.5,40.43,40.4478,3171
312,40.49,40.5,40.45,40.5,1200
313,40.41,40.46,40.41,40.45,800
314,40.34,40.41,40.3,40.41,3676
315,40.265,40.36,40.246,40.35,1211
316,40.2,40.28,40.18,40.28,2050
317,40.29,40.3,40.18,40.21,1500
318,40.36,40.365,40.31,40.31,1400
319,40.47,40.5,40.4,40.4,7191
320,40.4079,40.47,40.4,40.47,2022
321,40.3715,40.39,40.36,40.38,1014
322,40.39,40.39,40.31,40.36,11011
323,40.4136,40.47,40.36,40.38,4492
324,40.255,40.4,40.24,40.38,8861
325,40.19,40.3346,40.165,40.29,7771
326,40.23,40.317,40.21,40.21,5538
327,40.22,40.32,40.17,40.2,67477
432,40.62,40.62,40.62,40.62,2498
433,40.26,40.48,40.04,40.13,4239
434,40.56,40.56,40.18,40.25,4205
435,40.59,40.67,40.49,40.58,3442
436,40.54,40.64,40.44,40.59,2657
437,40.27,40.55,40.27,40.55,2458
438,40.27,40.3,40.2,40.26,2958
439,40.23,40.24,40.03,40.21,2400
440,40.19,40.24,40.09,40.24,3850
441,40.1,40.17,40.09,40.17,2721
442,40.0101,40.21,40.01,40.16,2278
443,40.06,40.06,39.87,40.04,3665
444,40.05,40.1,39.9301,40.03,2000
445,40,40.035,39.96,40.02,2100
446,39.82,40.0499,39.78,39.99,10919
447,39.84,39.9,39.76,39.84,11993
448,39.92,40.03,39.86,39.88,21026
449,39.78,39.92,39.71,39.92,2321
450,39.82,39.89,39.82,39.89,1500
451,39.665,39.88,39.65,39.84,7300
452,39.71,39.76,39.63,39.66,5430
453,39.75,39.78,39.65,39.76,7698
454,39.75,39.89,39.65,39.75,16319
455,39.76,39.79,39.7,39.77,3117
456,39.77,39.8,39.73,39.78,5200
457,39.73,39.79,39.72,39.77,2800
458,39.69,39.79,39.6501,39.77,3010
459,39.7,39.74,39.69,39.69,1500
460,39.63,39.74,39.6,39.69,5013
461,39.54,39.62,39.52,39.62,3200
462,39.54,39.61,39.54,39.57,2851
463,39.53,39.58,39.5,39.5599,4181
464,39.51,39.57,39.47,39.56,5033
465,39.49,39.54,39.43,39.52,3613
466,39.63,39.68,39.45,39.47,8338
467,39.7,39.75,39.64,39.64,7232
468,39.6,39.69,39.59,39.69,5200
469,39.6,39.6,39.55,39.59,6858
470,39.59,39.59,39.51,39.58,8804
471,39.51,39.64,39.49,39.61,79829
864,39.81,39.81,39.81,39.81,1220
865,39.74,39.74,39.525,39.6,1300
866,39.54,39.8,39.54,39.77,4317
867,39.47,39.59,39.44,39.59,4273
868,39.39,39.5,39.39,39.43,7100
869,39.58,39.58,39.31,39.35,1924
870,39.52,39.59,39.5,39.5772,4200
871,39.68,39.72,39.55,39.55,5050
872,39.69,39.7199,39.65,39.65,1900
873,39.59,39.635,39.54,39.62,3100
874,39.62,39.6599,39.57,39.62,1967
875,39.64,39.6999,39.61,39.62,3799
876,39.55,39.65,39.55,39.6,3800
877,39.57,39.5899,39.5,39.57,2500
878,39.6201,39.69,39.58,39.6099,2300
879,39.74,39.74,39.65,39.66,2200
880,39.8599,39.8599,39.68,39.72,2850
881,39.82,39.8599,39.79,39.84,1957
882,39.7699,39.8199,39.72,39.79,800
883,39.72,39.74,39.72,39.74,200
884,39.69,39.7699,39.69,39.75,1797
885,39.6999,39.7,39.39,39.67,7840
886,39.63,39.6899,39.57,39.6,1909
887,39.77,39.77,39.66,39.67,600
888,39.82,39.82,39.69,39.77,1300
889,39.79,39.8799,39.79,39.83,2800
890,39.87,39.89,39.79,39.79,5530
891,39.94,39.94,39.86,39.8996,2700
892,39.94,39.99,39.91,39.96,5330
