EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,41.59,41.59,41.59,41.59,11434
1,41.9899,42.09,41.59,41.59,44419
2,42.07,42.15,41.99,41.99,39593
3,42.04,42.12,42.04,42.1,46038
4,42.15,42.16,41.99,42.03,56551
5,42.04,42.17,42.01,42.15,29105
6,42.07,42.09,42.03,42.05,33289
7,42.025,42.08,41.995,42.07,45901
8,42.01,42.025,41.95,42.02,20839
9,42.01,42.05,42,42.02,15043
10,42.01,42.065,42,42.02,31999
11,42.07,42.09,42.01,42.01,19269
12,42.01,42.07,42,42.07,28278
13,42.05,42.05,42,42.01,37883
14,42.03,42.045,42,42.04,14773
15,42.03,42.04,42.005,42.02,15593
16,42.0299,42.04,42,42.04,19424
17,42.025,42.03,41.99,42.02,35501
18,42.02,42.035,41.98,42.03,34382
19,42.01,42.03,42,42.02,12928
20,42.01,42.02,42.005,42.02,22489
21,42.025,42.045,42,42.015,22932
22,41.98,42.03,41.98,42,12671
23,42,42.01,41.98,41.99,13241
24,41.98,42,41.975,42,11438
25,41.995,41.995,41.97,41.98,15625
26,42,42.01,41.995,41.995,16870
27,41.985,42,41.96,42,31141
28,41.98,41.995,41.96,41.98,18734
29,42,42.01,41.96,41.98,18541
30,41.975,42.01,41.97,42.01,9787
31,41.995,42.0075,41.97,41.975,12718
32,41.985,42.005,41.98,41.995,18700
33,41.955,41.975,41.94,41.975,11581
34,41.97,41.975,41.945,41.955,28883
35,41.935,41.97,41.93,41.965,19161
36,41.965,41.98,41.94,41.94,16548
37,41.92,41.965,41.915,41.96,82998
38,41.855,41.92,41.84,41.915,39804
39,41.8,41.86,41.8,41.855,167927
144,41.97,41.97,41.94,41.94,10127
145,41.85,42.16,41.83,42.11,49854
146,41.66,41.87,41.66,41.84,19059
147,41.58,41.66,41.56,41.66,17767
148,41.64,41.67,41.54,41.58,15226
149,41.67,41.74,41.64,41.64,16412
150,41.73,41.74,41.65,41.67,12891
151,41.75,41.8,41.71,41.73,17418
152,41.73,41.76,41.71,41.7509,14492
153,41.72,41.745,41.71,41.73,91037
154,41.69,41.74,41.68,41.72,26495
155,41.68,41.72,41.66,41.69,16954
156,41.72,41.72,41.65,41.69,73068
157,41.66,41.72,41.63,41.72,87039
158,41.59,41.72,41.57,41.67,84063
159,41.59,41.62,41.57,41.59,28555
160,41.7,41.71,41.525,41.58,160757
161,41.7,41.73,41.68,41.7,69865
162,41.68,41.71,41.67,41.7,15497
163,41.64,41.69,41.64,41.68,12319
164,41.62,41.68,41.615,41.65,26094
165,41.65,41.66,41.62,41.63,14903
166,41.695,41.71,41.64,41.66,43756
167,41.64,41.7,41.63,41.7,78415
168,41.63,41.69,41.63,41.64,59639
169,41.61,41.65,41.59,41.63,48470
170,41.55,41.64,41.55,41.61,34526
171,41.6,41.64,41.52,41.545,33749
172,41.66,41.66,41.585,41.61,34396
173,41.675,41.69,41.635,41.66,16730
174,41.67,41.69,41.65,41.67,27273
175,41.68,41.7,41.66,41.66,15403
176,41.7,41.7,41.68,41.6899,33487
177,41.69,41.715,41.68,41.69,25840
178,41.69,41.705,41.67,41.68,25379
179,41.685,41.71,41.685,41.685,35632
180,41.695,41.7,41.665,41.68,29846
181,41.675,41.71,41.66,41.695,44407
182,41.675,41.7,41.67,41.675,64521
183,41.69,41.695,41.63,41.67,125027
288,41.82,41.82,41.82,41.82,5078
289,42,42,41.79,41.965,9941
290,42.23,42.23,41.95,41.96,36055
291,42.19,42.31,42.19,42.24,12952
292,42.08,42.22,42.08,42.21,13091
293,42.13,42.17,42.08,42.09,16562
294,42.19,42.2,42.09,42.12,12058
295,42.19,42.2,42.15,42.17,9920
296,42.08,42.18,42.08,42.18,10207
297,42.06,42.06,42.01,42.06,10900
298,42.01,42.09,42.01,42.06,13081
299,42.07,42.08,42,42.01,10935
300,41.99,42.075,41.98,42.07,17602
301,42.02,42.04,41.98,41.98,15581
302,41.98,42.02,41.98,42.01,10323
303,41.97,41.99,41.96,41.98,7494
304,41.97,42.01,41.97,41.98,19043
305,41.9864,41.99,41.96,41.97,8143
306,42.02,42.02,41.99,41.99,11674
307,42.01,42.03,42.01,42.01,8456
308,42.09,42.09,42.03,42.03,8300
309,42.21,42.21,42.08,42.08,8391
310,42.17,42.22,42.16,42.22,12623
311,42.2,42.2,42.18,42.18,6809
312,42.25,42.255,42.21,42.21,12996
313,42.18,42.245,42.16,42.245,29419
314,42.221,42.235,42.17,42.18,19869
315,42.25,42.26,42.22,42.22,15972
316,42.17,42.28,42.16,42.25,27781
317,42.19,42.22,42.16,42.17,7780
318,42.17,42.21,42.15,42.1958,12385
319,42.18,42.215,42.17,42.17,15087
320,42.18,42.2,42.17,42.18,6900
321,42.13,42.185,42.11,42.18,17551
322,42.16,42.16,42.11,42.125,17479
323,42.23,42.23,42.17,42.17,14163
324,42.16,42.23,42.12,42.22,56689
325,42.27,42.29,42.15,42.155,49855
326,42.29,42.31,42.26,42.27,22911
327,42.29,42.33,42.27,42.29,125321
432,42.37,42.37,42.37,42.37,3914
433,42.09,42.37,41.92,42.37,8330
434,42.09,42.11,42.04,42.08,20900
435,42.42,42.42,42.05,42.08,21366
436,42.21,42.41,42.2,42.41,16610
437,42.24,42.27,42.13,42.21,16166
438,42.19,42.25,42.17,42.23,15514
439,42.13,42.21,42.11,42.19,13152
440,42.07,42.16,42.07,42.12,9400
441,42.03,42.11,42.03,42.08,13298
442,42.05,42.09,42.01,42.04,16821
443,42.11,42.12,42.04,42.05,14167
444,42.07,42.12,42.05,42.12,10303
445,42.09,42.13,42.08,42.08,9725
446,42.1,42.15,42.08,42.085,14006
447,42.147,42.24,42.1,42.1,11700
448,42.32,42.33,42.15,42.15,9500
449,42.19,42.31,42.19,42.3,27157
450,42.25,42.25,42.17,42.19,16302
451,42.19,42.25,42.15,42.25,5743
452,42.19,42.25,42.16,42.16,9150
453,42.16,42.185,42.1,42.185,55281
454,42.22,42.24,42.14,42.15,12538
455,42.23,42.26,42.21,42.23,10489
456,42.25,42.26,42.185,42.2101,43987
457,42.22,42.25,42.21,42.24,58401
458,42.25,42.32,42.22,42.22,21475
459,42.19,42.22,42.19,42.22,3534
460,42.17,42.2,42.17,42.18,9304
461,42.17,42.18,42.16,42.17,8214
462,42.14,42.1625,42.12,42.16,14848
463,42.15,42.16,42.13,42.145,7300
464,42.1,42.165,42.1,42.155,13658
465,42.115,42.13,42.09,42.105,11457
466,42.15,42.15,42.12,42.12,8176
467,42.16,42.165,42.135,42.15,11396
468,42.08,42.155,42.08,42.155,17742
469,42.08,42.08,42.05,42.08,24370
470,42.055,42.09,42.045,42.075,45088
471,42.04,42.07,42.01,42.055,139623
864,42.14,42.14,42.14,42.14,5781
865,42.24,42.3281,42.2025,42.31,7468
866,42.2501,42.34,42.18,42.24,24927
867,42.23,42.31,42.19,42.25,16875
868,42.07,42.26,42.04,42.22,44379
869,42.07,42.11,41.98,42.07,15653
870,42.13,42.175,42.03,42.09,19485
871,42.205,42.215,42.1,42.1,9980
872,42.24,42.24,42.15,42.19,18868
873,42.215,42.24,42.2,42.24,9978
874,42.2,42.26,42.2,42.21,26170
875,42.2698,42.2899,42.2,42.2099,8256
876,42.195,42.28,42.19,42.25,6100
877,42.2,42.21,42.14,42.17,19219
878,42.27,42.27,42.195,42.2,15416
879,42.28,42.3,42.25,42.27,11477
880,42.33,42.42,42.23,42.285,45705
881,42.27,42.36,42.26,42.36,21600
882,42.265,42.34,42.25,42.27,51901
883,42.26,42.3,42.25,42.27,15280
884,42.28,42.33,42.26,42.26,20036
885,42.28,42.28,42.23,42.28,11714
886,42.27,42.3,42.26,42.28,21086
887,42.42,42.42,42.25,42.26,28578
888,42.51,42.52,42.41,42.42,27699
889,42.52,42.54,42.5,42.5,20387
890,42.625,42.66,42.52,42.53,25982
891,42.725,42.75,42.625,42.625,39021
892,42.49,42.75,42.49,42.75,44094
893,42.449,42.51,42.43,42.49,70453
894,42.38,42.45,42.36,42.449,30799
895,42.34,42.39,42.335,42.38,23682
